Timestamp,Reporting_Month,Supplier_Name,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
04/01/15 00:00,15-Apr, East Bay Municipal Utilities District ,San Francisco Bay,1390000,Yes,2,,,,,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed. On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. "
04/01/15 00:00,15-Apr," Greenfield, City of ",Central Coast,17898,,2,23,23,3600,1,sent out 2 notice of violations without a fee for to discontinue the code violation
04/01/15 00:00,15-Apr, Manteca  City of ,San Joaquin River,74586,Yes,3,56,2006,2006,0,
04/01/15 00:00,15-Apr, Sacramento  City of ,Sacramento River,480155,Yes,2,3100,2000,1710,191,City is conducting 7 day a week enforcement.
04/01/15 00:00,15-Apr," Los Banos, City of ",San Joaquin River,37168,Yes,2,,,,,
04/01/15 00:00,15-Apr, Fresno  City of ,Tulare Lake,520159,Yes,2,1289,1430,1430,347,
04/01/15 00:00,15-Apr, Los Angeles Department of Water and Power ,South Coast,4002667,Yes,3,1875,1576,1412,8,"Our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. To date, the WCRU has issued over 9,000 letters and citations since January 2014. "
04/01/15 00:00,15-Apr, Coastside County Water District ,San Francisco Bay,16668,Yes,7,3,24,0,0,
04/01/15 00:00,15-Apr, San Diego  City of ,South Coast,1314290,Yes,3,820,820,820,48,"San Diego Mayor Kevin Faulconer announced stepped up enforcement efforts.  Instead of sending out letters and educating customers on drought restrictions, the first correspondence for observed water waste will be a notice of violation, which will be followed by a citation if the problem is not corrected.  The penalties reported for April 2015 includes penalties issued for water theft.  "
04/01/15 00:00,15-Apr, Burlingame  City of ,San Francisco Bay,30282,Yes,7,9,2,0,0,
04/01/15 00:00,15-Apr, Roseville  City of ,Sacramento River,122946,Yes,3,710,710,710,18,Staff performed regular water waste patrols and left notices for customers found to have water waste.  The City conducts night patrols for water waste primarily focused on commercial irrigation.  The City has an online reporting tool where people can report water waste: www.roseville.ca.us/waterwaste.  
04/01/15 00:00,15-Apr," Modesto, City of ",San Joaquin River,220916,Yes,2,941,649,649,1,
04/01/15 00:00,15-Apr, Anaheim  City of ,South Coast,358549,Yes,7,121,121,451,,
04/01/15 00:00,15-Apr, Camrosa Water District ,South Coast,35738,No,7,,,,,
04/01/15 00:00,15-Apr, Yuba City  City of ,Sacramento River,65416,Yes,2,12,12,444,57,"August 8, 2014  Name Address City, State, Zip  Dear Water Customer,  With the third consecutive year of drought, the City of Yuba City implemented emergency water restrictions in accordance with the City’s Water Shortage Contingency Plan per the Governor’s request in January.  On July 15, 2014, the State Water Resources Control Board approved an emergency regulation to ensure that water suppliers, their customers and state residents increase water conservation in urban settings.  The emergency regulations require that all Californians stop the following activities immediately:     • Washing down driveways and sidewalks • Watering of outdoor landscapes that cause excess runoff • Using a hose to wash a motor vehicle unless the hose is fitted with a shut-off nozzle  • Using potable water in a non-circulating fountain or decorative water feature  In addition, the emergency regulations specifically require that urban water suppliers implement water shortage contingency plans to a level where restrictions on outdoor watering are mandatory.  For Yuba City, that is Stage 3 of the City’s Water Shortage Contingency Plan.    Stage 3 of the City’s Water Shortage Contingency Plan and Municipal Code Section 6-6.19, “Emergency Water Restrictions”, permit lawn watering only as follows:  • EVEN numbered addresses: Wednesdays and Saturdays  • ODD numbered addresses: Thursdays and Sundays  • New lawns may be watered three (3) times each day for the first three (3) weeks after planting provided that notification is given to the City Public Works Department of the new planting either at the time of planting or as soon thereafter as is practicable. • Public agencies and/or commercial/industrial companies using City water to irrigate large turf areas greater than 0.5 acres, shall submit an irrigation schedule for approval by the Public Works Director. This schedule shall provide for a reduction of water use based on a percentage of previous usage. The actual percentage and base year of usage shall be established by the Public Works Director as approved by the City Council and will be in accordance with the severity of the water shortage declared by the City Council. It is recommended that watering take place during the coolest parts of the day in the evening and early morning hours. As part of the City’s continued effort to help water customers comply with these water restrictions, the City has started water patrols which are designed to provide residents with conservation education.  The City’s goal is to raise awareness to the mandatory restrictions, and issue penalties as a last resort.  For those that choose not to comply with the mandatory restrictions, the following penalty schedule will apply:  1st violation: Written warning 2nd violation:  $ 50.00 surcharge* 3rd violation:  $100.00 surcharge* 4+ violations: $250.00 surcharge* per violation *Surcharges shall appear on the next monthly water billing  The Public Works Department provides complimentary water audits and will assist with adjusting sprinkler timers upon request.  If you would like to schedule a water audit or need assistance adjusting a sprinkler timer, please call John Westhouse, Water Treatment Plant Supervisor, at 530-822-4637.  Also, the City has a rebate program for the installation of smart irrigation timers.  Information on the rebate program can be found at www.yubacityh2o.com.       The City appreciates the conservation efforts of our water customers.  If you have any questions, please do not hesitate to contact Public Works.    Sincerely,      Diana Langley City of Yuba City  Public Works Director "
04/01/15 00:00,15-Apr, Huntington Beach  City of ,South Coast,196041,Yes,3,340,340,422,0,
04/01/15 00:00,15-Apr, San Jose Water Company ,San Francisco Bay,990000,Yes,3,385,331,331,0,
04/01/15 00:00,15-Apr, Glendale  City of ,South Coast,193300,Yes,3,315,414,315,0,"Water Waster Reporting – The following customers were contacted by phone or by mail warning them that they were reported anonymously as violating the No Water Waste Ordinance.  Receive first warning -  269 Received second warning  -   46 Total warning notices - 315  Water Leaks – The following customers were notified as a result of the AMI system showing continuous flow, indicating a leak.  Leak Letters Mailed  = 22 Telephone Calls to Customers =44 Field Visits = 33 "
04/01/15 00:00,15-Apr, Sacramento County Water Agency ,Sacramento River,163479,Yes,1,298,298,298,0,
04/01/15 00:00,15-Apr," Tulare, City of ",Tulare Lake,62363,,3,100,232,232,41,
04/01/15 00:00,15-Apr, Lodi  City of Public Works Department ,San Joaquin River,63651,Yes,3,207,236,213,1,
04/01/15 00:00,15-Apr, Clovis  City of ,Tulare Lake,108227,Yes,3,191,191,191,4,
