Timestamp,Supplier_Name,Reporting_Month,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
08/01/15 00:00,East Bay Municipal Utilities District,15-Aug,San Francisco Bay,"1,390,000",Yes,2,653,671, 43 , 0  ,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. "
08/01/15 00:00,Morro Bay  City of,15-Aug,Central Coast,"10,234",Yes,2,7,7, 2 , 0  ,
08/01/15 00:00,Yorba Linda Water District,15-Aug,South Coast,"72,500",Yes,2,76,218, 142 , 4 ,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average “monthly” usage of each customer class in 2013, minus the SWRCB’s mandatory 36% reduction.  "
08/01/15 00:00,Long Beach  City of,15-Aug,South Coast,"474,045",Yes,2,1726,1290, 35 , 2 ,
08/01/15 00:00,"Los Banos, City of",15-Aug,San Joaquin River,"37,168",Yes,2,273,273, 273 , 273 ,
08/01/15 00:00,Turlock  City of,15-Aug,San Joaquin River,"71,181",Yes,2,696,696, 682 , 121 ,
08/01/15 00:00,Jurupa Community Service District,15-Aug,South Coast,"118,731",Yes,3,161,742, 178 , 0  ,
08/01/15 00:00,Coastside County Water District,15-Aug,San Francisco Bay,"16,668",Yes,2,5,5, 0  , 0  ,The District followed up on 6 potential leaks and 29 customers with high consumption.
08/01/15 00:00,Citrus Heights Water District,15-Aug,Sacramento River,"67,333",Yes,2,238,184, 101 , 0  ,CHWD has hired a private security company for night time water waste monitoring. Resulting in 108 incident reports for the month of August
08/01/15 00:00,Burlingame  City of,15-Aug,San Francisco Bay,"30,282",Yes,2,42,42, 31 , 0  ,
08/01/15 00:00,Orange Vale Water Company,15-Aug,Sacramento River,"14,283",Yes,2,25,166, 166 , 0  ,
08/01/15 00:00,Dublin San Ramon Services District,15-Aug,San Francisco Bay,"79,348",Yes,2,16,6, 28 , 12 ,
08/01/15 00:00,Los Angeles Department of Water and Power,15-Aug,South Coast,"4,012,509",Yes,3,2433,1861," 1,429 ", 11 ,"To date, our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. "
08/01/15 00:00,Camrosa Water District,15-Aug,South Coast,"35,783",Yes,2,5,5, 2 , 0  ,
08/01/15 00:00,El Dorado Irrigation District,15-Aug,Sacramento River,"118,500",Yes,3,52,54, 2 , 0  ,
08/01/15 00:00,El Centro  City of,15-Aug,Colorado River,"44,311",Yes,3,20,85, 65 , 0  ,
08/01/15 00:00,Milpitas  City of,15-Aug,San Francisco Bay,"70,817",Yes,2,27,27, 0  , 0  ,Issued 25 informal notification via door hanger.
08/01/15 00:00,Santa Rosa  City of,15-Aug,North Coast,"170,974",Yes,7,194,46, 46 , 0  ,
08/01/15 00:00,Westminster  City of,15-Aug,South Coast,"93,322",Yes,3,15,503, 503 , 6 ,"The Westminster Water Division issued warnings on 445 violations as well as followed up with 52 last chance before a fine letters in an effort to make multiple points of contact to stop water wasting. Fines were sent to 6 businesses and residents, via written notification, as well as in person follow-ups at sites to help address water wasting issues."
08/01/15 00:00,Mid-Peninsula Water District,15-Aug,San Francisco Bay,"26,730",Yes,2,5,5, 0  , 0  ,
08/01/15 00:00,Olivenhain Municipal Water District,15-Aug,South Coast,"84,351",Yes,2,561,399, 370 , 16 ,"Meter readers investigate accounts with increase in usage of 200%, or any pattern of usage that is out of the ordinary.  Customers are called in an effort to prevent water waste from potential leaks.   Budget increased to hire contractor dedicated to enforcement and water conservation monitoring, who patrols service area.  Contractor assisted by drought intern from wholesaler.   Enforcement of mandatory water use restrictions is a responsibility of each employee and mandatory training has been implemented.  Waste complaints via hotline, wholesaler mobile application, state reporting tool, and online form increase monthly.  Warning letters offer free water use evaluation, restrictions and drought information, and tips to reduce usage by 32%.  OMWD allows a 21-day grace period to allow customer to remedy violation.  Customer is not issued another violation if a report is received for the same violation during this time.  If a report of a repeat violation is received during the 21-day grace period, the customer is called rather than issued another written violation. "
08/01/15 00:00,Daly City  City of,15-Aug,San Francisco Bay,"105,810",Yes,2,3,3, 3 , 0  ,
08/01/15 00:00,Delano  City of,15-Aug,Tulare Lake,"54,318",Yes,2,129,129, 92 , 2 ,The city has hired or assigned an additional employee to patrol and issue official warnings and citations if required. The city is concentrating on education and notification as the primary enforcement. Meters are being installed on all non-metered customers that do not comply with the requirements. Additional meters are being installed in areas of projected high use.
08/01/15 00:00,Anaheim  City of,15-Aug,South Coast,"360,142",Yes,2,814,814, 770 , 0  ,The complaints of 814 included 169 Anaheim Anytime +601Water Savers Log + 2 Customer Log + 2 OMS + 40 CSRs.  The follow-ups of 814 included 169 Anaheim Anytime +601 Water Savers Follow-ups + 2 Customer Log + 2 OMS+ 40 CSRs.  Warnings of 770 included 169 door hangers and 601Water Savers Log.
08/01/15 00:00,Elsinore Valley Municipal Water District,15-Aug,South Coast,"149,468",Yes, 2 , 60 ,48,2,0,
08/01/15 00:00,Coachella Valley Water District,15-Aug,Colorado River,"318,217",Yes,7,136,110, 110 , 0  ,
08/01/15 00:00,Lake Hemet Municipal Water District,15-Aug,South Coast,"52,914",Yes,3,44,60, 27 , 0  ,
08/01/15 00:00,Carmichael Water District,15-Aug,Sacramento River,"38,354",Yes,2,469,469, 469 , 5 ,
08/01/15 00:00,Monte Vista Water District,15-Aug,South Coast,"56,039",Yes,3,38,77, 59 , 0  ,
08/01/15 00:00,Pleasanton  City of,15-Aug,San Francisco Bay,"73,067",Yes,2,57,61, 1 , 269 ,
08/01/15 00:00,Santa Monica  City of,15-Aug,South Coast,"93,283",Yes,7,101,101, 41 , 0  ,
08/01/15 00:00,Riverside  City of,15-Aug,South Coast,"299,467",Yes,3,153,153, 30 , 0  ,
08/01/15 00:00,Contra Costa Water District,15-Aug,San Francisco Bay,"199,680",Yes,2,87,87, 87 , 2 ,"CCWD’s 2015 Drought Management Program includes  a temporary pricing adjustment on the unit cost of water and a fine for violations of the water use prohibitions. CCWD is performing ongoing outreach to its customers, including communication on prohibited uses such as outdoor watering more than 2 times per week and washing down pavement. CCWD has also performed outreach to restaurants and hotels to address new prohibited water uses (and corresponding enforcement)."
08/01/15 00:00,"Imperial, City of",15-Aug,Colorado River,"18,022",Yes,2,220,7, 220 , 7 ,The City has allocated an additional staff member to assist Code Enforcement with warning actions beginning this month.
08/01/15 00:00,California Water Service Company Antelope Valley,15-Aug,South Lahontan,"3,391",Yes,3,0,0, 0  , 0  ,
08/01/15 00:00,Irvine Ranch Water District,15-Aug,South Coast,"386,026",Yes,,63,27, 8 , 0  ,
08/01/15 00:00,Watsonville  City of,15-Aug,Central Coast,"65,739",Yes,2,12,12, 10 , 6 ,"City staff will follow up once a problem of water waste has been reported. We offer information about how to reduce water waste and schedule a free, one-time Water Conservation Consultation to help fix the problem. If water waste continues beyond the educational warning and Water Conservation Consultation, the City will begin fines to address further ongoing water waste violations."
08/01/15 00:00,San Jose  City of,15-Aug,San Francisco Bay,"117,576",Yes,2,61,45, 6 , 0  ,"San Jose City Council has approved an amendment of the Administrative Citation Schedule of Fines, to increase the fine amount for violations of water waste restrictions ($250 for first violation; $500 for subsequent violations). Muni Water has also continued all enforcement efforts described in previous months. Enforcement data is estimated and based on data from reports received from the State Water Waste reports and the Access Valley Water database managed by Santa Clara Valley Water District, which receives, validates and dispatches the water waste service requests from the public in Santa Clara County. "
