Timestamp,Reporting_Month,Supplier_Name,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
06/01/15 00:00,15-Jun,East Bay Municipal Utilities District,San Francisco Bay,1390000,Yes,2,990,627,85,0,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. "
06/01/15 00:00,15-Jun,Morro Bay  City of,Central Coast,10234,Yes,2,7,7,7,0,
06/01/15 00:00,15-Jun,Yorba Linda Water District,South Coast,72500,Yes,2,88,238,134,2,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average “monthly” usage of each customer class in 2013, minus the SWRCB’s mandatory 36% reduction.  "
06/01/15 00:00,15-Jun,Long Beach  City of,South Coast,473683,Yes,2,2138,1745,0,0,Continue to monitor selected customers' compliance with water-waste prohibitions using smart-meters.
06/01/15 00:00,15-Jun,"Los Banos, City of",San Joaquin River,37168,Yes,2,,119,119,119,
06/01/15 00:00,15-Jun,Turlock  City of,San Joaquin River,71181,Yes,2,392,392,352,5,
06/01/15 00:00,15-Jun,Jurupa Community Service District,South Coast,118731,Yes,3,220,275,182,0,
06/01/15 00:00,15-Jun,Coastside County Water District,San Francisco Bay,16668,Yes,2,12,54,0,0,2- Contacts regarding leaks 40-High bill notifications 12-Follow-ups on Water Waste Complaints
06/01/15 00:00,15-Jun,Burlingame  City of,San Francisco Bay,30282,Yes,2,27,24,0,0,
06/01/15 00:00,15-Jun,Orange Vale Water Company,Sacramento River,14283,Yes,2,74,74,74,0,
06/01/15 00:00,15-Jun,Dublin San Ramon Services District,San Francisco Bay,78895,Yes,2,14,51,11,2,
06/01/15 00:00,15-Jun,Los Angeles Department of Water and Power,South Coast,4005398,Yes,3,1981,953,712,16,"To date, our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. "
