Timestamp,Reporting_Month,Supplier_Name,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
03/01/15 00:00,15-Mar,East Bay Municipal Utilities District,San Francisco Bay,1390000,Yes,2,,,,,"EBMUD’s Board adopted Section 28 of the District’s Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  "
03/01/15 00:00,15-Mar,Morro Bay  City of,Central Coast,10234,Yes,2,3,3,2,0,
03/01/15 00:00,15-Mar,Yorba Linda Water District,South Coast,73990,Yes,3,23,23,23,0,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. "
03/01/15 00:00,15-Mar,Long Beach  City of,South Coast,473050,Yes,2,493,397,13,4,
03/01/15 00:00,15-Mar,"Los Banos, City of",San Joaquin River,37168,Yes,2,,,,,
03/01/15 00:00,15-Mar,Turlock  City of,San Joaquin River,71181,Yes,2,88,88,88,0,
03/01/15 00:00,15-Mar,Jurupa Community Service District,South Coast,118731,Yes,4,40,40,6,0,
03/01/15 00:00,15-Mar,Coastside County Water District,San Francisco Bay,16668,Yes,7,0,0,0,0,
03/01/15 00:00,15-Mar,Citrus Heights Water District,Sacramento River,67333,Yes,,,,,,
03/01/15 00:00,15-Mar,Burlingame  City of,San Francisco Bay,30282,Yes,7,6,5,5,0,
03/01/15 00:00,15-Mar,Orange Vale Water Company,Sacramento River,14283,Yes,7,9,9,9,0,
03/01/15 00:00,15-Mar,Dublin San Ramon Services District,San Francisco Bay,78164,Yes,0,7,na,1,0,
03/01/15 00:00,15-Mar,Los Angeles Department of Water and Power,South Coast,3935257,Yes,3,1215,1669,1364,13,"Our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years."
03/01/15 00:00,15-Mar,Camrosa Water District,South Coast,27037,Yes,7,0,0,0,0,
03/01/15 00:00,15-Mar,El Dorado Irrigation District,Sacramento River,128500,Yes,,,,,,
03/01/15 00:00,15-Mar,El Centro  City of,Colorado River,44311,Yes,,,,,,
03/01/15 00:00,15-Mar,Milpitas  City of,San Francisco Bay,70817,Yes,,,,,,
03/01/15 00:00,15-Mar,Santa Rosa  City of,North Coast,170093,Yes,7,32,32,35,0,
03/01/15 00:00,15-Mar,Westminster  City of,South Coast,93322,Yes,2,15,15,15,0,
03/01/15 00:00,15-Mar,Mid-Peninsula Water District,San Francisco Bay,26030,Yes,2,5,5,5,0,
03/01/15 00:00,15-Mar,Olivenhain Municipal Water District,South Coast,69175,Yes,3,15,15,12,0,
03/01/15 00:00,15-Mar,Daly City  City of,San Francisco Bay,105076,No,,2,2,2,0,
03/01/15 00:00,15-Mar,Delano  City of,Tulare Lake,48957,Yes,3,11,28,28,0,The city will adjust to accommodate the required regulations. The city will install meters on any unmetered customers that do not follow these regulations.
03/01/15 00:00,15-Mar,Anaheim  City of,South Coast,358549,Yes,7,89,54,32,,
03/01/15 00:00,15-Mar,Elsinore Valley Municipal Water District,South Coast,148587,Yes,3,3,3,0,0,
03/01/15 00:00,15-Mar,Coachella Valley Water District,Colorado River,213802,Yes,7,69,69,70,1,
03/01/15 00:00,15-Mar,Lake Hemet Municipal Water District,South Coast,52914,Yes,,,,,,
03/01/15 00:00,15-Mar,Carmichael Water District,Sacramento River,38354,Yes,2,49,49,49,0,
03/01/15 00:00,15-Mar,Monte Vista Water District,South Coast,54460,Yes,,,,,,
03/01/15 00:00,15-Mar,Pleasanton  City of,San Francisco Bay,73067,Yes,2,31,31,0,0,
03/01/15 00:00,15-Mar,Santa Monica  City of,South Coast,92185,Yes,7,52,52,52,1,Complaint figure includes 15 cases related to urban runoff. Written warnings were delivered to violators by hand or mail for all 52 violations.
03/01/15 00:00,15-Mar,Riverside  City of,South Coast,298669,Yes,4,,,,,
03/01/15 00:00,15-Mar,Contra Costa Water District,San Francisco Bay,197536,Yes,2,35,35,35,0,"CCWD has increased its outreach to customers to improve water use efficiency, including:  • Contacting customers regarding water waste through visits, phone calls, or door hangers. • Providing prominent information about the drought requirements on CCWD’s website.  • Providing a means for customers to report water waste through the website or phone. • Outreach to restaurants, hotels, cafes, cafeterias, bars, or other public places to prohibit serving of drinking water other than upon request. • Outreach to hotels and motels to provide guests with the option of choosing not to have towels and linens laundered daily, and prominently display a notice of this in each bathroom. "
03/01/15 00:00,15-Mar,"Imperial, City of",Colorado River,18022,Yes,3,1,5,0,0,
03/01/15 00:00,15-Mar,California Water Service Company Antelope Valley,South Lahontan,3387,Yes,7,0,0,0,0,
03/01/15 00:00,15-Mar,Irvine Ranch Water District,South Coast,385056,No,,2,56,,,"Prohibitions in effect at all times regardless of whether shortage declared: Gutter flooding, leaks, washing down hard surface areas, waste, and run-off. Water waste is considered as above allocation use as determined by the allocation based conservation rate structure. Customers whose use exceeds their allocation are sent a strong price signal based on increasingly costly tiers."
03/01/15 00:00,15-Mar,Watsonville  City of,Central Coast,65739,Yes,2,4,4,0,0,"City staff will follow up once a problem of water waste has been reported. We offer information about how to reduce water waste and schedule a free, one-time Water Conservation Consultation to help fix the problem. If water waste continues beyond the educational warning and Water Conservation Consultation, the City will begin fines to address further ongoing water waste violations."
