Timestamp,Reporting_Month,Supplier_Name,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
05/01/15 00:00,15-May,East Bay Municipal Utilities District,San Francisco Bay,1390000,Yes,2,,,,,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. "
05/01/15 00:00,15-May,Morro Bay  City of,Central Coast,10234,Yes,2,7,7,7,0,
05/01/15 00:00,15-May,Yorba Linda Water District,South Coast,73500,Yes,2,100,166,66,8,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average “monthly” usage of each customer class in 2013, minus the SWRCB’s mandatory 36% reduction. "
05/01/15 00:00,15-May,Long Beach  City of,South Coast,473502,Yes,2,1465,1194,9,3,
05/01/15 00:00,15-May,"Los Banos, City of",San Joaquin River,37168,Yes,2,,,,,
05/01/15 00:00,15-May,Turlock  City of,San Joaquin River,71181,Yes,2,196,196,195,4,
05/01/15 00:00,15-May,Jurupa Community Service District,South Coast,118731,Yes,3,106,148,37,0,JCSD's Board of Directors approved a resolution to implement Level 3 on May 26.
05/01/15 00:00,15-May,Coastside County Water District,San Francisco Bay,16668,Yes,7,8,18,0,0,
05/01/15 00:00,15-May,Citrus Heights Water District,Sacramento River,67333,Yes,2,42,28,16,0,
05/01/15 00:00,15-May,Burlingame  City of,San Francisco Bay,30282,Yes,7,6,9,0,0,
05/01/15 00:00,15-May,Orange Vale Water Company,Sacramento River,14283,Yes,2,45,45,45,0,
05/01/15 00:00,15-May,Dublin San Ramon Services District,San Francisco Bay,78546,Yes,2,6,9,7,5,
05/01/15 00:00,15-May,Los Angeles Department of Water and Power,South Coast,3986622,Yes,3,1836,1585,1380,11,"To date, our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years."
05/01/15 00:00,15-May,Camrosa Water District,South Coast,35738,Yes,2,12,7,0,0,
05/01/15 00:00,15-May,El Dorado Irrigation District,Sacramento River,128500,Yes,2,51,70,19,0,
05/01/15 00:00,15-May,El Centro  City of,Colorado River,44847,Yes,3,12,30,57,0,
05/01/15 00:00,15-May,Milpitas  City of,San Francisco Bay,70817,Yes,2,,,,,
05/01/15 00:00,15-May,Santa Rosa  City of,North Coast,170974,Yes,7,56,6,6,0,"If multiple attempts to educate customers on water waste practices is unsuccessful and the water waste continues, the City will shut off the water supply to that customer."
05/01/15 00:00,15-May,Westminster  City of,South Coast,93322,Yes,3,73,73,73,0,"First offense: Written warning Second offense: Written warning WARNING LETTER: Letting residents know that a fine will happen at the next violation Third offense: up to $50 fine Fourth offense: up to $150 fine Fifth and additional offenses: up to $250 fine, possible flow restrictor or discontinuation of service"
05/01/15 00:00,15-May,Mid-Peninsula Water District,San Francisco Bay,26730,Yes,2,6,6,6,0,Step 1 - Education Step 2 - Written notice Step 3 - 48 hour on-site citation Step 4 - $500 fine issued Step 5 - Temporary termination of water service until compliant
05/01/15 00:00,15-May,Olivenhain Municipal Water District,South Coast,83368,Yes,3,39,29,27,0,"Revised Water Supply Shortage Ordinance to include new mandates, move to a 2-day watering week as of June 1 and implement drought Level 2 rates effective July 1.  www.olivenhain.com/shortage  Customers given 21 days to correct violation, reports of same violation on account within 21 days do not count as a second violation and are not formally noticed. Customers have been responsive and are taking advantage of water audits to irrigate more efficiently."
05/01/15 00:00,15-May,Delano  City of,Tulare Lake,54318,Yes,3,15,90,38,0,Meters are installed on any non-metered customer wasting water. Additional restrictions and modifications to the city ordinance to limit the water use and waste will be implemented in June 2015.
05/01/15 00:00,15-May,Anaheim  City of,South Coast,358549,Yes,2,301,301,119,0,The complaints and follow-ups of 301 included 119 Anaheim Anytime +119 Anaheim Anytime Follow-ups + 26 Customer Log + 4 OMS + 33 CSRs.
05/01/15 00:00,15-May,Elsinore Valley Municipal Water District,South Coast,148874,Yes,2,22,8,3,0,"On May 28th, Elsinore Valley Municipal Water District (EVMWD)’s Board of Directors adopted a Water Supply Shortage Contingency Program (WSCP) and declared to move from drought Stage 2 to Stage 4a. The adoption of WSCP is part of a comprehensive drought action plan, which also includes drought water and surcharge rates, and a variety of conservation programs (turf removal, landscape ordinance, AMI conversion, etc.). By instrumenting this drought action plan, EVMWD is planning to comply with the State mandate to decrease water consumption by 28% for the enforcement period June/2015-February/2016. The following abbreviated list outlines some of the prohibitions associated with Stage 4a.  •             Washing down sidewalks or driveways. •             Watering during or within 48 hours after a rain event. •             Washing your vehicle on your property. •             Filling, refilling or adding water to your pool. •             Watering on windy days. •             Providing water at restaurant’s or food establishments unless requested. "
