Timestamp,Supplier_Name,Reporting_Month,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
11/01/15 00:00,East Bay Municipal Utilities District,Nov-15,San Francisco Bay,"1,390,000",Yes,2,307,186,50,491,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. "
11/01/15 00:00,Morro Bay  City of,Nov-15,Central Coast,"10,234",Yes,2,3,3,0,0,
11/01/15 00:00,Yorba Linda Water District,Nov-15,South Coast,"73,990",Yes,1,16,81,62,9,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average “monthly” usage of each customer class in 2013, minus the SWRCB’s mandatory 36% reduction.  "
11/01/15 00:00,Long Beach  City of,Nov-15,South Coast,"474,587",Yes,2,866,627,0,0,
11/01/15 00:00,"Los Banos, City of",Nov-15,San Joaquin River,"37,168",Yes,2,0,0,0,0,
11/01/15 00:00,Turlock  City of,Nov-15,San Joaquin River,"71,181",Yes,1,219,219,218,9,
11/01/15 00:00,Jurupa Community Service District,Nov-15,South Coast,"118,731",Yes,3,115,219,104,0,
11/01/15 00:00,Coastside County Water District,Nov-15,San Francisco Bay,"16,668",Yes,2,0,10,0,0,
11/01/15 00:00,Citrus Heights Water District,Nov-15,Sacramento River,"67,333",Yes,2,175,131,84,0,
11/01/15 00:00,Burlingame  City of,Nov-15,San Francisco Bay,"30,282",Yes,2,7,7,7,0,
11/01/15 00:00,Orange Vale Water Company,Nov-15,Sacramento River,"14,283",Yes,2,8,8,8,0,
11/01/15 00:00,Dublin San Ramon Services District,Nov-15,San Francisco Bay,"80,175",Yes,2,7,5,6,6,
11/01/15 00:00,Los Angeles Department of Water and Power,Nov-15,South Coast,"4,023,175",Yes,3,786,867,557,3,"To date, our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. "
11/01/15 00:00,Camrosa Water District,Nov-15,South Coast,"35,783",Yes,2,2,2,0,0,
11/01/15 00:00,El Dorado Irrigation District,Nov-15,Sacramento River,"118,500",Yes,1,6,7,1,0,
11/01/15 00:00,El Centro  City of,Nov-15,Colorado River,"44,311",Yes,2,25,134,114,20,
11/01/15 00:00,Milpitas  City of,Nov-15,San Francisco Bay,"70,817",Yes,2,17,17,0,0,
11/01/15 00:00,Santa Rosa  City of,Nov-15,North Coast,"170,974",Yes,7,21,8,8,0,
11/01/15 00:00,Westminster  City of,Nov-15,South Coast,"93,322",Yes,1,41,395,395,2,"The Westminster Water Division issued warnings on 395 violations, followed up with 40 last chance before a fine letters in an effort to make multiple points of contact to stop water wasting and sent fines to 2 residents, via written notification, as well as in person follow-ups at sites to help address water wasting issues."
11/01/15 00:00,Mid-Peninsula Water District,Nov-15,San Francisco Bay,"26,030",Yes,2,1,1,0,0,
11/01/15 00:00,Olivenhain Municipal Water District,Nov-15,South Coast,"84,351",Yes,2,70,94,47,0,"Meter readers investigate accounts with increase in usage of 200%, or any pattern of usage that is out of the ordinary.  Customers are called in an effort to prevent water waste from potential leaks.   Budget increased to hire contractor dedicated to enforcement and water conservation monitoring, who patrols service area.  Contractor assisted by drought intern from wholesaler.   Enforcement of mandatory water use restrictions is a responsibility of each employee and mandatory training has been implemented.  Waste complaints via hotline, wholesaler mobile application, state reporting tool, and online form increase monthly.  Warning letters offer free water use evaluation, restrictions and drought information, and tips to reduce usage by 32%.  OMWD allows a 21-day grace period to allow customer to remedy violation.  Customer is not issued another violation if a report is received for the same violation during this time.  If a report of a repeat violation is received during the 21-day grace period, the customer is called rather than issued another written violation. "
11/01/15 00:00,Daly City  City of,Nov-15,San Francisco Bay,"105,810",Yes,2,2,2,2,0,
11/01/15 00:00,Delano  City of,Nov-15,Tulare Lake,"54,318",Yes,2,125,125,107,18,The city has hired an additional employee to patrol and issue warnings or citations as needed. The city is still concentrating on education as the primary enforcement. Meters are being installed on all non- metered customers that do not comply and all un-metered accounts in high use areas. 
11/01/15 00:00,Anaheim  City of,Nov-15,South Coast,"360,142",Yes,2,316,316,303,0,"The complaints of 316 included 132 Anaheim Anytime +156 Water Savers Log + 2 Customer Log + 26 CSRs. The follow-ups of 316 included 132 Anaheim Anytime +156 Water Savers Follow-ups + 2 Customer Log + 26 CSRs. Warnings of 303 included 132 door hangers, 156 Water Savers Log, and 15 Code Enforcement notices."
11/01/15 00:00,Elsinore Valley Municipal Water District,Nov-15,South Coast,"149,774",Yes,2,17,13,9,0,
11/01/15 00:00,Coachella Valley Water District,Nov-15,Colorado River,"318,217",Yes,5,110,97,114,4,
11/01/15 00:00,Lake Hemet Municipal Water District,Nov-15,South Coast,"52,914",Yes,3,14,72,56,0,
11/01/15 00:00,Carmichael Water District,Nov-15,Sacramento River,"38,354",Yes,1,88,88,88,5,
11/01/15 00:00,Monte Vista Water District,Nov-15,South Coast,"56,039",Yes,3,15,26,16,0,
11/01/15 00:00,Pleasanton  City of,Nov-15,San Francisco Bay,"73,067",Yes,1,10,11,0,0,
11/01/15 00:00,Santa Monica  City of,Nov-15,South Coast,"93,283",Yes,7,36,36,35,0,
11/01/15 00:00,Riverside  City of,Nov-15,South Coast,"298,590",Yes,2,58,58,7,0,
11/01/15 00:00,Contra Costa Water District,Nov-15,San Francisco Bay,"199,680",Yes,2,18,18,18,0,"CCWD’s 2015 Drought Management Program includes  a temporary pricing adjustment on the unit cost of water and a fine for violations of the water use prohibitions. CCWD is performing ongoing outreach to its customers, including communication on prohibited uses such as outdoor watering more than 2 times per week and washing down pavement. CCWD has also performed outreach to restaurants and hotels to address new prohibited water uses (and corresponding enforcement)."
11/01/15 00:00,"Imperial, City of",Nov-15,Colorado River,"18,022",Yes,2,159,159,128,31,"The City has allocated an additional staff member to assist Code Enforcement with warning actions beginning August 2015. Also, beginning October 2015 the City began promoting a Water Conservation Booth at the City sponsored Farmer’s Market.  Low flow shower heads, toilet flappers, toilet tank banks, shower timers, water nozzles, leak detection tablets, conservation information pamphlets, and other items are given away. "
11/01/15 00:00,California Water Service Company Antelope Valley,Nov-15,South Lahontan,"3,422",Yes,3,0,0,0,0,
11/01/15 00:00,Irvine Ranch Water District,Nov-15,South Coast,"390,318",Yes,,13,7,2,0,
11/01/15 00:00,Watsonville  City of,Nov-15,Central Coast,"65,739",Yes,2,0,0,0,0,"City staff will follow up once a problem of water waste has been reported. We offer information about how to reduce water waste and schedule a free, one-time Water Conservation Consultation to help fix the problem. If water waste continues beyond the educational warning and Water Conservation Consultation, the City will begin fines to address further ongoing water waste violations."
11/01/15 00:00,San Jose  City of,Nov-15,San Francisco Bay,"117,576",Yes,2,27,26,0,0,"San Jose City Council has approved an amendment of the Administrative Citation Schedule of Fines, to increase the fine amount for violations of water waste restrictions ($250 for first violation; $500 for subsequent violations). Muni Water has also continued all enforcement efforts described in previous months. Enforcement data is estimated and based on data from reports received from the State Water Waste reports and the Access Valley Water database managed by Santa Clara Valley Water District, which receives, validates and dispatches the water waste service requests from the public in Santa Clara County."
11/01/15 00:00,Dinuba  City of,Nov-15,Tulare Lake,"23,666",Yes,2,11,11,11,0,
11/01/15 00:00,Casitas Municipal Water District,Nov-15,South Coast,"9,603",Yes,2,2,2,1,0,
11/01/15 00:00,Sacramento Suburban Water District,Nov-15,Sacramento River,"174,304",Yes,2,46,98,47,0,
