Timestamp,Supplier_Name,Reporting_Month,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
10/01/15 00:00,East Bay Municipal Utilities District,15-Oct,San Francisco Bay,"1,390,000",Yes,2,673,361, 123 ," 3,217 ","EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. The penalties are from excessive use penalties that were issued in October. September’s numbers of penalties are 1516. This number wasn’t included in the September report as there was a lag from when the actual penalty went into effect and when the numbers were available to be published."
10/01/15 00:00,Morro Bay  City of,15-Oct,Central Coast,"10,234",Yes,2,6,6, 0  , 0  ,
10/01/15 00:00,Yorba Linda Water District,15-Oct,South Coast,"72,500",Yes,2,159,159, 159 , 13 ,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average “monthly” usage of each customer class in 2013, minus the SWRCB’s mandatory 36% reduction.  "
10/01/15 00:00,Long Beach  City of,15-Oct,South Coast,"474,406",Yes,2,1408,941, 6 , 2 ,
10/01/15 00:00,"Los Banos, City of",15-Oct,San Joaquin River,"37,168",Yes,2,212,212, 212 , 212 ,
10/01/15 00:00,Turlock  City of,15-Oct,San Joaquin River,"71,181",Yes,2,474,474, 463 , 147 ,
10/01/15 00:00,Jurupa Community Service District,15-Oct,South Coast,"118,731",Yes,3,227,257, 95 , 0  ,
10/01/15 00:00,Coastside County Water District,15-Oct,San Francisco Bay,"16,668",Yes,2,5,43, 0  , 0  ,The 43 contacts include high bill notifications and possible leak notifications.
10/01/15 00:00,Citrus Heights Water District,15-Oct,Sacramento River,"67,333",Yes,2,209,163, 163 , 0  ,CHWD has a disconnect/reconnect fee assed if there is non compliance to the Stage 4 water regulations
10/01/15 00:00,Burlingame  City of,15-Oct,San Francisco Bay,"30,282",Yes,2,6,6, 5 , 0  ,
10/01/15 00:00,Orange Vale Water Company,15-Oct,Sacramento River,"14,283",Yes,2,71,71, 71 , 0  ,
10/01/15 00:00,Dublin San Ramon Services District,15-Oct,San Francisco Bay,"79,951",Yes,2,6,6, 20 , 11 ,
10/01/15 00:00,Los Angeles Department of Water and Power,15-Oct,South Coast,"4,019,619",Yes,3,1431,1395, 985 , 2 ,"To date, our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. "
10/01/15 00:00,Camrosa Water District,15-Oct,South Coast,"35,783",Yes,2,0,0, 0  , 0  ,
10/01/15 00:00,El Dorado Irrigation District,15-Oct,Sacramento River,"118,500",Yes,2,18,209, 191 , 0  ,
10/01/15 00:00,El Centro  City of,15-Oct,Colorado River,"44,311",Yes,2,20,114, 94 , 3 ,
10/01/15 00:00,Milpitas  City of,15-Oct,San Francisco Bay,"70,817",Yes,2,20,20, 0  , 0  ,
10/01/15 00:00,Santa Rosa  City of,15-Oct,North Coast,"170,974",Yes,7,24,16, 16 , 0  ,
10/01/15 00:00,Westminster  City of,15-Oct,South Coast,"93,322",Yes,3,35,327, 327 , 1 ,"The Westminster Water Division issued warnings on 298 violations as well as followed up with 28 last chance before a fine letters in an effort to make multiple points of contact to stop water wasting. Fines were sent to 1 resident, via written notification, as well as in person follow-ups at sites to help address water wasting issues."
10/01/15 00:00,Mid-Peninsula Water District,15-Oct,San Francisco Bay,"26,730",Yes,2,4,4, 0  , 0  ,
10/01/15 00:00,Olivenhain Municipal Water District,15-Oct,South Coast,"84,351",Yes,2,440,423, 375 , 29 ,"Meter readers investigate accounts with increase in usage of 200%, or any pattern of usage that is out of the ordinary.  Customers are called in an effort to prevent water waste from potential leaks.   Budget increased to hire contractor dedicated to enforcement and water conservation monitoring, who patrols service area.  Contractor assisted by drought intern from wholesaler.   Enforcement of mandatory water use restrictions is a responsibility of each employee and mandatory training has been implemented.  Waste complaints via hotline, wholesaler mobile application, state reporting tool, and online form increase monthly.  Warning letters offer free water use evaluation, restrictions and drought information, and tips to reduce usage by 32%.  OMWD allows a 21-day grace period to allow customer to remedy violation.  Customer is not issued another violation if a report is received for the same violation during this time.  If a report of a repeat violation is received during the 21-day grace period, the customer is called rather than issued another written violation. "
10/01/15 00:00,Daly City  City of,15-Oct,San Francisco Bay,"105,810",Yes,2,6,6, 6 , 0  ,A 2 million gallon spill (hydrant and main breaks) at a private shopping center has inflated the gpcpd.
10/01/15 00:00,Delano  City of,15-Oct,Tulare Lake,"54,318",,2,84,84, 74 , 11 ,The city has hired or assigned an additional employee to patrol and issue warnings and citations if required. The city is concentrating on education and notification as the primary enforcement. Meters are being installed on all non-metered customers that due not comply with the requirements. Additional meters are being installed in areas of projected high usage.
10/01/15 00:00,Anaheim  City of,15-Oct,South Coast,"360,142",Yes,2,417,417, 412 , 1 ,"The complaints of 417 included 68 Anaheim Anytime +329 Water Savers Log + 4 Customer Log + 1 OMS + 15 CSRs. The follow-ups of 417 included 68 Anaheim Anytime +329 Water Savers Follow-ups + 4 Customer Log + 1 OMS+ 15 CSRs. Warnings of 412 included 68 door hangers, 329 Water Savers Log, and 15 Code Enforcement notices."
10/01/15 00:00,Elsinore Valley Municipal Water District,15-Oct,South Coast,"133,360",Yes,2,43,35, 17 , 0  ,
10/01/15 00:00,Coachella Valley Water District,15-Oct,Colorado River,"318,217",Yes, 7 , 130 ,102,121,2,
10/01/15 00:00,Lake Hemet Municipal Water District,15-Oct,South Coast,"52,914",Yes,3,12,72, 66 , 0  ,
10/01/15 00:00,Carmichael Water District,15-Oct,Sacramento River,"38,354",Yes,2,169,169, 169 , 1 ,
10/01/15 00:00,Monte Vista Water District,15-Oct,South Coast,"56,039",Yes,3,24,44, 30 , 0  ,
10/01/15 00:00,Pleasanton  City of,15-Oct,San Francisco Bay,"73,067",Yes,1,30,35, 1 , 580 ,
10/01/15 00:00,Santa Monica  City of,15-Oct,South Coast,"93,283",Yes,7,66,66, 65 , 5 ,
10/01/15 00:00,Riverside  City of,15-Oct,South Coast,"299,786",Yes,3,87,87, 32 , 0  ,
10/01/15 00:00,Contra Costa Water District,15-Oct,San Francisco Bay,"199,680",Yes,2,60,60, 60 , 0  ,"CCWD’s 2015 Drought Management Program includes  a temporary pricing adjustment on the unit cost of water and a fine for violations of the water use prohibitions. CCWD is performing ongoing outreach to its customers, including communication on prohibited uses such as outdoor watering more than 2 times per week and washing down pavement. CCWD has also performed outreach to restaurants and hotels to address new prohibited water uses (and corresponding enforcement)."
10/01/15 00:00,"Imperial, City of",15-Oct,Colorado River,"18,022",Yes,2,281,37, 244 , 37 ,"The City has allocated an additional staff member to assist Code Enforcement with warning actions beginning August 2015.  Also, beginning October 2015 the City had a Water Conservation Booth at the City sponsored Farmer's Market to promote water conservation.  Low flow shower heads, toilet flappers, toilet tank banks, shower timers, water nozzles, leak detection tables, and other items were given away."
10/01/15 00:00,California Water Service Company Antelope Valley,15-Oct,South Lahontan,"3,387",Yes,3,0,0, 0  , 0  ,
10/01/15 00:00,Irvine Ranch Water District,15-Oct,South Coast,"389,177",Yes,,24,11, 5 , 0  ,
10/01/15 00:00,Watsonville  City of,15-Oct,Central Coast,"65,739",Yes,2,2,5, 7 , 7 ,"City staff will follow up once a problem of water waste has been reported. We offer information about how to reduce water waste and schedule a free, one-time Water Conservation Consultation to help fix the problem. If water waste continues beyond the educational warning and Water Conservation Consultation, the City will begin fines to address further ongoing water waste violations."
10/01/15 00:00,San Jose  City of,15-Oct,San Francisco Bay,"117,576",Yes,2,39,34, 1 , 0  ,"San Jose City Council has approved an amendment of the Administrative Citation Schedule of Fines, to increase the fine amount for violations of water waste restrictions ($250 for first violation; $500 for subsequent violations). Muni Water has also continued all enforcement efforts described in previous months. Enforcement data is estimated and based on data from reports received from the State Water Waste reports and the Access Valley Water database managed by Santa Clara Valley Water District, which receives, validates and dispatches the water waste service requests from the public in Santa Clara County."
10/01/15 00:00,Casitas Municipal Water District,15-Oct,South Coast,"9,603",Yes,2,9,9, 1 , 0  ,
10/01/15 00:00,Sacramento Suburban Water District,15-Oct,Sacramento River,"174,910",Yes,2,119,315, 251 , 0  ,
10/01/15 00:00,San Jose Water Company,15-Oct,San Francisco Bay,"990,000",Yes,2,202,207, 207 , 0  ,
10/01/15 00:00,Rowland Water District,15-Oct,South Coast,"62,106",Yes,2,9,9, 9 , 8 ,
10/01/15 00:00,Folsom  City of,15-Oct,Sacramento River,"63,376",Yes,2,145,120, 92 , 0  ,Some water waste complaints reference the same address and/or location. Formal warning action also include mailing a postcard with current water restrictions to water users in violation of current requirements.
10/01/15 00:00,Chino  City of,15-Oct,South Coast,"78,073",Yes,4,11,11, 11 , 0  ,
10/01/15 00:00,South Tahoe Public Utilities District,15-Oct,North Lahontan,"33,124",Yes,3,4,3, 1 , 0  ,
10/01/15 00:00,Hi-Desert Water District,15-Oct,Colorado River,"23,760",Yes,3,2,2, 1 , 0  ,"Water Waste Complaints are directly related to non District personal complaints. One First Violation Warning was issued, resulting from a Water Waste Complaint."
10/01/15 00:00,"Soledad, City of",15-Oct,Central Coast,"16,729",Yes,2,2,2, 2 , 0  ,
10/01/15 00:00,North Marin Water District,15-Oct,San Francisco Bay,"61,299",Yes,3,11,11, 11 , 0  ,
10/01/15 00:00,Marin Municipal Water District,15-Oct,San Francisco Bay,"188,200",Yes,3,47,26, 0  , 0  ,
10/01/15 00:00,Shafter  City of,15-Oct,Tulare Lake,"19,100",Yes,3,32,32, 10 , 1 ,
10/01/15 00:00,"Windsor, Town of",15-Oct,North Coast,"27,486",Yes,3,10,17, 15 , 0  ,"The Town received ten notifications from customers about leaks, water waste, or violations of conservation rules, all of which receive follow up in one or more of the following ways: field visit; door tag; phone call; or written letter. The Town had seventeen contacts/follow-ups as a part of regular monthly notifications to customers with higher than average water use, or by field staff in the course of duty to respond to observed leaks, water waste, or rule violations."
10/01/15 00:00,Indian Wells Valley Water District,15-Oct,South Lahontan,"31,120",Yes,3,20,20, 4 , 2 ,"The Board of Directors approved Ordinance 97, Emergency Water Conservation Mandatory Restrictions, at the April 13th Board meeting. The Ordinance includes an even-odd watering schedule whereby houses with an address ending in an even number may irrigate landscaping on Tuesdays, Thursdays, and Saturdays and those with an address ending in an odd number may irrigate landscaping on Wednesdays, Fridays, and Sundays. No landscape watering on Mondays. The time of day restrictions in Ordinance 93 remained in effect during the month . Ordinance 93 restricts landscape watering to between the hours of 8:00 PM and 8:00 AM from May 1st to October 31st and requires leaks to be repaired in a timely manner. There is a four-step penalty process for repeated violations. The initial violation is a warning along with educational materials provided. A second violation can result in a fine of up to $50 added to the bill for the account. A third violation can result in a fine of up to $200 added to the bill and issuing a warning that service may be terminated within 30 days if the issue is not addressed. A fourth violation can result in a 48 hour notice of termination of service. "
10/01/15 00:00,San Francisco Public Utilities Commission,15-Oct,San Francisco Bay,"846,601",Yes,,120,105, 78 , 0  ,Please see actions described in the August 2014 report. The SFPUC did not establish any new enforcement policies or procedures in October 2015.
