Timestamp,Supplier_Name,Reporting_Month,Hydrologic_Region,Population_Served,Mandatory_Restrictions,Water_Days_Allowed/Week,Complaints_Received,Follow_up_Actions,Warnings_Issued,Penalties_Assessed,Enforcement_Comments
09/01/15 00:00,East Bay Municipal Utilities District,15-Sep,San Francisco Bay,"1,390,000",Yes,2,535,352, 40 , 0  ,"EBMUD’s Board adopted a revised Section 28 of the District’s Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the State’s prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the District’s authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances… 1. Excessive Water Use Penalty Ordinance – purpose is to prohibit excessive water use when EBMUD’s Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance – purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. "
09/01/15 00:00,Morro Bay  City of,15-Sep,Central Coast,"10,234",Yes,2,4,4, 4 , 0  ,
09/01/15 00:00,Yorba Linda Water District,15-Sep,South Coast,"72,500",Yes,2,119,119, 119 , 2 ,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average “monthly” usage of each customer class in 2013, minus the SWRCB’s mandatory 36% reduction.  "
09/01/15 00:00,Long Beach  City of,15-Sep,South Coast,"474,225",Yes,2,1678,1232, 29 , 2 ,
09/01/15 00:00,"Los Banos, City of",15-Sep,San Joaquin River,"37,168",Yes,2,218,218, 218 , 218 ,
09/01/15 00:00,Turlock  City of,15-Sep,San Joaquin River,"71,181",Yes,2,677,677, 659 , 88 ,
09/01/15 00:00,Jurupa Community Service District,15-Sep,South Coast,"118,731",Yes,3,211,368, 201 , 0  ,
09/01/15 00:00,Coastside County Water District,15-Sep,San Francisco Bay,"16,668",Yes,2,25,25, 0  , 0  ,
09/01/15 00:00,Citrus Heights Water District,15-Sep,Sacramento River,"67,333",Yes,2,168,157, 111 , 0  ,
09/01/15 00:00,Burlingame  City of,15-Sep,San Francisco Bay,"30,282",Yes,2,15,15, 13 , 0  ,
09/01/15 00:00,Orange Vale Water Company,15-Sep,Sacramento River,"14,283",Yes,2,45,45, 45 , 0  ,
09/01/15 00:00,Dublin San Ramon Services District,15-Sep,San Francisco Bay,"79,593",Yes,2,8,8, 19 , 10 ,
09/01/15 00:00,Los Angeles Department of Water and Power,15-Sep,South Coast,"4,016,064",Yes,3,1775,1617," 1,320 ", 10 ,"To date, our Water Conservation Response Unit (WCRU), a.k.a. “Water Cops”, has issued over 10,000 letters and citations since January 2014. WCRU actively patrol Los Angeles communities and enforce the City’s Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. The WCRU also catches additional violations that were not reported while patrolling neighborhoods. The first official penalty is a citation (warning) letter. Repeat violators are issued monetary fines ranging from $100-$600. Because LADWP has had an emergency water conservation ordinance with outdoor watering restrictions in effect since 2009, LADWP’s customers have been well educated for some time now on ordinance requirements. Therefore, most customers who receive a contact from the WCRU and/or a warning letter respond very well and change their habits immediately. This explains why LADWP has not issued many fines in recent years. "
09/01/15 00:00,Camrosa Water District,15-Sep,South Coast,"35,783",Yes,2,2,2, 2 , 0  ,
09/01/15 00:00,El Dorado Irrigation District,15-Sep,Sacramento River,"118,500",Yes,3,28,32, 4 , 0  ,
09/01/15 00:00,El Centro  City of,15-Sep,Colorado River,"44,311",Yes,3,45,170, 170 , 1 ,
09/01/15 00:00,Milpitas  City of,15-Sep,San Francisco Bay,"70,817",Yes,2,19,19, 0  , 0  ,
09/01/15 00:00,Santa Rosa  City of,15-Sep,North Coast,"170,974",Yes,7,85,35, 35 , 0  ,
09/01/15 00:00,Westminster  City of,15-Sep,South Coast,"93,322",Yes,3,25,298, 298 , 1 ,"The Westminster Water Division issued warnings on 265 violations as well as followed up with 32 last chance before a fine letters in an effort to make multiple points of contact to stop water wasting. Fines were sent to 1 resident, via written notification, as well as in person follow-ups at sites to help address water wasting issues."
09/01/15 00:00,Mid-Peninsula Water District,15-Sep,San Francisco Bay,"26,730",Yes,2,5,5, 0  , 0  ,
09/01/15 00:00,Olivenhain Municipal Water District,15-Sep,South Coast,"84,351",Yes,2,552,602, 462 , 23 ,"Meter readers investigate accounts with increase in usage of 200%, or any pattern of usage that is out of the ordinary.  Customers are called in an effort to prevent water waste from potential leaks.   Budget increased to hire contractor dedicated to enforcement and water conservation monitoring, who patrols service area.  Contractor assisted by drought intern from wholesaler.   Enforcement of mandatory water use restrictions is a responsibility of each employee and mandatory training has been implemented.  Waste complaints via hotline, wholesaler mobile application, state reporting tool, and online form increase monthly.  Warning letters offer free water use evaluation, restrictions and drought information, and tips to reduce usage by 32%.  OMWD allows a 21-day grace period to allow customer to remedy violation.  Customer is not issued another violation if a report is received for the same violation during this time.  If a report of a repeat violation is received during the 21-day grace period, the customer is called rather than issued another written violation. "
09/01/15 00:00,Daly City  City of,15-Sep,San Francisco Bay,"105,810",Yes,2,5,5, 5 , 0  ,Note: Use higher this month due to a private shopping center's leaks during construction. This involved two hydrants and several main failures.
09/01/15 00:00,Delano  City of,15-Sep,Tulare Lake,"54,318",Yes,2,108,108, 104 , 4 ,The city has hired or assigned an additional employee to patrol and issue official warnings and citations if required. The city is concentrating on education and notification as the primary enforcement. Meters are being installed on all non-metered customers that do not comply with the requirements. Additional meters are being installed in areas of projected high usage. 
09/01/15 00:00,Anaheim  City of,15-Sep,South Coast,"360,142",Yes,2,472,472, 450 , 0  ,"The complaints of 472 included 96 Anaheim Anytime +344 Water Savers Log + 2 Customer Log + 1 OMS + 29 CSRs. The follow-ups of 472 included 96 Anaheim Anytime +344 Water Savers Follow-ups + 2 Customer Log + 1 OMS+ 29 CSRs. Warnings of 450 included 96 door hangers, 344 Water Savers Lo, and 10 Code Enforcement notices."
09/01/15 00:00,Elsinore Valley Municipal Water District,15-Sep,South Coast,"149,507",Yes,2,62,50, 3 , 0  ,
09/01/15 00:00,Coachella Valley Water District,15-Sep,Colorado River,"318,217",Yes, 7 , 132 ,104,116,0,
09/01/15 00:00,Lake Hemet Municipal Water District,15-Sep,South Coast,"52,914",Yes,3,13,54, 31 , 0  ,
09/01/15 00:00,Carmichael Water District,15-Sep,Sacramento River,"38,354",Yes,2,265,265, 265 , 3 ,
09/01/15 00:00,Monte Vista Water District,15-Sep,South Coast,"56,039",Yes,3,50,83, 59 , 0  ,
09/01/15 00:00,Pleasanton  City of,15-Sep,San Francisco Bay,"73,067",Yes,2,68,73, 0  , 192 ,
09/01/15 00:00,Santa Monica  City of,15-Sep,South Coast,"93,283",Yes,7,60,60, 66 , 0  ,
09/01/15 00:00,Riverside  City of,15-Sep,South Coast,"299,626",Yes,3,97,97, 21 , 1 ,
09/01/15 00:00,Contra Costa Water District,15-Sep,San Francisco Bay,"199,680",Yes,2,68,68, 68 , 0  ,"CCWD’s 2015 Drought Management Program includes  a temporary pricing adjustment on the unit cost of water and a fine for violations of the water use prohibitions. CCWD is performing ongoing outreach to its customers, including communication on prohibited uses such as outdoor watering more than 2 times per week and washing down pavement. CCWD has also performed outreach to restaurants and hotels to address new prohibited water uses (and corresponding enforcement)."
09/01/15 00:00,"Imperial, City of",15-Sep,Colorado River,"18,022",Yes,2,220,23, 197 , 23 ,The City has allocated an additional staff member to assist Code Enforcement with warning actions beginning August 2015.
09/01/15 00:00,California Water Service Company Antelope Valley,15-Sep,South Lahontan,"3,391",Yes,3,0,0, 0  , 0  ,
09/01/15 00:00,Irvine Ranch Water District,15-Sep,South Coast,"387,773",Yes,,27,12, 5 , 0  ,
