Date,Value_inches,Anomaly
190012,20.05,-2.13
190112,22.44,0.26
190212,24.82,2.64
190312,20.73,-1.45
190412,28.23,6.05
190512,20.36,-1.82
190612,33.49,11.31
190712,28.82,6.64
190812,16.98,-5.2
190912,34.46,12.28
191012,14.79,-7.39
191112,24.42,2.24
191212,18.95,-3.23
191312,21.61,-0.57
191412,25.56,3.38
191512,26.96,4.78
191612,26.12,3.94
191712,14.22,-7.96
191812,20.33,-1.85
191912,18.64,-3.54
192012,22.94,0.76
192112,21.88,-0.3
192212,24.29,2.11
192312,13.61,-8.57
192412,15.26,-6.92
192512,19.78,-2.4
192612,24.16,1.98
192712,24.96,2.78
192812,17.23,-4.95
192912,13.34,-8.84
193012,16.69,-5.49
193112,22.97,0.79
193212,14.79,-7.39
193312,18.7,-3.48
193412,17.43,-4.75
193512,21.16,-1.02
193612,23.95,1.77
193712,27.8,5.62
193812,28.67,6.49
193912,15.33,-6.85
194012,32.67,10.49
194112,34.86,12.68
194212,22.47,0.29
194312,22.78,0.6
194412,22.3,0.12
194512,26.38,4.2
194612,16.52,-5.66
194712,13.17,-9.01
194812,20.22,-1.96
194912,15.22,-6.96
195012,25.94,3.76
195112,23.59,1.41
195212,27.97,5.79
195312,17.19,-4.99
195412,23,0.82
195512,23.71,1.53
195612,17.85,-4.33
195712,24.55,2.37
195812,27.76,5.58
195912,15.21,-6.97
196012,21.77,-0.41
196112,16.53,-5.65
196212,22.1,-0.08
196312,24.74,2.56
196412,22.27,0.09
196512,21.98,-0.2
196612,18.72,-3.46
196712,23.75,1.57
196812,20.37,-1.81
196912,30.6,8.42
197012,27.81,5.63
197112,18.24,-3.94
197212,17.21,-4.97
197312,28.93,6.75
197412,21.35,-0.83
197512,20.94,-1.24
197612,11.75,-10.43
197712,17.53,-4.65
197812,28.86,6.68
197912,24.63,2.45
198012,24.12,1.94
198112,26.24,4.06
198212,31.99,9.81
198312,42.46,20.28
198412,18.32,-3.86
198512,14.7,-7.48
198612,24.25,2.07
198712,19.71,-2.47
198812,17.1,-5.08
198912,14.95,-7.23
199012,13.99,-8.19
199112,19.79,-2.39
199212,23.23,1.05
199312,26.7,4.52
199412,17.54,-4.64
199512,35.2,13.02
199612,32.51,10.33
199712,20.6,-1.58
199812,36.41,14.23
199912,17.63,-4.55
200012,21.43,-0.75
200112,23.02,0.84
200212,18.68,-3.5
200312,21.63,-0.55
200412,21.76,-0.42
200512,30.1,7.92
200612,23.61,1.43
200712,13.84,-8.34
200812,17.85,-4.33
200912,17.05,-5.13
201012,31.18,9
201112,18.79,-3.39
201212,23.45,1.27
201312,7.93,-14.25
201412,19.9,-2.28
201701,0,0
