ID,Date,Reservoir_Storage(AF)
ANT,19850101,15170
ANT,19850102,m
ANT,19850103,m
ANT,19850104,m
ANT,19850105,m
ANT,19850106,m
ANT,19850107,15080
ANT,19850108,m
ANT,19850109,m
ANT,19850110,m
ANT,19850111,m
ANT,19850112,m
ANT,19850113,m
ANT,19850114,14985
ANT,19850115,m
ANT,19850116,m
ANT,19850117,m
ANT,19850118,m
ANT,19850119,m
ANT,19850120,m
ANT,19850121,14875
ANT,19850122,m
ANT,19850123,m
ANT,19850124,m
ANT,19850125,m
ANT,19850126,m
ANT,19850127,m
ANT,19850128,14805
ANT,19850129,m
ANT,19850130,m
ANT,19850131,m
ANT,19850201,m
ANT,19850202,m
ANT,19850203,m
ANT,19850204,14845
ANT,19850205,m
ANT,19850206,m
ANT,19850207,m
ANT,19850208,m
ANT,19850209,m
ANT,19850210,m
ANT,19850211,m
ANT,19850212,15090
ANT,19850213,m
ANT,19850214,m
ANT,19850215,m
ANT,19850216,m
ANT,19850217,m
ANT,19850218,15190
ANT,19850219,m
ANT,19850220,m
ANT,19850221,m
ANT,19850222,m
ANT,19850223,m
ANT,19850224,m
ANT,19850225,15390
ANT,19850226,m
ANT,19850227,m
ANT,19850228,15510
ANT,19850301,m
ANT,19850302,m
ANT,19850303,m
ANT,19850304,15665
ANT,19850305,m
ANT,19850306,m
ANT,19850307,m
ANT,19850308,m
ANT,19850309,m
ANT,19850310,m
ANT,19850311,15915
ANT,19850312,m
ANT,19850313,m
ANT,19850314,m
ANT,19850315,m
ANT,19850316,m
ANT,19850317,m
ANT,19850318,16335
ANT,19850319,m
ANT,19850320,m
ANT,19850321,m
ANT,19850322,m
ANT,19850323,m
ANT,19850324,m
ANT,19850325,17055
ANT,19850326,m
ANT,19850327,m
ANT,19850328,m
ANT,19850329,m
ANT,19850330,m
ANT,19850331,m
ANT,19850401,17740
ANT,19850402,m
ANT,19850403,m
ANT,19850404,m
ANT,19850405,m
ANT,19850406,m
ANT,19850407,m
ANT,19850408,20035
ANT,19850409,m
ANT,19850410,m
ANT,19850411,m
ANT,19850412,m
ANT,19850413,m
ANT,19850414,m
ANT,19850415,23020
ANT,19850416,m
ANT,19850417,m
ANT,19850418,m
ANT,19850419,m
ANT,19850420,m
ANT,19850421,m
ANT,19850422,23315
ANT,19850423,m
ANT,19850424,m
ANT,19850425,m
ANT,19850426,m
ANT,19850427,m
ANT,19850428,m
ANT,19850429,23325
ANT,19850430,m
ANT,19850501,m
ANT,19850502,m
ANT,19850503,m
ANT,19850504,m
ANT,19850505,m
ANT,19850506,23200
ANT,19850507,m
ANT,19850508,m
ANT,19850509,m
ANT,19850510,m
ANT,19850511,m
ANT,19850512,m
ANT,19850513,23005
ANT,19850514,m
ANT,19850515,m
ANT,19850516,m
ANT,19850517,m
ANT,19850518,m
ANT,19850519,m
ANT,19850520,22860
ANT,19850521,m
ANT,19850522,m
ANT,19850523,m
ANT,19850524,m
ANT,19850525,m
ANT,19850526,m
ANT,19850527,22760
ANT,19850528,m
ANT,19850529,m
ANT,19850530,m
ANT,19850531,m
ANT,19850601,m
ANT,19850602,m
ANT,19850603,22685
ANT,19850604,m
ANT,19850605,m
ANT,19850606,m
ANT,19850607,m
ANT,19850608,m
ANT,19850609,m
ANT,19850610,22525
ANT,19850611,m
ANT,19850612,m
ANT,19850613,m
ANT,19850614,m
ANT,19850615,m
ANT,19850616,m
ANT,19850617,22295
ANT,19850618,m
ANT,19850619,m
ANT,19850620,m
ANT,19850621,m
ANT,19850622,m
ANT,19850623,m
ANT,19850624,21930
ANT,19850625,m
ANT,19850626,m
ANT,19850627,m
ANT,19850628,m
ANT,19850629,m
ANT,19850630,m
ANT,19850701,21565
ANT,19850702,m
ANT,19850703,m
ANT,19850704,m
ANT,19850705,m
ANT,19850706,m
ANT,19850707,m
ANT,19850708,21215
ANT,19850709,m
ANT,19850710,m
ANT,19850711,m
ANT,19850712,m
ANT,19850713,m
ANT,19850714,m
ANT,19850715,20815
ANT,19850716,m
ANT,19850717,m
ANT,19850718,20770
ANT,19850719,m
ANT,19850720,m
ANT,19850721,m
ANT,19850722,20770
ANT,19850723,m
ANT,19850724,m
ANT,19850725,m
ANT,19850726,m
ANT,19850727,m
ANT,19850728,m
ANT,19850729,20305
ANT,19850730,m
ANT,19850731,m
ANT,19850801,m
ANT,19850802,m
ANT,19850803,m
ANT,19850804,m
ANT,19850805,19680
ANT,19850806,m
ANT,19850807,m
ANT,19850808,m
ANT,19850809,m
ANT,19850810,m
ANT,19850811,m
ANT,19850812,19250
ANT,19850813,m
ANT,19850814,m
ANT,19850815,m
ANT,19850816,m
ANT,19850817,m
ANT,19850818,m
ANT,19850819,18880
ANT,19850820,m
ANT,19850821,m
ANT,19850822,m
ANT,19850823,m
ANT,19850824,m
ANT,19850825,m
ANT,19850826,18485
ANT,19850827,m
ANT,19850828,m
ANT,19850829,m
ANT,19850830,m
ANT,19850831,m
ANT,19850901,m
ANT,19850902,18125
ANT,19850903,m
ANT,19850904,m
ANT,19850905,m
ANT,19850906,m
ANT,19850907,m
ANT,19850908,m
ANT,19850909,17815
ANT,19850910,m
ANT,19850911,m
ANT,19850912,m
ANT,19850913,m
ANT,19850914,m
ANT,19850915,m
ANT,19850916,17515
ANT,19850917,m
