ID,Date,Reservoir_Storage(AF)
BER,19850101,1376500
BER,19850102,m
BER,19850103,1376500
BER,19850104,m
BER,19850105,m
BER,19850106,1376300
BER,19850107,m
BER,19850108,m
BER,19850109,m
BER,19850110,m
BER,19850111,m
BER,19850112,m
BER,19850113,1379500
BER,19850114,m
BER,19850115,m
BER,19850116,m
BER,19850117,m
BER,19850118,m
BER,19850119,m
BER,19850120,m
BER,19850121,1380100
BER,19850122,m
BER,19850123,1379900
BER,19850124,m
BER,19850125,m
BER,19850126,m
BER,19850127,1379500
BER,19850128,m
BER,19850129,m
BER,19850130,1379500
BER,19850131,m
BER,19850201,m
BER,19850202,m
BER,19850203,1379200
BER,19850204,m
BER,19850205,m
BER,19850206,m
BER,19850207,m
BER,19850208,m
BER,19850209,m
BER,19850210,5700
BER,19850211,1419500
BER,19850212,m
BER,19850213,m
BER,19850214,m
BER,19850215,m
BER,19850216,m
BER,19850217,m
BER,19850218,1424100
BER,19850219,m
BER,19850220,m
BER,19850221,m
BER,19850222,m
BER,19850223,m
BER,19850224,m
BER,19850225,1424100
BER,19850226,m
BER,19850227,m
BER,19850228,1423700
BER,19850301,m
BER,19850302,m
BER,19850303,1423500
BER,19850304,m
BER,19850305,m
BER,19850306,m
BER,19850307,m
BER,19850308,m
BER,19850309,m
BER,19850310,1428700
BER,19850311,m
BER,19850312,m
BER,19850313,m
BER,19850314,m
BER,19850315,m
BER,19850316,m
BER,19850317,1432400
BER,19850318,m
BER,19850319,m
BER,19850320,m
BER,19850321,m
BER,19850322,m
BER,19850323,m
BER,19850324,m
BER,19850325,1433500
BER,19850326,m
BER,19850327,1442700
BER,19850328,m
BER,19850329,m
BER,19850330,m
BER,19850331,1447300
BER,19850401,m
BER,19850402,m
BER,19850403,m
BER,19850404,m
BER,19850405,m
BER,19850406,m
BER,19850407,1448600
BER,19850408,m
BER,19850409,m
BER,19850410,1448800
BER,19850411,m
BER,19850412,m
BER,19850413,m
BER,19850414,1447000
BER,19850415,m
BER,19850416,m
BER,19850417,1444400
BER,19850418,m
BER,19850419,m
BER,19850420,m
BER,19850421,1440100
BER,19850422,m
BER,19850423,m
BER,19850424,1437200
BER,19850425,m
BER,19850426,1434400
BER,19850427,m
BER,19850428,1432000
BER,19850429,m
BER,19850430,1429800
BER,19850501,1428700
BER,19850502,m
BER,19850503,m
BER,19850504,m
BER,19850505,m
BER,19850506,1422600
BER,19850507,m
BER,19850508,1419300
BER,19850509,m
BER,19850510,m
BER,19850511,m
BER,19850512,1413400
BER,19850513,m
BER,19850514,1410100
BER,19850515,1408700
BER,19850516,m
BER,19850517,m
BER,19850518,m
BER,19850519,m
BER,19850520,1402100
BER,19850521,m
BER,19850522,m
BER,19850523,m
BER,19850524,m
BER,19850525,m
BER,19850526,m
BER,19850527,1390300
BER,19850528,m
BER,19850529,m
BER,19850530,m
BER,19850531,m
BER,19850601,m
BER,19850602,m
BER,19850603,1381400
BER,19850604,m
BER,19850605,m
BER,19850606,m
BER,19850607,m
BER,19850608,m
BER,19850609,1371900
BER,19850610,m
BER,19850611,m
BER,19850612,1367400
BER,19850613,m
BER,19850614,m
BER,19850615,m
BER,19850616,m
BER,19850617,1360900
BER,19850618,m
BER,19850619,m
BER,19850620,m
BER,19850621,m
BER,19850622,m
BER,19850623,m
BER,19850624,1348000
BER,19850625,m
BER,19850626,1342700
BER,19850627,m
BER,19850628,m
BER,19850629,m
BER,19850630,m
BER,19850701,1334000
BER,19850702,m
BER,19850703,m
BER,19850704,m
BER,19850705,m
BER,19850706,m
BER,19850707,m
BER,19850708,1323600
BER,19850709,1319900
BER,19850710,m
BER,19850711,1318100
BER,19850712,m
BER,19850713,m
BER,19850714,1310800
BER,19850715,m
BER,19850716,m
BER,19850717,1305500
BER,19850718,-1700
BER,19850719,m
BER,19850720,m
BER,19850721,1298400
BER,19850722,m
BER,19850723,m
BER,19850724,m
BER,19850725,m
BER,19850726,m
BER,19850727,m
BER,19850728,m
BER,19850729,400
BER,19850730,m
BER,19850731,1280800
BER,19850801,m
BER,19850802,m
BER,19850803,m
BER,19850804,1275000
BER,19850805,m
BER,19850806,m
BER,19850807,1270300
BER,19850808,1268500
BER,19850809,m
BER,19850810,m
BER,19850811,m
BER,19850812,-1100
BER,19850813,m
BER,19850814,m
BER,19850815,m
BER,19850816,m
BER,19850817,m
BER,19850818,m
BER,19850819,1254200
BER,19850820,1254200
BER,19850821,m
BER,19850822,m
BER,19850823,m
BER,19850824,m
BER,19850825,m
BER,19850826,1245200
BER,19850827,m
BER,19850828,m
BER,19850829,m
BER,19850830,m
BER,19850831,m
BER,19850901,m
BER,19850902,400
BER,19850903,m
BER,19850904,1233700
BER,19850905,m
BER,19850906,m
BER,19850907,m
BER,19850908,1227300
BER,19850909,m
BER,19850910,m
BER,19850911,m
BER,19850912,m
BER,19850913,m
BER,19850914,m
BER,19850915,m
BER,19850916,1227300
BER,19850917,1221300
BER,19850918,1218900
BER,19850919,m
BER,19850920,m
BER,19850921,m
BER,19850922,1215100
BER,19850923,m
BER,19850924,1214200
BER,19850925,m
BER,19850926,m
BER,19850927,m
BER,19850928,m
BER,19850929,1208900
BER,19850930,m
BER,19851001,m
BER,19851002,m
BER,19851003,m
BER,19851004,m
BER,19851005,m
BER,19851006,1202400
BER,19851007,m
BER,19851008,m
BER,19851009,1199300
BER,19851010,m
BER,19851011,m
BER,19851012,m
BER,19851013,m
BER,19851014,1195100
BER,19851015,m
BER,19851016,1193500
BER,19851017,m
BER,19851018,m
BER,19851019,m
BER,19851020,1191000
BER,19851021,m
BER,19851022,m
BER,19851023,1190800
BER,19851024,m
BER,19851025,m
BER,19851026,m
BER,19851027,1189400
BER,19851028,m
BER,19851029,m
BER,19851030,1188400
BER,19851031,m
BER,19851101,m
BER,19851102,m
BER,19851103,1186700
BER,19851104,m
BER,19851105,m
BER,19851106,1185700
BER,19851107,m
BER,19851108,m
BER,19851109,m
BER,19851110,1185700
BER,19851111,m
BER,19851112,m
BER,19851113,1184500
BER,19851114,m
BER,19851115,m
BER,19851116,m
BER,19851117,1183300
BER,19851118,m
BER,19851119,m
BER,19851120,m
BER,19851121,1182500
BER,19851122,m
BER,19851123,m
BER,19851124,1183800
BER,19851125,m
BER,19851126,m
BER,19851127,m
BER,19851128,m
BER,19851129,m
BER,19851130,m
BER,19851201,1188800
BER,19851202,m
BER,19851203,m
BER,19851204,m
BER,19851205,m
BER,19851206,m
BER,19851207,m
BER,19851208,1197800
BER,19851209,m
BER,19851210,m
BER,19851211,m
BER,19851212,m
BER,19851213,m
BER,19851214,m
BER,19851215,1196300
BER,19851216,m
BER,19851217,m
BER,19851218,m
BER,19851219,1195700
BER,19851220,m
BER,19851221,m
BER,19851222,1195100
BER,19851223,m
BER,19851224,m
BER,19851225,m
BER,19851226,1194200
BER,19851227,m
BER,19851228,m
BER,19851229,1194700
BER,19851230,m
BER,19851231,m
BER,19860101,m
BER,19860102,m
BER,19860103,m
BER,19860104,m
BER,19860105,1199300
BER,19860106,m
BER,19860107,m
BER,19860108,m
BER,19860109,m
BER,19860110,m
BER,19860111,m
BER,19860112,1201000
BER,19860113,m
BER,19860114,m
BER,19860115,1201500
BER,19860116,m
BER,19860117,m
BER,19860118,m
BER,19860119,m
BER,19860120,m
BER,19860121,m
BER,19860122,m
BER,19860123,m
BER,19860124,m
BER,19860125,m
BER,19860126,m
BER,19860127,m
BER,19860128,m
BER,19860129,m
BER,19860130,m
BER,19860131,m
BER,19860201,m
BER,19860202,m
BER,19860203,m
BER,19860204,m
BER,19860205,m
BER,19860206,m
BER,19860207,m
BER,19860208,m
BER,19860209,m
BER,19860210,m
BER,19860211,m
BER,19860212,m
BER,19860213,m
BER,19860214,m
BER,19860215,m
BER,19860216,m
BER,19860217,m
BER,19860218,m
BER,19860219,m
BER,19860220,m
BER,19860221,m
BER,19860222,m
BER,19860223,m
BER,19860224,m
BER,19860225,m
BER,19860226,m
BER,19860227,m
BER,19860228,m
BER,19860301,m
BER,19860302,m
BER,19860303,m
BER,19860304,m
BER,19860305,m
BER,19860306,m
BER,19860307,m
BER,19860308,m
BER,19860309,m
BER,19860310,m
BER,19860311,m
BER,19860312,m
BER,19860313,m
BER,19860314,m
BER,19860315,m
BER,19860316,m
BER,19860317,m
BER,19860318,m
BER,19860319,m
BER,19860320,m
BER,19860321,m
BER,19860322,m
BER,19860323,m
BER,19860324,m
BER,19860325,m
BER,19860326,m
BER,19860327,m
BER,19860328,m
BER,19860329,m
BER,19860330,m
BER,19860331,m
BER,19860401,m
BER,19860402,m
BER,19860403,m
BER,19860404,m
BER,19860405,m
BER,19860406,m
BER,19860407,m
BER,19860408,m
BER,19860409,m
BER,19860410,m
BER,19860411,m
BER,19860412,m
BER,19860413,m
BER,19860414,m
BER,19860415,m
BER,19860416,m
BER,19860417,m
BER,19860418,m
BER,19860419,m
BER,19860420,m
BER,19860421,m
BER,19860422,m
BER,19860423,m
BER,19860424,m
BER,19860425,m
BER,19860426,m
BER,19860427,m
BER,19860428,m
BER,19860429,m
BER,19860430,m
BER,19860501,m
BER,19860502,m
BER,19860503,m
BER,19860504,m
BER,19860505,m
BER,19860506,m
BER,19860507,m
BER,19860508,m
BER,19860509,m
BER,19860510,m
BER,19860511,m
BER,19860512,m
BER,19860513,m
BER,19860514,m
BER,19860515,m
BER,19860516,m
BER,19860517,m
BER,19860518,m
BER,19860519,m
BER,19860520,m
BER,19860521,m
BER,19860522,m
BER,19860523,m
BER,19860524,m
BER,19860525,m
BER,19860526,m
BER,19860527,m
BER,19860528,m
BER,19860529,m
BER,19860530,m
BER,19860531,m
BER,19860601,m
BER,19860602,m
BER,19860603,m
BER,19860604,m
BER,19860605,m
BER,19860606,m
BER,19860607,m
BER,19860608,m
BER,19860609,m
BER,19860610,m
BER,19860611,m
BER,19860612,m
