ID,Date,Reservoir_Storage(AF)
BLB,19850101,44010
BLB,19850102,m
BLB,19850103,m
BLB,19850104,m
BLB,19850105,m
BLB,19850106,m
BLB,19850107,45000
BLB,19850108,m
BLB,19850109,m
BLB,19850110,m
BLB,19850111,m
BLB,19850112,m
BLB,19850113,m
BLB,19850114,45960
BLB,19850115,m
BLB,19850116,m
BLB,19850117,m
BLB,19850118,m
BLB,19850119,m
BLB,19850120,m
BLB,19850121,46730
BLB,19850122,m
BLB,19850123,m
BLB,19850124,m
BLB,19850125,m
BLB,19850126,m
BLB,19850127,m
BLB,19850128,47370
BLB,19850129,m
BLB,19850130,m
BLB,19850131,m
BLB,19850201,m
BLB,19850202,m
BLB,19850203,m
BLB,19850204,47740
BLB,19850205,m
BLB,19850206,m
BLB,19850207,m
BLB,19850208,m
BLB,19850209,m
BLB,19850210,m
BLB,19850211,m
BLB,19850212,54090
BLB,19850213,m
BLB,19850214,m
BLB,19850215,m
BLB,19850216,m
BLB,19850217,m
BLB,19850218,56540
BLB,19850219,m
BLB,19850220,m
BLB,19850221,m
BLB,19850222,m
BLB,19850223,m
BLB,19850224,m
BLB,19850225,57710
BLB,19850226,m
BLB,19850227,m
BLB,19850228,57420
BLB,19850301,m
BLB,19850302,m
BLB,19850303,56900
BLB,19850304,m
BLB,19850305,m
BLB,19850306,m
BLB,19850307,m
BLB,19850308,m
BLB,19850309,m
BLB,19850310,58880
BLB,19850311,m
BLB,19850312,m
BLB,19850313,m
BLB,19850314,m
BLB,19850315,m
BLB,19850316,m
BLB,19850317,60820
BLB,19850318,m
BLB,19850319,m
BLB,19850320,m
BLB,19850321,m
BLB,19850322,m
BLB,19850323,m
BLB,19850324,62170
BLB,19850325,m
BLB,19850326,m
BLB,19850327,m
BLB,19850328,m
BLB,19850329,m
BLB,19850330,m
BLB,19850331,65660
BLB,19850401,m
BLB,19850402,m
BLB,19850403,m
BLB,19850404,m
BLB,19850405,m
BLB,19850406,m
BLB,19850407,73400
BLB,19850408,m
BLB,19850409,m
BLB,19850410,m
BLB,19850411,m
BLB,19850412,m
BLB,19850413,m
BLB,19850414,75490
BLB,19850415,m
BLB,19850416,m
BLB,19850417,m
BLB,19850418,m
BLB,19850419,m
BLB,19850420,m
BLB,19850421,77810
BLB,19850422,m
BLB,19850423,m
BLB,19850424,m
BLB,19850425,m
BLB,19850426,m
BLB,19850427,m
BLB,19850428,75120
BLB,19850429,m
BLB,19850430,m
BLB,19850501,m
BLB,19850502,m
BLB,19850503,m
BLB,19850504,m
BLB,19850505,70870
BLB,19850506,m
BLB,19850507,m
BLB,19850508,m
BLB,19850509,m
BLB,19850510,m
BLB,19850511,m
BLB,19850512,69110
BLB,19850513,m
BLB,19850514,m
BLB,19850515,m
BLB,19850516,m
BLB,19850517,m
BLB,19850518,m
BLB,19850519,71810
BLB,19850520,m
BLB,19850521,m
BLB,19850522,m
BLB,19850523,m
BLB,19850524,m
BLB,19850525,m
BLB,19850526,73700
BLB,19850527,m
BLB,19850528,m
BLB,19850529,m
BLB,19850530,m
BLB,19850531,m
BLB,19850601,m
BLB,19850602,75580
BLB,19850603,m
BLB,19850604,m
BLB,19850605,m
BLB,19850606,m
BLB,19850607,m
BLB,19850608,m
BLB,19850609,71100
BLB,19850610,m
BLB,19850611,m
BLB,19850612,m
BLB,19850613,m
BLB,19850614,m
BLB,19850615,m
BLB,19850616,70070
BLB,19850617,m
BLB,19850618,m
BLB,19850619,m
BLB,19850620,m
BLB,19850621,m
BLB,19850622,m
BLB,19850623,65990
BLB,19850624,m
BLB,19850625,m
BLB,19850626,m
BLB,19850627,m
BLB,19850628,m
BLB,19850629,m
BLB,19850630,62420
BLB,19850701,m
BLB,19850702,m
BLB,19850703,m
BLB,19850704,m
BLB,19850705,m
BLB,19850706,m
BLB,19850707,60260
BLB,19850708,m
BLB,19850709,m
BLB,19850710,m
BLB,19850711,m
BLB,19850712,m
BLB,19850713,m
BLB,19850714,57320
BLB,19850715,m
BLB,19850716,m
BLB,19850717,-450
BLB,19850718,m
BLB,19850719,m
BLB,19850720,m
BLB,19850721,54490
BLB,19850722,m
BLB,19850723,m
BLB,19850724,m
BLB,19850725,m
BLB,19850726,m
BLB,19850727,m
BLB,19850728,51510
BLB,19850729,m
BLB,19850730,m
BLB,19850731,m
BLB,19850801,m
BLB,19850802,m
BLB,19850803,m
BLB,19850804,48970
BLB,19850805,m
BLB,19850806,m
BLB,19850807,m
BLB,19850808,m
BLB,19850809,m
BLB,19850810,m
BLB,19850811,46730
BLB,19850812,m
BLB,19850813,m
BLB,19850814,m
BLB,19850815,m
BLB,19850816,m
BLB,19850817,m
BLB,19850818,45870
BLB,19850819,m
BLB,19850820,m
BLB,19850821,m
BLB,19850822,m
BLB,19850823,m
BLB,19850824,m
BLB,19850825,44650
BLB,19850826,m
BLB,19850827,m
BLB,19850828,m
BLB,19850829,m
BLB,19850830,m
BLB,19850831,m
BLB,19850901,51150
BLB,19850902,m
BLB,19850903,m
BLB,19850904,m
BLB,19850905,m
BLB,19850906,m
BLB,19850907,m
BLB,19850908,50190
BLB,19850909,m
BLB,19850910,m
BLB,19850911,m
BLB,19850912,m
BLB,19850913,m
BLB,19850914,m
BLB,19850915,50190
BLB,19850916,m
BLB,19850917,m
BLB,19850918,m
BLB,19850919,m
BLB,19850920,m
BLB,19850921,m
BLB,19850922,46480
BLB,19850923,m
BLB,19850924,m
BLB,19850925,m
BLB,19850926,m
BLB,19850927,m
BLB,19850928,m
BLB,19850929,43750
BLB,19850930,m
BLB,19851001,m
BLB,19851002,m
BLB,19851003,m
BLB,19851004,m
BLB,19851005,m
