ID,Date,Reservoir_Storage(AF)
BOC,20140701,15400
BOC,20140702,15300
BOC,20140703,15100
BOC,20140704,15000
BOC,20140705,14800
BOC,20140706,14600
BOC,20140707,14300
BOC,20140708,14100
BOC,20140709,13800
BOC,20140710,13600
BOC,20140711,13300
BOC,20140712,13000
BOC,20140713,12700
BOC,20140714,12400
BOC,20140715,12000
BOC,20140716,11700
BOC,20140717,11300
BOC,20140718,10900
BOC,20140719,10600
BOC,20140720,10300
BOC,20140721,9970
BOC,20140722,9670
BOC,20140723,9340
BOC,20140724,8950
BOC,20140725,8540
BOC,20140726,8130
BOC,20140727,7730
BOC,20140728,7330
BOC,20140729,6980
BOC,20140730,7030
BOC,20140731,7130
BOC,20140801,7210
BOC,20140802,7280
BOC,20140803,7360
BOC,20140804,7440
BOC,20140805,7510
BOC,20140806,7530
BOC,20140807,7560
BOC,20140808,7580
BOC,20140809,7610
BOC,20140810,7630
BOC,20140811,7650
BOC,20140812,7680
BOC,20140813,7690
BOC,20140814,7690
BOC,20140815,7680
BOC,20140816,7680
BOC,20140817,7680
BOC,20140818,7680
BOC,20140819,7660
BOC,20140820,7630
BOC,20140821,7590
BOC,20140822,7550
BOC,20140823,7500
BOC,20140824,7460
BOC,20140825,7420
BOC,20140826,7350
BOC,20140827,7280
BOC,20140828,7210
BOC,20140829,7120
BOC,20140830,7040
BOC,20140831,6950
BOC,20140901,6880
BOC,20140902,6800
BOC,20140903,6710
BOC,20140904,6640
BOC,20140905,6620
BOC,20140906,6670
BOC,20140907,6710
BOC,20140908,6770
BOC,20140909,6820
BOC,20140910,6890
BOC,20140911,6970
BOC,20140912,7050
BOC,20140913,7130
BOC,20140914,7190
BOC,20140915,7270
BOC,20140916,7340
BOC,20140917,7410
BOC,20140918,7480
BOC,20140919,7550
BOC,20140920,7630
BOC,20140921,7690
BOC,20140922,7770
BOC,20140923,7830
BOC,20140924,7840
BOC,20140925,7850
BOC,20140926,7880
BOC,20140927,7900
BOC,20140928,7930
BOC,20140929,7950
BOC,20140930,8000
BOC,20141001,8050
BOC,20141002,8100
BOC,20141003,8160
BOC,20141004,8210
BOC,20141005,8270
BOC,20141006,8320
BOC,20141007,8370
BOC,20141008,8430
BOC,20141009,8480
BOC,20141010,8540
BOC,20141011,8590
BOC,20141012,8640
BOC,20141013,8700
BOC,20141014,8750
BOC,20141015,8800
BOC,20141016,8860
BOC,20141017,8920
BOC,20141018,8970
BOC,20141019,9030
BOC,20141020,9080
BOC,20141021,9160
BOC,20141022,9240
BOC,20141023,9310
BOC,20141024,9380
BOC,20141025,9450
BOC,20141026,9530
BOC,20141027,9600
BOC,20141028,9670
BOC,20141029,9750
BOC,20141030,9820
BOC,20141031,9880
BOC,20141101,9940
BOC,20141102,9990
BOC,20141103,10000
BOC,20141104,10100
BOC,20141105,10200
BOC,20141106,10200
BOC,20141107,10300
BOC,20141108,10300
BOC,20141109,10400
BOC,20141110,10500
BOC,20141111,10500
BOC,20141112,10600
BOC,20141113,10600
BOC,20141114,10700
BOC,20141115,10700
BOC,20141116,10800
BOC,20141117,10900
BOC,20141118,10900
BOC,20141119,10900
BOC,20141120,11000
BOC,20141121,11000
BOC,20141122,11100
BOC,20141123,11100
BOC,20141124,11100
BOC,20141125,11100
BOC,20141126,11000
BOC,20141127,10800
BOC,20141128,10700
BOC,20141129,10500
BOC,20141130,10400
BOC,20141201,10200
BOC,20141202,10100
BOC,20141203,10000
BOC,20141204,9930
BOC,20141205,9800
BOC,20141206,9720
BOC,20141207,9650
BOC,20141208,9510
BOC,20141209,9320
BOC,20141210,9080
BOC,20141211,8840
BOC,20141212,8690
BOC,20141213,8480
BOC,20141214,8230
BOC,20141215,7990
BOC,20141216,7710
BOC,20141217,7420
BOC,20141218,7280
BOC,20141219,7230
BOC,20141220,7170
BOC,20141221,7120
BOC,20141222,7050
BOC,20141223,7010
BOC,20141224,7000
BOC,20141225,6960
BOC,20141226,6930
BOC,20141227,6890
BOC,20141228,6860
BOC,20141229,6830
BOC,20141230,6790
BOC,20141231,6760
BOC,20150101,6720
BOC,20150102,6690
BOC,20150103,6660
BOC,20150104,6630
BOC,20150105,6580
BOC,20150106,6560
BOC,20150107,6580
BOC,20150108,6600
BOC,20150109,6610
BOC,20150110,6620
BOC,20150111,6630
BOC,20150112,6640
BOC,20150113,6650
BOC,20150114,6670
BOC,20150115,6710
BOC,20150116,6760
BOC,20150117,6810
BOC,20150118,6850
BOC,20150119,6890
BOC,20150120,6930
BOC,20150121,6970
BOC,20150122,7000
BOC,20150123,7010
BOC,20150124,7020
BOC,20150125,7020
BOC,20150126,7050
BOC,20150127,7090
BOC,20150128,7130
BOC,20150129,7160
BOC,20150130,7200
BOC,20150131,7230
BOC,20150201,7270
BOC,20150202,7300
BOC,20150203,7330
BOC,20150204,7360
BOC,20150205,7390
BOC,20150206,7500
BOC,20150207,7780
BOC,20150208,8220
BOC,20150209,8630
BOC,20150210,8970
BOC,20150211,9300
BOC,20150212,9600
BOC,20150213,9910
BOC,20150214,10200
BOC,20150215,10500
BOC,20150216,10800
BOC,20150217,11000
BOC,20150218,11200
BOC,20150219,11400
BOC,20150220,11600
BOC,20150221,11700
BOC,20150222,11800
BOC,20150223,11800
BOC,20150224,11800
BOC,20150225,11800
BOC,20150226,11800
BOC,20150227,11900
BOC,20150228,12000
BOC,20150301,12100
BOC,20150302,12200
BOC,20150303,12300
BOC,20150304,12500
BOC,20150305,12600
BOC,20150306,12700
BOC,20150307,12800
BOC,20150308,12900
BOC,20150309,13100
BOC,20150310,13200
BOC,20150311,13300
BOC,20150312,13400
BOC,20150313,13500
BOC,20150314,13600
BOC,20150315,13700
BOC,20150316,13900
BOC,20150317,14000
BOC,20150318,14100
BOC,20150319,14200
BOC,20150320,14300
BOC,20150321,14500
BOC,20150322,14600
BOC,20150323,14700
BOC,20150324,14800
BOC,20150325,14900
BOC,20150326,15000
