ID,Date,Reservoir_Storage(AF)
BRD,19890102,22928
BRD,19890103,m
BRD,19890104,22743
BRD,19890105,22717
BRD,19890106,22664
BRD,19890107,22598
BRD,19890108,22532
BRD,19890109,22470
BRD,19890110,22466
BRD,19890111,22431
BRD,19890112,22383
BRD,19890113,22704
BRD,19890114,10967
BRD,19890115,22607
BRD,19890116,22774
BRD,19890117,m
BRD,19890118,m
BRD,19890119,23557
BRD,19890120,23859
BRD,19890121,23841
BRD,19890122,23788
BRD,19890123,24197
BRD,19890124,24654
BRD,19890125,24811
BRD,19890126,24766
BRD,19890127,24708
BRD,19890128,24654
BRD,19890129,24604
BRD,19890130,24582
BRD,19890131,24574
BRD,19890201,25167
BRD,19890202,25438
BRD,19890203,25330
BRD,19890204,24955
BRD,19890205,24547
BRD,19890206,24242
BRD,19890207,23636
BRD,19890208,23441
BRD,19890209,23455
BRD,19890210,23490
BRD,19890211,23260
BRD,19890212,23052
BRD,19890213,22992
BRD,19890214,22906
BRD,19890215,m
BRD,19890216,22279
BRD,19890217,m
BRD,19890218,m
BRD,19890219,21660
BRD,19890220,21404
BRD,19890221,21226
BRD,19890222,21079
BRD,19890223,21028
BRD,19890224,m
BRD,19890225,m
BRD,19890226,m
BRD,19890227,20980
BRD,19890228,m
BRD,19890301,m
BRD,19890302,m
BRD,19890303,m
BRD,19890304,m
BRD,19890305,m
BRD,19890306,24026
BRD,19890307,m
BRD,19890308,m
BRD,19890309,m
BRD,19890310,m
BRD,19890311,m
BRD,19890312,m
BRD,19890313,30071
BRD,19890314,m
BRD,19890315,m
BRD,19890316,m
BRD,19890317,m
BRD,19890318,m
BRD,19890319,m
BRD,19890320,37565
BRD,19890321,m
BRD,19890322,m
BRD,19890323,m
BRD,19890324,m
BRD,19890325,m
BRD,19890326,45469
BRD,19890327,46637
BRD,19890328,m
BRD,19890329,m
BRD,19890330,m
BRD,19890331,m
BRD,19890401,54909
BRD,19890402,55197
BRD,19890403,57013
BRD,19890404,58064
BRD,19890405,59194
BRD,19890406,60941
BRD,19890407,62711
BRD,19890408,63871
BRD,19890409,65107
BRD,19890410,66326
BRD,19890411,67393
BRD,19890412,68370
BRD,19890413,69279
BRD,19890414,70166
BRD,19890415,70982
BRD,19890416,71744
BRD,19890417,72445
BRD,19890418,73174
BRD,19890419,73854
BRD,19890420,74524
BRD,19890421,75177
BRD,19890422,75754
BRD,19890423,76275
BRD,19890424,76777
BRD,19890425,77188
BRD,19890426,77562
BRD,19890427,77950
BRD,19890428,78325
BRD,19890429,78700
BRD,19890430,79109
BRD,19890501,79493
BRD,19890502,79904
BRD,19890503,80275
BRD,19890504,80695
BRD,19890505,80114
BRD,19890506,81522
BRD,19890507,82508
BRD,19890508,85419
BRD,19890509,88418
BRD,19890510,91642
BRD,19890511,94123
