ID,Date,Reservoir_Storage(AF)
BTV,19850421,37100
BTV,19850422,36300
BTV,19850423,36700
BTV,19850424,38300
BTV,19850425,40800
BTV,19850426,41600
BTV,19850427,41800
BTV,19850428,41900
BTV,19850429,43500
BTV,19850430,43600
BTV,19850501,44000
BTV,19850502,44300
BTV,19850503,44600
BTV,19850504,45200
BTV,19850505,45200
BTV,19850506,45200
BTV,19850507,44900
BTV,19850508,45600
BTV,19850509,46000
BTV,19850510,47300
BTV,19850511,45900
BTV,19850512,45900
BTV,19850513,45700
BTV,19850514,45300
BTV,19850515,45300
BTV,19850516,45300
BTV,19850517,44700
BTV,19850518,44500
BTV,19850519,44700
BTV,19850520,45300
BTV,19850521,45200
BTV,19850522,45300
BTV,19850523,45500
BTV,19850524,44900
BTV,19850525,44700
BTV,19850526,44500
BTV,19850527,46000
BTV,19850528,46100
BTV,19850529,46400
BTV,19850530,46200
BTV,19850531,46700
BTV,19850601,46600
BTV,19850602,46600
BTV,19850603,46700
BTV,19850604,47100
BTV,19850605,46700
BTV,19850606,45700
BTV,19850607,45700
BTV,19850608,45300
BTV,19850609,45300
BTV,19850610,45300
BTV,19850611,46400
BTV,19850612,45300
BTV,19850613,44400
BTV,19850614,43500
BTV,19850615,42800
BTV,19850616,42800
BTV,19850617,43200
BTV,19850618,44200
BTV,19850619,45000
BTV,19850620,44600
BTV,19850621,45200
BTV,19850622,44900
BTV,19850623,44600
BTV,19850624,45100
BTV,19850625,46000
BTV,19850626,46500
BTV,19850627,46800
BTV,19850628,46900
BTV,19850629,46600
BTV,19850630,47000
BTV,19850701,46700
BTV,19850702,46300
BTV,19850703,47200
BTV,19850704,47500
BTV,19850705,46700
BTV,19850706,45100
BTV,19850707,46400
BTV,19850708,46700
BTV,19850709,46100
BTV,19850710,45300
BTV,19850711,45800
BTV,19850712,45700
BTV,19850713,46900
BTV,19850714,46100
BTV,19850715,44900
BTV,19850716,46200
BTV,19850717,46800
BTV,19850718,46300
BTV,19850719,45900
BTV,19850720,47100
BTV,19850721,46400
BTV,19850722,47500
BTV,19850723,47000
BTV,19850724,46300
BTV,19850725,45200
BTV,19850726,44900
BTV,19850727,46600
BTV,19850728,46700
BTV,19850729,46800
BTV,19850730,47500
BTV,19850731,45700
BTV,19850801,44900
BTV,19850802,44900
BTV,19850803,45800
BTV,19850804,46500
BTV,19850805,46400
BTV,19850806,46400
BTV,19850807,44800
BTV,19850808,45100
BTV,19850809,45300
BTV,19850810,45900
BTV,19850811,46700
BTV,19850812,47200
BTV,19850813,46800
BTV,19850814,46400
BTV,19850815,45400
BTV,19850816,44700
BTV,19850817,44500
BTV,19850818,44400
BTV,19850819,45100
BTV,19850820,45900
BTV,19850821,45700
BTV,19850822,45700
BTV,19850823,45700
BTV,19850824,45300
BTV,19850825,45200
BTV,19850826,45800
BTV,19850827,46600
BTV,19850828,47300
BTV,19850829,47300
BTV,19850830,47800
BTV,19850831,47100
BTV,19850901,47300
BTV,19850902,46400
BTV,19850903,46500
BTV,19850904,46500
BTV,19850905,47700
BTV,19850906,48000
BTV,19850907,48100
BTV,19850908,48600
BTV,19850909,47800
BTV,19850910,46100
BTV,19850911,45000
BTV,19850912,45100
BTV,19850913,45300
BTV,19850914,45400
BTV,19850915,45700
BTV,19850916,46200
BTV,19850917,46600
BTV,19850918,46700
BTV,19850919,46500
BTV,19850920,46700
BTV,19850921,46700
BTV,19850922,47300
BTV,19850923,46400
BTV,19850924,47030
BTV,19850925,46700
BTV,19850926,46800
BTV,19850927,47300
BTV,19850928,46700
BTV,19850929,47300
BTV,19850930,47000
BTV,19851001,46500
BTV,19851002,46700
BTV,19851003,46400
BTV,19851004,46400
BTV,19851005,46000
BTV,19851006,46300
BTV,19851007,46300
BTV,19851008,45400
BTV,19851009,47100
BTV,19851010,47200
BTV,19851011,47600
BTV,19851012,47400
BTV,19851013,47500
BTV,19851014,47500
BTV,19851015,46700
BTV,19851016,46700
BTV,19851017,46900
BTV,19851018,46400
BTV,19851019,46400
BTV,19851020,42600
BTV,19851021,43000
BTV,19851022,43000
BTV,19851023,42600
BTV,19851024,41800
BTV,19851025,42200
BTV,19851026,42200
BTV,19851027,42600
BTV,19851028,42600
BTV,19851029,42800
BTV,19851030,42800
BTV,19851031,42900
BTV,19851101,43200
BTV,19851102,43000
BTV,19851103,42800
BTV,19851104,42500
BTV,19851105,42500
BTV,19851106,42700
BTV,19851107,42800
BTV,19851108,42800
BTV,19851109,43000
BTV,19851110,43300
BTV,19851111,43400
BTV,19851112,43300
BTV,19851113,44300
BTV,19851114,44600
BTV,19851115,44900
BTV,19851116,44900
BTV,19851117,45100
BTV,19851118,45200
BTV,19851119,45200
BTV,19851120,45300
BTV,19851121,44800
BTV,19851122,45800
BTV,19851123,46000
BTV,19851124,46300
BTV,19851125,47600
BTV,19851126,48000
BTV,19851127,48100
BTV,19851128,48400
BTV,19851129,47100
BTV,19851130,47300
BTV,19851201,45700
BTV,19851202,46400
BTV,19851203,46700
BTV,19851204,46900
BTV,19851205,47100
BTV,19851206,47300
BTV,19851207,47500
BTV,19851208,47700
BTV,19851209,47700
BTV,19851210,47100
BTV,19851211,45900
BTV,19851212,44700
BTV,19851213,43700
BTV,19851214,42300
BTV,19851215,41500
BTV,19851216,41600
BTV,19851217,41800
BTV,19851218,41700
BTV,19851219,41800
BTV,19851220,41900
BTV,19851221,42200
BTV,19851222,41800
BTV,19851223,42100
BTV,19851224,41500
BTV,19851225,41500
BTV,19851226,41600
BTV,19851227,41000
BTV,19851228,41000
BTV,19851229,41000
BTV,19851230,m
BTV,19851231,m
BTV,19860101,41000
BTV,19860102,40700
BTV,19860103,40800
BTV,19860104,40900
BTV,19860105,41200
BTV,19860106,41600
BTV,19860107,41800
BTV,19860108,40400
BTV,19860109,39400
BTV,19860110,40500
BTV,19860111,40500
BTV,19860112,40400
BTV,19860113,40700
BTV,19860114,40000
BTV,19860115,40300
BTV,19860116,40900
BTV,19860117,41800
BTV,19860118,42200
BTV,19860119,42500
BTV,19860120,42700
BTV,19860121,42800
BTV,19860122,43100
BTV,19860123,42900
BTV,19860124,42800
BTV,19860125,43000
BTV,19860126,43200
BTV,19860127,43800
BTV,19860128,44000
BTV,19860129,45100
BTV,19860130,45800
BTV,19860131,46800
BTV,19860201,46700
BTV,19860202,46700
BTV,19860203,46200
BTV,19860204,47000
BTV,19860205,47300
BTV,19860206,46600
BTV,19860207,44700
BTV,19860208,44700
BTV,19860209,43900
BTV,19860210,42600
BTV,19860211,41000
BTV,19860212,39200
BTV,19860213,39200
BTV,19860214,41600
BTV,19860215,44400
BTV,19860216,45000
BTV,19860217,49500
BTV,19860218,52700
BTV,19860219,52700
BTV,19860220,51500
BTV,19860221,50300
BTV,19860222,49500
BTV,19860223,48400
BTV,19860224,47300
BTV,19860225,45900
BTV,19860226,44500
BTV,19860227,43200
BTV,19860228,41700
BTV,19860301,40100
BTV,19860302,38500
BTV,19860303,38900
BTV,19860304,40000
BTV,19860305,41000
BTV,19860306,39600
BTV,19860307,39000
BTV,19860308,40400
BTV,19860309,39900
BTV,19860310,39200
BTV,19860311,38100
BTV,19860312,38500
BTV,19860313,38700
BTV,19860314,38800
BTV,19860315,38600
BTV,19860316,39800
BTV,19860317,38800
BTV,19860318,38200
BTV,19860319,38200
BTV,19860320,38100
BTV,19860321,38400
BTV,19860322,38600
BTV,19860323,38900
BTV,19860324,37900
BTV,19860325,36100
BTV,19860326,36600
BTV,19860327,36600
BTV,19860328,37600
BTV,19860329,38700
BTV,19860330,38700
BTV,19860331,38900
BTV,19860401,38700
BTV,19860402,38100
BTV,19860403,38300
BTV,19860404,38100
BTV,19860405,38300
BTV,19860406,38200
BTV,19860407,38600
BTV,19860408,39300
BTV,19860409,39600
BTV,19860410,39200
BTV,19860411,38900
BTV,19860412,38600
BTV,19860413,39300
BTV,19860414,39600
BTV,19860415,37800
BTV,19860416,38300
BTV,19860417,38300
BTV,19860418,39200
BTV,19860419,38900
BTV,19860420,38400
BTV,19860421,38400
BTV,19860422,38300
BTV,19860423,38600
BTV,19860424,39500
BTV,19860425,37900
BTV,19860426,37200
BTV,19860427,38200
BTV,19860428,38400
BTV,19860429,37700
BTV,19860430,38100
BTV,19860501,38700
BTV,19860502,39800
BTV,19860503,42800
BTV,19860504,44200
BTV,19860505,44600
BTV,19860506,m
BTV,19860507,m
BTV,19860508,m
BTV,19860509,m
BTV,19860510,m
BTV,19860511,m
BTV,19860512,m
BTV,19860513,m
BTV,19860514,m
BTV,19860515,m
BTV,19860516,m
BTV,19860517,m
BTV,19860518,m
BTV,19860519,m
BTV,19860520,m
BTV,19860521,m
BTV,19860522,m
BTV,19860523,m
BTV,19860524,m
BTV,19860525,m
BTV,19860526,m
BTV,19860527,m
BTV,19860528,m
BTV,19860529,m
BTV,19860530,m
BTV,19860531,m
BTV,19860601,m
BTV,19860602,m
BTV,19860603,m
BTV,19860604,m
BTV,19860605,m
BTV,19860606,m
BTV,19860607,m
BTV,19860608,m
BTV,19860609,m
BTV,19860610,m
BTV,19860611,m
BTV,19860612,m
BTV,19860613,m
BTV,19860614,m
BTV,19860615,m
BTV,19860616,m
BTV,19860617,m
BTV,19860618,m
BTV,19860619,m
BTV,19860620,m
BTV,19860621,m
BTV,19860622,m
BTV,19860623,m
BTV,19860624,m
BTV,19860625,m
BTV,19860626,m
BTV,19860627,m
BTV,19860628,m
BTV,19860629,m
BTV,19860630,m
BTV,19860701,m
BTV,19860702,m
BTV,19860703,m
BTV,19860704,m
BTV,19860705,m
BTV,19860706,m
BTV,19860707,m
BTV,19860708,m
BTV,19860709,m
BTV,19860710,m
BTV,19860711,m
BTV,19860712,m
BTV,19860713,m
BTV,19860714,m
BTV,19860715,m
BTV,19860716,m
BTV,19860717,m
BTV,19860718,m
BTV,19860719,m
BTV,19860720,m
BTV,19860721,m
BTV,19860722,m
BTV,19860723,m
BTV,19860724,m
BTV,19860725,m
BTV,19860726,m
BTV,19860727,m
BTV,19860728,m
BTV,19860729,m
BTV,19860730,m
BTV,19860731,m
BTV,19860801,m
BTV,19860802,m
BTV,19860803,m
BTV,19860804,m
BTV,19860805,m
BTV,19860806,m
BTV,19860807,m
BTV,19860808,m
BTV,19860809,m
BTV,19860810,m
BTV,19860811,m
BTV,19860812,m
BTV,19860813,m
BTV,19860814,m
BTV,19860815,m
BTV,19860816,m
BTV,19860817,m
BTV,19860818,m
BTV,19860819,m
BTV,19860820,m
BTV,19860821,m
BTV,19860822,m
BTV,19860823,m
BTV,19860824,m
BTV,19860825,m
BTV,19860826,m
BTV,19860827,m
BTV,19860828,m
BTV,19860829,m
BTV,19860830,m
BTV,19860831,m
BTV,19860901,m
BTV,19860902,m
BTV,19860903,m
BTV,19860904,m
BTV,19860905,m
BTV,19860906,m
BTV,19860907,m
BTV,19860908,m
BTV,19860909,m
BTV,19860910,m
BTV,19860911,m
BTV,19860912,m
BTV,19860913,m
BTV,19860914,m
BTV,19860915,m
BTV,19860916,m
BTV,19860917,m
BTV,19860918,m
BTV,19860919,m
BTV,19860920,m
BTV,19860921,m
BTV,19860922,m
BTV,19860923,m
BTV,19860924,m
BTV,19860925,m
BTV,19860926,m
BTV,19860927,m
BTV,19860928,m
BTV,19860929,m
BTV,19860930,m
BTV,19861001,m
BTV,19861002,m
BTV,19861003,m
BTV,19861004,m
BTV,19861005,m
BTV,19861006,m
BTV,19861007,m
BTV,19861008,m
BTV,19861009,m
BTV,19861010,m
BTV,19861011,m
BTV,19861012,m
BTV,19861013,m
BTV,19861014,m
BTV,19861015,m
BTV,19861016,m
BTV,19861017,m
BTV,19861018,m
BTV,19861019,m
BTV,19861020,m
BTV,19861021,m
BTV,19861022,m
BTV,19861023,m
BTV,19861024,m
BTV,19861025,m
BTV,19861026,m
BTV,19861027,m
BTV,19861028,m
BTV,19861029,m
BTV,19861030,m
BTV,19861031,m
BTV,19861101,m
BTV,19861102,m
BTV,19861103,m
BTV,19861104,m
BTV,19861105,m
BTV,19861106,m
BTV,19861107,m
BTV,19861108,m
BTV,19861109,m
BTV,19861110,m
BTV,19861111,m
BTV,19861112,m
BTV,19861113,m
BTV,19861114,m
BTV,19861115,m
BTV,19861116,m
BTV,19861117,m
BTV,19861118,m
BTV,19861119,m
BTV,19861120,m
BTV,19861121,m
BTV,19861122,m
BTV,19861123,m
BTV,19861124,m
BTV,19861125,m
BTV,19861126,m
BTV,19861127,m
BTV,19861128,m
BTV,19861129,m
BTV,19861130,m
BTV,19861201,m
BTV,19861202,m
BTV,19861203,m
BTV,19861204,m
BTV,19861205,m
BTV,19861206,m
BTV,19861207,m
BTV,19861208,m
BTV,19861209,m
BTV,19861210,m
BTV,19861211,m
BTV,19861212,m
BTV,19861213,m
BTV,19861214,m
BTV,19861215,m
BTV,19861216,m
BTV,19861217,m
BTV,19861218,m
BTV,19861219,m
BTV,19861220,m
BTV,19861221,m
BTV,19861222,m
BTV,19861223,m
BTV,19861224,m
BTV,19861225,m
BTV,19861226,m
BTV,19861227,m
