ID,Date,Reservoir_Storage(AF)
BUC,19850101,24500
BUC,19850102,m
BUC,19850103,m
BUC,19850104,m
BUC,19850105,m
BUC,19850106,m
BUC,19850107,24870
BUC,19850108,m
BUC,19850109,m
BUC,19850110,m
BUC,19850111,m
BUC,19850112,m
BUC,19850113,m
BUC,19850114,25300
BUC,19850115,m
BUC,19850116,m
BUC,19850117,m
BUC,19850118,m
BUC,19850119,m
BUC,19850120,m
BUC,19850121,25580
BUC,19850122,m
BUC,19850123,m
BUC,19850124,m
BUC,19850125,m
BUC,19850126,m
BUC,19850127,m
BUC,19850128,25850
BUC,19850129,m
BUC,19850130,m
BUC,19850131,m
BUC,19850201,m
BUC,19850202,m
BUC,19850203,m
BUC,19850204,26150
BUC,19850205,m
BUC,19850206,m
BUC,19850207,m
BUC,19850208,m
BUC,19850209,m
BUC,19850210,m
BUC,19850211,m
BUC,19850212,29560
BUC,19850213,m
BUC,19850214,m
BUC,19850215,m
BUC,19850216,m
BUC,19850217,m
BUC,19850218,30210
BUC,19850219,m
BUC,19850220,m
BUC,19850221,m
BUC,19850222,m
BUC,19850223,m
BUC,19850224,m
BUC,19850225,30660
BUC,19850226,m
BUC,19850227,m
BUC,19850228,30850
BUC,19850301,m
BUC,19850302,m
BUC,19850303,30940
BUC,19850304,m
BUC,19850305,m
BUC,19850306,m
BUC,19850307,m
BUC,19850308,m
BUC,19850309,m
BUC,19850310,31900
BUC,19850311,m
BUC,19850312,m
BUC,19850313,m
BUC,19850314,m
BUC,19850315,m
BUC,19850316,m
BUC,19850317,33310
BUC,19850318,m
BUC,19850319,m
BUC,19850320,m
BUC,19850321,m
BUC,19850322,m
BUC,19850323,m
BUC,19850324,34050
BUC,19850325,m
BUC,19850326,m
BUC,19850327,m
BUC,19850328,m
BUC,19850329,m
BUC,19850330,m
BUC,19850331,37390
BUC,19850401,m
BUC,19850402,m
BUC,19850403,m
BUC,19850404,m
BUC,19850405,m
BUC,19850406,m
BUC,19850407,38570
BUC,19850408,m
BUC,19850409,m
BUC,19850410,m
BUC,19850411,m
BUC,19850412,m
BUC,19850413,m
BUC,19850414,39130
BUC,19850415,m
BUC,19850416,m
BUC,19850417,m
BUC,19850418,m
BUC,19850419,m
BUC,19850420,m
BUC,19850421,39670
BUC,19850422,m
BUC,19850423,m
BUC,19850424,m
BUC,19850425,m
BUC,19850426,m
BUC,19850427,m
BUC,19850428,39980
BUC,19850429,m
BUC,19850430,m
BUC,19850501,m
BUC,19850502,m
BUC,19850503,m
BUC,19850504,m
BUC,19850505,40170
BUC,19850506,m
BUC,19850507,m
BUC,19850508,m
BUC,19850509,m
BUC,19850510,m
BUC,19850511,m
BUC,19850512,40260
BUC,19850513,m
BUC,19850514,m
BUC,19850515,m
BUC,19850516,m
BUC,19850517,m
BUC,19850518,m
BUC,19850519,40310
BUC,19850520,m
BUC,19850521,m
BUC,19850522,m
BUC,19850523,m
BUC,19850524,m
BUC,19850525,m
BUC,19850526,40310
BUC,19850527,m
BUC,19850528,m
BUC,19850529,m
BUC,19850530,m
BUC,19850531,m
BUC,19850601,m
BUC,19850602,40250
BUC,19850603,m
BUC,19850604,m
BUC,19850605,m
BUC,19850606,m
BUC,19850607,m
BUC,19850608,m
BUC,19850609,40260
BUC,19850610,m
BUC,19850611,m
BUC,19850612,m
BUC,19850613,m
BUC,19850614,m
BUC,19850615,m
BUC,19850616,39550
BUC,19850617,m
BUC,19850618,m
BUC,19850619,m
BUC,19850620,m
BUC,19850621,m
BUC,19850622,m
BUC,19850623,32230
BUC,19850624,m
BUC,19850625,m
BUC,19850626,m
BUC,19850627,m
BUC,19850628,m
BUC,19850629,m
BUC,19850630,24590
BUC,19850701,m
BUC,19850702,m
BUC,19850703,m
BUC,19850704,m
BUC,19850705,m
BUC,19850706,m
BUC,19850707,17210
BUC,19850708,m
BUC,19850709,m
BUC,19850710,m
BUC,19850711,m
BUC,19850712,m
BUC,19850713,m
BUC,19850714,11210
BUC,19850715,m
BUC,19850716,m
BUC,19850717,0
BUC,19850718,m
BUC,19850719,m
BUC,19850720,m
BUC,19850721,11150
BUC,19850722,m
BUC,19850723,m
BUC,19850724,m
BUC,19850725,m
BUC,19850726,m
BUC,19850727,m
BUC,19850728,11070
BUC,19850729,m
BUC,19850730,m
BUC,19850731,m
BUC,19850801,m
BUC,19850802,m
BUC,19850803,m
BUC,19850804,10990
BUC,19850805,m
BUC,19850806,m
BUC,19850807,m
BUC,19850808,m
BUC,19850809,m
BUC,19850810,m
BUC,19850811,10910
BUC,19850812,m
BUC,19850813,m
BUC,19850814,m
BUC,19850815,m
BUC,19850816,m
BUC,19850817,m
BUC,19850818,10850
BUC,19850819,m
BUC,19850820,m
BUC,19850821,m
BUC,19850822,m
BUC,19850823,m
BUC,19850824,m
BUC,19850825,10790
BUC,19850826,m
BUC,19850827,m
BUC,19850828,m
BUC,19850829,m
BUC,19850830,m
BUC,19850831,m
BUC,19850901,10720
BUC,19850902,m
BUC,19850903,m
BUC,19850904,m
BUC,19850905,m
BUC,19850906,m
BUC,19850907,m
BUC,19850908,10690
BUC,19850909,m
BUC,19850910,m
BUC,19850911,m
BUC,19850912,m
BUC,19850913,m
BUC,19850914,m
BUC,19850915,10630
BUC,19850916,m
BUC,19850917,m
BUC,19850918,m
BUC,19850919,m
BUC,19850920,m
BUC,19850921,m
BUC,19850922,10590
BUC,19850923,m
BUC,19850924,m
BUC,19850925,m
BUC,19850926,m
BUC,19850927,m
BUC,19850928,m
BUC,19850929,10550
BUC,19850930,m
BUC,19851001,m
BUC,19851002,m
BUC,19851003,m
BUC,19851004,m
BUC,19851005,m
BUC,19851006,10520
BUC,19851007,m
BUC,19851008,m
BUC,19851009,m
BUC,19851010,m
BUC,19851011,m
BUC,19851012,m
BUC,19851013,10460
BUC,19851014,m
BUC,19851015,m
BUC,19851016,m
BUC,19851017,m
BUC,19851018,m
BUC,19851019,m
BUC,19851020,10450
BUC,19851021,m
BUC,19851022,m
BUC,19851023,m
BUC,19851024,m
BUC,19851025,m
BUC,19851026,m
BUC,19851027,10430
BUC,19851028,m
BUC,19851029,m
BUC,19851030,m
