ID,Date,Reservoir_Storage(AF)
BUL,19850102,390500
BUL,19850103,m
BUL,19850104,m
BUL,19850105,m
BUL,19850106,m
BUL,19850107,m
BUL,19850108,374500
BUL,19850109,m
BUL,19850110,m
BUL,19850111,m
BUL,19850112,m
BUL,19850113,m
BUL,19850114,m
BUL,19850115,359100
BUL,19850116,m
BUL,19850117,m
BUL,19850118,m
BUL,19850119,m
BUL,19850120,m
BUL,19850121,m
BUL,19850122,355800
BUL,19850123,m
BUL,19850124,m
BUL,19850125,m
BUL,19850126,m
BUL,19850127,m
BUL,19850128,m
BUL,19850129,357900
BUL,19850130,m
BUL,19850131,m
BUL,19850201,m
BUL,19850202,m
BUL,19850203,m
BUL,19850204,m
BUL,19850205,360400
BUL,19850206,m
BUL,19850207,m
BUL,19850208,m
BUL,19850209,m
BUL,19850210,m
BUL,19850211,m
BUL,19850212,m
BUL,19850213,383800
BUL,19850214,m
BUL,19850215,m
BUL,19850216,m
BUL,19850217,m
BUL,19850218,m
BUL,19850219,392400
BUL,19850220,m
BUL,19850221,m
BUL,19850222,m
BUL,19850223,m
BUL,19850224,m
BUL,19850225,m
BUL,19850226,403400
BUL,19850227,m
BUL,19850228,m
BUL,19850301,407800
BUL,19850302,m
BUL,19850303,m
BUL,19850304,m
BUL,19850305,411600
BUL,19850306,m
BUL,19850307,m
BUL,19850308,m
BUL,19850309,m
BUL,19850310,m
BUL,19850311,m
BUL,19850312,423300
BUL,19850313,m
BUL,19850314,m
BUL,19850315,m
BUL,19850316,m
BUL,19850317,m
BUL,19850318,m
BUL,19850319,439700
BUL,19850320,m
BUL,19850321,m
BUL,19850322,m
BUL,19850323,m
BUL,19850324,m
BUL,19850325,m
BUL,19850326,459800
BUL,19850327,m
BUL,19850328,m
BUL,19850329,m
BUL,19850330,m
BUL,19850331,m
BUL,19850401,m
BUL,19850402,480200
BUL,19850403,m
BUL,19850404,m
BUL,19850405,m
BUL,19850406,m
BUL,19850407,m
BUL,19850408,m
BUL,19850409,519600
BUL,19850410,m
BUL,19850411,m
BUL,19850412,m
BUL,19850413,m
BUL,19850414,m
BUL,19850415,m
BUL,19850416,561500
BUL,19850417,m
BUL,19850418,m
BUL,19850419,m
BUL,19850420,m
BUL,19850421,m
BUL,19850422,m
BUL,19850423,593200
BUL,19850424,m
BUL,19850425,m
BUL,19850426,m
BUL,19850427,m
BUL,19850428,m
BUL,19850429,m
BUL,19850430,611900
BUL,19850501,m
BUL,19850502,m
BUL,19850503,m
BUL,19850504,m
BUL,19850505,m
BUL,19850506,m
BUL,19850507,632200
BUL,19850508,m
BUL,19850509,m
BUL,19850510,m
BUL,19850511,m
BUL,19850512,m
BUL,19850513,m
BUL,19850514,646800
BUL,19850515,m
BUL,19850516,m
BUL,19850517,m
BUL,19850518,m
BUL,19850519,m
BUL,19850520,m
BUL,19850521,655800
BUL,19850522,m
BUL,19850523,m
BUL,19850524,m
BUL,19850525,m
BUL,19850526,m
BUL,19850527,m
BUL,19850528,666600
BUL,19850529,m
BUL,19850530,m
BUL,19850531,m
BUL,19850601,m
BUL,19850602,m
BUL,19850603,m
BUL,19850604,669200
BUL,19850605,m
BUL,19850606,m
BUL,19850607,m
BUL,19850608,m
BUL,19850609,m
BUL,19850610,m
BUL,19850611,666900
BUL,19850612,m
BUL,19850613,m
BUL,19850614,m
BUL,19850615,m
BUL,19850616,m
BUL,19850617,m
BUL,19850618,655300
BUL,19850619,m
BUL,19850620,m
BUL,19850621,m
BUL,19850622,m
BUL,19850623,m
BUL,19850624,m
BUL,19850625,647600
BUL,19850626,m
BUL,19850627,m
BUL,19850628,m
BUL,19850629,m
BUL,19850630,m
BUL,19850701,m
BUL,19850702,633600
BUL,19850703,m
BUL,19850704,m
BUL,19850705,m
BUL,19850706,m
BUL,19850707,m
BUL,19850708,m
BUL,19850709,621600
BUL,19850710,m
BUL,19850711,m
BUL,19850712,m
BUL,19850713,m
BUL,19850714,m
BUL,19850715,m
BUL,19850716,607600
BUL,19850717,m
BUL,19850718,m
BUL,19850719,-1400
BUL,19850720,m
BUL,19850721,m
BUL,19850722,m
BUL,19850723,593900
BUL,19850724,m
BUL,19850725,m
BUL,19850726,m
BUL,19850727,m
BUL,19850728,m
BUL,19850729,m
BUL,19850730,1200
BUL,19850731,m
BUL,19850801,m
BUL,19850802,m
BUL,19850803,m
BUL,19850804,m
BUL,19850805,m
BUL,19850806,569300
BUL,19850807,m
BUL,19850808,m
BUL,19850809,m
BUL,19850810,m
BUL,19850811,m
BUL,19850812,m
BUL,19850813,559500
BUL,19850814,m
BUL,19850815,m
BUL,19850816,m
BUL,19850817,m
BUL,19850818,m
BUL,19850819,m
BUL,19850820,550400
BUL,19850821,m
BUL,19850822,m
BUL,19850823,m
BUL,19850824,m
BUL,19850825,m
BUL,19850826,m
BUL,19850827,543700
BUL,19850828,m
BUL,19850829,m
BUL,19850830,m
BUL,19850831,m
BUL,19850901,m
BUL,19850902,m
BUL,19850903,538100
BUL,19850904,m
BUL,19850905,m
BUL,19850906,m
BUL,19850907,m
BUL,19850908,m
BUL,19850909,m
BUL,19850910,534100
BUL,19850911,m
BUL,19850912,m
BUL,19850913,m
BUL,19850914,m
BUL,19850915,m
BUL,19850916,m
BUL,19850917,531800
BUL,19850918,m
BUL,19850919,m
BUL,19850920,m
BUL,19850921,m
BUL,19850922,m
BUL,19850923,m
BUL,19850924,533400
BUL,19850925,m
BUL,19850926,m
BUL,19850927,m
BUL,19850928,m
BUL,19850929,m
BUL,19850930,m
BUL,19851001,531400
BUL,19851002,m
BUL,19851003,m
BUL,19851004,m
BUL,19851005,m
BUL,19851006,m
BUL,19851007,m
BUL,19851008,531700
BUL,19851009,m
BUL,19851010,m
BUL,19851011,m
BUL,19851012,m
BUL,19851013,m
BUL,19851014,m
BUL,19851015,525700
BUL,19851016,m
BUL,19851017,m
BUL,19851018,m
BUL,19851019,m
BUL,19851020,m
BUL,19851021,m
BUL,19851022,519600
BUL,19851023,m
BUL,19851024,m
BUL,19851025,m
BUL,19851026,m
BUL,19851027,m
BUL,19851028,m
BUL,19851029,513100
BUL,19851030,m
BUL,19851031,m
BUL,19851101,m
BUL,19851102,m
BUL,19851103,m
BUL,19851104,m
BUL,19851105,506900
BUL,19851106,m
BUL,19851107,m
BUL,19851108,m
BUL,19851109,m
BUL,19851110,m
BUL,19851111,m
BUL,19851112,502900
BUL,19851113,m
BUL,19851114,m
BUL,19851115,m
BUL,19851116,m
BUL,19851117,m
BUL,19851118,m
BUL,19851119,499300
BUL,19851120,m
BUL,19851121,m
BUL,19851122,m
BUL,19851123,m
BUL,19851124,m
BUL,19851125,m
BUL,19851126,499500
BUL,19851127,m
BUL,19851128,m
BUL,19851129,m
BUL,19851130,m
BUL,19851201,m
BUL,19851202,m
BUL,19851203,513100
BUL,19851204,m
BUL,19851205,m
BUL,19851206,m
BUL,19851207,m
BUL,19851208,m
BUL,19851209,534100
BUL,19851210,534100
BUL,19851211,m
BUL,19851212,m
BUL,19851213,m
BUL,19851214,m
BUL,19851215,m
BUL,19851216,m
BUL,19851217,538100
BUL,19851218,m
BUL,19851219,m
BUL,19851220,m
BUL,19851221,m
BUL,19851222,m
BUL,19851223,m
BUL,19851224,533300
BUL,19851225,m
BUL,19851226,m
BUL,19851227,m
BUL,19851228,m
BUL,19851229,m
BUL,19851230,534100
BUL,19851231,531400
BUL,19860101,m
BUL,19860102,m
BUL,19860103,m
BUL,19860104,m
BUL,19860105,m
BUL,19860106,m
BUL,19860107,551200
BUL,19860108,m
BUL,19860109,m
BUL,19860110,m
BUL,19860111,m
BUL,19860112,m
BUL,19860113,m
BUL,19860114,557000
BUL,19860115,m
BUL,19860116,m
BUL,19860117,m
BUL,19860118,m
BUL,19860119,m
BUL,19860120,m
BUL,19860121,607300
BUL,19860122,m
BUL,19860123,m
BUL,19860124,m
BUL,19860125,m
BUL,19860126,m
BUL,19860127,m
BUL,19860128,m
BUL,19860129,m
BUL,19860130,m
BUL,19860131,m
BUL,19860201,m
BUL,19860202,m
BUL,19860203,m
BUL,19860204,m
BUL,19860205,m
BUL,19860206,m
BUL,19860207,m
BUL,19860208,m
BUL,19860209,m
BUL,19860210,m
BUL,19860211,m
BUL,19860212,m
BUL,19860213,m
BUL,19860214,m
BUL,19860215,m
BUL,19860216,m
BUL,19860217,m
BUL,19860218,m
BUL,19860219,m
BUL,19860220,m
BUL,19860221,m
BUL,19860222,m
BUL,19860223,m
BUL,19860224,m
BUL,19860225,m
BUL,19860226,m
BUL,19860227,m
BUL,19860228,m
BUL,19860301,m
BUL,19860302,m
BUL,19860303,m
BUL,19860304,m
BUL,19860305,m
BUL,19860306,m
BUL,19860307,m
BUL,19860308,m
BUL,19860309,m
BUL,19860310,m
BUL,19860311,m
BUL,19860312,m
BUL,19860313,m
BUL,19860314,m
BUL,19860315,m
BUL,19860316,m
BUL,19860317,m
BUL,19860318,m
BUL,19860319,m
BUL,19860320,m
BUL,19860321,m
BUL,19860322,m
BUL,19860323,m
BUL,19860324,m
BUL,19860325,m
BUL,19860326,m
BUL,19860327,m
BUL,19860328,m
BUL,19860329,m
BUL,19860330,m
BUL,19860331,m
BUL,19860401,m
BUL,19860402,m
BUL,19860403,m
BUL,19860404,m
BUL,19860405,m
BUL,19860406,m
BUL,19860407,m
BUL,19860408,m
BUL,19860409,m
BUL,19860410,m
BUL,19860411,m
BUL,19860412,m
BUL,19860413,m
BUL,19860414,m
BUL,19860415,m
BUL,19860416,m
BUL,19860417,m
BUL,19860418,m
BUL,19860419,m
BUL,19860420,m
BUL,19860421,m
BUL,19860422,m
BUL,19860423,m
BUL,19860424,m
BUL,19860425,m
BUL,19860426,m
BUL,19860427,m
BUL,19860428,m
BUL,19860429,m
BUL,19860430,m
BUL,19860501,m
BUL,19860502,m
BUL,19860503,m
BUL,19860504,m
BUL,19860505,m
BUL,19860506,m
BUL,19860507,m
BUL,19860508,m
BUL,19860509,m
BUL,19860510,m
BUL,19860511,m
BUL,19860512,m
BUL,19860513,m
BUL,19860514,m
BUL,19860515,m
BUL,19860516,m
BUL,19860517,m
BUL,19860518,m
BUL,19860519,m
BUL,19860520,m
BUL,19860521,m
BUL,19860522,m
BUL,19860523,m
BUL,19860524,m
BUL,19860525,m
BUL,19860526,m
BUL,19860527,m
BUL,19860528,m
BUL,19860529,m
BUL,19860530,m
BUL,19860531,m
BUL,19860601,m
BUL,19860602,m
BUL,19860603,m
BUL,19860604,m
BUL,19860605,m
BUL,19860606,m
BUL,19860607,m
BUL,19860608,m
BUL,19860609,m
BUL,19860610,m
BUL,19860611,m
BUL,19860612,m
BUL,19860613,m
BUL,19860614,m
BUL,19860615,m
BUL,19860616,m
BUL,19860617,m
BUL,19860618,m
BUL,19860619,m
BUL,19860620,m
BUL,19860621,m
BUL,19860622,m
BUL,19860623,m
BUL,19860624,m
BUL,19860625,m
BUL,19860626,m
BUL,19860627,m
BUL,19860628,m
BUL,19860629,m
BUL,19860630,m
BUL,19860701,m
BUL,19860702,m
BUL,19860703,m
BUL,19860704,m
BUL,19860705,m
BUL,19860706,m
BUL,19860707,m
BUL,19860708,m
BUL,19860709,m
BUL,19860710,m
BUL,19860711,m
BUL,19860712,m
BUL,19860713,m
BUL,19860714,m
BUL,19860715,m
BUL,19860716,m
BUL,19860717,m
BUL,19860718,m
BUL,19860719,m
BUL,19860720,m
BUL,19860721,m
BUL,19860722,m
BUL,19860723,m
BUL,19860724,m
BUL,19860725,m
BUL,19860726,m
BUL,19860727,m
BUL,19860728,m
BUL,19860729,m
BUL,19860730,m
BUL,19860731,m
BUL,19860801,m
BUL,19860802,m
BUL,19860803,m
BUL,19860804,m
BUL,19860805,m
BUL,19860806,m
BUL,19860807,m
BUL,19860808,m
BUL,19860809,m
BUL,19860810,m
BUL,19860811,m
BUL,19860812,m
BUL,19860813,m
BUL,19860814,m
BUL,19860815,m
BUL,19860816,m
BUL,19860817,m
BUL,19860818,m
BUL,19860819,m
BUL,19860820,m
BUL,19860821,m
BUL,19860822,m
BUL,19860823,m
BUL,19860824,m
BUL,19860825,m
BUL,19860826,m
BUL,19860827,m
BUL,19860828,m
BUL,19860829,m
BUL,19860830,m
BUL,19860831,m
BUL,19860901,m
BUL,19860902,m
BUL,19860903,m
BUL,19860904,m
BUL,19860905,m
BUL,19860906,m
BUL,19860907,m
BUL,19860908,m
BUL,19860909,m
BUL,19860910,m
BUL,19860911,m
BUL,19860912,m
BUL,19860913,m
BUL,19860914,m
BUL,19860915,m
BUL,19860916,m
BUL,19860917,m
BUL,19860918,m
BUL,19860919,m
BUL,19860920,m
BUL,19860921,m
BUL,19860922,m
BUL,19860923,m
BUL,19860924,m
BUL,19860925,m
BUL,19860926,m
BUL,19860927,m
BUL,19860928,m
BUL,19860929,m
BUL,19860930,m
BUL,19861001,m
BUL,19861002,m
BUL,19861003,m
BUL,19861004,m
BUL,19861005,m
BUL,19861006,m
BUL,19861007,m
BUL,19861008,m
BUL,19861009,m
BUL,19861010,m
BUL,19861011,m
BUL,19861012,m
BUL,19861013,m
BUL,19861014,m
BUL,19861015,m
BUL,19861016,m
BUL,19861017,m
BUL,19861018,m
BUL,19861019,m
BUL,19861020,m
BUL,19861021,m
BUL,19861022,m
BUL,19861023,m
BUL,19861024,m
BUL,19861025,m
BUL,19861026,m
BUL,19861027,m
BUL,19861028,m
BUL,19861029,m
BUL,19861030,m
BUL,19861031,m
BUL,19861101,m
BUL,19861102,m
BUL,19861103,m
BUL,19861104,m
BUL,19861105,m
BUL,19861106,m
BUL,19861107,m
BUL,19861108,m
BUL,19861109,m
BUL,19861110,m
BUL,19861111,m
BUL,19861112,m
BUL,19861113,m
BUL,19861114,m
BUL,19861115,m
BUL,19861116,m
BUL,19861117,m
BUL,19861118,m
BUL,19861119,m
BUL,19861120,m
BUL,19861121,m
BUL,19861122,m
BUL,19861123,m
BUL,19861124,m
BUL,19861125,m
BUL,19861126,m
BUL,19861127,m
BUL,19861128,m
BUL,19861129,m
BUL,19861130,m
BUL,19861201,m
BUL,19861202,m
BUL,19861203,m
BUL,19861204,m
BUL,19861205,m
BUL,19861206,m
BUL,19861207,m
BUL,19861208,m
BUL,19861209,m
BUL,19861210,m
BUL,19861211,m
BUL,19861212,m
BUL,19861213,m
BUL,19861214,m
BUL,19861215,m
BUL,19861216,m
BUL,19861217,m
BUL,19861218,m
BUL,19861219,m
BUL,19861220,m
BUL,19861221,m
BUL,19861222,m
BUL,19861223,m
BUL,19861224,m
BUL,19861225,m
BUL,19861226,m
BUL,19861227,m
BUL,19861228,m
BUL,19861229,m
BUL,19861230,m
BUL,19861231,m
BUL,19870101,m
BUL,19870102,m
BUL,19870103,m
BUL,19870104,m
BUL,19870105,m
BUL,19870106,m
BUL,19870107,m
BUL,19870108,m
BUL,19870109,m
BUL,19870110,m
BUL,19870111,m
BUL,19870112,m
BUL,19870113,m
BUL,19870114,m
BUL,19870115,m
BUL,19870116,m
BUL,19870117,m
BUL,19870118,m
BUL,19870119,m
BUL,19870120,m
BUL,19870121,m
BUL,19870122,m
BUL,19870123,m
BUL,19870124,m
BUL,19870125,m
BUL,19870126,m
BUL,19870127,m
BUL,19870128,m
BUL,19870129,m
BUL,19870130,m
BUL,19870131,m
BUL,19870201,m
BUL,19870202,m
BUL,19870203,m
BUL,19870204,m
BUL,19870205,m
BUL,19870206,m
BUL,19870207,m
BUL,19870208,m
BUL,19870209,m
BUL,19870210,m
BUL,19870211,m
BUL,19870212,m
BUL,19870213,m
BUL,19870214,m
BUL,19870215,m
BUL,19870216,m
BUL,19870217,m
