ID,Date,Reservoir_Storage(AF)
CAS,20070430,296868
CAS,20070528,307970
CAS,20070529,307363
CAS,20070530,309340
CAS,20070531,308926
CAS,20070601,308557
CAS,20070602,308666
CAS,20070603,305977
CAS,20070604,303131
CAS,20070605,302250
CAS,20070606,303281
CAS,20070607,304681
CAS,20070608,302099
CAS,20070609,299872
CAS,20070610,297463
CAS,20070611,294918
CAS,20070612,295341
CAS,20070613,296953
CAS,20070614,296889
CAS,20070615,294178
CAS,20070616,291396
CAS,20070617,288798
CAS,20070618,286213
CAS,20070619,283394
CAS,20070620,282877
CAS,20070621,284884
CAS,20070622,282815
CAS,20070623,279934
CAS,20070624,277070
CAS,20070625,274304
CAS,20070702,268400
CAS,20070703,269625
CAS,20070704,266578
CAS,20070705,268561
CAS,20070706,268661
CAS,20070707,266658
CAS,20070708,264028
CAS,20070709,264485
CAS,20070710,265142
CAS,20070711,265202
CAS,20070712,267118
CAS,20070713,267438
CAS,20070714,266738
CAS,20070715,263789
CAS,20070716,263213
CAS,20070717,264246
CAS,20070718,264147
CAS,20070719,265361
CAS,20070720,266798
CAS,20070721,265381
CAS,20070722,262519
CAS,20070801,267278
CAS,20070802,269605
CAS,20070803,271858
CAS,20070804,272766
CAS,20070805,270108
CAS,20070806,269686
CAS,20070807,271696
CAS,20070808,272908
CAS,20070809,274041
CAS,20070810,275177
CAS,20070811,277478
CAS,20070812,275116
CAS,20070813,275279
CAS,20070814,277050
CAS,20070815,279012
CAS,20070816,280899
CAS,20070817,282836
CAS,20070818,285964
CAS,20070819,283890
CAS,20070820,284366
CAS,20070821,286608
CAS,20070822,288443
CAS,20070823,290368
CAS,20070824,292469
CAS,20070825,292069
CAS,20070826,289970
CAS,20070827,289614
CAS,20070828,291712
CAS,20070829,293396
CAS,20070830,295256
CAS,20070831,296189
CAS,20070901,295786
CAS,20070902,293417
CAS,20070903,292975
CAS,20070904,293734
CAS,20070905,294664
CAS,20070906,296019
CAS,20070907,297804
CAS,20070908,297825
CAS,20070909,295701
CAS,20070910,295172
CAS,20070911,296189
CAS,20070912,296783
CAS,20070913,297463
CAS,20070914,298656
CAS,20070915,300193
CAS,20070916,300043
CAS,20070917,299616
CAS,20070918,300878
CAS,20070919,301649
CAS,20070920,302937
CAS,20070921,304681
CAS,20070922,307190
CAS,20070923,305631
CAS,20070924,304250
CAS,20070925,305264
CAS,20070926,307081
CAS,20070927,308818
CAS,20070928,310560
CAS,20070929,312220
CAS,20070930,313096
CAS,20071001,312921
CAS,20071002,313535
CAS,20071003,314589
CAS,20071004,315293
CAS,20071005,315843
CAS,20071006,313996
CAS,20071007,311892
CAS,20071008,311433
CAS,20071009,311870
CAS,20071010,312308
CAS,20071011,311455
CAS,20071012,310844
CAS,20071013,309013
CAS,20071014,306215
CAS,20071015,305286
CAS,20071016,305891
CAS,20071017,307190
CAS,20071018,307775
CAS,20071019,308905
CAS,20071020,307190
CAS,20071021,305372
CAS,20071022,303217
CAS,20071023,303647
CAS,20071024,302937
CAS,20071025,303539
CAS,20071026,304250
CAS,20071027,302014
CAS,20071028,299936
CAS,20071029,297740
CAS,20071030,297548
CAS,20071031,296889
CAS,20071101,297378
