ID,Date,Reservoir_Storage(AF)
CCH,20050107,110039
CCH,20050108,113698
CCH,20050109,141996
CCH,20050110,190171
CCH,20050111,192573
CCH,20050112,193160
CCH,20050113,194523
CCH,20050114,197649
CCH,20050115,196365
CCH,20050116,193253
CCH,20050117,192449
CCH,20050118,192635
CCH,20050119,192665
CCH,20050120,192789
CCH,20050121,193005
CCH,20050122,m
CCH,20050123,192882
CCH,20050124,190477
CCH,20050125,188122
CCH,20050126,188000
CCH,20050127,188091
CCH,20050128,188091
CCH,20050129,188030
CCH,20050130,188489
CCH,20050131,m
CCH,20050201,189345
CCH,20050202,189804
CCH,20050203,190263
CCH,20050204,190691
CCH,20050205,m
CCH,20050206,191553
CCH,20050207,191985
CCH,20050208,192418
CCH,20050209,192573
CCH,20050210,192665
CCH,20050211,192851
CCH,20050212,193036
CCH,20050213,193160
CCH,20050214,193315
CCH,20050215,m
CCH,20050216,191522
CCH,20050217,191584
CCH,20050218,192140
CCH,20050219,192820
CCH,20050220,187788
CCH,20050221,189712
CCH,20050222,192882
CCH,20050223,189070
CCH,20050224,188152
CCH,20050225,188642
CCH,20050226,187697
CCH,20050227,187274
CCH,20050228,188397
CCH,20050301,189529
CCH,20050302,190110
CCH,20050303,190110
CCH,20050304,190263
CCH,20050305,190508
CCH,20050306,190508
CCH,20050307,191120
CCH,20050308,191707
CCH,20050309,192171
CCH,20050310,192573
CCH,20050311,192882
CCH,20050312,193191
CCH,20050313,193315
CCH,20050314,193500
CCH,20050315,193685
CCH,20050316,m
CCH,20050317,193840
CCH,20050318,191398
CCH,20050319,189131
CCH,20050320,187909
CCH,20050321,187909
CCH,20050322,187909
CCH,20050323,190508
CCH,20050324,192511
CCH,20050325,192325
CCH,20050326,192511
CCH,20050327,m
CCH,20050328,192944
CCH,20050329,193067
CCH,20050330,193160
CCH,20050331,193222
CCH,20050401,193160
CCH,20050402,193129
CCH,20050403,193098
CCH,20050404,193067
CCH,20050405,m
CCH,20050406,193036
CCH,20050407,192975
CCH,20050408,192820
CCH,20050409,192758
CCH,20050410,192696
CCH,20050411,192820
CCH,20050412,193067
CCH,20050413,193315
CCH,20050414,193562
CCH,20050415,193902
CCH,20050416,194180
CCH,20050417,194461
CCH,20050418,194711
CCH,20050419,194929
CCH,20050420,195117
CCH,20050421,195366
CCH,20050422,195554
CCH,20050423,195585
CCH,20050424,195585
CCH,20050425,195616
CCH,20050426,195616
CCH,20050427,195647
CCH,20050428,m
CCH,20050429,195928
CCH,20050430,195960
CCH,20050501,195928
CCH,20050502,195928
CCH,20050503,195835
CCH,20050504,195772
CCH,20050505,195679
CCH,20050506,195803
CCH,20050507,195928
CCH,20050508,195960
CCH,20050509,195991
CCH,20050510,195866
CCH,20050511,195803
CCH,20050512,195679
CCH,20050513,m
CCH,20050514,m
CCH,20050515,195304
CCH,20050516,195148
CCH,20050517,195023
CCH,20050518,194961
CCH,20050519,194929
CCH,20050520,194961
CCH,20050521,m
CCH,20050522,m
CCH,20050523,m
CCH,20050524,195085
CCH,20050525,195117
CCH,20050526,195117
CCH,20050527,195148
CCH,20050528,195148
CCH,20050529,195148
CCH,20050530,195179
CCH,20050531,195179
CCH,20050601,195148
CCH,20050602,195148
CCH,20050603,195148
CCH,20050604,195117
CCH,20050605,195117
CCH,20050606,195117
CCH,20050607,195085
CCH,20050608,195023
CCH,20050609,194961
CCH,20050610,194898
CCH,20050611,194867
CCH,20050612,194804
CCH,20050613,194773
CCH,20050614,194711
CCH,20050615,194648
CCH,20050616,194617
CCH,20050617,194555
CCH,20050618,194492
CCH,20050619,194430
CCH,20050620,194367
CCH,20050621,194274
CCH,20050622,194211
CCH,20050623,194087
CCH,20050624,193995
CCH,20050625,193871
CCH,20050626,193747
CCH,20050627,193624
CCH,20050628,193500
CCH,20050629,193376
CCH,20050630,193253
CCH,20050701,193098
CCH,20050702,193005
CCH,20050703,192882
CCH,20050704,192758
CCH,20050705,192665
CCH,20050706,192573
CCH,20050707,192418
CCH,20050708,192294
CCH,20050709,192171
CCH,20050710,192016
CCH,20050711,191862
CCH,20050712,191738
CCH,20050713,191614
CCH,20050714,191491
CCH,20050715,191367
CCH,20050716,191213
CCH,20050717,191089
CCH,20050718,190936
CCH,20050719,190814
CCH,20050720,190661
CCH,20050721,190508
CCH,20050722,190324
CCH,20050723,190171
CCH,20050724,190018
CCH,20050725,189865
CCH,20050726,189682
CCH,20050727,189560
CCH,20050728,189376
CCH,20050729,189223
CCH,20050730,189039
CCH,20050731,188887
CCH,20050801,188734
CCH,20050802,188550
CCH,20050803,188397
CCH,20050804,188244
CCH,20050805,188091
CCH,20050806,187909
CCH,20050807,187758
CCH,20050808,187577
CCH,20050809,m
CCH,20050810,187274
CCH,20050811,187093
CCH,20050812,186911
CCH,20050813,m
CCH,20050814,m
CCH,20050815,186458
CCH,20050816,186307
CCH,20050817,186186
CCH,20050818,186035
CCH,20050819,185914
CCH,20050820,185763
CCH,20050821,185642
CCH,20050822,185521
CCH,20050823,185370
CCH,20050824,185249
CCH,20050825,185067
CCH,20050826,184947
CCH,20050827,184798
CCH,20050828,184649
CCH,20050829,184530
CCH,20050830,184351
CCH,20050831,184202
CCH,20050901,184083
CCH,20050902,183933
CCH,20050903,183755
CCH,20050904,183605
CCH,20050905,183456
CCH,20050906,m
CCH,20050907,183188
CCH,20050908,183039
CCH,20050909,182920
CCH,20050910,182741
CCH,20050911,182592
CCH,20050912,182442
CCH,20050913,182323
CCH,20050914,182144
CCH,20050915,181966
CCH,20050916,181819
CCH,20050917,181672
CCH,20050918,181525
CCH,20050919,181408
CCH,20050920,m
CCH,20050921,181143
CCH,20050922,181026
CCH,20050923,180879
CCH,20050924,180702
CCH,20050925,180585
CCH,20050926,180467
CCH,20050927,180379
CCH,20050928,180262
CCH,20050929,180173
CCH,20050930,179997
CCH,20051001,179850
CCH,20051002,179674
CCH,20051003,179556
CCH,20051004,179380
CCH,20051005,179233
CCH,20051006,179115
CCH,20051007,178941
CCH,20051008,178796
CCH,20051009,178623
CCH,20051010,178507
CCH,20051011,178391
CCH,20051012,178217
CCH,20051013,178101
CCH,20051014,177957
CCH,20051015,177812
CCH,20051016,177638
CCH,20051017,177551
CCH,20051018,177551
CCH,20051019,177464
CCH,20051020,177377
CCH,20051021,177319
CCH,20051022,177233
CCH,20051023,177175
CCH,20051024,177117
CCH,20051025,177030
CCH,20051026,176972
CCH,20051027,176885
CCH,20051028,m
CCH,20051029,m
CCH,20051030,m
CCH,20051031,m
CCH,20051101,176509
CCH,20051102,176364
CCH,20051103,176248
CCH,20051104,176133
CCH,20051105,175990
CCH,20051106,175905
CCH,20051107,175819
CCH,20051108,175790
CCH,20051109,175876
CCH,20051110,175990
CCH,20051111,175962
CCH,20051112,175905
CCH,20051113,175848
CCH,20051114,175819
CCH,20051115,175790
CCH,20051116,175762
CCH,20051117,175705
CCH,20051118,175619
CCH,20051119,175505
CCH,20051120,175448
CCH,20051121,175362
CCH,20051122,175277
CCH,20051123,175134
CCH,20051124,175020
CCH,20051125,174991
CCH,20051126,174877
CCH,20051127,174820
CCH,20051128,174706
CCH,20051129,174620
CCH,20051130,174620
CCH,20051201,174592
CCH,20051202,174649
CCH,20051203,174592
CCH,20051204,174506
CCH,20051205,174421
CCH,20051206,174306
CCH,20051207,174249
CCH,20051208,174164
CCH,20051209,174078
CCH,20051210,174021
CCH,20051211,173964
CCH,20051212,173850
CCH,20051213,173793
CCH,20051214,173736
CCH,20051215,173650
CCH,20051216,173564
CCH,20051217,173536
CCH,20051218,173507
CCH,20051219,173422
CCH,20051220,173365
CCH,20051221,173224
CCH,20051222,173196
CCH,20051223,173167
CCH,20051224,173111
CCH,20051225,173083
CCH,20051226,m
CCH,20051227,172971
CCH,20051228,172915
CCH,20051229,172858
CCH,20051230,172830
CCH,20051231,172830
CCH,20060101,m
CCH,20060102,174620
CCH,20060103,178014
CCH,20060104,178970
CCH,20060105,179409
CCH,20060106,179556
CCH,20060107,179644
CCH,20060108,179733
CCH,20060109,179762
CCH,20060110,179821
CCH,20060111,179821
CCH,20060112,179850
CCH,20060113,179909
CCH,20060114,179909
CCH,20060115,179909
CCH,20060116,179997
CCH,20060117,180026
CCH,20060118,180085
CCH,20060119,180026
CCH,20060120,180085
CCH,20060121,180115
CCH,20060122,180115
CCH,20060123,180115
CCH,20060124,180115
CCH,20060125,180115
CCH,20060126,180144
CCH,20060127,180085
CCH,20060128,180056
CCH,20060129,180026
CCH,20060130,179997
CCH,20060131,m
