ID,Date,Reservoir_Storage(AF)
CLA,19960901,133047
CLA,19960902,132301
CLA,19960903,131478
CLA,19960904,129420
CLA,19960905,127778
CLA,19960906,126957
CLA,19960907,126236
CLA,19960908,125726
CLA,19960909,124494
CLA,19960910,123673
CLA,19960911,123673
CLA,19960912,121621
CLA,19960913,170800
CLA,19960914,119979
CLA,19960915,118337
CLA,19960916,117926
CLA,19960917,116695
CLA,19960918,116284
CLA,19960919,116284
CLA,19960920,116284
CLA,19960921,114642
CLA,19960922,115053
CLA,19960923,113821
CLA,19960924,113411
CLA,19960925,113000
CLA,19960926,112591
CLA,19960927,111773
CLA,19960928,111364
CLA,19960929,111364
CLA,19960930,110955
CLA,19961001,109728
CLA,19961002,108910
CLA,19961003,108501
CLA,19961004,107274
CLA,19961005,106456
CLA,19961006,105229
CLA,19961007,104820
CLA,19961008,104003
CLA,19961009,102778
CLA,19961010,102369
CLA,19961011,101144
CLA,19961012,100735
CLA,19961013,100327
CLA,19961014,99509
CLA,19961015,95834
CLA,19961016,95018
CLA,19961017,93786
CLA,19961018,92162
CLA,19961019,91346
CLA,19961020,90122
CLA,19961021,m
CLA,19961022,m
CLA,19961023,m
CLA,19961024,m
CLA,19961025,m
CLA,19961026,m
CLA,19961027,m
CLA,19961028,m
CLA,19961029,m
CLA,19961030,m
CLA,19961031,m
CLA,19961101,84013
CLA,19961102,84013
CLA,19961103,83606
CLA,19961104,84420
CLA,19961105,84013
CLA,19961106,84013
CLA,19961107,83606
CLA,19961108,83606
CLA,19961109,83606
CLA,19961110,83606
CLA,19961111,83199
CLA,19961112,83199
CLA,19961113,83199
CLA,19961114,83199
CLA,19961115,83199
CLA,19961116,83606
CLA,19961117,83606
CLA,19961118,84420
CLA,19961119,86862
CLA,19961120,87676
CLA,19961121,87676
CLA,19961122,89306
CLA,19961123,88898
CLA,19961124,88898
CLA,19961125,89714
CLA,19961126,m
CLA,19961127,m
CLA,19961128,m
CLA,19961129,m
CLA,19961130,m
CLA,19961201,89306
CLA,19961202,89490
CLA,19961203,88083
CLA,19961204,88490
CLA,19961205,92570
CLA,19961206,95426
CLA,19961207,96242
CLA,19961208,99101
CLA,19961209,102778
CLA,19961210,113821
CLA,19961211,122031
CLA,19961212,127778
CLA,19961213,130655
CLA,19961214,133535
CLA,19961215,134770
CLA,19961216,135593
CLA,19961217,136416
CLA,19961218,137239
CLA,19961219,136416
CLA,19961220,136004
CLA,19961221,139298
CLA,19961222,142182
CLA,19961223,147126
CLA,19961224,-9999
CLA,19961225,-9999
CLA,19961226,-9999
CLA,19961227,-9999
CLA,19961228,-9999
CLA,19961229,-9999
CLA,19961230,-9999
CLA,19961231,-9999
CLA,19970101,265202
CLA,19970102,308126
CLA,19970103,324360
CLA,19970104,329646
CLA,19970105,330087
CLA,19970106,326563
CLA,19970107,323482
CLA,19970108,319531
CLA,19970109,316019
CLA,19970110,312072
CLA,19970111,307687
CLA,19970112,305502
CLA,19970113,297221
CLA,19970114,292874
CLA,19970115,287666
CLA,19970116,284198
CLA,19970117,279434
CLA,19970118,275114
CLA,19970119,271660
CLA,19970120,271660
CLA,19970121,268646
CLA,19970122,266924
CLA,19970123,286366
CLA,19970124,289834
CLA,19970125,332289
CLA,19970126,347300
CLA,19970127,353945
CLA,19970128,355275
CLA,19970129,353945
CLA,19970130,351284
CLA,19970131,348628
CLA,19970201,344203
CLA,19970202,340667
CLA,19970203,337139
CLA,19970204,332730
CLA,19970205,328765
CLA,19970206,324801
CLA,19970207,319970
CLA,19970208,316019
CLA,19970209,312072
CLA,19970210,312072
CLA,19970211,303758
CLA,19970212,299399
CLA,19970213,295047
CLA,19970214,291571
CLA,19970215,287666
CLA,19970216,282898
CLA,19970217,279434
CLA,19970218,275546
CLA,19970219,272954
CLA,19970220,272522
CLA,19970221,272090
CLA,19970222,272229
CLA,19970223,272522
CLA,19970224,272522
CLA,19970225,272090
CLA,19970226,272954
CLA,19970227,270799
CLA,19970228,270368
CLA,19970301,269077
CLA,19970302,266924
CLA,19970303,267355
CLA,19970304,267785
CLA,19970305,267355
CLA,19970306,267785
CLA,19970307,268216
CLA,19970308,268646
CLA,19970309,269077
CLA,19970310,269077
CLA,19970311,268646
CLA,19970312,269077
CLA,19970313,269507
CLA,19970314,269938
CLA,19970315,270799
CLA,19970316,276410
CLA,19970317,277274
CLA,19970318,278570
CLA,19970319,277706
CLA,19970320,280730
CLA,19970321,281164
CLA,19970322,181164
CLA,19970323,281164
CLA,19970324,281164
CLA,19970325,282031
CLA,19970326,282464
CLA,19970327,282031
CLA,19970328,282031
CLA,19970329,282031
CLA,19970330,282031
CLA,19970331,282031
CLA,19970401,282031
CLA,19970402,279866
CLA,19970403,279866
CLA,19970404,279002
CLA,19970405,278510
CLA,19970406,278138
CLA,19970407,m
CLA,19970408,m
CLA,19970409,275546
CLA,19970410,275114
CLA,19970411,274612
CLA,19970412,274250
CLA,19970413,273818
CLA,19970414,273818
CLA,19970415,273818
CLA,19970416,273385
CLA,19970417,273386
CLA,19970418,272522
CLA,19970419,273386
CLA,19970420,273818
CLA,19970421,273386
CLA,19970422,273818
CLA,19970423,272954
CLA,19970424,272954
CLA,19970425,273386
CLA,19970426,272954
CLA,19970427,270799
CLA,19970428,270368
CLA,19970429,269938
CLA,19970430,269938
CLA,19970501,267785
CLA,19970502,266924
CLA,19970503,265633
CLA,19970504,264772
CLA,19970505,264772
CLA,19970506,263480
CLA,19970507,262623
CLA,19970508,261766
CLA,19970509,260909
CLA,19970510,259614
CLA,19970511,259195
CLA,19970512,m
CLA,19970513,255767
CLA,19970514,254054
CLA,19970515,253198
CLA,19970516,251914
CLA,19970517,250630
CLA,19970518,249346
CLA,19970519,249386
CLA,19970520,247206
CLA,19970521,245498
CLA,19970522,244220
CLA,19970523,243368
CLA,19970524,242090
CLA,19970525,241238
CLA,19970526,239108
CLA,19970527,237830
CLA,19970528,236507
CLA,19970529,235708
CLA,19970530,233585
CLA,19970531,231887
CLA,19970601,231887
CLA,19970602,230189
CLA,19970603,229765
CLA,19970604,728493
CLA,19970605,226799
CLA,19970606,225105
CLA,19970607,223835
CLA,19970608,227988
CLA,19970609,227988
CLA,19970610,220026
CLA,19970611,217916
CLA,19970612,215808
CLA,19970613,214124
CLA,19970614,213282
CLA,19970615,211179
CLA,19970616,209497
CLA,19970617,206974
CLA,19970618,205292
CLA,19970619,203192
CLA,19970620,201516
CLA,19970621,199840
CLA,19970622,197326
CLA,19970623,197326
CLA,19970624,195233
CLA,19970625,193980
CLA,19970626,191893
CLA,19970627,187300
CLA,19970628,185268
CLA,19970629,182719
CLA,19970630,182719
CLA,19970701,181053
CLA,19970702,179387
CLA,19970703,177310
CLA,19970704,176895
CLA,19970705,174820
CLA,19970706,173160
CLA,19970707,173160
CLA,19970708,171915
CLA,19970709,169842
CLA,19970710,168600
CLA,19970711,166944
CLA,19970712,165702
CLA,19970713,161546
CLA,19970714,161151
CLA,19970715,159912
CLA,19970716,157847
CLA,19970717,155782
CLA,19970718,154543
CLA,19970719,153718
CLA,19970720,151638
CLA,19970721,150422
CLA,19970722,149186
CLA,19970723,147538
CLA,19970724,145890
CLA,19970725,144654
CLA,19970726,142594
CLA,19970727,140946
CLA,19970728,m
CLA,19970729,m
CLA,19970730,m
CLA,19970731,m
CLA,19970801,135181
CLA,19970802,133124
CLA,19970803,130243
CLA,19970804,132301
CLA,19970805,131478
CLA,19970806,130655
CLA,19970807,129832
CLA,19970808,129010
CLA,19970809,128189
CLA,19970810,126957
CLA,19970811,125726
CLA,19970812,123673
CLA,19970813,122442
CLA,19970814,120389
CLA,19970815,119158
CLA,19970816,117105
CLA,19970817,113821
CLA,19970818,112132
CLA,19970819,112591
CLA,19970820,112152
CLA,19970821,110546
CLA,19970822,109728
CLA,19970823,108092
CLA,19970824,106047
CLA,19970825,106047
CLA,19970826,104003
CLA,19970827,102369
CLA,19970828,101144
CLA,19970829,100327
CLA,19970830,98693
CLA,19970831,97059
CLA,19970901,94202
CLA,19970902,93794
CLA,19970903,92978
CLA,19970904,92162
CLA,19970905,91346
CLA,19970906,90122
CLA,19970907,88083
CLA,19970908,87269
CLA,19970909,86455
CLA,19970910,85641
CLA,19970911,84827
CLA,19970912,83606
CLA,19970913,82385
CLA,19970914,82385
CLA,19970915,80757
CLA,19970916,79132
CLA,19970917,78320
CLA,19970918,77102
CLA,19970919,76696
CLA,19970920,75478
CLA,19970921,74260
CLA,19970922,73448
CLA,19970923,72636
CLA,19970924,72230
CLA,19970925,70608
CLA,19970926,69392
CLA,19970927,68175
CLA,19970928,67364
CLA,19970929,m
CLA,19970930,m
CLA,19971001,63716
CLA,19971002,64526
CLA,19971003,62100
CLA,19971004,62100
CLA,19971005,60888
CLA,19971006,59272
CLA,19971007,59272
CLA,19971008,60080
CLA,19971009,60888
CLA,19971010,60080
CLA,19971011,59676
CLA,19971012,59272
CLA,19971013,59676
CLA,19971014,59676
CLA,19971015,59272
CLA,19971016,58868
CLA,19971017,58868
CLA,19971018,58464
CLA,19971019,58060
CLA,19971020,58060
CLA,19971021,58000
CLA,19971022,57252
CLA,19971023,56444
CLA,19971024,56040
CLA,19971025,55637
CLA,19971026,54830
CLA,19971027,m
CLA,19971028,m
CLA,19971029,m
CLA,19971030,m
CLA,19971031,m
CLA,19971101,54023
CLA,19971102,54023
CLA,19971103,53216
CLA,19971104,53216
CLA,19971105,53216
CLA,19971106,54023
CLA,19971107,54023
CLA,19971108,53216
CLA,19971109,54023
CLA,19971110,54830
CLA,19971111,55637
CLA,19971112,57252
CLA,19971113,57656
CLA,19971114,58868
CLA,19971115,60888
CLA,19971116,62908
CLA,19971117,63716
CLA,19971118,64526
CLA,19971119,64931
CLA,19971120,65337
CLA,19971121,65337
CLA,19971122,65742
CLA,19971123,65742
CLA,19971124,65742
CLA,19971125,66148
CLA,19971126,71825
CLA,19971127,77102
CLA,19971128,79132
CLA,19971129,80350
CLA,19971130,85234
CLA,19971201,88083
CLA,19971202,89306
CLA,19971203,90938
CLA,19971204,93386
CLA,19971205,97467
CLA,19971206,98284
CLA,19971207,99509
CLA,19971208,103186
CLA,19971209,104820
CLA,19971210,106097
CLA,19971211,107274
CLA,19971212,108092
CLA,19971213,109319
CLA,19971214,113000
CLA,19971215,114642
CLA,19971216,117105
CLA,19971217,118747
CLA,19971218,120389
CLA,19971219,121210
CLA,19971220,122031
CLA,19971221,123263
CLA,19971222,123263
CLA,19971223,122442
CLA,19971224,120800
CLA,19971225,121621
