ID,Date,Reservoir_Storage(AF)
CLE,19800101,1715492
CLE,19800102,1718515
CLE,19800103,1721012
CLE,19800104,1723245
CLE,19800105,1726673
CLE,19800106,1729710
CLE,19800107,1732353
CLE,19800108,1734994
CLE,19800109,1737766
CLE,19800110,1740153
CLE,19800111,1745461
CLE,19800112,1768907
CLE,19800113,1800772
CLE,19800114,1830788
CLE,19800115,1849415
CLE,19800116,1864569
CLE,19800117,1876060
CLE,19800118,1884122
CLE,19800119,1890393
CLE,19800120,1895564
CLE,19800121,1900313
CLE,19800122,1904664
CLE,19800123,1908457
CLE,19800124,1912531
CLE,19800125,1916330
CLE,19800126,1919860
CLE,19800127,1922966
CLE,19800128,1925365
CLE,19800129,1927764
CLE,19800130,1930029
CLE,19800131,1932157
CLE,19800201,1934430
CLE,19800202,1937126
CLE,19800203,1943798
CLE,19800204,1948508
CLE,19800205,1952500
CLE,19800206,1956067
CLE,19800207,1959788
CLE,19800208,1962946
CLE,19800209,1965814
CLE,19800210,1968538
CLE,19800211,1971119
CLE,19800212,1973134
CLE,19800213,1975295
CLE,19800214,1977601
CLE,19800215,1981060
CLE,19800216,1991322
CLE,19800217,2023307
CLE,19800218,2061768
CLE,19800219,2090514
CLE,19800220,2108859
CLE,19800221,2120684
CLE,19800222,2129392
CLE,19800223,2134804
CLE,19800224,2139326
CLE,19800225,2144902
CLE,19800226,2152604
CLE,19800227,2170173
CLE,19800228,2185682
CLE,19800229,2191321
CLE,19800301,2194673
CLE,19800302,2194979
CLE,19800303,2193605
CLE,19800304,2189491
CLE,19800305,2185072
CLE,19800306,2182330
CLE,19800307,2177764
CLE,19800308,2173817
CLE,19800309,2167898
CLE,19800310,2163496
CLE,19800311,2156992
CLE,19800312,2150336
CLE,19800313,2144902
CLE,19800314,2143095
CLE,19800315,2139926
CLE,19800316,2137968
CLE,19800317,2135407
CLE,19800318,2132846
CLE,19800319,2131647
CLE,19800320,2130144
CLE,19800321,2132545
CLE,19800322,2132395
CLE,19800323,2132395
CLE,19800324,2131346
CLE,19800325,2130594
CLE,19800326,2129843
CLE,19800327,2129091
CLE,19800328,2128790
CLE,19800329,2128193
CLE,19800330,2127742
CLE,19800331,2126840
CLE,19800401,2126239
CLE,19800402,2125337
CLE,19800403,2124886
CLE,19800404,2125938
CLE,19800405,2127291
CLE,19800406,2128042
CLE,19800407,2128640
CLE,19800408,2128193
CLE,19800409,2128042
CLE,19800410,2128941
CLE,19800411,2129242
CLE,19800412,2129843
CLE,19800413,2132094
CLE,19800414,2133447
CLE,19800415,2134954
CLE,19800416,2136761
CLE,19800417,2139176
CLE,19800418,2142944
CLE,19800419,2147015
CLE,19800420,2157143
CLE,19800421,2163193
CLE,19800422,2167746
CLE,19800423,2172453
CLE,19800424,2177008
CLE,19800425,2181263
CLE,19800426,2186902
CLE,19800427,2191931
CLE,19800428,2198036
CLE,19800429,2205069
CLE,19800430,2209810
CLE,19800501,2217021
CLE,19800502,2224079
CLE,19800503,2232699
CLE,19800504,2241480
CLE,19800505,2249980
CLE,19800506,2258173
CLE,19800507,2264223
CLE,19800508,2270579
CLE,19800509,2276179
CLE,19800510,2280380
CLE,19800511,2284270
CLE,19800512,2287383
CLE,19800513,2290509
CLE,19800514,2293948
CLE,19800515,2297856
CLE,19800516,2301922
CLE,19800517,2306321
CLE,19800518,2311354
CLE,19800519,2317486
CLE,19800520,2324128
CLE,19800521,2329822
