ID,Date,Reservoir_Storage(AF)
CMN,19850102,298090
CMN,19850103,m
CMN,19850104,m
CMN,19850105,m
CMN,19850106,m
CMN,19850107,m
CMN,19850108,298030
CMN,19850109,m
CMN,19850110,m
CMN,19850111,m
CMN,19850112,m
CMN,19850113,m
CMN,19850114,m
CMN,19850115,297460
CMN,19850116,m
CMN,19850117,m
CMN,19850118,m
CMN,19850119,m
CMN,19850120,m
CMN,19850121,m
CMN,19850122,297020
CMN,19850123,m
CMN,19850124,m
CMN,19850125,m
CMN,19850126,m
CMN,19850127,m
CMN,19850128,m
CMN,19850129,296520
CMN,19850130,m
CMN,19850131,m
CMN,19850201,m
CMN,19850202,m
CMN,19850203,m
CMN,19850204,m
CMN,19850205,294500
CMN,19850206,m
CMN,19850207,m
CMN,19850208,m
CMN,19850209,m
CMN,19850210,m
CMN,19850211,m
CMN,19850212,m
CMN,19850213,294250
CMN,19850214,m
CMN,19850215,m
CMN,19850216,m
CMN,19850217,m
CMN,19850218,m
CMN,19850219,293060
CMN,19850220,m
CMN,19850221,m
CMN,19850222,m
CMN,19850223,m
CMN,19850224,m
CMN,19850225,m
CMN,19850226,291810
CMN,19850227,m
CMN,19850228,m
CMN,19850301,290810
CMN,19850302,m
CMN,19850303,m
CMN,19850304,m
CMN,19850305,290690
CMN,19850306,m
CMN,19850307,m
CMN,19850308,m
CMN,19850309,m
CMN,19850310,m
CMN,19850311,m
CMN,19850312,297720
CMN,19850313,m
CMN,19850314,m
CMN,19850315,m
CMN,19850316,m
CMN,19850317,m
CMN,19850318,m
CMN,19850319,302240
CMN,19850320,m
CMN,19850321,m
CMN,19850322,m
CMN,19850323,m
CMN,19850324,m
CMN,19850325,m
CMN,19850326,309720
CMN,19850327,m
CMN,19850328,m
CMN,19850329,m
CMN,19850330,m
CMN,19850331,m
CMN,19850401,m
CMN,19850402,316990
CMN,19850403,m
CMN,19850404,m
CMN,19850405,m
CMN,19850406,m
CMN,19850407,m
CMN,19850408,m
CMN,19850409,325730
CMN,19850410,m
CMN,19850411,m
CMN,19850412,m
CMN,19850413,m
CMN,19850414,m
CMN,19850415,m
CMN,19850416,333530
CMN,19850417,m
CMN,19850418,m
CMN,19850419,m
CMN,19850420,m
CMN,19850421,m
CMN,19850422,m
CMN,19850423,340060
CMN,19850424,m
CMN,19850425,m
CMN,19850426,m
CMN,19850427,m
CMN,19850428,m
CMN,19850429,m
CMN,19850430,345630
CMN,19850501,m
CMN,19850502,m
CMN,19850503,m
CMN,19850504,m
CMN,19850505,m
CMN,19850506,m
CMN,19850507,341820
CMN,19850508,m
CMN,19850509,m
CMN,19850510,m
CMN,19850511,m
CMN,19850512,m
CMN,19850513,m
CMN,19850514,336080
CMN,19850515,m
CMN,19850516,m
CMN,19850517,m
CMN,19850518,m
CMN,19850519,m
CMN,19850520,m
CMN,19850521,329590
CMN,19850522,m
CMN,19850523,m
CMN,19850524,m
CMN,19850525,m
CMN,19850526,m
CMN,19850527,m
CMN,19850528,322890
CMN,19850529,m
CMN,19850530,m
CMN,19850531,m
CMN,19850601,m
CMN,19850602,m
CMN,19850603,m
CMN,19850604,316330
CMN,19850605,m
CMN,19850606,m
CMN,19850607,m
CMN,19850608,m
CMN,19850609,m
CMN,19850610,m
CMN,19850611,311070
CMN,19850612,m
CMN,19850613,m
CMN,19850614,m
CMN,19850615,m
CMN,19850616,m
CMN,19850617,m
CMN,19850618,306950
CMN,19850619,m
CMN,19850620,m
CMN,19850621,m
CMN,19850622,m
CMN,19850623,m
CMN,19850624,m
CMN,19850625,302150
CMN,19850626,m
CMN,19850627,m
CMN,19850628,m
CMN,19850629,m
CMN,19850630,m
CMN,19850701,m
CMN,19850702,297460
CMN,19850703,m
CMN,19850704,m
CMN,19850705,m
CMN,19850706,m
CMN,19850707,m
CMN,19850708,m
CMN,19850709,291810
CMN,19850710,m
CMN,19850711,m
CMN,19850712,m
CMN,19850713,m
CMN,19850714,m
CMN,19850715,m
CMN,19850716,286210
CMN,19850717,m
CMN,19850718,m
CMN,19850719,-850
CMN,19850720,m
CMN,19850721,m
CMN,19850722,m
CMN,19850723,280800
CMN,19850724,m
CMN,19850725,m
CMN,19850726,m
CMN,19850727,m
CMN,19850728,m
CMN,19850729,m
CMN,19850730,275200
CMN,19850731,m
CMN,19850801,m
CMN,19850802,m
CMN,19850803,m
CMN,19850804,m
CMN,19850805,m
CMN,19850806,269420
CMN,19850807,m
CMN,19850808,m
CMN,19850809,m
CMN,19850810,m
CMN,19850811,m
CMN,19850812,m
CMN,19850813,264120
CMN,19850814,m
CMN,19850815,m
CMN,19850816,m
CMN,19850817,m
CMN,19850818,m
CMN,19850819,m
CMN,19850820,259530
CMN,19850821,m
CMN,19850822,m
CMN,19850823,m
CMN,19850824,m
CMN,19850825,m
CMN,19850826,m
CMN,19850827,256020
CMN,19850828,m
CMN,19850829,m
CMN,19850830,m
CMN,19850831,m
CMN,19850901,m
CMN,19850902,m
CMN,19850903,251910
CMN,19850904,m
CMN,19850905,m
CMN,19850906,m
CMN,19850907,m
CMN,19850908,m
CMN,19850909,m
CMN,19850910,248460
CMN,19850911,m
CMN,19850912,m
CMN,19850913,m
CMN,19850914,m
CMN,19850915,m
CMN,19850916,m
CMN,19850917,247710
CMN,19850918,m
CMN,19850919,m
CMN,19850920,m
CMN,19850921,m
CMN,19850922,m
CMN,19850923,m
CMN,19850924,247430
CMN,19850925,m
CMN,19850926,m
CMN,19850927,m
CMN,19850928,m
CMN,19850929,m
CMN,19850930,m
CMN,19851001,246120
CMN,19851002,m
CMN,19851003,m
CMN,19851004,m
CMN,19851005,m
CMN,19851006,m
CMN,19851007,m
CMN,19851008,247890
CMN,19851009,m
CMN,19851010,m
CMN,19851011,m
CMN,19851012,m
CMN,19851013,m
CMN,19851014,m
CMN,19851015,252890
CMN,19851016,m
CMN,19851017,m
CMN,19851018,m
CMN,19851019,m
CMN,19851020,m
CMN,19851021,m
CMN,19851022,256310
CMN,19851023,m
CMN,19851024,m
CMN,19851025,m
CMN,19851026,m
CMN,19851027,m
CMN,19851028,m
CMN,19851029,256840
CMN,19851030,m
CMN,19851031,m
CMN,19851101,m
CMN,19851102,m
CMN,19851103,m
CMN,19851104,m
CMN,19851105,258240
CMN,19851106,m
CMN,19851107,m
CMN,19851108,m
CMN,19851109,m
CMN,19851110,m
CMN,19851111,m
CMN,19851112,260410
CMN,19851113,m
CMN,19851114,m
CMN,19851115,m
CMN,19851116,m
CMN,19851117,m
CMN,19851118,m
CMN,19851119,314040
CMN,19851120,m
CMN,19851121,m
CMN,19851122,m
CMN,19851123,m
CMN,19851124,m
CMN,19851125,m
CMN,19851126,264950
CMN,19851127,m
CMN,19851128,m
CMN,19851129,m
CMN,19851130,m
CMN,19851201,m
CMN,19851202,m
CMN,19851203,268170
CMN,19851204,m
CMN,19851205,m
CMN,19851206,m
CMN,19851207,m
CMN,19851208,m
CMN,19851209,m
CMN,19851210,271460
CMN,19851211,m
CMN,19851212,m
CMN,19851213,m
CMN,19851214,m
CMN,19851215,m
CMN,19851216,m
CMN,19851217,274350
CMN,19851218,m
CMN,19851219,m
CMN,19851220,m
CMN,19851221,m
CMN,19851222,m
CMN,19851223,278780
CMN,19851224,m
CMN,19851225,m
CMN,19851226,m
CMN,19851227,m
CMN,19851228,m
CMN,19851229,m
CMN,19851230,m
CMN,19851231,284550
CMN,19860101,m
CMN,19860102,m
CMN,19860103,m
CMN,19860104,m
CMN,19860105,m
CMN,19860106,m
CMN,19860107,286030
CMN,19860108,m
CMN,19860109,m
CMN,19860110,m
CMN,19860111,m
CMN,19860112,m
CMN,19860113,m
CMN,19860114,285470
CMN,19860115,m
CMN,19860116,m
CMN,19860117,m
CMN,19860118,m
CMN,19860119,m
CMN,19860120,m
CMN,19860121,291500
CMN,19860122,m
CMN,19860123,m
CMN,19860124,m
CMN,19860125,m
CMN,19860126,m
CMN,19860127,m
CMN,19860128,m
CMN,19860129,m
CMN,19860130,m
CMN,19860131,m
CMN,19860201,m
CMN,19860202,m
CMN,19860203,m
CMN,19860204,m
CMN,19860205,m
CMN,19860206,m
CMN,19860207,m
CMN,19860208,m
CMN,19860209,m
CMN,19860210,m
CMN,19860211,m
CMN,19860212,m
CMN,19860213,m
CMN,19860214,m
CMN,19860215,m
CMN,19860216,m
CMN,19860217,m
CMN,19860218,m
CMN,19860219,m
CMN,19860220,m
CMN,19860221,m
CMN,19860222,m
CMN,19860223,m
CMN,19860224,m
CMN,19860225,m
CMN,19860226,m
CMN,19860227,m
CMN,19860228,m
CMN,19860301,m
CMN,19860302,m
CMN,19860303,m
CMN,19860304,m
CMN,19860305,m
CMN,19860306,m
CMN,19860307,m
CMN,19860308,m
CMN,19860309,m
CMN,19860310,m
CMN,19860311,m
CMN,19860312,m
CMN,19860313,m
CMN,19860314,m
CMN,19860315,m
CMN,19860316,m
CMN,19860317,m
CMN,19860318,m
CMN,19860319,m
CMN,19860320,m
CMN,19860321,m
CMN,19860322,m
CMN,19860323,m
CMN,19860324,m
CMN,19860325,m
CMN,19860326,m
CMN,19860327,m
CMN,19860328,m
CMN,19860329,m
CMN,19860330,m
CMN,19860331,m
CMN,19860401,m
CMN,19860402,m
CMN,19860403,m
CMN,19860404,m
CMN,19860405,m
CMN,19860406,m
CMN,19860407,m
CMN,19860408,m
CMN,19860409,m
CMN,19860410,m
CMN,19860411,m
CMN,19860412,m
CMN,19860413,m
CMN,19860414,m
CMN,19860415,m
CMN,19860416,m
CMN,19860417,m
CMN,19860418,m
CMN,19860419,m
CMN,19860420,m
CMN,19860421,m
CMN,19860422,m
CMN,19860423,m
CMN,19860424,m
CMN,19860425,m
CMN,19860426,m
CMN,19860427,m
CMN,19860428,m
CMN,19860429,m
CMN,19860430,m
CMN,19860501,m
CMN,19860502,m
CMN,19860503,m
CMN,19860504,m
CMN,19860505,m
CMN,19860506,m
CMN,19860507,m
CMN,19860508,m
CMN,19860509,m
CMN,19860510,m
CMN,19860511,m
CMN,19860512,m
CMN,19860513,m
CMN,19860514,m
CMN,19860515,m
CMN,19860516,m
CMN,19860517,m
CMN,19860518,m
CMN,19860519,m
CMN,19860520,m
CMN,19860521,m
CMN,19860522,m
CMN,19860523,m
CMN,19860524,m
CMN,19860525,m
CMN,19860526,m
CMN,19860527,m
CMN,19860528,m
CMN,19860529,m
CMN,19860530,m
CMN,19860531,m
CMN,19860601,m
CMN,19860602,m
CMN,19860603,m
CMN,19860604,m
CMN,19860605,m
CMN,19860606,m
CMN,19860607,m
CMN,19860608,m
CMN,19860609,m
CMN,19860610,m
CMN,19860611,m
CMN,19860612,m
CMN,19860613,m
CMN,19860614,m
CMN,19860615,m
CMN,19860616,m
CMN,19860617,m
CMN,19860618,m
CMN,19860619,m
CMN,19860620,m
CMN,19860621,m
CMN,19860622,m
CMN,19860623,m
CMN,19860624,m
CMN,19860625,m
CMN,19860626,m
CMN,19860627,m
CMN,19860628,m
CMN,19860629,m
CMN,19860630,m
CMN,19860701,m
CMN,19860702,m
CMN,19860703,m
CMN,19860704,m
CMN,19860705,m
CMN,19860706,m
CMN,19860707,m
CMN,19860708,m
CMN,19860709,m
CMN,19860710,m
CMN,19860711,m
CMN,19860712,m
CMN,19860713,m
CMN,19860714,m
CMN,19860715,m
CMN,19860716,m
CMN,19860717,m
CMN,19860718,m
CMN,19860719,m
CMN,19860720,m
CMN,19860721,m
CMN,19860722,m
CMN,19860723,m
CMN,19860724,m
CMN,19860725,m
CMN,19860726,m
CMN,19860727,m
CMN,19860728,m
CMN,19860729,m
CMN,19860730,m
CMN,19860731,m
CMN,19860801,m
CMN,19860802,m
CMN,19860803,m
CMN,19860804,m
CMN,19860805,m
CMN,19860806,m
CMN,19860807,m
CMN,19860808,m
CMN,19860809,m
CMN,19860810,m
CMN,19860811,m
CMN,19860812,m
CMN,19860813,m
CMN,19860814,m
CMN,19860815,m
CMN,19860816,m
CMN,19860817,m
CMN,19860818,m
CMN,19860819,m
CMN,19860820,m
CMN,19860821,m
CMN,19860822,m
CMN,19860823,m
CMN,19860824,m
CMN,19860825,m
CMN,19860826,m
CMN,19860827,m
CMN,19860828,m
CMN,19860829,m
CMN,19860830,m
CMN,19860831,m
CMN,19860901,m
CMN,19860902,m
CMN,19860903,m
CMN,19860904,m
CMN,19860905,m
CMN,19860906,m
CMN,19860907,m
CMN,19860908,m
CMN,19860909,m
CMN,19860910,m
CMN,19860911,m
CMN,19860912,m
CMN,19860913,m
CMN,19860914,m
CMN,19860915,m
CMN,19860916,m
CMN,19860917,m
CMN,19860918,m
CMN,19860919,m
CMN,19860920,m
CMN,19860921,m
CMN,19860922,m
CMN,19860923,m
CMN,19860924,m
CMN,19860925,m
CMN,19860926,m
CMN,19860927,m
CMN,19860928,m
CMN,19860929,m
CMN,19860930,m
CMN,19861001,m
CMN,19861002,m
CMN,19861003,m
CMN,19861004,m
CMN,19861005,m
CMN,19861006,m
CMN,19861007,m
CMN,19861008,m
CMN,19861009,m
CMN,19861010,m
CMN,19861011,m
CMN,19861012,m
CMN,19861013,m
CMN,19861014,m
CMN,19861015,m
CMN,19861016,m
CMN,19861017,m
CMN,19861018,m
CMN,19861019,m
CMN,19861020,m
CMN,19861021,m
CMN,19861022,m
CMN,19861023,m
CMN,19861024,m
CMN,19861025,m
CMN,19861026,m
CMN,19861027,m
CMN,19861028,m
CMN,19861029,m
CMN,19861030,m
CMN,19861031,m
CMN,19861101,m
CMN,19861102,m
CMN,19861103,m
CMN,19861104,m
CMN,19861105,m
CMN,19861106,m
CMN,19861107,m
CMN,19861108,m
CMN,19861109,m
CMN,19861110,m
CMN,19861111,m
CMN,19861112,m
CMN,19861113,m
CMN,19861114,m
CMN,19861115,m
CMN,19861116,m
CMN,19861117,m
CMN,19861118,m
CMN,19861119,m
CMN,19861120,m
CMN,19861121,m
CMN,19861122,m
CMN,19861123,m
CMN,19861124,m
CMN,19861125,m
CMN,19861126,m
CMN,19861127,m
CMN,19861128,m
CMN,19861129,m
CMN,19861130,m
CMN,19861201,m
CMN,19861202,m
CMN,19861203,m
CMN,19861204,m
CMN,19861205,m
CMN,19861206,m
CMN,19861207,m
CMN,19861208,m
CMN,19861209,m
CMN,19861210,m
CMN,19861211,m
CMN,19861212,m
CMN,19861213,m
CMN,19861214,m
CMN,19861215,m
CMN,19861216,m
CMN,19861217,m
CMN,19861218,m
CMN,19861219,m
CMN,19861220,m
CMN,19861221,m
CMN,19861222,m
CMN,19861223,m
CMN,19861224,m
CMN,19861225,m
CMN,19861226,m
CMN,19861227,m
CMN,19861228,m
CMN,19861229,m
CMN,19861230,m
CMN,19861231,m
CMN,19870101,m
CMN,19870102,m
CMN,19870103,m
CMN,19870104,m
CMN,19870105,m
CMN,19870106,m
CMN,19870107,m
CMN,19870108,m
CMN,19870109,m
CMN,19870110,m
CMN,19870111,m
CMN,19870112,m
CMN,19870113,m
CMN,19870114,m
CMN,19870115,m
CMN,19870116,m
CMN,19870117,m
CMN,19870118,m
CMN,19870119,m
CMN,19870120,m
CMN,19870121,m
CMN,19870122,m
CMN,19870123,m
CMN,19870124,m
CMN,19870125,m
CMN,19870126,m
CMN,19870127,m
CMN,19870128,m
CMN,19870129,m
CMN,19870130,m
CMN,19870131,m
CMN,19870201,m
CMN,19870202,m
CMN,19870203,m
CMN,19870204,m
CMN,19870205,m
CMN,19870206,m
CMN,19870207,m
CMN,19870208,m
CMN,19870209,m
CMN,19870210,m
CMN,19870211,m
CMN,19870212,m
CMN,19870213,m
CMN,19870214,m
CMN,19870215,m
CMN,19870216,m
CMN,19870217,m
CMN,19870218,m
CMN,19870219,m
CMN,19870220,m
CMN,19870221,m
CMN,19870222,m
CMN,19870223,m
CMN,19870224,m
CMN,19870225,m
CMN,19870226,m
CMN,19870227,m
CMN,19870228,m
CMN,19870301,m
CMN,19870302,m
CMN,19870303,m
CMN,19870304,m
CMN,19870305,m
CMN,19870306,m
CMN,19870307,m
CMN,19870308,m
CMN,19870309,m
CMN,19870310,m
CMN,19870311,m
CMN,19870312,m
CMN,19870313,m
CMN,19870314,m
CMN,19870315,m
CMN,19870316,m
CMN,19870317,m
CMN,19870318,m
CMN,19870319,m
CMN,19870320,m
CMN,19870321,m
CMN,19870322,m
CMN,19870323,m
CMN,19870324,m
CMN,19870325,m
CMN,19870326,m
CMN,19870327,m
CMN,19870328,m
CMN,19870329,m
CMN,19870330,m
CMN,19870331,m
CMN,19870401,m
CMN,19870402,m
CMN,19870403,m
CMN,19870404,m
CMN,19870405,m
CMN,19870406,m
CMN,19870407,m
CMN,19870408,m
CMN,19870409,m
CMN,19870410,m
CMN,19870411,m
CMN,19870412,m
CMN,19870413,m
CMN,19870414,m
CMN,19870415,m
CMN,19870416,m
CMN,19870417,m
CMN,19870418,m
CMN,19870419,m
CMN,19870420,m
CMN,19870421,m
CMN,19870422,m
CMN,19870423,m
CMN,19870424,m
CMN,19870425,m
CMN,19870426,m
CMN,19870427,m
CMN,19870428,m
CMN,19870429,m
CMN,19870430,m
CMN,19870501,m
CMN,19870502,m
CMN,19870503,m
CMN,19870504,m
CMN,19870505,m
CMN,19870506,m
CMN,19870507,m
CMN,19870508,m
CMN,19870509,m
CMN,19870510,m
CMN,19870511,m
CMN,19870512,m
CMN,19870513,m
CMN,19870514,m
CMN,19870515,m
CMN,19870516,m
CMN,19870517,m
CMN,19870518,m
CMN,19870519,m
CMN,19870520,m
CMN,19870521,m
CMN,19870522,m
CMN,19870523,m
CMN,19870524,m
CMN,19870525,m
CMN,19870526,m
CMN,19870527,m
CMN,19870528,m
CMN,19870529,m
CMN,19870530,m
CMN,19870531,m
CMN,19870601,m
CMN,19870602,m
CMN,19870603,m
CMN,19870604,m
CMN,19870605,m
CMN,19870606,m
CMN,19870607,m
CMN,19870608,m
CMN,19870609,m
CMN,19870610,m
CMN,19870611,m
CMN,19870612,m
CMN,19870613,m
CMN,19870614,m
CMN,19870615,m
CMN,19870616,m
CMN,19870617,m
CMN,19870618,m
CMN,19870619,m
CMN,19870620,m
CMN,19870621,m
CMN,19870622,190800
CMN,19870623,m
CMN,19870624,m
CMN,19870625,m
CMN,19870626,m
CMN,19870627,m
CMN,19870628,m
CMN,19870629,185120
CMN,19870630,m
CMN,19870701,m
CMN,19870702,m
CMN,19870703,m
CMN,19870704,m
CMN,19870705,m
CMN,19870706,179250
CMN,19870707,m
CMN,19870708,m
CMN,19870709,m
CMN,19870710,m
CMN,19870711,m
CMN,19870712,m
CMN,19870713,173590
CMN,19870714,m
CMN,19870715,m
CMN,19870716,m
CMN,19870717,m
CMN,19870718,m
CMN,19870719,m
CMN,19870720,167230
CMN,19870721,m
CMN,19870722,m
CMN,19870723,m
CMN,19870724,m
CMN,19870725,m
CMN,19870726,m
CMN,19870727,162300
CMN,19870728,m
CMN,19870729,m
CMN,19870730,m
CMN,19870731,m
CMN,19870801,m
CMN,19870802,m
CMN,19870803,157690
CMN,19870804,m
CMN,19870805,m
CMN,19870806,m
CMN,19870807,m
CMN,19870808,m
CMN,19870809,m
CMN,19870810,151560
CMN,19870811,m
CMN,19870812,m
CMN,19870813,m
CMN,19870814,m
CMN,19870815,m
CMN,19870816,m
CMN,19870817,146110
CMN,19870818,m
CMN,19870819,m
CMN,19870820,m
CMN,19870821,m
CMN,19870822,m
CMN,19870823,m
CMN,19870824,140740
CMN,19870825,m
CMN,19870826,m
CMN,19870827,m
CMN,19870828,m
CMN,19870829,m
CMN,19870830,m
CMN,19870831,136610
CMN,19870901,m
CMN,19870902,m
CMN,19870903,m
CMN,19870904,m
CMN,19870905,m
CMN,19870906,m
CMN,19870907,131080
CMN,19870908,m
CMN,19870909,m
CMN,19870910,m
CMN,19870911,m
CMN,19870912,m
CMN,19870913,m
CMN,19870914,126570
CMN,19870915,m
CMN,19870916,m
CMN,19870917,m
CMN,19870918,m
CMN,19870919,m
CMN,19870920,m
CMN,19870921,123300
CMN,19870922,m
CMN,19870923,m
CMN,19870924,m
CMN,19870925,m
CMN,19870926,m
CMN,19870927,m
CMN,19870928,118870
CMN,19870929,m
CMN,19870930,m
CMN,19871001,m
CMN,19871002,m
CMN,19871003,m
