ID,Date,Reservoir_Storage(AF)
CVE,20140701,m
CVE,20140702,m
CVE,20140703,m
CVE,20140704,m
CVE,20140705,m
CVE,20140706,m
CVE,20140707,m
CVE,20140708,m
CVE,20140709,m
CVE,20140710,m
CVE,20140711,m
CVE,20140712,m
CVE,20140713,m
CVE,20140714,m
CVE,20140715,m
CVE,20140716,m
CVE,20140717,m
CVE,20140718,m
CVE,20140719,m
CVE,20140720,m
CVE,20140721,m
CVE,20140722,m
CVE,20140723,m
CVE,20140724,m
CVE,20140725,m
CVE,20140726,m
CVE,20140727,m
CVE,20140728,m
CVE,20140729,m
CVE,20140730,m
CVE,20140731,m
CVE,20140801,m
CVE,20140802,m
CVE,20140803,m
CVE,20140804,m
CVE,20140805,m
CVE,20140806,m
CVE,20140807,m
CVE,20140808,m
CVE,20140809,m
CVE,20140810,m
CVE,20140811,m
CVE,20140812,m
CVE,20140813,m
CVE,20140814,m
CVE,20140815,m
CVE,20140816,m
CVE,20140817,m
CVE,20140818,m
CVE,20140819,m
CVE,20140820,m
CVE,20140821,m
CVE,20140822,m
CVE,20140823,m
CVE,20140824,m
CVE,20140825,m
CVE,20140826,m
CVE,20140827,m
CVE,20140828,m
CVE,20140829,m
CVE,20140830,m
CVE,20140831,m
CVE,20140901,m
CVE,20140902,m
CVE,20140903,m
CVE,20140904,m
CVE,20140905,m
CVE,20140906,m
CVE,20140907,m
CVE,20140908,m
CVE,20140909,m
CVE,20140910,m
CVE,20140911,m
CVE,20140912,m
CVE,20140913,m
CVE,20140914,m
CVE,20140915,m
CVE,20140916,m
CVE,20140917,m
CVE,20140918,m
CVE,20140919,m
CVE,20140920,m
CVE,20140921,m
CVE,20140922,m
CVE,20140923,m
CVE,20140924,m
CVE,20140925,m
CVE,20140926,m
CVE,20140927,m
CVE,20140928,m
CVE,20140929,m
CVE,20140930,m
CVE,20141001,m
CVE,20141002,m
CVE,20141003,m
CVE,20141004,m
CVE,20141005,m
CVE,20141006,m
CVE,20141007,m
CVE,20141008,m
CVE,20141009,m
CVE,20141010,m
CVE,20141011,m
CVE,20141012,m
CVE,20141013,m
CVE,20141014,m
CVE,20141015,m
CVE,20141016,m
CVE,20141017,m
CVE,20141018,m
CVE,20141019,m
CVE,20141020,m
CVE,20141021,m
CVE,20141022,m
CVE,20141023,m
CVE,20141024,m
CVE,20141025,m
CVE,20141026,m
CVE,20141027,m
CVE,20141028,m
CVE,20141029,m
CVE,20141030,m
CVE,20141031,m
CVE,20141101,m
CVE,20141102,m
CVE,20141103,m
CVE,20141104,m
CVE,20141105,m
CVE,20141106,m
CVE,20141107,m
CVE,20141108,m
CVE,20141109,m
CVE,20141110,m
CVE,20141111,m
CVE,20141112,m
CVE,20141113,m
CVE,20141114,m
CVE,20141115,m
CVE,20141116,m
CVE,20141117,m
CVE,20141118,m
CVE,20141119,m
CVE,20141120,m
CVE,20141121,m
CVE,20141122,m
CVE,20141123,m
CVE,20141124,m
CVE,20141125,m
CVE,20141126,m
CVE,20141127,m
CVE,20141128,m
CVE,20141129,m
CVE,20141130,m
CVE,20141201,m
CVE,20141202,m
CVE,20141203,m
CVE,20141204,m
CVE,20141205,m
CVE,20141206,m
CVE,20141207,m
CVE,20141208,m
CVE,20141209,m
CVE,20141210,m
CVE,20141211,m
CVE,20141212,m
CVE,20141213,m
CVE,20141214,m
CVE,20141215,m
CVE,20141216,m
CVE,20141217,m
CVE,20141218,m
CVE,20141219,m
CVE,20141220,m
CVE,20141221,m
CVE,20141222,m
CVE,20141223,m
CVE,20141224,m
CVE,20141225,m
CVE,20141226,m
CVE,20141227,m
CVE,20141228,m
CVE,20141229,m
CVE,20141230,m
CVE,20141231,m
CVE,20150101,m
CVE,20150102,m
CVE,20150103,m
CVE,20150104,m
CVE,20150105,m
CVE,20150106,m
CVE,20150107,m
CVE,20150108,m
CVE,20150109,m
CVE,20150110,m
CVE,20150111,m
CVE,20150112,m
CVE,20150113,m
CVE,20150114,m
CVE,20150115,m
CVE,20150116,m
CVE,20150117,m
CVE,20150118,m
CVE,20150119,m
CVE,20150120,m
CVE,20150121,m
CVE,20150122,m
CVE,20150123,m
CVE,20150124,m
CVE,20150125,m
CVE,20150126,m
CVE,20150127,m
CVE,20150128,m
CVE,20150129,m
CVE,20150130,m
CVE,20150131,m
CVE,20150201,m
CVE,20150202,m
CVE,20150203,m
CVE,20150204,m
CVE,20150205,m
CVE,20150206,m
CVE,20150207,m
CVE,20150208,m
CVE,20150209,m
CVE,20150210,m
CVE,20150211,m
CVE,20150212,m
CVE,20150213,m
CVE,20150214,m
CVE,20150215,m
CVE,20150216,m
CVE,20150217,m
CVE,20150218,m
CVE,20150219,m
CVE,20150220,m
CVE,20150221,m
CVE,20150222,m
CVE,20150223,m
CVE,20150224,m
CVE,20150225,m
CVE,20150226,m
CVE,20150227,m
CVE,20150228,m
CVE,20150301,m
CVE,20150302,m
CVE,20150303,m
CVE,20150304,m
CVE,20150305,m
CVE,20150306,m
CVE,20150307,m
CVE,20150308,m
CVE,20150309,m
CVE,20150310,m
CVE,20150311,m
CVE,20150312,m
CVE,20150313,m
CVE,20150314,m
CVE,20150315,m
CVE,20150316,m
CVE,20150317,m
CVE,20150318,m
CVE,20150319,m
CVE,20150320,m
CVE,20150321,m
CVE,20150322,m
CVE,20150323,m
CVE,20150324,m
CVE,20150325,m
CVE,20150326,m
CVE,20150327,m
CVE,20150328,m
CVE,20150329,m
CVE,20150330,m
CVE,20150331,m
CVE,20150401,m
CVE,20150402,m
CVE,20150403,m
CVE,20150404,m
CVE,20150405,m
CVE,20150406,m
CVE,20150407,m
CVE,20150408,m
CVE,20150409,m
CVE,20150410,m
CVE,20150411,m
CVE,20150412,m
CVE,20150413,m
CVE,20150414,m
CVE,20150415,m
CVE,20150416,m
CVE,20150417,m
CVE,20150418,m
CVE,20150419,m
CVE,20150420,m
CVE,20150421,m
CVE,20150422,m
CVE,20150423,m
CVE,20150424,m
CVE,20150425,m
CVE,20150426,m
CVE,20150427,m
CVE,20150428,m
CVE,20150429,m
CVE,20150430,m
CVE,20150501,m
CVE,20150502,m
CVE,20150503,m
CVE,20150504,m
CVE,20150505,m
CVE,20150506,m
CVE,20150507,m
CVE,20150508,m
CVE,20150509,m
CVE,20150510,m
CVE,20150511,m
CVE,20150512,m
CVE,20150513,m
CVE,20150514,m
CVE,20150515,m
CVE,20150516,m
CVE,20150517,m
CVE,20150518,m
CVE,20150519,m
CVE,20150520,m
CVE,20150521,m
CVE,20150522,m
CVE,20150523,m
CVE,20150524,m
CVE,20150525,m
CVE,20150526,m
CVE,20150527,m
CVE,20150528,m
CVE,20150529,m
CVE,20150530,m
CVE,20150531,m
CVE,20150601,m
CVE,20150602,m
CVE,20150603,m
CVE,20150604,m
CVE,20150605,m
CVE,20150606,m
CVE,20150607,m
CVE,20150608,m
CVE,20150609,m
CVE,20150610,m
CVE,20150611,m
CVE,20150612,m
CVE,20150613,m
CVE,20150614,m
CVE,20150615,m
CVE,20150616,m
CVE,20150617,m
CVE,20150618,m
CVE,20150619,m
CVE,20150620,m
CVE,20150621,m
CVE,20150622,m
CVE,20150623,m
CVE,20150624,m
CVE,20150625,m
CVE,20150626,m
CVE,20150627,m
CVE,20150628,m
CVE,20150629,m
CVE,20150630,m
CVE,20150701,m
CVE,20150702,m
CVE,20150703,m
CVE,20150704,m
CVE,20150705,m
CVE,20150706,m
CVE,20150707,m
CVE,20150708,m
CVE,20150709,m
CVE,20150710,m
CVE,20150711,m
CVE,20150712,m
CVE,20150713,m
CVE,20150714,m
CVE,20150715,m
CVE,20150716,m
CVE,20150717,m
CVE,20150718,m
CVE,20150719,m
CVE,20150720,m
CVE,20150721,m
CVE,20150722,m
CVE,20150723,m
