ID,Date,Reservoir_Storage(AF)
DAV,19880806,47134
DAV,19880807,47134
DAV,19880808,47000
DAV,19880809,46873
DAV,19880810,46782
DAV,19880811,46726
DAV,19880812,46647
DAV,19880813,46647
DAV,19880814,46444
DAV,19880815,46387
DAV,19880816,46320
DAV,19880817,46185
DAV,19880818,46151
DAV,19880819,46095
DAV,19880820,46006
DAV,19880821,45950
DAV,19880822,45860
DAV,19880823,45804
DAV,19880824,45726
DAV,19880825,45637
DAV,19880826,45637
DAV,19880827,45526
DAV,19880828,45437
DAV,19880829,45292
DAV,19880830,45292
DAV,19880831,45237
DAV,19880901,45148
DAV,19880902,9938
DAV,19880903,9633
DAV,19880904,9633
DAV,19880905,9271
DAV,19880906,44728
DAV,19880907,44673
DAV,19880908,44618
DAV,19880909,44618
DAV,19880910,44465
DAV,19880911,44311
DAV,19880912,44223
DAV,19880913,44169
DAV,19880914,44169
DAV,19880915,44027
DAV,19880916,43885
DAV,19880917,43885
DAV,19880918,43776
DAV,19880919,43744
DAV,19880920,43744
DAV,19880921,43613
DAV,19880922,43559
DAV,19880923,43559
DAV,19880924,43440
DAV,19880925,43440
DAV,19880926,43385
DAV,19880927,43332
DAV,19880928,43245
DAV,19880929,43191
DAV,19880930,43137
DAV,19881001,43083
DAV,19881002,43051
DAV,19881003,42997
DAV,19881004,42922
DAV,19881005,42922
DAV,19881006,42890
DAV,19881007,42836
DAV,19881008,42782
DAV,19881009,42729
DAV,19881010,42697
DAV,19881011,42643
DAV,19881012,42590
DAV,19881013,42400
DAV,19881014,42500
DAV,19881015,42397
DAV,19881016,42344
DAV,19881017,42312
DAV,19881018,42300
DAV,19881019,42200
DAV,19881020,42184
DAV,19881021,42120
DAV,19881022,42100
DAV,19881023,42100
DAV,19881024,42014
DAV,19881025,41961
DAV,19881026,41908
DAV,19881027,41855
DAV,19881028,41855
DAV,19881029,41823
DAV,19881030,41749
DAV,19881031,41686
DAV,19881101,41612
DAV,19881102,41583
DAV,19881103,41600
DAV,19881104,41528
DAV,19881105,41444
DAV,19881106,41400
DAV,19881107,41400
DAV,19881108,41500
DAV,19881109,44136
DAV,19881110,44169
DAV,19881111,41370
