ID,Date,Reservoir_Storage(AF)
DMV,19991001,m
DMV,19991002,m
DMV,19991003,m
DMV,19991004,m
DMV,19991005,m
DMV,19991006,m
DMV,19991007,m
DMV,19991008,m
DMV,19991009,m
DMV,19991010,m
DMV,19991011,m
DMV,19991012,m
DMV,19991013,m
DMV,19991014,m
DMV,19991015,m
DMV,19991016,m
DMV,19991017,m
DMV,19991018,m
DMV,19991019,m
DMV,19991020,m
DMV,19991021,m
DMV,19991022,m
DMV,19991023,m
DMV,19991024,m
DMV,19991025,m
DMV,19991026,m
DMV,19991027,m
DMV,19991028,m
DMV,19991029,m
DMV,19991030,m
DMV,19991031,m
DMV,19991101,m
DMV,19991102,m
DMV,19991103,m
DMV,19991104,m
DMV,19991105,m
DMV,19991106,m
DMV,19991107,m
DMV,19991108,m
DMV,19991109,m
DMV,19991110,m
DMV,19991111,m
DMV,19991112,m
DMV,19991113,m
DMV,19991114,m
DMV,19991115,m
DMV,19991116,m
DMV,19991117,m
DMV,19991118,m
DMV,19991119,m
DMV,19991120,m
DMV,19991121,m
DMV,19991122,m
DMV,19991123,m
DMV,19991124,m
DMV,19991125,m
DMV,19991126,m
DMV,19991127,m
DMV,19991128,m
DMV,19991129,m
DMV,19991130,m
DMV,19991201,m
DMV,19991202,m
DMV,19991203,m
DMV,19991204,m
DMV,19991205,m
DMV,19991206,m
DMV,19991207,m
DMV,19991208,m
DMV,19991209,m
DMV,19991210,m
DMV,19991211,m
DMV,19991212,m
DMV,19991213,m
DMV,19991214,m
DMV,19991215,m
DMV,19991216,m
DMV,19991217,m
DMV,19991218,m
DMV,19991219,m
DMV,19991220,m
DMV,19991221,m
DMV,19991222,m
DMV,19991223,m
DMV,19991224,m
DMV,19991225,m
DMV,19991226,m
DMV,19991227,m
DMV,19991228,m
DMV,19991229,m
DMV,19991230,m
DMV,19991231,m
DMV,20000101,m
DMV,20000102,m
DMV,20000103,m
DMV,20000104,m
DMV,20000105,m
DMV,20000106,m
DMV,20000107,m
DMV,20000108,m
DMV,20000109,m
DMV,20000110,m
DMV,20000111,m
DMV,20000112,m
DMV,20000113,m
DMV,20000114,m
DMV,20000115,m
DMV,20000116,m
DMV,20000117,m
DMV,20000118,m
DMV,20000119,m
DMV,20000120,m
DMV,20000121,m
DMV,20000122,m
DMV,20000123,m
DMV,20000124,m
DMV,20000125,m
DMV,20000126,m
DMV,20000127,m
DMV,20000128,m
DMV,20000129,m
DMV,20000130,m
DMV,20000131,m
DMV,20000201,m
DMV,20000202,m
DMV,20000203,m
DMV,20000204,m
DMV,20000205,m
DMV,20000206,m
DMV,20000207,m
DMV,20000208,m
DMV,20000209,m
DMV,20000210,m
DMV,20000211,m
DMV,20000212,m
DMV,20000213,m
DMV,20000214,m
DMV,20000215,m
DMV,20000216,m
DMV,20000217,m
DMV,20000218,m
DMV,20000219,m
DMV,20000220,m
DMV,20000221,m
DMV,20000222,m
DMV,20000223,m
DMV,20000224,m
DMV,20000225,m
DMV,20000226,m
DMV,20000227,m
DMV,20000228,m
DMV,20000229,m
DMV,20000301,m
DMV,20000302,m
DMV,20000303,m
DMV,20000304,m
DMV,20000305,m
DMV,20000306,m
DMV,20000307,m
DMV,20000308,m
DMV,20000309,m
DMV,20000310,m
DMV,20000311,m
DMV,20000312,m
DMV,20000313,m
DMV,20000314,m
DMV,20000315,m
DMV,20000316,m
DMV,20000317,m
DMV,20000318,m
DMV,20000319,m
DMV,20000320,m
DMV,20000321,m
DMV,20000322,m
DMV,20000323,m
DMV,20000324,m
DMV,20000325,m
DMV,20000326,m
DMV,20000327,m
DMV,20000328,m
DMV,20000329,m
DMV,20000330,m
DMV,20000331,m
DMV,20000401,m
DMV,20000402,m
DMV,20000403,m
DMV,20000404,m
DMV,20000405,m
DMV,20000406,m
DMV,20000407,m
DMV,20000408,m
DMV,20000409,m
DMV,20000410,m
DMV,20000411,m
DMV,20000412,m
DMV,20000413,m
DMV,20000414,m
DMV,20000415,m
DMV,20000416,m
DMV,20000417,m
DMV,20000418,m
DMV,20000419,m
DMV,20000420,m
DMV,20000421,m
DMV,20000422,m
DMV,20000423,m
DMV,20000424,m
DMV,20000425,m
DMV,20000426,m
DMV,20000427,m
DMV,20000428,m
DMV,20000429,m
DMV,20000430,m
DMV,20000501,m
DMV,20000502,m
DMV,20000503,m
DMV,20000504,m
DMV,20000505,m
DMV,20000506,m
DMV,20000507,m
DMV,20000508,m
DMV,20000509,m
DMV,20000510,m
DMV,20000511,m
DMV,20000512,m
DMV,20000513,m
DMV,20000514,m
DMV,20000515,m
DMV,20000516,m
DMV,20000517,m
DMV,20000518,m
DMV,20000519,m
DMV,20000520,m
DMV,20000521,m
DMV,20000522,m
DMV,20000523,m
DMV,20000524,m
DMV,20000525,m
DMV,20000526,m
DMV,20000527,m
DMV,20000528,m
DMV,20000529,m
DMV,20000530,m
DMV,20000531,m
DMV,20000601,m
DMV,20000602,m
DMV,20000603,m
DMV,20000604,m
DMV,20000605,m
DMV,20000606,m
DMV,20000607,m
DMV,20000608,m
DMV,20000609,m
DMV,20000610,m
DMV,20000611,m
DMV,20000612,m
DMV,20000613,m
DMV,20000614,m
DMV,20000615,m
DMV,20000616,m
DMV,20000617,m
DMV,20000618,m
DMV,20000619,m
DMV,20000620,m
DMV,20000621,m
DMV,20000622,m
DMV,20000623,m
DMV,20000624,m
DMV,20000625,m
DMV,20000626,m
DMV,20000627,m
DMV,20000628,m
DMV,20000629,m
DMV,20000630,m
DMV,20000701,m
DMV,20000702,m
DMV,20000703,m
DMV,20000704,m
DMV,20000705,m
DMV,20000706,m
DMV,20000707,m
DMV,20000708,m
DMV,20000709,m
DMV,20000710,m
DMV,20000711,m
DMV,20000712,m
DMV,20000713,m
DMV,20000714,m
DMV,20000715,m
DMV,20000716,m
DMV,20000717,m
DMV,20000718,m
DMV,20000719,m
