ID,Date,Reservoir_Storage(AF)
DNP,19850101,1487500
DNP,19850102,m
DNP,19850103,m
DNP,19850104,m
DNP,19850105,m
DNP,19850106,m
DNP,19850107,1489500
DNP,19850108,m
DNP,19850109,m
DNP,19850110,m
DNP,19850111,m
DNP,19850112,m
DNP,19850113,m
DNP,19850114,1493600
DNP,19850115,m
DNP,19850116,m
DNP,19850117,m
DNP,19850118,m
DNP,19850119,m
DNP,19850120,m
DNP,19850121,1495700
DNP,19850122,m
DNP,19850123,m
DNP,19850124,m
DNP,19850125,m
DNP,19850126,m
DNP,19850127,m
DNP,19850128,1496700
DNP,19850129,m
DNP,19850130,m
DNP,19850131,m
DNP,19850201,m
DNP,19850202,m
DNP,19850203,m
DNP,19850204,1498800
DNP,19850205,m
DNP,19850206,m
DNP,19850207,m
DNP,19850208,m
DNP,19850209,m
DNP,19850210,m
DNP,19850211,m
DNP,19850212,1517300
DNP,19850213,m
DNP,19850214,m
DNP,19850215,m
DNP,19850216,m
DNP,19850217,m
DNP,19850218,1526700
DNP,19850219,m
DNP,19850220,m
DNP,19850221,m
DNP,19850222,m
DNP,19850223,m
DNP,19850224,m
DNP,19850225,1534000
DNP,19850226,m
DNP,19850227,m
DNP,19850228,1537100
DNP,19850301,m
DNP,19850302,m
DNP,19850303,m
DNP,19850304,1535000
DNP,19850305,m
DNP,19850306,m
DNP,19850307,m
DNP,19850308,m
DNP,19850309,m
DNP,19850310,m
DNP,19850311,1536100
DNP,19850312,m
DNP,19850313,m
DNP,19850314,m
DNP,19850315,m
DNP,19850316,m
DNP,19850317,m
DNP,19850318,1538200
DNP,19850319,m
DNP,19850320,m
DNP,19850321,m
DNP,19850322,m
DNP,19850323,m
DNP,19850324,m
DNP,19850325,1536100
DNP,19850326,m
DNP,19850327,m
DNP,19850328,m
DNP,19850329,m
DNP,19850330,m
DNP,19850331,m
DNP,19850401,1544500
DNP,19850402,m
DNP,19850403,m
DNP,19850404,m
DNP,19850405,m
DNP,19850406,m
