ID,Date,Reservoir_Storage(AF)
DON,19850102,11720
DON,19850103,m
DON,19850104,m
DON,19850105,m
DON,19850106,m
DON,19850107,m
DON,19850108,12000
DON,19850109,m
DON,19850110,m
DON,19850111,m
DON,19850112,m
DON,19850113,m
DON,19850114,m
DON,19850115,12850
DON,19850116,m
DON,19850117,m
DON,19850118,m
DON,19850119,m
DON,19850120,m
DON,19850121,m
DON,19850122,13140
DON,19850123,m
DON,19850124,m
DON,19850125,m
DON,19850126,m
DON,19850127,m
DON,19850128,m
DON,19850129,13430
DON,19850130,m
DON,19850131,m
DON,19850201,m
DON,19850202,m
DON,19850203,m
DON,19850204,m
DON,19850205,11760
DON,19850206,m
DON,19850207,m
DON,19850208,m
DON,19850209,m
DON,19850210,m
DON,19850211,m
DON,19850212,m
DON,19850213,9610
DON,19850214,m
DON,19850215,m
DON,19850216,m
DON,19850217,m
DON,19850218,m
DON,19850219,m
DON,19850220,m
DON,19850221,m
DON,19850222,m
DON,19850223,m
DON,19850224,m
DON,19850225,m
DON,19850226,8340
DON,19850227,m
DON,19850228,m
DON,19850301,6140
DON,19850302,m
DON,19850303,m
DON,19850304,m
DON,19850305,4800
DON,19850306,m
DON,19850307,m
DON,19850308,m
DON,19850309,m
DON,19850310,m
DON,19850311,m
DON,19850312,5020
DON,19850313,m
DON,19850314,m
DON,19850315,m
DON,19850316,m
DON,19850317,m
DON,19850318,m
DON,19850319,4080
DON,19850320,m
DON,19850321,m
DON,19850322,m
DON,19850323,m
DON,19850324,m
DON,19850325,m
DON,19850326,3510
DON,19850327,m
DON,19850328,m
DON,19850329,m
DON,19850330,m
DON,19850331,m
DON,19850401,m
DON,19850402,3790
DON,19850403,m
DON,19850404,m
DON,19850405,m
DON,19850406,m
DON,19850407,m
DON,19850408,m
DON,19850409,7600
DON,19850410,m
DON,19850411,m
DON,19850412,m
DON,19850413,m
DON,19850414,m
DON,19850415,m
DON,19850416,17920
DON,19850417,m
DON,19850418,m
DON,19850419,m
DON,19850420,m
DON,19850421,m
DON,19850422,m
DON,19850423,22880
DON,19850424,m
DON,19850425,m
DON,19850426,m
DON,19850427,m
DON,19850428,m
DON,19850429,m
DON,19850430,24960
DON,19850501,m
DON,19850502,m
DON,19850503,m
DON,19850504,m
DON,19850505,m
DON,19850506,m
