ID,Date,Reservoir_Storage(AF)
ENG,19850101,56190
ENG,19850102,m
ENG,19850103,m
ENG,19850104,m
ENG,19850105,m
ENG,19850106,m
ENG,19850107,61270
ENG,19850108,m
ENG,19850109,m
ENG,19850110,m
ENG,19850111,m
ENG,19850112,m
ENG,19850113,m
ENG,19850114,64950
ENG,19850115,m
ENG,19850116,m
ENG,19850117,m
ENG,19850118,m
ENG,19850119,m
ENG,19850120,m
ENG,19850121,63820
ENG,19850122,m
ENG,19850123,m
ENG,19850124,m
ENG,19850125,m
ENG,19850126,m
ENG,19850127,m
ENG,19850128,64650
ENG,19850129,m
ENG,19850130,m
ENG,19850131,m
ENG,19850201,m
ENG,19850202,m
ENG,19850203,m
ENG,19850204,63720
ENG,19850205,m
ENG,19850206,m
ENG,19850207,m
ENG,19850208,m
ENG,19850209,m
ENG,19850210,m
ENG,19850211,m
ENG,19850212,63720
ENG,19850213,m
ENG,19850214,m
ENG,19850215,m
ENG,19850216,m
ENG,19850217,m
ENG,19850218,64740
ENG,19850219,m
ENG,19850220,m
ENG,19850221,m
ENG,19850222,m
ENG,19850223,m
ENG,19850224,m
ENG,19850225,63570
ENG,19850226,m
ENG,19850227,m
ENG,19850228,62920
ENG,19850301,m
ENG,19850302,m
ENG,19850303,m
ENG,19850304,64340
ENG,19850305,m
ENG,19850306,m
ENG,19850307,m
ENG,19850308,m
ENG,19850309,m
ENG,19850310,m
ENG,19850311,910
ENG,19850312,m
ENG,19850313,m
ENG,19850314,m
ENG,19850315,m
ENG,19850316,m
ENG,19850317,m
ENG,19850318,66060
ENG,19850319,m
ENG,19850320,m
ENG,19850321,m
ENG,19850322,m
ENG,19850323,m
ENG,19850324,m
ENG,19850325,65500
ENG,19850326,m
ENG,19850327,m
ENG,19850328,m
ENG,19850329,m
ENG,19850330,m
ENG,19850331,m
ENG,19850401,64510
ENG,19850402,m
ENG,19850403,m
ENG,19850404,m
ENG,19850405,m
ENG,19850406,m
ENG,19850407,m
ENG,19850408,63070
ENG,19850409,m
ENG,19850410,m
ENG,19850411,m
ENG,19850412,m
ENG,19850413,m
ENG,19850414,m
ENG,19850415,65000
ENG,19850416,m
ENG,19850417,m
ENG,19850418,m
ENG,19850419,m
ENG,19850420,m
ENG,19850421,m
ENG,19850422,65360
ENG,19850423,m
ENG,19850424,m
ENG,19850425,m
ENG,19850426,m
ENG,19850427,m
ENG,19850428,m
ENG,19850429,64360
ENG,19850430,m
ENG,19850501,m
ENG,19850502,m
ENG,19850503,m
ENG,19850504,m
ENG,19850505,m
ENG,19850506,67070
ENG,19850507,m
ENG,19850508,m
ENG,19850509,m
ENG,19850510,m
ENG,19850511,m
ENG,19850512,m
ENG,19850513,66240
ENG,19850514,m
ENG,19850515,m
ENG,19850516,m
ENG,19850517,m
ENG,19850518,m
ENG,19850519,m
ENG,19850520,68350
ENG,19850521,m
ENG,19850522,m
ENG,19850523,m
ENG,19850524,m
ENG,19850525,m
ENG,19850526,m
ENG,19850527,66520
ENG,19850528,m
ENG,19850529,m
ENG,19850530,m
ENG,19850531,m
ENG,19850601,m
ENG,19850602,m
ENG,19850603,65080
ENG,19850604,m
ENG,19850605,m
ENG,19850606,m
ENG,19850607,m
ENG,19850608,m
ENG,19850609,m
ENG,19850610,65680
ENG,19850611,m
ENG,19850612,m
ENG,19850613,m
ENG,19850614,m
ENG,19850615,m
ENG,19850616,m
ENG,19850617,67550
ENG,19850618,m
ENG,19850619,m
ENG,19850620,m
ENG,19850621,m
ENG,19850622,m
ENG,19850623,m
ENG,19850624,65510
ENG,19850625,m
ENG,19850626,m
ENG,19850627,m
ENG,19850628,m
ENG,19850629,m
ENG,19850630,m
ENG,19850701,68410
ENG,19850702,m
ENG,19850703,m
ENG,19850704,m
ENG,19850705,m
ENG,19850706,m
ENG,19850707,m
ENG,19850708,67000
ENG,19850709,m
ENG,19850710,m
ENG,19850711,m
ENG,19850712,m
ENG,19850713,m
ENG,19850714,m
ENG,19850715,67150
ENG,19850716,m
ENG,19850717,m
ENG,19850718,-640
ENG,19850719,m
ENG,19850720,m
ENG,19850721,m
ENG,19850722,66450
ENG,19850723,m
ENG,19850724,m
ENG,19850725,m
ENG,19850726,m
ENG,19850727,m
ENG,19850728,m
ENG,19850729,65530
ENG,19850730,m
ENG,19850731,m
ENG,19850801,m
ENG,19850802,m
ENG,19850803,m
ENG,19850804,m
ENG,19850805,66800
ENG,19850806,m
ENG,19850807,m
ENG,19850808,m
ENG,19850809,m
ENG,19850810,m
ENG,19850811,m
ENG,19850812,65910
ENG,19850813,m
ENG,19850814,m
ENG,19850815,m
ENG,19850816,m
ENG,19850817,m
ENG,19850818,m
ENG,19850819,66840
ENG,19850820,m
ENG,19850821,m
ENG,19850822,m
ENG,19850823,m
ENG,19850824,m
ENG,19850825,m
ENG,19850826,66950
ENG,19850827,m
ENG,19850828,m
ENG,19850829,m
ENG,19850830,m
ENG,19850831,m
ENG,19850901,m
ENG,19850902,65900
ENG,19850903,m
ENG,19850904,m
ENG,19850905,m
ENG,19850906,m
ENG,19850907,m
ENG,19850908,m
ENG,19850909,66040
ENG,19850910,m
ENG,19850911,m
ENG,19850912,m
ENG,19850913,m
ENG,19850914,m
ENG,19850915,m
ENG,19850916,65850
ENG,19850917,m
ENG,19850918,m
ENG,19850919,m
ENG,19850920,m
ENG,19850921,m
ENG,19850922,m
ENG,19850923,62230
ENG,19850924,m
ENG,19850925,m
ENG,19850926,m
ENG,19850927,m
ENG,19850928,m
ENG,19850929,m
ENG,19850930,61720
ENG,19851001,m
ENG,19851002,m
ENG,19851003,m
ENG,19851004,m
ENG,19851005,m
ENG,19851006,m
ENG,19851007,55490
ENG,19851008,m
ENG,19851009,m
ENG,19851010,m
ENG,19851011,m
ENG,19851012,m
ENG,19851013,m
ENG,19851014,55600
ENG,19851015,m
ENG,19851016,m
ENG,19851017,m
ENG,19851018,m
ENG,19851019,m
ENG,19851020,m
ENG,19851021,56060
ENG,19851022,m
ENG,19851023,m
ENG,19851024,m
ENG,19851025,m
ENG,19851026,m
ENG,19851027,m
ENG,19851028,55670
ENG,19851029,m
ENG,19851030,m
ENG,19851031,m
ENG,19851101,m
ENG,19851102,m
ENG,19851103,m
ENG,19851104,55930
ENG,19851105,m
ENG,19851106,m
ENG,19851107,m
ENG,19851108,m
ENG,19851109,m
ENG,19851110,m
ENG,19851111,56360
ENG,19851112,m
ENG,19851113,m
ENG,19851114,m
ENG,19851115,m
ENG,19851116,m
ENG,19851117,m
ENG,19851118,55720
ENG,19851119,m
ENG,19851120,m
ENG,19851121,m
ENG,19851122,m
ENG,19851123,m
ENG,19851124,m
ENG,19851125,56700
ENG,19851126,m
ENG,19851127,m
ENG,19851128,m
ENG,19851129,m
ENG,19851130,m
ENG,19851201,m
ENG,19851202,60890
ENG,19851203,m
