ID,Date,Reservoir_Storage(AF)
FOL,19850212,641400
FOL,19850213,644500
FOL,19850214,647400
FOL,19850215,m
FOL,19850216,m
FOL,19850217,m
FOL,19850218,648600
FOL,19850219,647000
FOL,19850220,646000
FOL,19850221,644400
FOL,19850222,m
FOL,19850223,m
FOL,19850224,638600
FOL,19850225,636700
FOL,19850226,635200
FOL,19850227,634400
FOL,19850228,633100
FOL,19850301,m
FOL,19850302,m
FOL,19850303,633900
FOL,19850304,634400
FOL,19850305,635600
FOL,19850306,637400
FOL,19850307,640700
FOL,19850308,m
FOL,19850309,m
FOL,19850310,m
FOL,19850311,651500
FOL,19850312,655500
FOL,19850313,660100
FOL,19850314,662900
FOL,19850315,m
FOL,19850316,m
FOL,19850317,671700
FOL,19850318,674600
FOL,19850319,678400
FOL,19850320,681900
FOL,19850321,686100
FOL,19850322,m
FOL,19850323,m
FOL,19850324,696400
FOL,19850325,700100
FOL,19850326,704800
FOL,19850327,713500
FOL,19850328,722500
FOL,19850329,m
FOL,19850330,m
FOL,19850331,738600
FOL,19850401,743300
FOL,19850402,750100
FOL,19850403,757900
FOL,19850404,767700
FOL,19850405,m
FOL,19850406,m
FOL,19850407,794300
FOL,19850408,801800
FOL,19850409,810700
FOL,19850410,819700
FOL,19850411,827900
FOL,19850412,m
FOL,19850413,m
FOL,19850414,846600
FOL,19850415,854700
FOL,19850416,861300
FOL,19850417,866700
FOL,19850418,871000
FOL,19850419,m
FOL,19850420,m
FOL,19850421,m
FOL,19850422,876200
FOL,19850423,877100
FOL,19850424,879700
FOL,19850425,882500
FOL,19850426,m
FOL,19850427,m
FOL,19850428,889400
FOL,19850429,890700
FOL,19850430,891700
FOL,19850501,891700
FOL,19850502,892300
FOL,19850503,m
FOL,19850504,m
FOL,19850505,893300
FOL,19850506,892900
FOL,19850507,893000
FOL,19850508,891600
FOL,19850509,888700
FOL,19850510,m
FOL,19850511,m
FOL,19850512,877900
FOL,19850513,875200
FOL,19850514,873600
FOL,19850515,872800
FOL,19850516,873900
FOL,19850517,m
FOL,19850518,m
FOL,19850519,879500
FOL,19850520,880600
FOL,19850521,881200
FOL,19850522,883400
FOL,19850523,885000
FOL,19850524,m
FOL,19850525,m
FOL,19850526,m
FOL,19850527,884000
FOL,19850528,883400
FOL,19850529,883000
FOL,19850530,882300
FOL,19850531,m
FOL,19850601,m
FOL,19850602,875300
FOL,19850603,872300
FOL,19850604,870100
FOL,19850605,867700
FOL,19850606,m
FOL,19850607,m
FOL,19850608,m
FOL,19850609,861300
FOL,19850610,860300
FOL,19850611,859200
FOL,19850612,856700
FOL,19850613,853700
FOL,19850614,m
FOL,19850615,m
FOL,19850616,843500
FOL,19850617,839100
FOL,19850618,833100
FOL,19850619,826900
FOL,19850620,820900
FOL,19850621,m
FOL,19850622,m
FOL,19850623,805500
FOL,19850624,799600
FOL,19850625,795300
FOL,19850626,791600
FOL,19850627,788700
FOL,19850628,m
FOL,19850629,m
FOL,19850630,776500
FOL,19850701,770700
FOL,19850702,765000
FOL,19850703,m
FOL,19850704,754800
FOL,19850705,m
FOL,19850706,m
FOL,19850707,738800
FOL,19850708,734700
FOL,19850709,731600
FOL,19850710,729600
FOL,19850711,726900
FOL,19850712,m
FOL,19850713,m
FOL,19850714,717900
FOL,19850715,714100
FOL,19850716,710000
FOL,19850717,706400
FOL,19850718,-4400
FOL,19850719,m
FOL,19850720,m
FOL,19850721,692800
FOL,19850722,690700
FOL,19850723,690400
FOL,19850724,690600
FOL,19850725,690900
FOL,19850726,m
FOL,19850727,m
FOL,19850728,681900
FOL,19850729,676400
FOL,19850730,672700
FOL,19850731,668700
FOL,19850801,663200
FOL,19850802,m
FOL,19850803,m
FOL,19850804,653600
FOL,19850805,652200
FOL,19850806,651400
FOL,19850807,650800
FOL,19850808,650500
FOL,19850809,m
FOL,19850810,m
FOL,19850811,640800
FOL,19850812,636400
FOL,19850813,632200
FOL,19850814,627700
FOL,19850815,624200
FOL,19850816,m
FOL,19850817,m
FOL,19850818,621500
FOL,19850819,620500
FOL,19850820,620700
FOL,19850821,621000
FOL,19850822,m
FOL,19850823,m
FOL,19850824,m
FOL,19850825,m
FOL,19850826,616700
FOL,19850827,614800
FOL,19850828,612300
FOL,19850829,610200
FOL,19850830,m
FOL,19850831,m
FOL,19850901,m
FOL,19850902,600600
FOL,19850903,m
FOL,19850904,596500
FOL,19850905,595200
FOL,19850906,m
FOL,19850907,m
FOL,19850908,595100
FOL,19850909,593700
FOL,19850910,594700
FOL,19850911,596500
FOL,19850912,597000
FOL,19850913,m
FOL,19850914,m
FOL,19850915,598700
FOL,19850916,598700
FOL,19850917,599800
FOL,19850918,600000
FOL,19850919,600000
FOL,19850920,m
FOL,19850921,m
FOL,19850922,601300
FOL,19850923,600400
FOL,19850924,598700
FOL,19850925,597400
FOL,19850926,595900
FOL,19850927,m
FOL,19850928,m
FOL,19850929,589600
FOL,19850930,587400
FOL,19851001,584200
FOL,19851002,583000
FOL,19851003,581300
FOL,19851004,m
FOL,19851005,m
FOL,19851006,575600
FOL,19851007,573600
FOL,19851008,571400
FOL,19851009,570100
FOL,19851010,568800
FOL,19851011,m
FOL,19851012,m
FOL,19851013,m
FOL,19851014,563500
FOL,19851015,561600
FOL,19851016,559200
FOL,19851017,557000
FOL,19851018,m
FOL,19851019,m
FOL,19851020,546400
FOL,19851021,542600
FOL,19851022,m
FOL,19851023,537200
FOL,19851024,535400
FOL,19851025,m
FOL,19851026,m
FOL,19851027,531300
FOL,19851028,529300
FOL,19851029,527100
FOL,19851030,525500
FOL,19851031,524100
FOL,19851101,m
FOL,19851102,m
FOL,19851103,518200
FOL,19851104,516100
FOL,19851105,514100
FOL,19851106,512300
FOL,19851107,510200
FOL,19851108,m
FOL,19851109,m
FOL,19851110,m
FOL,19851111,505900
FOL,19851112,504400
FOL,19851113,503200
FOL,19851114,502300
FOL,19851115,m
FOL,19851116,m
FOL,19851117,498400
FOL,19851118,496600
FOL,19851119,495900
FOL,19851120,494500
FOL,19851121,493100
FOL,19851122,m
