ID,Date,Reservoir_Storage(AF)
FRD,19850101,41880
FRD,19850102,m
FRD,19850103,m
FRD,19850104,m
FRD,19850105,m
FRD,19850106,m
FRD,19850107,41980
FRD,19850108,m
FRD,19850109,m
FRD,19850110,m
FRD,19850111,m
FRD,19850112,m
FRD,19850113,m
FRD,19850114,42060
FRD,19850115,m
FRD,19850116,m
FRD,19850117,m
FRD,19850118,m
FRD,19850119,m
FRD,19850120,m
FRD,19850121,42170
FRD,19850122,m
FRD,19850123,m
FRD,19850124,m
FRD,19850125,m
FRD,19850126,m
FRD,19850127,m
FRD,19850128,42320
FRD,19850129,m
FRD,19850130,m
FRD,19850131,m
FRD,19850201,m
FRD,19850202,m
FRD,19850203,m
FRD,19850204,42190
FRD,19850205,m
FRD,19850206,m
FRD,19850207,m
FRD,19850208,m
FRD,19850209,m
FRD,19850210,m
FRD,19850211,m
FRD,19850212,42790
FRD,19850213,m
FRD,19850214,m
FRD,19850215,m
FRD,19850216,m
FRD,19850217,m
FRD,19850218,42940
FRD,19850219,m
FRD,19850220,m
FRD,19850221,m
FRD,19850222,m
FRD,19850223,m
FRD,19850224,m
FRD,19850225,43140
FRD,19850226,m
FRD,19850227,m
FRD,19850228,43220
FRD,19850301,m
FRD,19850302,m
FRD,19850303,m
FRD,19850304,43450
FRD,19850305,m
FRD,19850306,m
FRD,19850307,m
FRD,19850308,m
FRD,19850309,m
FRD,19850310,m
FRD,19850311,43820
FRD,19850312,m
FRD,19850313,m
FRD,19850314,m
FRD,19850315,m
FRD,19850316,m
FRD,19850317,m
FRD,19850318,44260
FRD,19850319,m
FRD,19850320,m
FRD,19850321,m
FRD,19850322,m
FRD,19850323,m
FRD,19850324,m
FRD,19850325,45040
FRD,19850326,m
FRD,19850327,m
FRD,19850328,m
FRD,19850329,m
FRD,19850330,m
FRD,19850331,m
FRD,19850401,45950
FRD,19850402,m
FRD,19850403,m
FRD,19850404,m
FRD,19850405,m
FRD,19850406,m
FRD,19850407,m
FRD,19850408,48610
FRD,19850409,m
FRD,19850410,m
FRD,19850411,m
FRD,19850412,m
FRD,19850413,m
FRD,19850414,m
FRD,19850415,50860
FRD,19850416,m
FRD,19850417,m
FRD,19850418,m
FRD,19850419,m
FRD,19850420,m
FRD,19850421,m
FRD,19850422,52130
FRD,19850423,m
FRD,19850424,m
FRD,19850425,m
FRD,19850426,m
FRD,19850427,m
FRD,19850428,m
FRD,19850429,52790
FRD,19850430,m
FRD,19850501,m
FRD,19850502,m
