ID,Date,Reservoir_Storage(AF)
HID,19850101,12960
HID,19850102,m
HID,19850103,m
HID,19850104,m
HID,19850105,m
HID,19850106,m
HID,19850107,13330
HID,19850108,m
HID,19850109,m
HID,19850110,m
HID,19850111,m
HID,19850112,m
HID,19850113,m
HID,19850114,14040
HID,19850115,m
HID,19850116,m
HID,19850117,m
HID,19850118,m
HID,19850119,m
HID,19850120,m
HID,19850121,14550
HID,19850122,m
HID,19850123,m
HID,19850124,m
HID,19850125,m
HID,19850126,m
HID,19850127,m
HID,19850128,15030
HID,19850129,m
HID,19850130,m
HID,19850131,m
HID,19850201,m
HID,19850202,m
HID,19850203,m
HID,19850204,15520
HID,19850205,m
HID,19850206,m
HID,19850207,m
HID,19850208,m
HID,19850209,m
HID,19850210,m
HID,19850211,m
HID,19850212,17840
HID,19850213,m
HID,19850214,m
HID,19850215,m
HID,19850216,m
HID,19850217,m
HID,19850218,18650
HID,19850219,m
HID,19850220,m
HID,19850221,m
HID,19850222,m
HID,19850223,m
HID,19850224,m
HID,19850225,19460
HID,19850226,m
HID,19850227,m
HID,19850228,19770
HID,19850301,m
HID,19850302,m
HID,19850303,20230
HID,19850304,m
HID,19850305,m
HID,19850306,m
HID,19850307,m
HID,19850308,m
HID,19850309,m
HID,19850310,21450
HID,19850311,m
HID,19850312,m
HID,19850313,m
HID,19850314,m
HID,19850315,m
HID,19850316,m
HID,19850317,23050
HID,19850318,m
HID,19850319,m
HID,19850320,m
HID,19850321,m
HID,19850322,m
HID,19850323,m
HID,19850324,24200
HID,19850325,m
HID,19850326,m
HID,19850327,m
HID,19850328,m
HID,19850329,m
HID,19850330,m
HID,19850331,27620
HID,19850401,m
HID,19850402,m
HID,19850403,m
HID,19850404,m
HID,19850405,m
HID,19850406,m
HID,19850407,29570
HID,19850408,m
HID,19850409,m
HID,19850410,m
HID,19850411,m
HID,19850412,m
HID,19850413,m
HID,19850414,30820
HID,19850415,m
HID,19850416,m
HID,19850417,m
HID,19850418,m
HID,19850419,m
HID,19850420,m
HID,19850421,32130
HID,19850422,m
HID,19850423,m
HID,19850424,m
HID,19850425,m
HID,19850426,m
HID,19850427,m
HID,19850428,33020
HID,19850429,m
HID,19850430,m
HID,19850501,m
HID,19850502,m
HID,19850503,m
HID,19850504,m
HID,19850505,33790
HID,19850506,m
HID,19850507,m
HID,19850508,m
HID,19850509,m
HID,19850510,m
HID,19850511,m
HID,19850512,34470
HID,19850513,m
HID,19850514,m
HID,19850515,m
HID,19850516,m
HID,19850517,m
HID,19850518,m
HID,19850519,35030
HID,19850520,m
HID,19850521,m
HID,19850522,m
HID,19850523,m
HID,19850524,m
HID,19850525,m
HID,19850526,35430
HID,19850527,m
HID,19850528,m
HID,19850529,m
HID,19850530,m
HID,19850531,m
HID,19850601,m
HID,19850602,34760
HID,19850603,m
HID,19850604,m
HID,19850605,m
HID,19850606,m
HID,19850607,m
HID,19850608,m
HID,19850609,32480
HID,19850610,m
HID,19850611,m
HID,19850612,m
HID,19850613,m
HID,19850614,m
HID,19850615,m
HID,19850616,29830
HID,19850617,m
HID,19850618,m
HID,19850619,m
HID,19850620,m
HID,19850621,m
HID,19850622,m
HID,19850623,26730
HID,19850624,m
HID,19850625,m
HID,19850626,m
HID,19850627,m
HID,19850628,m
HID,19850629,m
HID,19850630,24060
HID,19850701,m
HID,19850702,m
HID,19850703,m
HID,19850704,m
HID,19850705,m
HID,19850706,m
HID,19850707,21290
HID,19850708,m
HID,19850709,m
HID,19850710,m
HID,19850711,m
HID,19850712,m
HID,19850713,m
HID,19850714,18240
HID,19850715,m
HID,19850716,m
HID,19850717,-400
HID,19850718,m
HID,19850719,m
HID,19850720,m
HID,19850721,15510
HID,19850722,m
HID,19850723,m
HID,19850724,m
HID,19850725,m
HID,19850726,m
HID,19850727,m
HID,19850728,12700
HID,19850729,m
HID,19850730,m
HID,19850731,m
HID,19850801,m
HID,19850802,m
HID,19850803,m
HID,19850804,10570
HID,19850805,m
HID,19850806,m
HID,19850807,m
HID,19850808,m
HID,19850809,m
HID,19850810,m
HID,19850811,9910
HID,19850812,m
HID,19850813,m
