ID,Date,Reservoir_Storage(AF)
HTH,19850108,168340
HTH,19850109,m
HTH,19850110,m
HTH,19850111,m
HTH,19850112,m
HTH,19850113,m
HTH,19850114,160350
HTH,19850115,m
HTH,19850116,m
HTH,19850117,m
HTH,19850118,m
HTH,19850119,m
HTH,19850120,m
HTH,19850121,m
HTH,19850122,154040
HTH,19850123,m
HTH,19850124,m
HTH,19850125,m
HTH,19850126,m
HTH,19850127,m
HTH,19850128,145530
HTH,19850129,m
HTH,19850130,m
HTH,19850131,m
HTH,19850201,m
HTH,19850202,m
HTH,19850203,m
HTH,19850204,m
HTH,19850205,136080
HTH,19850206,m
HTH,19850207,m
HTH,19850208,m
HTH,19850209,m
HTH,19850210,m
HTH,19850211,129500
HTH,19850212,m
HTH,19850213,m
HTH,19850214,m
HTH,19850215,m
HTH,19850216,m
HTH,19850217,m
HTH,19850218,m
HTH,19850219,m
HTH,19850220,m
HTH,19850221,m
HTH,19850222,m
HTH,19850223,m
HTH,19850224,m
HTH,19850225,117680
HTH,19850226,m
HTH,19850227,m
HTH,19850228,m
HTH,19850301,115570
HTH,19850302,m
HTH,19850303,m
HTH,19850304,m
HTH,19850305,112300
HTH,19850306,m
HTH,19850307,m
HTH,19850308,m
HTH,19850309,m
HTH,19850310,m
HTH,19850311,107640
HTH,19850312,m
HTH,19850313,m
HTH,19850314,m
HTH,19850315,m
HTH,19850316,m
HTH,19850317,m
HTH,19850318,102940
HTH,19850319,m
HTH,19850320,m
HTH,19850321,m
HTH,19850322,m
HTH,19850323,m
HTH,19850324,m
HTH,19850325,99020
HTH,19850326,m
HTH,19850327,m
HTH,19850328,m
HTH,19850329,m
HTH,19850330,m
HTH,19850331,m
HTH,19850401,96060
HTH,19850402,m
HTH,19850403,m
HTH,19850404,m
HTH,19850405,m
HTH,19850406,m
HTH,19850407,m
HTH,19850408,106860
HTH,19850409,m
HTH,19850410,m
HTH,19850411,m
HTH,19850412,m
HTH,19850413,m
HTH,19850414,m
HTH,19850415,136350
HTH,19850416,m
HTH,19850417,m
HTH,19850418,m
HTH,19850419,m
HTH,19850420,m
HTH,19850421,m
HTH,19850422,153620
HTH,19850423,m
HTH,19850424,m
HTH,19850425,m
HTH,19850426,m
HTH,19850427,m
HTH,19850428,m
HTH,19850429,m
HTH,19850430,159500
HTH,19850501,m
HTH,19850502,m
HTH,19850503,m
HTH,19850504,m
HTH,19850505,m
HTH,19850506,194620
HTH,19850507,m
HTH,19850508,m
HTH,19850509,m
HTH,19850510,m
HTH,19850511,m
HTH,19850512,m
HTH,19850513,215500
HTH,19850514,m
HTH,19850515,m
HTH,19850516,m
HTH,19850517,m
HTH,19850518,m
HTH,19850519,m
HTH,19850520,m
HTH,19850521,257130
HTH,19850522,m
HTH,19850523,m
HTH,19850524,272810
HTH,19850525,m
HTH,19850526,m
HTH,19850527,m
HTH,19850528,m
HTH,19850529,m
HTH,19850530,m
HTH,19850531,m
HTH,19850601,m
HTH,19850602,m
HTH,19850603,m
HTH,19850604,305520
HTH,19850605,m
HTH,19850606,m
HTH,19850607,m
HTH,19850608,m
HTH,19850609,m
HTH,19850610,326820
