ID,Date,Reservoir_Storage(AF)
ICH,19880724,17546
ICH,19880725,17537
ICH,19880726,17528
ICH,19880727,17514
ICH,19880728,17501
ICH,19880729,17465
ICH,19880730,17456
ICH,19880731,17442
ICH,19880801,17442
ICH,19880802,m
ICH,19880803,m
ICH,19880804,m
ICH,19880805,m
ICH,19880806,m
ICH,19880807,m
ICH,19880808,m
ICH,19880809,m
ICH,19880810,m
ICH,19880811,m
ICH,19880812,m
ICH,19880813,m
ICH,19880814,m
ICH,19880815,m
ICH,19880816,m
ICH,19880817,m
ICH,19880818,m
ICH,19880819,m
ICH,19880820,m
ICH,19880821,m
ICH,19880822,m
ICH,19880823,m
ICH,19880824,m
ICH,19880825,m
ICH,19880826,m
ICH,19880827,m
ICH,19880828,m
ICH,19880829,m
ICH,19880830,m
ICH,19880831,m
ICH,19880901,m
ICH,19880902,m
ICH,19880903,m
ICH,19880904,m
ICH,19880905,14732
ICH,19880906,14732
ICH,19880907,m
ICH,19880908,m
ICH,19880909,m
ICH,19880910,m
ICH,19880911,m
ICH,19880912,m
ICH,19880913,m
ICH,19880914,13872
ICH,19880915,13748
ICH,19880916,13620
ICH,19880917,13604
ICH,19880918,13592
ICH,19880919,13476
ICH,19880920,13364
ICH,19880921,13248
ICH,19880922,58968
ICH,19880923,12996
ICH,19880924,12988
ICH,19880925,12980
ICH,19880926,12856
ICH,19880927,12732
ICH,19880928,12700
ICH,19880929,12648
ICH,19880930,12596
ICH,19881001,12580
ICH,19881002,12572
ICH,19881003,12580
ICH,19881004,12328
ICH,19881005,12212
ICH,19881006,12092
ICH,19881007,11972
ICH,19881008,11844
ICH,19881009,11828
ICH,19881010,11700
ICH,19881011,11456
ICH,19881012,11456
ICH,19881013,11364
ICH,19881014,11224
ICH,19881015,11212
ICH,19881016,11200
ICH,19881017,11060
ICH,19881018,10916
ICH,19881019,10784
ICH,19881020,10660
ICH,19881021,10528
ICH,19881022,10516
ICH,19881023,10500
ICH,19881024,10376
ICH,19881025,10248
ICH,19881026,10237
ICH,19881027,10223
ICH,19881028,10216
ICH,19881029,10209
ICH,19881030,10199
ICH,19881031,10191
ICH,19881101,10181
ICH,19881102,10178
ICH,19881103,10153
ICH,19881104,10153
ICH,19881105,10146
ICH,19881106,10139
ICH,19881107,10125
ICH,19881108,10118
ICH,19881109,10100
ICH,19881110,10100
ICH,19881111,10094
ICH,19881112,10111
ICH,19881113,10220
ICH,19881114,10230
ICH,19881115,10234
ICH,19881116,10262
ICH,19881117,10262
ICH,19881118,10262
ICH,19881119,10262
ICH,19881120,10254
ICH,19881121,10258
ICH,19881122,10360
ICH,19881123,10568
ICH,19881124,10680
ICH,19881125,10756
ICH,19881126,10800
ICH,19881127,10828
ICH,19881128,10864
ICH,19881129,10840
ICH,19881130,10840
ICH,19881201,10816
ICH,19881202,10836
ICH,19881203,10860
ICH,19881204,10876
ICH,19881205,10896
ICH,19881206,10924
ICH,19881207,10820
ICH,19881208,10700
ICH,19881209,10596
ICH,19881210,10496
ICH,19881211,10388
ICH,19881212,10300
ICH,19881213,10220
ICH,19881214,10142
ICH,19881215,10058
ICH,19881216,9740
ICH,19881217,9870
ICH,19881218,9778
ICH,19881219,9684
ICH,19881220,9632
ICH,19881221,9551
ICH,19881222,9488
ICH,19881223,9488
ICH,19881224,9464
ICH,19881225,9495
ICH,19881226,9520
ICH,19881227,9506
ICH,19881228,9530
ICH,19881229,9544
ICH,19881230,9576
ICH,19881231,9597
ICH,19890101,9614
ICH,19890102,9632
ICH,19890103,9646
ICH,19890104,9365
ICH,19890105,9694
ICH,19890106,9590
ICH,19890107,9414
ICH,19890108,9495
ICH,19890109,9344
ICH,19890110,9380
ICH,19890111,9390
ICH,19890112,9408
ICH,19890113,9422
ICH,19890114,9432
ICH,19890115,9442
ICH,19890116,9450
ICH,19890117,9464
ICH,19890118,9394
ICH,19890119,9408
ICH,19890120,9429
ICH,19890121,9450
ICH,19890122,9464
ICH,19890123,9485
ICH,19890124,9495
ICH,19890125,m
ICH,19890126,9250
ICH,19890127,9534
ICH,19890128,9544
ICH,19890129,9562
ICH,19890130,9586
ICH,19890131,9621
ICH,19890201,9621
ICH,19890202,9737
ICH,19890203,9810
ICH,19890204,9852
ICH,19890205,9880
ICH,19890206,9940
ICH,19890207,9936
ICH,19890208,9954
ICH,19890209,9982
ICH,19890210,10003
ICH,19890211,10024
ICH,19890212,10045
ICH,19890213,10055
ICH,19890214,10073
ICH,19890215,10087
ICH,19890216,10104
ICH,19890217,10122
ICH,19890218,10146
ICH,19890219,10178
