ID,Date,Reservoir_Storage(AF)
INV,19890108,53900
INV,19890109,m
INV,19890110,m
INV,19890111,m
INV,19890112,m
INV,19890113,m
INV,19890114,m
INV,19890115,m
INV,19890116,m
INV,19890117,m
INV,19890118,m
INV,19890119,m
INV,19890120,m
INV,19890121,m
INV,19890122,57300
INV,19890123,m
INV,19890124,m
INV,19890125,m
INV,19890126,m
INV,19890127,m
INV,19890128,m
INV,19890129,m
INV,19890130,m
INV,19890131,m
INV,19890201,m
INV,19890202,m
INV,19890203,m
INV,19890204,m
INV,19890205,m
INV,19890206,m
INV,19890207,m
INV,19890208,m
INV,19890209,m
INV,19890210,m
INV,19890211,m
INV,19890212,m
INV,19890213,m
INV,19890214,m
INV,19890215,m
INV,19890216,m
INV,19890217,m
INV,19890218,m
INV,19890219,m
INV,19890220,m
INV,19890221,m
INV,19890222,m
INV,19890223,m
INV,19890224,m
INV,19890225,m
INV,19890226,m
INV,19890227,m
INV,19890228,m
INV,19890301,m
INV,19890302,m
INV,19890303,m
INV,19890304,m
INV,19890305,m
INV,19890306,m
INV,19890307,m
INV,19890308,m
INV,19890309,m
INV,19890310,m
INV,19890311,m
INV,19890312,m
INV,19890313,m
INV,19890314,m
INV,19890315,m
INV,19890316,m
INV,19890317,m
INV,19890318,m
INV,19890319,m
INV,19890320,m
INV,19890321,m
INV,19890322,m
INV,19890323,m
INV,19890324,m
INV,19890325,m
INV,19890326,m
INV,19890327,m
INV,19890328,m
INV,19890329,m
INV,19890330,m
INV,19890331,m
INV,19890401,m
INV,19890402,m
INV,19890403,m
INV,19890404,m
INV,19890405,m
INV,19890406,m
INV,19890407,m
INV,19890408,m
INV,19890409,m
INV,19890410,m
INV,19890411,m
INV,19890412,m
INV,19890413,m
INV,19890414,m
INV,19890415,m
INV,19890416,m
INV,19890417,m
INV,19890418,m
INV,19890419,m
INV,19890420,m
INV,19890421,m
INV,19890422,m
INV,19890423,m
INV,19890424,m
INV,19890425,m
INV,19890426,m
INV,19890427,m
INV,19890428,m
INV,19890429,m
INV,19890430,m
INV,19890501,m
INV,19890502,m
INV,19890503,m
INV,19890504,m
INV,19890505,m
INV,19890506,m
INV,19890507,m
INV,19890508,m
INV,19890509,m
INV,19890510,m
INV,19890511,m
INV,19890512,m
INV,19890513,m
INV,19890514,m
INV,19890515,m
INV,19890516,m
INV,19890517,m
INV,19890518,m
INV,19890519,m
INV,19890520,m
INV,19890521,m
INV,19890522,m
INV,19890523,m
INV,19890524,m
INV,19890525,m
INV,19890526,m
INV,19890527,m
INV,19890528,m
INV,19890529,m
INV,19890530,m
INV,19890531,m
INV,19890601,m
INV,19890602,m
INV,19890603,m
INV,19890604,m
INV,19890605,m
INV,19890606,m
INV,19890607,m
INV,19890608,m
INV,19890609,m
INV,19890610,m
INV,19890611,m
INV,19890612,m
INV,19890613,m
INV,19890614,m
INV,19890615,m
INV,19890616,m
INV,19890617,m
INV,19890618,m
INV,19890619,m
INV,19890620,m
INV,19890621,m
INV,19890622,m
INV,19890623,m
INV,19890624,m
INV,19890625,m
INV,19890626,m
INV,19890627,m
INV,19890628,m
INV,19890629,m
INV,19890630,m
INV,19890701,m
INV,19890702,m
INV,19890703,m
INV,19890704,m
INV,19890705,m
INV,19890706,m
INV,19890707,m
INV,19890708,m
INV,19890709,m
INV,19890710,m
INV,19890711,m
INV,19890712,m
INV,19890713,m
INV,19890714,m
INV,19890715,m
INV,19890716,m
INV,19890717,m
INV,19890718,m
INV,19890719,m
INV,19890720,m
INV,19890721,m
INV,19890722,m
INV,19890723,m
INV,19890724,m
INV,19890725,m
INV,19890726,m
INV,19890727,m
INV,19890728,m
INV,19890729,m
INV,19890730,m
INV,19890731,m
INV,19890801,m
INV,19890802,m
INV,19890803,m
INV,19890804,m
INV,19890805,m
INV,19890806,m
INV,19890807,m
INV,19890808,m
INV,19890809,m
INV,19890810,m
INV,19890811,m
INV,19890812,m
INV,19890813,m
INV,19890814,m
INV,19890815,m
INV,19890816,m
INV,19890817,m
INV,19890818,m
INV,19890819,m
INV,19890820,m
INV,19890821,m
INV,19890822,m
INV,19890823,m
INV,19890824,m
INV,19890825,m
INV,19890826,m
INV,19890827,m
INV,19890828,m
INV,19890829,m
INV,19890830,m
INV,19890831,m
INV,19890901,m
INV,19890902,m
INV,19890903,m
INV,19890904,m
INV,19890905,m
INV,19890906,m
INV,19890907,m
INV,19890908,m
INV,19890909,m
INV,19890910,m
INV,19890911,m
INV,19890912,m
INV,19890913,m
INV,19890914,m
INV,19890915,m
INV,19890916,m
INV,19890917,m
INV,19890918,m
INV,19890919,m
INV,19890920,m
INV,19890921,m
INV,19890922,m
INV,19890923,m
INV,19890924,m
INV,19890925,m
INV,19890926,m
INV,19890927,m
INV,19890928,m
INV,19890929,m
INV,19890930,m
INV,19891001,m
INV,19891002,m
INV,19891003,m
INV,19891004,m
INV,19891005,m
INV,19891006,m
INV,19891007,m
INV,19891008,m
INV,19891009,m
INV,19891010,m
INV,19891011,m
INV,19891012,m
INV,19891013,m
INV,19891014,m
INV,19891015,m
INV,19891016,m
INV,19891017,m
INV,19891018,m
INV,19891019,m
INV,19891020,m
INV,19891021,m
INV,19891022,m
INV,19891023,m
INV,19891024,m
INV,19891025,m
INV,19891026,m
INV,19891027,m
INV,19891028,m
INV,19891029,m
INV,19891030,m
INV,19891031,m
INV,19891101,m
INV,19891102,m
INV,19891103,m
INV,19891104,m
INV,19891105,m
INV,19891106,m
INV,19891107,m
INV,19891108,m
INV,19891109,m
INV,19891110,m
INV,19891111,m
INV,19891112,m
INV,19891113,m
INV,19891114,m
INV,19891115,m
INV,19891116,m
INV,19891117,m
INV,19891118,m
INV,19891119,m
INV,19891120,m
INV,19891121,m
INV,19891122,m
INV,19891123,m
INV,19891124,m
INV,19891125,m
INV,19891126,m
INV,19891127,m
INV,19891128,m
INV,19891129,m
INV,19891130,m
INV,19891201,m
INV,19891202,m
INV,19891203,m
INV,19891204,m
INV,19891205,m
INV,19891206,m
INV,19891207,m
INV,19891208,m
INV,19891209,m
INV,19891210,m
INV,19891211,m
INV,19891212,m
INV,19891213,m
INV,19891214,m
INV,19891215,m
INV,19891216,m
INV,19891217,m
INV,19891218,m
INV,19891219,m
INV,19891220,m
INV,19891221,m
INV,19891222,m
INV,19891223,m
INV,19891224,m
INV,19891225,m
INV,19891226,m
INV,19891227,m
INV,19891228,m
INV,19891229,m
INV,19891230,m
INV,19891231,m
INV,19900101,m
INV,19900102,m
INV,19900103,m
INV,19900104,m
INV,19900105,m
INV,19900106,m
INV,19900107,m
INV,19900108,22100
INV,19900109,m
INV,19900110,m
INV,19900111,m
INV,19900112,m
INV,19900113,m
INV,19900114,m
INV,19900115,m
INV,19900116,m
INV,19900117,m
INV,19900118,m
INV,19900119,m
INV,19900120,m
INV,19900121,m
INV,19900122,26400
INV,19900123,m
INV,19900124,m
INV,19900125,26594
INV,19900126,m
INV,19900127,m
INV,19900128,m
INV,19900129,m
INV,19900130,m
INV,19900131,m
INV,19900201,m
INV,19900202,m
INV,19900203,m
INV,19900204,m
INV,19900205,m
INV,19900206,m
INV,19900207,m
INV,19900208,m
INV,19900209,m
INV,19900210,m
INV,19900211,m
INV,19900212,m
INV,19900213,m
INV,19900214,m
INV,19900215,m
INV,19900216,m
INV,19900217,m
INV,19900218,m
INV,19900219,m
INV,19900220,m
INV,19900221,m
INV,19900222,m
INV,19900223,m
INV,19900224,m
INV,19900225,m
INV,19900226,m
INV,19900227,m
INV,19900228,m
INV,19900301,m
INV,19900302,m
INV,19900303,m
INV,19900304,m
INV,19900305,m
INV,19900306,m
INV,19900307,m
INV,19900308,m
INV,19900309,m
INV,19900310,m
INV,19900311,m
INV,19900312,m
INV,19900313,m
INV,19900314,m
INV,19900315,m
INV,19900316,m
INV,19900317,m
INV,19900318,34290
INV,19900319,m
INV,19900320,m
INV,19900321,34500
INV,19900322,m
INV,19900323,m
INV,19900324,m
INV,19900325,34500
INV,19900326,m
INV,19900327,m
INV,19900328,34820
INV,19900329,m
INV,19900330,m
INV,19900331,m
INV,19900401,34960
INV,19900402,m
INV,19900403,m
INV,19900404,35020
INV,19900405,m
INV,19900406,m
INV,19900407,m
INV,19900408,35100
INV,19900409,m
INV,19900410,m
INV,19900411,35150
INV,19900412,35170
INV,19900413,m
INV,19900414,m
INV,19900415,35170
INV,19900416,m
INV,19900417,m
INV,19900418,35200
INV,19900419,m
INV,19900420,m
INV,19900421,m
INV,19900422,35230
INV,19900423,m
INV,19900424,m
INV,19900425,35260
INV,19900426,m
INV,19900427,m
INV,19900428,m
INV,19900429,35250
INV,19900430,m
INV,19900501,m
INV,19900502,35200
INV,19900503,m
INV,19900504,m
INV,19900505,m
INV,19900506,35090
INV,19900507,m
INV,19900508,m
INV,19900509,35030
INV,19900510,m
INV,19900511,m
INV,19900512,m
INV,19900513,34960
INV,19900514,m
INV,19900515,m
INV,19900516,34910
INV,19900517,m
INV,19900518,m
INV,19900519,m
INV,19900520,34850
INV,19900521,m
INV,19900522,m
INV,19900523,34860
INV,19900524,m
INV,19900525,m
INV,19900526,m
INV,19900527,m
INV,19900528,36099
INV,19900529,m
INV,19900530,m
INV,19900531,m
INV,19900601,m
INV,19900602,m
INV,19900603,36878
INV,19900604,m
INV,19900605,m
INV,19900606,37173
INV,19900607,m
INV,19900608,m
INV,19900609,m
INV,19900610,37249
INV,19900611,m
INV,19900612,37269
INV,19900613,m
INV,19900614,m
INV,19900615,m
INV,19900616,m
INV,19900617,37258
INV,19900618,m
INV,19900619,m
INV,19900620,37258
INV,19900621,m
INV,19900622,m
INV,19900623,m
INV,19900624,37211
INV,19900625,m
INV,19900626,m
INV,19900627,37144
INV,19900628,37125
INV,19900629,m
INV,19900630,m
INV,19900701,37049
INV,19900702,m
INV,19900703,m
INV,19900704,36983
INV,19900705,m
INV,19900706,m
INV,19900707,m
INV,19900708,36907
INV,19900709,m
INV,19900710,m
INV,19900711,36850
INV,19900712,m
INV,19900713,m
INV,19900714,m
INV,19900715,36764
INV,19900716,m
INV,19900717,m
INV,19900718,36688
INV,19900719,m
INV,19900720,m
INV,19900721,m
INV,19900722,36584
INV,19900723,m
INV,19900724,m
INV,19900725,36479
INV,19900726,m
INV,19900727,m
INV,19900728,m
INV,19900729,36384
INV,19900730,m
INV,19900731,m
INV,19900801,36289
INV,19900802,m
INV,19900803,m
INV,19900804,m
INV,19900805,36175
INV,19900806,m
INV,19900807,m
INV,19900808,36090
INV,19900809,m
INV,19900810,m
INV,19900811,m
INV,19900812,m
INV,19900813,m
INV,19900814,m
INV,19900815,35833
INV,19900816,m
INV,19900817,m
INV,19900818,m
INV,19900819,35660
INV,19900820,m
INV,19900821,m
INV,19900822,35590
INV,19900823,m
INV,19900824,m
INV,19900825,m
INV,19900826,35430
INV,19900827,m
INV,19900828,m
INV,19900829,35350
INV,19900830,m
INV,19900831,m
INV,19900901,m
INV,19900902,m
INV,19900903,35200
INV,19900904,m
INV,19900905,35140
INV,19900906,m
INV,19900907,m
INV,19900908,m
INV,19900909,34990
INV,19900910,m
INV,19900911,m
INV,19900912,34880
INV,19900913,m
INV,19900914,m
INV,19900915,m
INV,19900916,m
INV,19900917,m
INV,19900918,m
INV,19900919,34630
INV,19900920,m
INV,19900921,m
INV,19900922,m
INV,19900923,34480
INV,19900924,m
INV,19900925,m
INV,19900926,34540
INV,19900927,m
INV,19900928,m
INV,19900929,m
INV,19900930,m
INV,19901001,m
INV,19901002,m
INV,19901003,34320
INV,19901004,m
INV,19901005,m
INV,19901006,m
INV,19901007,m
INV,19901008,m
INV,19901009,m
INV,19901010,34040
INV,19901011,m
INV,19901012,m
INV,19901013,m
INV,19901014,33920
INV,19901015,33890
INV,19901016,m
INV,19901017,33820
INV,19901018,m
INV,19901019,m
INV,19901020,m
INV,19901021,33730
INV,19901022,m
INV,19901023,m
INV,19901024,33670
INV,19901025,m
INV,19901026,m
INV,19901027,m
INV,19901028,33570
INV,19901029,m
INV,19901030,m
INV,19901031,m
INV,19901101,m
INV,19901102,m
INV,19901103,m
INV,19901104,33410
INV,19901105,m
INV,19901106,m
INV,19901107,33300
INV,19901108,m
INV,19901109,m
INV,19901110,m
INV,19901111,m
INV,19901112,m
INV,19901113,m
INV,19901114,33160
INV,19901115,m
INV,19901116,m
INV,19901117,m
INV,19901118,33070
INV,19901119,m
INV,19901120,m
INV,19901121,m
INV,19901122,m
INV,19901123,m
INV,19901124,m
INV,19901125,32920
INV,19901126,m
INV,19901127,m
INV,19901128,32850
INV,19901129,m
INV,19901130,m
INV,19901201,m
INV,19901202,32750
INV,19901203,m
