ID,Date,Reservoir_Storage(AF)
ISB,19850101,244910
ISB,19850102,m
ISB,19850103,m
ISB,19850104,m
ISB,19850105,m
ISB,19850106,m
ISB,19850107,244240
ISB,19850108,m
ISB,19850109,m
ISB,19850110,m
ISB,19850111,m
ISB,19850112,m
ISB,19850113,m
ISB,19850114,243800
ISB,19850115,m
ISB,19850116,m
ISB,19850117,m
ISB,19850118,m
ISB,19850119,m
ISB,19850120,m
ISB,19850121,242680
ISB,19850122,m
ISB,19850123,m
ISB,19850124,m
ISB,19850125,m
ISB,19850126,m
ISB,19850127,m
ISB,19850128,243800
ISB,19850129,m
ISB,19850130,m
ISB,19850131,m
ISB,19850201,m
ISB,19850202,m
ISB,19850203,m
ISB,19850204,244840
ISB,19850205,m
ISB,19850206,m
ISB,19850207,m
ISB,19850208,m
ISB,19850209,m
ISB,19850210,m
ISB,19850211,m
ISB,19850212,244690
ISB,19850213,m
ISB,19850214,m
ISB,19850215,m
ISB,19850216,m
ISB,19850217,m
ISB,19850218,241640
ISB,19850219,m
ISB,19850220,m
ISB,19850221,m
ISB,19850222,m
ISB,19850223,m
ISB,19850224,m
ISB,19850225,236860
ISB,19850226,m
ISB,19850227,m
ISB,19850228,234670
ISB,19850301,m
ISB,19850302,m
ISB,19850303,232350
ISB,19850304,m
ISB,19850305,m
ISB,19850306,m
ISB,19850307,m
ISB,19850308,m
ISB,19850309,m
ISB,19850310,229890
ISB,19850311,m
ISB,19850312,m
ISB,19850313,m
ISB,19850314,m
ISB,19850315,m
ISB,19850316,m
ISB,19850317,226740
ISB,19850318,m
ISB,19850319,m
ISB,19850320,m
ISB,19850321,m
ISB,19850322,m
ISB,19850323,m
ISB,19850324,226310
ISB,19850325,m
ISB,19850326,m
ISB,19850327,m
ISB,19850328,m
ISB,19850329,m
ISB,19850330,m
ISB,19850331,233430
ISB,19850401,m
ISB,19850402,m
ISB,19850403,m
ISB,19850404,m
ISB,19850405,m
ISB,19850406,m
ISB,19850407,247910
ISB,19850408,m
ISB,19850409,m
ISB,19850410,m
ISB,19850411,m
ISB,19850412,m
ISB,19850413,m
ISB,19850414,273330
ISB,19850415,m
ISB,19850416,m
ISB,19850417,m
ISB,19850418,m
ISB,19850419,m
ISB,19850420,m
ISB,19850421,293410
ISB,19850422,m
ISB,19850423,m
ISB,19850424,m
ISB,19850425,m
ISB,19850426,m
ISB,19850427,m
ISB,19850428,306010
ISB,19850429,m
ISB,19850430,m
ISB,19850501,m
ISB,19850502,m
ISB,19850503,m
ISB,19850504,m
ISB,19850505,323930
ISB,19850506,m
ISB,19850507,m
ISB,19850508,m
ISB,19850509,m
ISB,19850510,m
ISB,19850511,m
ISB,19850512,339250
ISB,19850513,m
ISB,19850514,m
ISB,19850515,m
ISB,19850516,m
ISB,19850517,m
ISB,19850518,m
ISB,19850519,353290
ISB,19850520,m
ISB,19850521,m
ISB,19850522,m
ISB,19850523,m
ISB,19850524,m
ISB,19850525,m
ISB,19850526,370880
ISB,19850527,m
ISB,19850528,m
ISB,19850529,m
ISB,19850530,m
ISB,19850531,m
ISB,19850601,m
ISB,19850602,378660
ISB,19850603,m
ISB,19850604,m
ISB,19850605,m
ISB,19850606,m
ISB,19850607,m
ISB,19850608,m
ISB,19850609,387380
ISB,19850610,m
ISB,19850611,m
ISB,19850612,m
ISB,19850613,m
ISB,19850614,m
ISB,19850615,m
ISB,19850616,387090
ISB,19850617,m
ISB,19850618,m
ISB,19850619,m
ISB,19850620,m
ISB,19850621,m
ISB,19850622,m
ISB,19850623,377630
ISB,19850624,m
