ID,Date,Reservoir_Storage(AF)
KES,19850210,21315
KES,19850211,m
KES,19850212,22020
KES,19850213,22145
KES,19850214,22660
KES,19850215,m
KES,19850216,m
KES,19850217,m
KES,19850218,21080
KES,19850219,21585
KES,19850220,21640
KES,19850221,21815
KES,19850222,m
KES,19850223,m
KES,19850224,21495
KES,19850225,22045
KES,19850226,21610
KES,19850227,21885
KES,19850228,21990
KES,19850301,m
KES,19850302,21595
KES,19850303,21440
KES,19850304,21490
KES,19850305,21690
KES,19850306,21720
KES,19850307,m
KES,19850308,m
KES,19850309,21465
KES,19850310,21525
KES,19850311,21925
KES,19850312,22590
KES,19850313,22490
KES,19850314,m
KES,19850315,m
KES,19850316,m
KES,19850317,22520
KES,19850318,22595
KES,19850319,22040
KES,19850320,21695
KES,19850321,m
KES,19850322,m
KES,19850323,21285
KES,19850324,21665
KES,19850325,22215
KES,19850326,22545
KES,19850327,22945
KES,19850328,m
KES,19850329,m
KES,19850330,21895
KES,19850331,22590
KES,19850401,22880
KES,19850402,22580
KES,19850403,21725
KES,19850404,m
KES,19850405,m
KES,19850406,20935
KES,19850407,21510
KES,19850408,21995
KES,19850409,22295
KES,19850410,22470
KES,19850411,m
KES,19850412,m
KES,19850413,27770
KES,19850414,22330
KES,19850415,22760
KES,19850416,22235
KES,19850417,21475
KES,19850418,m
KES,19850419,m
KES,19850420,m
KES,19850421,21795
KES,19850422,22155
KES,19850423,22120
KES,19850424,22260
KES,19850425,m
KES,19850426,m
KES,19850427,240
KES,19850428,22385
KES,19850429,23340
KES,19850430,21870
KES,19850501,21640
KES,19850502,m
KES,19850503,m
KES,19850504,21975
KES,19850505,22210
KES,19850506,22295
KES,19850507,22335
KES,19850508,22445
KES,19850509,m
KES,19850510,m
KES,19850511,22690
KES,19850512,22635
KES,19850513,21745
KES,19850514,21885
KES,19850515,21745
KES,19850516,m
KES,19850517,m
KES,19850518,21740
KES,19850519,21740
KES,19850520,21375
KES,19850521,21500
KES,19850522,22300
KES,19850523,m
KES,19850524,m
KES,19850525,m
KES,19850526,22590
KES,19850527,23010
KES,19850528,22745
KES,19850529,22775
KES,19850530,m
KES,19850531,m
KES,19850601,21995
KES,19850602,22265
KES,19850603,22815
KES,19850604,23070
KES,19850605,m
KES,19850606,m
KES,19850607,m
KES,19850608,22200
KES,19850609,22075
KES,19850610,22075
KES,19850611,22005
KES,19850612,21800
KES,19850613,m
KES,19850614,m
KES,19850615,22550
KES,19850616,22640
KES,19850617,22825
KES,19850618,23135
KES,19850619,23230
KES,19850620,m
KES,19850621,m
KES,19850622,m
KES,19850623,22460
KES,19850624,m
KES,19850625,22420
KES,19850626,21295
KES,19850627,m
KES,19850628,m
KES,19850629,22940
KES,19850630,22600
KES,19850701,21060
KES,19850702,m
KES,19850703,20955
KES,19850704,m
KES,19850705,m
KES,19850706,21325
KES,19850707,20510
KES,19850708,19570
KES,19850709,21185
KES,19850710,21195
KES,19850711,m
KES,19850712,m
KES,19850713,21610
KES,19850714,21600
KES,19850715,21320
KES,19850716,21265
KES,19850717,-480
KES,19850718,m
KES,19850719,m
KES,19850720,2030
KES,19850721,21925
KES,19850722,22420
KES,19850723,23010
KES,19850724,22845
KES,19850725,m
KES,19850726,m
KES,19850727,23160
KES,19850728,23105
KES,19850729,22985
KES,19850730,22540
KES,19850731,22785
KES,19850801,m
KES,19850802,m
KES,19850803,20280
KES,19850804,21560
KES,19850805,23130
KES,19850806,m
KES,19850807,22445
KES,19850808,m
KES,19850809,m
KES,19850810,21730
KES,19850811,21740
KES,19850812,21165
KES,19850813,21485
KES,19850814,22230
KES,19850815,m
KES,19850816,m
KES,19850817,23080
KES,19850818,22965
KES,19850819,22180
KES,19850820,21890
KES,19850821,22310
KES,19850822,m
KES,19850823,m
KES,19850824,22985
KES,19850825,22230
KES,19850826,23060
KES,19850827,21870
KES,19850828,22445
KES,19850829,m
KES,19850830,m
KES,19850831,m
KES,19850901,22170
KES,19850902,m
KES,19850903,23010
KES,19850904,23060
KES,19850905,m
KES,19850906,m
KES,19850907,22835
KES,19850908,21945
KES,19850909,22015
KES,19850910,21970
KES,19850911,21945
KES,19850912,m
KES,19850913,m
KES,19850914,21285
KES,19850915,21540
KES,19850916,22645
KES,19850917,22415
KES,19850918,22495
KES,19850919,m
KES,19850920,m
KES,19850921,22985
KES,19850922,23300
KES,19850923,22320
KES,19850924,21720
KES,19850925,21465
KES,19850926,m
KES,19850927,m
KES,19850928,22465
KES,19850929,22295
KES,19850930,22555
KES,19851001,22425
KES,19851002,22480
KES,19851003,m
KES,19851004,m
KES,19851005,21990
KES,19851006,21900
KES,19851007,22050
KES,19851008,14778
KES,19851009,21445
KES,19851010,m
KES,19851011,m
KES,19851012,m
KES,19851013,22460
KES,19851014,21885
KES,19851015,21240
KES,19851016,22050
KES,19851017,m
KES,19851018,m
KES,19851019,22405
KES,19851020,22475
KES,19851021,22555
KES,19851022,22660
KES,19851023,22505
KES,19851024,m
KES,19851025,m
KES,19851026,23200
KES,19851027,22790
KES,19851028,22320
KES,19851029,22260
KES,19851030,22435
KES,19851031,m
KES,19851101,m
KES,19851102,21700
KES,19851103,22230
KES,19851104,22150
KES,19851105,21600
KES,19851106,21075
KES,19851107,m
KES,19851108,m
KES,19851109,m
KES,19851110,22150
KES,19851111,22425
KES,19851112,22530
KES,19851113,22415
KES,19851114,m
KES,19851115,m
KES,19851116,22600
KES,19851117,22885
KES,19851118,21145
KES,19851119,21340
KES,19851120,21210
KES,19851121,m
KES,19851122,m
KES,19851123,21700
KES,19851124,21725
KES,19851125,21995
KES,19851126,m
KES,19851127,m
KES,19851128,m
KES,19851129,m
KES,19851130,21765
KES,19851201,22990
KES,19851202,22740
KES,19851203,23030
KES,19851204,22670
KES,19851205,m
KES,19851206,12345
KES,19851207,22151
KES,19851208,21520
KES,19851209,21750
KES,19851210,21840
KES,19851211,22075
KES,19851212,m
KES,19851213,3512
KES,19851214,22590
KES,19851215,22645
KES,19851216,22320
KES,19851217,22095
KES,19851218,21600
KES,19851219,m
KES,19851220,m
KES,19851221,21865
KES,19851222,22340
KES,19851223,m
KES,19851224,22295
KES,19851225,22050
KES,19851226,m
KES,19851227,m
KES,19851228,22170
KES,19851229,22135
KES,19851230,m
KES,19851231,m
KES,19860101,22025
KES,19860102,22045
KES,19860103,m
KES,19860104,m
KES,19860105,m
KES,19860106,22600
KES,19860107,m
KES,19860108,22050
KES,19860109,22025
KES,19860110,m
KES,19860111,m
KES,19860112,22040
KES,19860113,22615
KES,19860114,-105
KES,19860115,22850
KES,19860116,22545
KES,19860117,m
KES,19860118,m
KES,19860119,m
KES,19860120,22260
KES,19860121,m
KES,19860122,m
KES,19860123,m
KES,19860124,m
KES,19860125,m
KES,19860126,m
KES,19860127,m
KES,19860128,m
KES,19860129,m
KES,19860130,m
KES,19860131,m
KES,19860201,m
KES,19860202,m
KES,19860203,m
KES,19860204,m
KES,19860205,m
KES,19860206,m
KES,19860207,m
KES,19860208,m
KES,19860209,m
KES,19860210,m
KES,19860211,m
KES,19860212,m
KES,19860213,m
KES,19860214,m
KES,19860215,m
KES,19860216,m
KES,19860217,m
KES,19860218,m
KES,19860219,m
KES,19860220,m
KES,19860221,m
KES,19860222,m
KES,19860223,m
KES,19860224,m
KES,19860225,m
KES,19860226,m
KES,19860227,m
KES,19860228,m
KES,19860301,m
KES,19860302,m
KES,19860303,m
KES,19860304,m
KES,19860305,m
KES,19860306,m
KES,19860307,m
KES,19860308,m
KES,19860309,m
KES,19860310,m
KES,19860311,m
KES,19860312,m
KES,19860313,m
KES,19860314,m
KES,19860315,m
KES,19860316,m
KES,19860317,m
KES,19860318,20610
KES,19860319,m
KES,19860320,m
KES,19860321,m
KES,19860322,m
KES,19860323,m
KES,19860324,22273
KES,19860325,22242
KES,19860326,m
KES,19860327,m
KES,19860328,m
KES,19860329,m
KES,19860330,m
KES,19860331,m
KES,19860401,m
KES,19860402,m
KES,19860403,m
KES,19860404,m
KES,19860405,m
KES,19860406,m
KES,19860407,m
KES,19860408,m
KES,19860409,m
