ID,Date,Reservoir_Storage(AF)
LEW,19850101,13895
LEW,19850102,m
LEW,19850103,m
LEW,19850104,m
LEW,19850105,m
LEW,19850106,m
LEW,19850107,13865
LEW,19850108,m
LEW,19850109,m
LEW,19850110,m
LEW,19850111,m
LEW,19850112,m
LEW,19850113,m
LEW,19850114,13700
LEW,19850115,m
LEW,19850116,m
LEW,19850117,m
LEW,19850118,m
LEW,19850119,m
LEW,19850120,m
LEW,19850121,13740
LEW,19850122,m
LEW,19850123,m
LEW,19850124,m
LEW,19850125,m
LEW,19850126,m
LEW,19850127,m
LEW,19850128,13895
LEW,19850129,m
LEW,19850130,m
LEW,19850131,m
LEW,19850201,m
LEW,19850202,m
LEW,19850203,m
LEW,19850204,13860
LEW,19850205,m
LEW,19850206,m
LEW,19850207,m
LEW,19850208,m
LEW,19850209,m
LEW,19850210,m
LEW,19850211,m
LEW,19850212,14480
LEW,19850213,m
LEW,19850214,m
LEW,19850215,m
LEW,19850216,m
LEW,19850217,m
LEW,19850218,14180
LEW,19850219,m
LEW,19850220,m
LEW,19850221,m
LEW,19850222,m
LEW,19850223,m
LEW,19850224,m
LEW,19850225,14040
LEW,19850226,m
LEW,19850227,m
LEW,19850228,13980
LEW,19850301,m
LEW,19850302,m
LEW,19850303,14085
LEW,19850304,m
LEW,19850305,m
LEW,19850306,m
LEW,19850307,m
LEW,19850308,m
LEW,19850309,m
LEW,19850310,14010
LEW,19850311,m
LEW,19850312,m
LEW,19850313,m
LEW,19850314,m
LEW,19850315,m
LEW,19850316,m
LEW,19850317,14150
LEW,19850318,m
LEW,19850319,m
LEW,19850320,m
LEW,19850321,m
LEW,19850322,m
LEW,19850323,m
LEW,19850324,13985
LEW,19850325,m
LEW,19850326,m
LEW,19850327,m
LEW,19850328,m
LEW,19850329,m
LEW,19850330,m
LEW,19850331,14000
LEW,19850401,m
LEW,19850402,m
LEW,19850403,m
LEW,19850404,m
LEW,19850405,m
LEW,19850406,m
LEW,19850407,13830
LEW,19850408,m
LEW,19850409,m
LEW,19850410,m
LEW,19850411,m
LEW,19850412,m
LEW,19850413,m
LEW,19850414,13830
LEW,19850415,m
LEW,19850416,m
LEW,19850417,m
LEW,19850418,m
LEW,19850419,m
LEW,19850420,m
LEW,19850421,13985
LEW,19850422,m
LEW,19850423,m
LEW,19850424,m
LEW,19850425,m
LEW,19850426,m
LEW,19850427,m
LEW,19850428,13785
LEW,19850429,m
LEW,19850430,m
LEW,19850501,m
LEW,19850502,m
LEW,19850503,m
LEW,19850504,m
LEW,19850505,13410
LEW,19850506,m
LEW,19850507,m
LEW,19850508,m
LEW,19850509,m
LEW,19850510,m
LEW,19850511,m
LEW,19850512,14100
LEW,19850513,m
LEW,19850514,m
LEW,19850515,m
LEW,19850516,m
LEW,19850517,m
LEW,19850518,m
LEW,19850519,13810
LEW,19850520,m
LEW,19850521,m
LEW,19850522,m
LEW,19850523,m
LEW,19850524,m
LEW,19850525,m
LEW,19850526,14300
LEW,19850527,m
LEW,19850528,m
LEW,19850529,m
LEW,19850530,m
LEW,19850531,m
LEW,19850601,m
LEW,19850602,m
LEW,19850603,m
LEW,19850604,m
LEW,19850605,m
LEW,19850606,m
LEW,19850607,m
