ID,Date,Reservoir_Storage(AF)
LGV,19850421,46700
LGV,19850422,47300
LGV,19850423,47700
LGV,19850424,48100
LGV,19850425,48400
LGV,19850426,48800
LGV,19850427,49100
LGV,19850428,49600
LGV,19850429,50000
LGV,19850430,50500
LGV,19850501,51000
LGV,19850502,51500
LGV,19850503,52000
LGV,19850504,52400
LGV,19850505,52800
LGV,19850506,53200
LGV,19850507,53600
LGV,19850508,53900
LGV,19850509,54300
LGV,19850510,54400
LGV,19850511,54700
LGV,19850512,55000
LGV,19850513,55200
LGV,19850514,55400
LGV,19850515,55700
LGV,19850516,55800
LGV,19850517,56100
LGV,19850518,56300
LGV,19850519,56500
LGV,19850520,56700
LGV,19850521,56900
LGV,19850522,57100
LGV,19850523,57200
LGV,19850524,57300
LGV,19850525,57400
LGV,19850526,57500
LGV,19850527,57600
LGV,19850528,57600
LGV,19850529,57800
LGV,19850530,57800
LGV,19850531,57900
LGV,19850601,57900
LGV,19850602,58000
LGV,19850603,58100
LGV,19850604,58100
LGV,19850605,58100
LGV,19850606,58200
LGV,19850607,58200
LGV,19850608,58200
LGV,19850609,58200
LGV,19850610,58300
LGV,19850611,58300
LGV,19850612,58300
LGV,19850613,58300
LGV,19850614,58300
LGV,19850615,58300
LGV,19850616,58300
LGV,19850617,58200
LGV,19850618,58200
LGV,19850619,58200
LGV,19850620,58200
LGV,19850621,58200
LGV,19850622,58100
LGV,19850623,58100
LGV,19850624,58000
LGV,19850625,58000
LGV,19850626,57900
LGV,19850627,57900
LGV,19850628,57900
LGV,19850629,57800
LGV,19850630,57700
LGV,19850701,57700
LGV,19850702,58300
LGV,19850703,58200
LGV,19850704,58200
LGV,19850705,58200
LGV,19850706,58100
LGV,19850707,58100
LGV,19850708,58100
LGV,19850709,58000
LGV,19850710,58000
LGV,19850711,57900
LGV,19850712,57900
LGV,19850713,57800
LGV,19850714,57800
LGV,19850715,57800
LGV,19850716,57800
LGV,19850717,57700
LGV,19850718,57600
LGV,19850719,57600
LGV,19850720,57600
LGV,19850721,57500
LGV,19850722,57500
LGV,19850723,57500
LGV,19850724,57500
LGV,19850725,57400
LGV,19850726,57400
LGV,19850727,57400
LGV,19850728,57300
LGV,19850729,57200
LGV,19850730,57100
LGV,19850731,57100
LGV,19850801,57100
LGV,19850802,57000
LGV,19850803,57000
LGV,19850804,57000
LGV,19850805,57000
LGV,19850806,56900
LGV,19850807,56800
LGV,19850808,56800
LGV,19850809,56700
LGV,19850810,56700
LGV,19850811,56600
LGV,19850812,56600
LGV,19850813,56500
LGV,19850814,56500
LGV,19850815,56500
LGV,19850816,56400
LGV,19850817,56300
LGV,19850818,56300
LGV,19850819,56300
LGV,19850820,56200
LGV,19850821,56200
LGV,19850822,56100
LGV,19850823,56100
LGV,19850824,56100
LGV,19850825,56000
LGV,19850826,56000
LGV,19850827,55900
LGV,19850828,55900
LGV,19850829,55800
LGV,19850830,55800
LGV,19850831,55800
LGV,19850901,55700
LGV,19850902,55600
LGV,19850903,55600
LGV,19850904,55000
LGV,19850905,54700
LGV,19850906,54100
LGV,19850907,53700
LGV,19850908,53500
LGV,19850909,53200
LGV,19850910,52800
LGV,19850911,52300
LGV,19850912,52000
LGV,19850913,51500
LGV,19850914,51100
LGV,19850915,51000
LGV,19850916,50200
LGV,19850917,49700
LGV,19850918,49300
LGV,19850919,48900
LGV,19850920,48400
LGV,19850921,48000
LGV,19850922,47600
LGV,19850923,47100
LGV,19850924,46600
LGV,19850925,46200
LGV,19850926,45000
LGV,19850927,45500
LGV,19850928,45500
LGV,19850929,45400
LGV,19850930,45400
LGV,19851001,45900
LGV,19851002,45400
LGV,19851003,45400
LGV,19851004,45300
LGV,19851005,45300
LGV,19851006,45200
LGV,19851007,45200
LGV,19851008,45100
LGV,19851009,45100
LGV,19851010,45000
LGV,19851011,45100
LGV,19851012,45000
LGV,19851013,45000
LGV,19851014,45000
LGV,19851015,44900
LGV,19851016,44900
LGV,19851017,44900
LGV,19851018,44800
LGV,19851019,44800
LGV,19851020,44700
LGV,19851021,44800
LGV,19851022,44900
LGV,19851023,45000
LGV,19851024,45000
LGV,19851025,45000
LGV,19851026,44900
LGV,19851027,45000
LGV,19851028,44900
LGV,19851029,44900
LGV,19851030,44800
LGV,19851031,44800
LGV,19851101,44800
LGV,19851102,44800
LGV,19851103,44800
LGV,19851104,44700
LGV,19851105,44700
LGV,19851106,44700
LGV,19851107,44700
LGV,19851108,44700
LGV,19851109,44700
LGV,19851110,44800
LGV,19851111,44900
LGV,19851112,44900
LGV,19851113,44900
LGV,19851114,44900
LGV,19851115,44900
LGV,19851116,44900
LGV,19851117,44900
LGV,19851118,44900
LGV,19851119,44900
LGV,19851120,44900
LGV,19851121,44900
LGV,19851122,44900
LGV,19851123,45000
LGV,19851124,45200
LGV,19851125,45300
LGV,19851126,45300
LGV,19851127,45400
LGV,19851128,45600
LGV,19851129,45800
LGV,19851130,45900
LGV,19851201,45900
LGV,19851202,46600
LGV,19851203,47000
LGV,19851204,47200
LGV,19851205,47400
LGV,19851206,47400
LGV,19851207,47600
LGV,19851208,47700
LGV,19851209,47800
LGV,19851210,47900
