ID,Date,Reservoir_Storage(AF)
LON,19880110,12032
LON,19880111,12074
LON,19880112,m
LON,19880113,m
LON,19880114,m
LON,19880115,m
LON,19880116,m
LON,19880117,m
LON,19880118,m
LON,19880119,m
LON,19880120,m
LON,19880121,m
LON,19880122,m
LON,19880123,m
LON,19880124,m
LON,19880125,m
LON,19880126,m
LON,19880127,m
LON,19880128,m
LON,19880129,m
LON,19880130,m
LON,19880131,m
LON,19880201,m
LON,19880202,m
LON,19880203,m
LON,19880204,m
LON,19880205,m
LON,19880206,m
LON,19880207,m
LON,19880208,m
LON,19880209,m
LON,19880210,m
LON,19880211,m
LON,19880212,m
LON,19880213,m
LON,19880214,m
LON,19880215,m
LON,19880216,m
LON,19880217,m
LON,19880218,m
LON,19880219,m
LON,19880220,m
LON,19880221,m
LON,19880222,m
LON,19880223,m
LON,19880224,m
LON,19880225,m
LON,19880226,m
LON,19880227,m
LON,19880228,m
LON,19880229,m
LON,19880301,m
LON,19880302,m
LON,19880303,m
LON,19880304,m
LON,19880305,m
LON,19880306,m
LON,19880307,m
LON,19880308,m
LON,19880309,m
LON,19880310,m
LON,19880311,m
LON,19880312,m
LON,19880313,m
LON,19880314,m
LON,19880315,m
LON,19880316,m
LON,19880317,m
LON,19880318,m
LON,19880319,m
LON,19880320,m
LON,19880321,m
LON,19880322,m
LON,19880323,m
LON,19880324,m
LON,19880325,m
LON,19880326,m
LON,19880327,m
LON,19880328,m
LON,19880329,m
LON,19880330,m
LON,19880331,m
LON,19880401,m
LON,19880402,m
LON,19880403,m
LON,19880404,m
LON,19880405,m
LON,19880406,m
LON,19880407,m
LON,19880408,m
LON,19880409,m
LON,19880410,m
LON,19880411,m
LON,19880412,m
LON,19880413,m
LON,19880414,m
LON,19880415,m
LON,19880416,m
LON,19880417,m
LON,19880418,m
LON,19880419,m
LON,19880420,m
LON,19880421,m
LON,19880422,m
LON,19880423,m
LON,19880424,m
LON,19880425,m
LON,19880426,m
LON,19880427,m
LON,19880428,m
LON,19880429,m
LON,19880430,m
LON,19880501,m
LON,19880502,m
LON,19880503,m
LON,19880504,m
LON,19880505,m
LON,19880506,m
LON,19880507,m
LON,19880508,m
LON,19880509,m
LON,19880510,m
LON,19880511,m
LON,19880512,m
LON,19880513,m
LON,19880514,m
LON,19880515,m
LON,19880516,m
LON,19880517,m
LON,19880518,m
LON,19880519,m
LON,19880520,m
LON,19880521,m
LON,19880522,m
LON,19880523,m
LON,19880524,m
LON,19880525,m
LON,19880526,m
LON,19880527,m
LON,19880528,m
LON,19880529,m
LON,19880530,m
LON,19880531,m
LON,19880601,m
LON,19880602,m
LON,19880603,m
LON,19880604,m
LON,19880605,m
LON,19880606,m
LON,19880607,m
LON,19880608,m
LON,19880609,m
LON,19880610,m
LON,19880611,m
LON,19880612,m
LON,19880613,m
LON,19880614,m
LON,19880615,m
LON,19880616,m
LON,19880617,m
LON,19880618,m
LON,19880619,m
LON,19880620,m
LON,19880621,m
LON,19880622,m
LON,19880623,m
LON,19880624,m
LON,19880625,m
LON,19880626,m
LON,19880627,m
LON,19880628,m
LON,19880629,m
LON,19880630,m
LON,19880701,m
LON,19880702,m
LON,19880703,m
LON,19880704,m
LON,19880705,m
LON,19880706,m
LON,19880707,m
LON,19880708,m
LON,19880709,m
LON,19880710,m
LON,19880711,m
LON,19880712,m
LON,19880713,m
LON,19880714,m
LON,19880715,m
LON,19880716,m
LON,19880717,m
LON,19880718,m
LON,19880719,m
LON,19880720,m
LON,19880721,m
LON,19880722,m
LON,19880723,m
LON,19880724,19718
