ID,Date,Reservoir_Storage(AF)
MIL,19850101,243810
MIL,19850102,m
MIL,19850103,m
MIL,19850104,m
MIL,19850105,m
MIL,19850106,m
MIL,19850107,260810
MIL,19850108,m
MIL,19850109,m
MIL,19850110,m
MIL,19850111,m
MIL,19850112,m
MIL,19850113,m
MIL,19850114,287710
MIL,19850115,m
MIL,19850116,m
MIL,19850117,m
MIL,19850118,m
MIL,19850119,m
MIL,19850120,m
MIL,19850121,305700
MIL,19850122,m
MIL,19850123,m
MIL,19850124,m
MIL,19850125,m
MIL,19850126,m
MIL,19850127,m
MIL,19850128,319300
MIL,19850129,m
MIL,19850130,m
MIL,19850131,m
MIL,19850201,m
MIL,19850202,m
MIL,19850203,m
MIL,19850204,331500
MIL,19850205,m
MIL,19850206,m
MIL,19850207,m
MIL,19850208,m
MIL,19850209,m
MIL,19850210,m
MIL,19850211,m
MIL,19850212,341600
MIL,19850213,m
MIL,19850214,m
MIL,19850215,m
MIL,19850216,m
MIL,19850217,m
MIL,19850218,324100
MIL,19850219,m
MIL,19850220,m
MIL,19850221,m
MIL,19850222,m
MIL,19850223,m
MIL,19850224,m
MIL,19850225,301600
MIL,19850226,299010
MIL,19850227,m
MIL,19850228,292210
MIL,19850301,m
MIL,19850302,m
MIL,19850303,284790
MIL,19850304,m
MIL,19850305,m
MIL,19850306,m
MIL,19850307,m
MIL,19850308,m
MIL,19850309,m
MIL,19850310,272610
MIL,19850311,m
MIL,19850312,m
MIL,19850313,m
MIL,19850314,m
MIL,19850315,m
MIL,19850316,m
MIL,19850317,261310
MIL,19850318,m
MIL,19850319,m
MIL,19850320,m
MIL,19850321,m
MIL,19850322,m
MIL,19850323,m
MIL,19850324,256410
MIL,19850325,m
MIL,19850326,m
MIL,19850327,m
MIL,19850328,m
MIL,19850329,m
MIL,19850330,m
MIL,19850331,273810
MIL,19850401,m
MIL,19850402,m
MIL,19850403,m
MIL,19850404,m
MIL,19850405,m
MIL,19850406,m
MIL,19850407,294110
MIL,19850408,m
MIL,19850409,m
MIL,19850410,m
MIL,19850411,m
MIL,19850412,m
MIL,19850413,m
MIL,19850414,315700
MIL,19850415,m
MIL,19850416,m
MIL,19850417,m
MIL,19850418,m
MIL,19850419,m
