ID,Date,Reservoir_Storage(AF)
MMW,20010101,m
MMW,20010102,m
MMW,20010103,m
MMW,20010104,m
MMW,20010105,m
MMW,20010106,m
MMW,20010107,m
MMW,20010108,m
MMW,20010109,m
MMW,20010110,m
MMW,20010111,m
MMW,20010112,m
MMW,20010113,m
MMW,20010114,m
MMW,20010115,m
MMW,20010116,m
MMW,20010117,m
MMW,20010118,m
MMW,20010119,m
MMW,20010120,m
MMW,20010121,m
MMW,20010122,m
MMW,20010123,m
MMW,20010124,m
MMW,20010125,m
MMW,20010126,m
MMW,20010127,m
MMW,20010128,m
MMW,20010129,m
MMW,20010130,m
MMW,20010131,m
MMW,20010201,4731
MMW,20010202,4704
MMW,20010203,4731
MMW,20010204,4704
MMW,20010205,4731
MMW,20010206,4811
MMW,20010207,4811
MMW,20010208,4811
MMW,20010209,4811
MMW,20010210,4839
MMW,20010211,4980
MMW,20010212,5036
MMW,20010213,4980
MMW,20010214,4895
MMW,20010215,4839
MMW,20010216,4784
MMW,20010217,4731
MMW,20010218,4784
MMW,20010219,4784
MMW,20010220,4811
MMW,20010221,4811
MMW,20010222,4895
MMW,20010223,4867
MMW,20010224,4867
MMW,20010225,4867
MMW,20010226,4867
MMW,20010227,4811
MMW,20010228,4811
MMW,20010301,4784
MMW,20010302,4758
MMW,20010303,4784
MMW,20010304,4952
MMW,20010305,5092
MMW,20010306,5036
MMW,20010307,5092
MMW,20010308,5149
MMW,20010309,5207
MMW,20010310,5236
MMW,20010311,5322
MMW,20010312,5410
MMW,20010313,5535
MMW,20010314,5566
MMW,20010315,5659
MMW,20010316,5659
MMW,20010317,5690
MMW,20010318,5820
MMW,20010319,6014
MMW,20010320,6769
MMW,20010321,7387
MMW,20010322,8111
MMW,20010323,8741
MMW,20010324,9063
MMW,20010325,10482
MMW,20010326,11259
MMW,20010327,11744
MMW,20010328,11877
MMW,20010329,12191
MMW,20010330,12371
MMW,20010331,12643
MMW,20010401,12734
MMW,20010402,12779
MMW,20010403,13239
MMW,20010404,13704
MMW,20010405,13564
MMW,20010406,13564
MMW,20010407,13704
MMW,20010408,13798
MMW,20010409,13891
MMW,20010410,14269
MMW,20010411,14269
MMW,20010412,14508
MMW,20010413,14365
MMW,20010414,14412
MMW,20010415,14795
MMW,20010416,14892
MMW,20010417,14795
MMW,20010418,14651
MMW,20010419,14988
MMW,20010420,15426
MMW,20010421,15474
MMW,20010422,15328
MMW,20010423,15523
MMW,20010424,15621
MMW,20010425,15818
MMW,20010426,15719
MMW,20010427,15719
MMW,20010428,15230
MMW,20010429,15717
MMW,20010430,15717
MMW,20010501,15717
MMW,20010502,15717
MMW,20010503,16214
MMW,20010504,15818
MMW,20010505,15818
MMW,20010506,15818
MMW,20010507,15818
MMW,20010508,15818
MMW,20010509,15719
MMW,20010510,15719
MMW,20010511,15670
MMW,20010512,15670
MMW,20010513,15572
MMW,20010514,15474
MMW,20010515,15426
MMW,20010516,15402
MMW,20010517,15377
MMW,20010518,15377
MMW,20010519,15328
MMW,20010520,15328
MMW,20010521,15280
MMW,20010522,14988
MMW,20010523,14940
MMW,20010524,14940
MMW,20010525,14844
MMW,20010526,m
MMW,20010527,14556
MMW,20010528,14175
MMW,20010529,14080
MMW,20010530,14195
MMW,20010531,14127
MMW,20010601,14127
MMW,20010602,13750
MMW,20010603,13844
MMW,20010604,13750
MMW,20010605,13424
MMW,20010606,13193
MMW,20010607,13239
MMW,20010608,13100
MMW,20010609,13100
MMW,20010610,12870
MMW,20010611,12779
MMW,20010612,12779
MMW,20010613,12643
MMW,20010614,12371
MMW,20010615,12281
MMW,20010616,12281
MMW,20010617,12056
MMW,20010618,11992
MMW,20010619,11788
MMW,20010620,11788
MMW,20010621,11478
MMW,20010622,11391
MMW,20010623,11172
MMW,20010624,10998
MMW,20010625,10998
MMW,20010626,11084
MMW,20010627,11303
MMW,20010628,11128
MMW,20010629,10868
MMW,20010630,11084
MMW,20010701,10911
MMW,20010702,10868
MMW,20010703,10695
MMW,20010704,10524
MMW,20010705,9888
MMW,20010706,9846
MMW,20010707,9804
MMW,20010708,9721
MMW,20010709,9226
MMW,20010710,9226
MMW,20010711,9638
MMW,20010712,9389
MMW,20010713,9186
MMW,20010714,8982
MMW,20010715,8782
MMW,20010716,8581
MMW,20010717,8267
MMW,20010718,8188
MMW,20010719,8111
MMW,20010720,7802
MMW,20010721,7387
MMW,20010722,7277
MMW,20010723,7277
MMW,20010724,7277
MMW,20010725,7240
MMW,20010726,6984
MMW,20010727,6980
MMW,20010728,6912
MMW,20010729,6769
MMW,20010730,6697
MMW,20010731,6662
MMW,20010801,6350
MMW,20010802,6350
MMW,20010803,6014
MMW,20010804,5820
MMW,20010805,5628
MMW,20010806,5628
MMW,20010807,5566
MMW,20010808,5379
MMW,20010809,5322
MMW,20010810,5036
MMW,20010811,4867
MMW,20010812,4784
MMW,20010813,4571
MMW,20010814,4493
MMW,20010815,4291
MMW,20010816,4050
MMW,20010817,3912
MMW,20010818,3776
MMW,20010819,3646
MMW,20010820,3561
MMW,20010821,3561
MMW,20010822,3540
MMW,20010823,3479
MMW,20010824,3438
MMW,20010825,3397
MMW,20010826,3359
MMW,20010827,3339
MMW,20010828,3320
MMW,20010829,3320
MMW,20010830,3320
MMW,20010831,3133
MMW,20010901,2991
MMW,20010902,2957
MMW,20010903,2924
MMW,20010904,2890
MMW,20010905,2792
MMW,20010906,2761
MMW,20010907,2745
MMW,20010908,2745
MMW,20010909,2729
MMW,20010910,2667
MMW,20010911,2593
MMW,20010912,2593
MMW,20010913,2593
MMW,20010914,2520
MMW,20010915,2506
MMW,20010916,2478
MMW,20010917,2478
MMW,20010918,2478
MMW,20010919,2435
MMW,20010920,2368
MMW,20010921,2342
MMW,20010922,2315
MMW,20010923,2289
MMW,20010924,2289
MMW,20010925,2289
MMW,20010926,2276
MMW,20010927,2264
MMW,20010928,2251
MMW,20010929,2751
MMW,20010930,2251
MMW,20011001,2227
MMW,20011002,2165
MMW,20011003,2142
MMW,20011004,2119
MMW,20011005,2096
MMW,20011006,2062
MMW,20011007,2039
MMW,20011008,2018
MMW,20011009,1986
MMW,20011010,1964
MMW,20011011,1932
MMW,20011012,1912
MMW,20011013,1871
MMW,20011014,m
MMW,20011015,1861
MMW,20011016,1841
MMW,20011017,1831
MMW,20011018,1812
MMW,20011019,1803
MMW,20011020,1785
MMW,20011021,1776
MMW,20011022,1747
MMW,20011023,1738
MMW,20011024,1712
MMW,20011025,1694
MMW,20011026,1650
MMW,20011027,1634
MMW,20011028,1634
MMW,20011029,1609
MMW,20011030,1685
MMW,20011031,1720
MMW,20011101,1720
MMW,20011102,1720
MMW,20011103,1720
MMW,20011104,1703
MMW,20011105,1685
MMW,20011106,1668
MMW,20011107,1659
MMW,20011108,1642
MMW,20011109,1634
MMW,20011110,1630
MMW,20011111,1642
MMW,20011112,1831
MMW,20011113,1932
MMW,20011114,2007
MMW,20011115,2018
MMW,20011116,1996
MMW,20011117,1996
MMW,20011118,1996
MMW,20011119,1953
MMW,20011120,2007
MMW,20011121,2153
MMW,20011122,2119
MMW,20011123,2548
MMW,20011124,2697
MMW,20011125,3008
MMW,20011126,3205
MMW,20011127,3263
MMW,20011128,3301
MMW,20011129,3397
MMW,20011130,3397
MMW,20011201,3479
MMW,20011202,3820
MMW,20011203,3820
MMW,20011204,3820
MMW,20011205,3912
MMW,20011206,4050
MMW,20011207,4098
MMW,20011208,4195
MMW,20011209,4291
