ID,Date,Reservoir_Storage(AF)
MRT,19880809,779
MRT,19880810,778
MRT,19880811,780
MRT,19880812,780
MRT,19880813,778
MRT,19880814,778
MRT,19880815,779
MRT,19880816,778
MRT,19880817,778
MRT,19880818,777
MRT,19880819,777
MRT,19880820,777
MRT,19880821,777
MRT,19880822,777
MRT,19880823,777
MRT,19880824,778
MRT,19880825,777
MRT,19880826,777
MRT,19880827,777
MRT,19880828,778
MRT,19880829,780
MRT,19880830,780
MRT,19880831,780
MRT,19880901,780
MRT,19880902,780
MRT,19880903,779
MRT,19880904,779
MRT,19880905,778
MRT,19880906,778
MRT,19880907,778
MRT,19880908,778
MRT,19880909,778
MRT,19880910,778
MRT,19880911,779
MRT,19880912,780
MRT,19880913,780
MRT,19880914,781
MRT,19880915,781
MRT,19880916,781
MRT,19880917,782
MRT,19880918,782
MRT,19880919,782
MRT,19880920,783
MRT,19880921,784
MRT,19880922,784
MRT,19880923,783
MRT,19880924,783
MRT,19880925,783
MRT,19880926,783
MRT,19880927,783
MRT,19880928,783
MRT,19880929,783
MRT,19880930,783
MRT,19881001,783
MRT,19881002,783
MRT,19881003,783
MRT,19881004,783
MRT,19881005,783
MRT,19881006,783
MRT,19881007,783
MRT,19881008,783
MRT,19881009,783
MRT,19881010,783
MRT,19881011,784
MRT,19881012,784
MRT,19881013,784
MRT,19881014,784
MRT,19881015,784
MRT,19881016,784
MRT,19881017,784
MRT,19881018,784
MRT,19881019,784
MRT,19881020,784
MRT,19881021,784
MRT,19881022,784
MRT,19881023,784
MRT,19881024,784
MRT,19881025,784
MRT,19881026,785
MRT,19881027,784
MRT,19881028,785
MRT,19881029,784
MRT,19881030,784
MRT,19881031,785
MRT,19881101,784
MRT,19881102,784
MRT,19881103,784
MRT,19881104,786
MRT,19881105,786
MRT,19881106,786
MRT,19881107,786
MRT,19881108,786
MRT,19881109,786
MRT,19881110,787
MRT,19881111,787
MRT,19881112,787
MRT,19881113,799
MRT,19881114,796
MRT,19881115,796
MRT,19881116,796
MRT,19881117,795
MRT,19881118,788
MRT,19881119,788
MRT,19881120,788
MRT,19881121,788
MRT,19881122,812
MRT,19881123,827
MRT,19881124,827
MRT,19881125,798
MRT,19881126,793
MRT,19881127,792
MRT,19881128,791
MRT,19881129,789
MRT,19881130,789
MRT,19881201,789
MRT,19881202,789
MRT,19881203,789
MRT,19881204,788
MRT,19881205,788
MRT,19881206,788
MRT,19881207,788
MRT,19881208,788
MRT,19881209,788
MRT,19881210,788
MRT,19881211,787
MRT,19881212,788
MRT,19881213,788
MRT,19881214,787
MRT,19881215,786
MRT,19881216,788
MRT,19881217,788
MRT,19881218,788
MRT,19881219,788
MRT,19881220,789
MRT,19881221,789
MRT,19881222,789
MRT,19881223,789
MRT,19881224,789
MRT,19881225,789
MRT,19881226,788
MRT,19881227,788
MRT,19881228,788
MRT,19881229,788
MRT,19881230,788
MRT,19881231,788
MRT,19890101,m
MRT,19890102,789
MRT,19890103,789
MRT,19890104,788
MRT,19890105,791
MRT,19890106,789
MRT,19890107,m
MRT,19890108,m
MRT,19890109,m
MRT,19890110,789
MRT,19890111,788
MRT,19890112,m
MRT,19890113,786
MRT,19890114,788
MRT,19890115,788
MRT,19890116,789
MRT,19890117,789
MRT,19890118,789
MRT,19890119,789
MRT,19890120,789
MRT,19890121,788
MRT,19890122,789
MRT,19890123,789
MRT,19890124,789
MRT,19890125,789
MRT,19890126,789
MRT,19890127,789
MRT,19890128,788
MRT,19890129,788
MRT,19890130,789
MRT,19890131,m
MRT,19890201,788
MRT,19890202,789
MRT,19890203,791
MRT,19890204,791
MRT,19890205,788
MRT,19890206,787
MRT,19890207,786
MRT,19890208,786
MRT,19890209,787
MRT,19890210,788
MRT,19890211,789
MRT,19890212,789
MRT,19890213,789
MRT,19890214,789
MRT,19890215,788
MRT,19890216,789
MRT,19890217,790
MRT,19890218,792
MRT,19890219,793
MRT,19890220,793
MRT,19890221,794
MRT,19890222,808
MRT,19890223,833
MRT,19890224,839
MRT,19890225,846
MRT,19890226,844
MRT,19890227,833
MRT,19890228,m
MRT,19890301,824
MRT,19890302,821
MRT,19890303,811
MRT,19890304,807
MRT,19890305,833
MRT,19890306,854
MRT,19890307,864
MRT,19890308,899
MRT,19890309,885
MRT,19890310,864
MRT,19890311,896
MRT,19890312,862
MRT,19890313,850
MRT,19890314,839
MRT,19890315,833
MRT,19890316,833
MRT,19890317,831
MRT,19890318,850
MRT,19890319,858
MRT,19890320,837
MRT,19890321,831
MRT,19890322,827
MRT,19890323,827
MRT,19890324,877
MRT,19890325,876
MRT,19890326,851
MRT,19890327,841
MRT,19890328,846
MRT,19890329,840
MRT,19890330,837
MRT,19890331,m
MRT,19890401,836
MRT,19890402,838
MRT,19890403,834
MRT,19890404,834
MRT,19890405,835
MRT,19890406,839
MRT,19890407,841
MRT,19890408,842
MRT,19890409,841
MRT,19890410,839
MRT,19890411,837
MRT,19890412,833
MRT,19890413,830
MRT,19890414,829
MRT,19890415,827
MRT,19890416,825
MRT,19890417,823
MRT,19890418,822
MRT,19890419,820
MRT,19890420,819
MRT,19890421,827
MRT,19890422,819
MRT,19890423,820
MRT,19890424,816
MRT,19890425,812
MRT,19890426,810
MRT,19890427,808
MRT,19890428,808
MRT,19890429,808
MRT,19890430,m
MRT,19890501,806
MRT,19890502,806
MRT,19890503,806
MRT,19890504,806
MRT,19890505,806
MRT,19890506,806
MRT,19890507,806
MRT,19890508,805
MRT,19890509,808
MRT,19890510,806
MRT,19890511,804
MRT,19890512,803
MRT,19890513,802
MRT,19890514,802
MRT,19890515,805
MRT,19890516,801
MRT,19890517,798
MRT,19890518,796
MRT,19890519,796
MRT,19890520,794
MRT,19890521,794
MRT,19890522,792
MRT,19890523,796
MRT,19890524,795
MRT,19890525,794
MRT,19890526,793
MRT,19890527,791
MRT,19890528,791
MRT,19890529,792
MRT,19890530,792
MRT,19890531,m
MRT,19890601,791
MRT,19890602,791
MRT,19890603,794
MRT,19890604,802
MRT,19890605,797
MRT,19890606,794
MRT,19890607,807
MRT,19890608,803
MRT,19890609,796
MRT,19890610,793
MRT,19890611,791
MRT,19890612,789
MRT,19890613,788
MRT,19890614,787
MRT,19890615,786
MRT,19890616,786
MRT,19890617,786
MRT,19890618,784
MRT,19890619,783
MRT,19890620,784
MRT,19890621,784
MRT,19890622,784
MRT,19890623,784
MRT,19890624,784
MRT,19890625,784
MRT,19890626,783
MRT,19890627,783
MRT,19890628,783
MRT,19890629,782
MRT,19890630,m
MRT,19890701,783
MRT,19890702,783
MRT,19890703,782
MRT,19890704,782
MRT,19890705,781
MRT,19890706,781
MRT,19890707,781
MRT,19890708,780
MRT,19890709,780
MRT,19890710,780
MRT,19890711,781
MRT,19890712,781
MRT,19890713,780
MRT,19890714,780
MRT,19890715,780
MRT,19890716,780
MRT,19890717,780
MRT,19890718,781
MRT,19890719,780
MRT,19890720,780
MRT,19890721,780
MRT,19890722,780
MRT,19890723,780
MRT,19890724,780
MRT,19890725,779
MRT,19890726,778
MRT,19890727,778
MRT,19890728,778
MRT,19890729,778
MRT,19890730,777
MRT,19890731,m
MRT,19890801,777
MRT,19890802,778
MRT,19890803,779
MRT,19890804,780
MRT,19890805,780
MRT,19890806,780
MRT,19890807,786
MRT,19890808,m
MRT,19890809,m
MRT,19890810,m
MRT,19890811,m
MRT,19890812,m
MRT,19890813,m
MRT,19890814,m
MRT,19890815,m
MRT,19890816,m
MRT,19890817,m
MRT,19890818,781
MRT,19890819,781
MRT,19890820,784
MRT,19890821,788
MRT,19890822,792
MRT,19890823,m
MRT,19890824,798
MRT,19890825,799
MRT,19890826,798
MRT,19890827,m
MRT,19890828,m
MRT,19890829,m
MRT,19890830,m
MRT,19890831,m
MRT,19890901,m
MRT,19890902,m
MRT,19890903,m
MRT,19890904,m
MRT,19890905,m
MRT,19890906,m
MRT,19890907,m
MRT,19890908,m
MRT,19890909,m
MRT,19890910,m
MRT,19890911,m
MRT,19890912,m
MRT,19890913,m
MRT,19890914,m
MRT,19890915,m
MRT,19890916,m
MRT,19890917,m
MRT,19890918,m
MRT,19890919,m
MRT,19890920,m
MRT,19890921,m
MRT,19890922,m
MRT,19890923,m
MRT,19890924,m
MRT,19890925,m
MRT,19890926,m
MRT,19890927,m
MRT,19890928,m
MRT,19890929,m
MRT,19890930,m
MRT,19891001,793
MRT,19891002,799
MRT,19891003,m
MRT,19891004,m
MRT,19891005,796
MRT,19891006,794
MRT,19891007,793
MRT,19891008,793
MRT,19891009,793
MRT,19891010,m
MRT,19891011,792
MRT,19891012,792
MRT,19891013,792
MRT,19891014,792
MRT,19891015,792
MRT,19891016,792
MRT,19891017,792
MRT,19891018,792
MRT,19891019,792
MRT,19891020,792
MRT,19891021,794
MRT,19891022,794
MRT,19891023,817
MRT,19891024,809
MRT,19891025,802
MRT,19891026,798
MRT,19891027,796
MRT,19891028,794
MRT,19891029,794
MRT,19891030,793
MRT,19891031,m
MRT,19891101,m
MRT,19891102,792
MRT,19891103,793
MRT,19891104,793
MRT,19891105,792
MRT,19891106,792
MRT,19891107,792
MRT,19891108,792
MRT,19891109,792
MRT,19891110,792
MRT,19891111,792
MRT,19891112,792
MRT,19891113,792
MRT,19891114,792
MRT,19891115,792
MRT,19891116,792
MRT,19891117,792
MRT,19891118,792
MRT,19891119,792
MRT,19891120,792
MRT,19891121,792
MRT,19891122,792
MRT,19891123,792
MRT,19891124,797
MRT,19891125,m
MRT,19891126,806
MRT,19891127,799
MRT,19891128,796
MRT,19891129,795
MRT,19891130,793
MRT,19891201,794
MRT,19891202,794
MRT,19891203,794
MRT,19891204,794
MRT,19891205,794
MRT,19891206,794
MRT,19891207,794
MRT,19891208,m
MRT,19891209,793
MRT,19891210,792
MRT,19891211,791
MRT,19891212,791
MRT,19891213,791
MRT,19891214,791
MRT,19891215,791
MRT,19891216,792
MRT,19891217,791
MRT,19891218,791
MRT,19891219,791
MRT,19891220,791
MRT,19891221,791
