ID,Date,Reservoir_Storage(AF)
NAT,19850212,7885
NAT,19850213,7840
NAT,19850214,7745
NAT,19850215,m
NAT,19850216,m
NAT,19850217,m
NAT,19850218,8025
NAT,19850219,8215
NAT,19850220,8120
NAT,19850221,8215
NAT,19850222,m
NAT,19850223,m
NAT,19850224,8120
NAT,19850225,8120
NAT,19850226,8165
NAT,19850227,8075
NAT,19850228,7885
NAT,19850301,m
NAT,19850302,8075
NAT,19850303,8165
NAT,19850304,8310
NAT,19850305,8410
NAT,19850306,8410
NAT,19850307,m
NAT,19850308,m
NAT,19850309,8510
NAT,19850310,8560
NAT,19850311,8460
NAT,19850312,8410
NAT,19850313,8310
NAT,19850314,m
NAT,19850315,m
NAT,19850316,8360
NAT,19850317,8410
NAT,19850318,8460
NAT,19850319,8410
NAT,19850320,8215
NAT,19850321,m
NAT,19850322,m
NAT,19850323,7885
NAT,19850324,7885
NAT,19850325,7930
NAT,19850326,7930
NAT,19850327,7840
NAT,19850328,m
NAT,19850329,m
NAT,19850330,8075
NAT,19850331,8120
NAT,19850401,8165
NAT,19850402,8075
NAT,19850403,8075
NAT,19850404,m
NAT,19850405,m
NAT,19850406,8120
NAT,19850407,8075
NAT,19850408,8025
NAT,19850409,7980
NAT,19850410,7840
NAT,19850411,m
NAT,19850412,m
NAT,19850413,8660
NAT,19850414,8610
NAT,19850415,8360
NAT,19850416,8075
NAT,19850417,8025
NAT,19850418,m
NAT,19850419,m
NAT,19850420,m
NAT,19850421,8410
NAT,19850422,8310
NAT,19850423,8310
NAT,19850424,8120
NAT,19850425,m
NAT,19850426,m
NAT,19850427,8120
NAT,19850428,8310
NAT,19850429,8165
NAT,19850430,8075
NAT,19850501,7885
NAT,19850502,m
NAT,19850503,m
NAT,19850504,8165
NAT,19850505,8260
NAT,19850506,7980
NAT,19850507,8075
NAT,19850508,8075
NAT,19850509,m
NAT,19850510,m
NAT,19850511,8260
NAT,19850512,8165
NAT,19850513,8510
NAT,19850514,8510
NAT,19850515,8560
NAT,19850516,m
NAT,19850517,m
NAT,19850518,8025
NAT,19850519,7930
NAT,19850520,8025
NAT,19850521,7900
NAT,19850522,8000
NAT,19850523,m
NAT,19850524,m
NAT,19850525,m
NAT,19850526,8460
NAT,19850527,8510
NAT,19850528,8460
NAT,19850529,8260
NAT,19850530,m
NAT,19850531,m
NAT,19850601,7790
NAT,19850602,8165
NAT,19850603,8165
NAT,19850604,8075
NAT,19850605,m
NAT,19850606,m
NAT,19850607,m
NAT,19850608,8075
NAT,19850609,8025
NAT,19850610,8215
NAT,19850611,8025
NAT,19850612,7930
NAT,19850613,m
NAT,19850614,m
