ID,Date,Reservoir_Storage(AF)
NHG,19850101,135240
NHG,19850102,m
NHG,19850103,m
NHG,19850104,m
NHG,19850105,m
NHG,19850106,m
NHG,19850107,135820
NHG,19850108,m
NHG,19850109,m
NHG,19850110,m
NHG,19850111,m
NHG,19850112,m
NHG,19850113,m
NHG,19850114,137180
NHG,19850115,m
NHG,19850116,m
NHG,19850117,m
NHG,19850118,m
NHG,19850119,m
NHG,19850120,m
NHG,19850121,137650
NHG,19850122,m
NHG,19850123,m
NHG,19850124,m
NHG,19850125,m
NHG,19850126,m
NHG,19850127,m
NHG,19850128,138190
NHG,19850129,m
NHG,19850130,m
NHG,19850131,m
NHG,19850201,m
NHG,19850202,m
NHG,19850203,m
NHG,19850204,138700
NHG,19850205,m
NHG,19850206,m
NHG,19850207,m
NHG,19850208,m
NHG,19850209,m
NHG,19850210,m
NHG,19850211,m
NHG,19850212,151210
NHG,19850213,m
NHG,19850214,m
NHG,19850215,m
NHG,19850216,m
NHG,19850217,m
NHG,19850218,152610
NHG,19850219,m
NHG,19850220,m
NHG,19850221,m
NHG,19850222,m
NHG,19850223,m
NHG,19850224,m
NHG,19850225,153430
NHG,19850226,m
NHG,19850227,m
NHG,19850228,153660
NHG,19850301,m
NHG,19850302,m
NHG,19850303,154030
NHG,19850304,m
NHG,19850305,m
NHG,19850306,m
NHG,19850307,m
NHG,19850308,m
NHG,19850309,m
NHG,19850310,160160
NHG,19850311,m
NHG,19850312,m
NHG,19850313,m
NHG,19850314,m
NHG,19850315,m
NHG,19850316,m
NHG,19850317,163810
NHG,19850318,m
NHG,19850319,m
NHG,19850320,m
NHG,19850321,m
NHG,19850322,m
NHG,19850323,m
NHG,19850324,165100
NHG,19850325,m
NHG,19850326,m
NHG,19850327,m
NHG,19850328,m
NHG,19850329,m
NHG,19850330,m
NHG,19850331,174280
NHG,19850401,m
NHG,19850402,m
NHG,19850403,m
NHG,19850404,m
NHG,19850405,m
NHG,19850406,m
NHG,19850407,176350
NHG,19850408,m
NHG,19850409,m
NHG,19850410,m
NHG,19850411,m
NHG,19850412,m
NHG,19850413,m
NHG,19850414,176570
NHG,19850415,m
NHG,19850416,m
NHG,19850417,m
NHG,19850418,m
