ID,Date,Reservoir_Storage(AF)
NML,19850214,1875700
NML,19850215,m
NML,19850216,m
NML,19850217,m
NML,19850218,m
NML,19850219,1870200
NML,19850220,1870300
NML,19850221,1869800
NML,19850222,1869100
NML,19850223,m
NML,19850224,m
NML,19850225,1867600
NML,19850226,1867200
NML,19850227,1866900
NML,19850228,1866800
NML,19850301,1867600
NML,19850302,m
NML,19850303,m
NML,19850304,1870000
NML,19850305,1870100
NML,19850306,1870500
NML,19850307,1870700
NML,19850308,1871600
NML,19850309,m
NML,19850310,m
NML,19850311,m
NML,19850312,1874700
NML,19850313,1876100
NML,19850314,1877200
NML,19850315,1878300
NML,19850316,m
NML,19850317,m
NML,19850318,1881100
NML,19850319,1882600
NML,19850320,1883600
NML,19850321,1885300
NML,19850322,1886900
NML,19850323,m
NML,19850324,m
NML,19850325,1891300
NML,19850326,1892300
NML,19850327,1894100
NML,19850328,1897200
NML,19850329,1900000
NML,19850330,m
NML,19850331,m
NML,19850401,1903400
NML,19850402,1904800
NML,19850403,1906800
NML,19850404,1909700
NML,19850405,1913500
NML,19850406,m
NML,19850407,m
NML,19850408,1918000
NML,19850409,1918900
NML,19850410,1919600
NML,19850411,1920400
NML,19850412,1921000
NML,19850413,m
NML,19850414,m
NML,19850415,1924500
NML,19850416,1926600
NML,19850417,1928800
NML,19850418,1930200
NML,19850419,1930100
NML,19850420,m
NML,19850421,m
NML,19850422,m
NML,19850423,1927500
NML,19850424,1926400
NML,19850425,1926300
NML,19850426,1925700
NML,19850427,m
NML,19850428,m
NML,19850429,1922300
NML,19850430,1921600
NML,19850501,1921200
NML,19850502,1921400
NML,19850503,1921800
NML,19850504,m
NML,19850505,m
NML,19850506,1921300
NML,19850507,1920700
NML,19850508,1920000
NML,19850509,1919100
NML,19850510,1918500
NML,19850511,m
NML,19850512,m
NML,19850513,1911300
NML,19850514,1910000
NML,19850515,1909200
NML,19850516,1909400
NML,19850517,1909400
NML,19850518,m
NML,19850519,m
NML,19850520,1911300
NML,19850521,1911900
NML,19850522,1911200
NML,19850523,1910600
NML,19850524,1910000
NML,19850525,m
NML,19850526,m
NML,19850527,m
NML,19850528,1907400
NML,19850529,1905800
NML,19850530,1904700
NML,19850531,1903000
NML,19850601,m
NML,19850602,m
NML,19850603,1896200
NML,19850604,1894100
NML,19850605,1891500
NML,19850606,1889100
NML,19850607,m
NML,19850608,m
NML,19850609,m
NML,19850610,1883700
NML,19850611,1882400
NML,19850612,1880200
NML,19850613,1878200
NML,19850614,1875600
NML,19850615,m
NML,19850616,m
NML,19850617,1866600
NML,19850618,1863000
NML,19850619,1859400
