ID,Date,Reservoir_Storage(AF)
ORO,19850213,1289100
ORO,19850214,1294800
ORO,19850215,m
ORO,19850216,m
ORO,19850217,m
ORO,19850218,1318200
ORO,19850219,1322200
ORO,19850220,1322500
ORO,19850221,1321500
ORO,19850222,m
ORO,19850223,m
ORO,19850224,1330100
ORO,19850225,1323900
ORO,19850226,1322900
ORO,19850227,1326000
ORO,19850228,1329700
ORO,19850301,m
ORO,19850302,m
ORO,19850303,1662600
ORO,19850304,1353300
ORO,19850305,1354200
ORO,19850306,1355200
ORO,19850307,1354200
ORO,19850308,m
ORO,19850309,m
ORO,19850310,m
ORO,19850311,1377600
ORO,19850312,1382700
ORO,19850313,1389000
ORO,19850314,1395400
ORO,19850315,m
ORO,19850316,m
ORO,19850317,m
ORO,19850318,1426300
ORO,19850319,1426100
ORO,19850320,1431600
ORO,19850321,1436400
ORO,19850322,m
ORO,19850323,m
ORO,19850324,1464600
ORO,19850325,1460400
ORO,19850326,1457800
ORO,19850327,1466600
ORO,19850328,1472900
ORO,19850329,m
ORO,19850330,m
ORO,19850331,1502000
ORO,19850401,1506900
ORO,19850402,1516800
ORO,19850403,1529400
ORO,19850404,1543700
ORO,19850405,m
ORO,19850406,m
ORO,19850407,m
ORO,19850408,1621900
ORO,19850409,1635800
ORO,19850410,1649700
ORO,19850411,1664300
ORO,19850412,m
ORO,19850413,m
ORO,19850414,1711800
ORO,19850415,1723200
ORO,19850416,1732000
ORO,19850417,1740600
ORO,19850418,1748700
ORO,19850419,m
ORO,19850420,m
ORO,19850421,m
ORO,19850422,1773400
ORO,19850423,1774200
ORO,19850424,1774800
ORO,19850425,1774600
ORO,19850426,m
ORO,19850427,m
ORO,19850428,1770900
ORO,19850429,1769200
ORO,19850430,1763300
ORO,19850501,1759200
ORO,19850502,1754500
ORO,19850503,m
ORO,19850504,m
ORO,19850505,1740500
ORO,19850506,1736900
ORO,19850507,1731500
ORO,19850508,1724900
ORO,19850509,1716200
ORO,19850510,m
ORO,19850511,m
ORO,19850512,1693300
ORO,19850513,1686500
ORO,19850514,1678400
ORO,19850515,1669800
ORO,19850516,1666500
ORO,19850517,m
ORO,19850518,m
ORO,19850519,1665200
ORO,19850520,1660600
ORO,19850521,1653900
ORO,19850522,1648000
ORO,19850523,1640400
ORO,19850524,m
ORO,19850525,m
ORO,19850526,m
ORO,19850527,1607900
ORO,19850528,1598400
ORO,19850529,1587000
ORO,19850530,1575700
ORO,19850531,m
ORO,19850601,m
ORO,19850602,1544200
ORO,19850603,1531900
ORO,19850604,1520600
ORO,19850605,1509400
ORO,19850606,m
ORO,19850607,m
ORO,19850608,m
ORO,19850609,1469400
ORO,19850610,1457700
ORO,19850611,1443600
ORO,19850612,1432300
ORO,19850613,1421900
ORO,19850614,m
ORO,19850615,m
ORO,19850616,1393600
ORO,19850617,1380500
ORO,19850618,1365500
ORO,19850619,1350700
ORO,19850620,1336300
ORO,19850621,m
ORO,19850622,m
ORO,19850623,1298200
ORO,19850624,1281900
ORO,19850625,1269200
ORO,19850626,1257000
ORO,19850627,1242900
ORO,19850628,m
ORO,19850629,m
