ID,Date,Reservoir_Storage(AF)
PAR,19850102,178730
PAR,19850103,m
PAR,19850104,m
PAR,19850105,m
PAR,19850106,m
PAR,19850107,m
PAR,19850108,176010
PAR,19850109,m
PAR,19850110,m
PAR,19850111,m
PAR,19850112,m
PAR,19850113,m
PAR,19850114,m
PAR,19850115,174920
PAR,19850116,m
PAR,19850117,m
PAR,19850118,m
PAR,19850119,m
PAR,19850120,m
PAR,19850121,m
PAR,19850122,173400
PAR,19850123,m
PAR,19850124,m
PAR,19850125,m
PAR,19850126,m
PAR,19850127,m
PAR,19850128,m
PAR,19850129,173640
PAR,19850130,m
PAR,19850131,m
PAR,19850201,m
PAR,19850202,m
PAR,19850203,m
PAR,19850204,m
PAR,19850205,174720
PAR,19850206,m
PAR,19850207,m
PAR,19850208,m
PAR,19850209,m
PAR,19850210,m
PAR,19850211,m
PAR,19850212,m
PAR,19850213,180690
PAR,19850214,m
PAR,19850215,m
PAR,19850216,m
PAR,19850217,m
PAR,19850218,m
PAR,19850219,184580
PAR,19850220,m
PAR,19850221,m
PAR,19850222,m
PAR,19850223,m
PAR,19850224,m
PAR,19850225,m
PAR,19850226,189710
PAR,19850227,m
PAR,19850228,m
PAR,19850301,192100
PAR,19850302,m
PAR,19850303,m
PAR,19850304,m
PAR,19850305,193800
PAR,19850306,m
PAR,19850307,m
PAR,19850308,m
PAR,19850309,m
PAR,19850310,m
PAR,19850311,m
PAR,19850312,193760
PAR,19850313,m
PAR,19850314,m
PAR,19850315,m
PAR,19850316,m
PAR,19850317,m
PAR,19850318,m
PAR,19850319,192910
PAR,19850320,m
PAR,19850321,m
PAR,19850322,m
PAR,19850323,m
PAR,19850324,m
PAR,19850325,m
PAR,19850326,191650
PAR,19850327,m
PAR,19850328,m
PAR,19850329,m
PAR,19850330,m
PAR,19850331,m
PAR,19850401,m
PAR,19850402,192140
PAR,19850403,m
PAR,19850404,m
PAR,19850405,m
PAR,19850406,m
PAR,19850407,m
PAR,19850408,m
PAR,19850409,189330
PAR,19850410,m
PAR,19850411,m
PAR,19850412,m
PAR,19850413,m
PAR,19850414,m
PAR,19850415,m
PAR,19850416,189310
PAR,19850417,m
PAR,19850418,m
PAR,19850419,m
PAR,19850420,m
PAR,19850421,m
PAR,19850422,m
