ID,Date,Reservoir_Storage(AF)
PNF,19850101,594200
PNF,19850102,m
PNF,19850103,m
PNF,19850104,m
PNF,19850105,m
PNF,19850106,m
PNF,19850107,601000
PNF,19850108,m
PNF,19850109,m
PNF,19850110,m
PNF,19850111,m
PNF,19850112,m
PNF,19850113,m
PNF,19850114,609600
PNF,19850115,m
PNF,19850116,m
PNF,19850117,m
PNF,19850118,m
PNF,19850119,m
PNF,19850120,m
PNF,19850121,614100
PNF,19850122,m
PNF,19850123,m
PNF,19850124,m
PNF,19850125,m
PNF,19850126,m
PNF,19850127,m
PNF,19850128,621000
PNF,19850129,m
PNF,19850130,m
PNF,19850131,m
PNF,19850201,m
PNF,19850202,m
PNF,19850203,m
PNF,19850204,622900
PNF,19850205,m
PNF,19850206,m
PNF,19850207,m
PNF,19850208,m
PNF,19850209,m
PNF,19850210,m
PNF,19850211,m
PNF,19850212,630200
PNF,19850213,m
PNF,19850214,m
PNF,19850215,m
PNF,19850216,m
PNF,19850217,m
PNF,19850218,625800
PNF,19850219,m
PNF,19850220,m
PNF,19850221,m
PNF,19850222,m
PNF,19850223,m
PNF,19850224,m
PNF,19850225,618700
PNF,19850226,m
PNF,19850227,m
PNF,19850228,614800
PNF,19850301,m
PNF,19850302,m
PNF,19850303,m
PNF,19850304,608300
PNF,19850305,m
PNF,19850306,m
PNF,19850307,m
PNF,19850308,m
PNF,19850309,m
PNF,19850310,m
PNF,19850311,596300
PNF,19850312,m
PNF,19850313,m
PNF,19850314,m
PNF,19850315,m
PNF,19850316,m
PNF,19850317,m
PNF,19850318,586900
PNF,19850319,m
PNF,19850320,m
PNF,19850321,m
PNF,19850322,m
PNF,19850323,m
PNF,19850324,m
PNF,19850325,582400
PNF,19850326,m
PNF,19850327,m
PNF,19850328,m
PNF,19850329,m
PNF,19850330,m
PNF,19850331,m
PNF,19850401,596400
PNF,19850402,m
PNF,19850403,m
PNF,19850404,m
PNF,19850405,m
PNF,19850406,m
PNF,19850407,m
PNF,19850408,618100
PNF,19850409,m
PNF,19850410,m
PNF,19850411,m
PNF,19850412,m
PNF,19850413,m
PNF,19850414,m
PNF,19850415,662700
PNF,19850416,m
PNF,19850417,m
PNF,19850418,m
PNF,19850419,m
PNF,19850420,m
PNF,19850421,m
PNF,19850422,690700
PNF,19850423,m
PNF,19850424,m
PNF,19850425,m
PNF,19850426,m
PNF,19850427,m
PNF,19850428,m
PNF,19850429,714900
PNF,19850430,m
PNF,19850501,m
PNF,19850502,m
PNF,19850503,m
PNF,19850504,m
PNF,19850505,m
PNF,19850506,759200
PNF,19850507,m
PNF,19850508,m
PNF,19850509,m
PNF,19850510,m
PNF,19850511,m
PNF,19850512,m
PNF,19850513,781600
PNF,19850514,m
PNF,19850515,m
PNF,19850516,m
PNF,19850517,m
PNF,19850518,m
PNF,19850519,m
PNF,19850520,816200
PNF,19850521,m
PNF,19850522,m
PNF,19850523,m
PNF,19850524,m
PNF,19850525,m
PNF,19850526,m
PNF,19850527,839000
PNF,19850528,m
PNF,19850529,m
PNF,19850530,m
PNF,19850531,m
PNF,19850601,m
PNF,19850602,m
PNF,19850603,828200
PNF,19850604,m
PNF,19850605,m
PNF,19850606,m
PNF,19850607,m
PNF,19850608,m
PNF,19850609,m
PNF,19850610,810500
PNF,19850611,m
PNF,19850612,m
PNF,19850613,m
PNF,19850614,m
PNF,19850615,m
PNF,19850616,m
PNF,19850617,777200
PNF,19850618,m
PNF,19850619,m
PNF,19850620,m
PNF,19850621,m
PNF,19850622,m
PNF,19850623,m
PNF,19850624,720400
PNF,19850625,m
PNF,19850626,m
PNF,19850627,m
PNF,19850628,m
PNF,19850629,m
PNF,19850630,m
PNF,19850701,654300
PNF,19850702,m
PNF,19850703,m
PNF,19850704,m
PNF,19850705,m
PNF,19850706,m
PNF,19850707,m
PNF,19850708,579100
PNF,19850709,m
PNF,19850710,m
PNF,19850711,m
PNF,19850712,m
PNF,19850713,m
PNF,19850714,m
PNF,19850715,500700
PNF,19850716,m
PNF,19850717,m
PNF,19850718,m
PNF,19850719,m
PNF,19850720,m
PNF,19850721,m
PNF,19850722,418900
PNF,19850723,m
PNF,19850724,m
PNF,19850725,m
PNF,19850726,m
PNF,19850727,m
PNF,19850728,m
PNF,19850729,349900
PNF,19850730,m
PNF,19850731,m
PNF,19850801,m
PNF,19850802,m
PNF,19850803,m
PNF,19850804,m
PNF,19850805,297000
PNF,19850806,m
PNF,19850807,m
PNF,19850808,m
PNF,19850809,m
PNF,19850810,m
PNF,19850811,m
PNF,19850812,250600
PNF,19850813,m
PNF,19850814,m
PNF,19850815,m
PNF,19850816,m
PNF,19850817,m
PNF,19850818,m
PNF,19850819,213400
PNF,19850820,m
PNF,19850821,m
PNF,19850822,m
PNF,19850823,m
PNF,19850824,m
PNF,19850825,m
PNF,19850826,195200
PNF,19850827,m
PNF,19850828,m
PNF,19850829,m
PNF,19850830,m
PNF,19850831,m
PNF,19850901,m
PNF,19850902,192700
PNF,19850903,m
PNF,19850904,m
PNF,19850905,m
PNF,19850906,m
PNF,19850907,m
PNF,19850908,m
PNF,19850909,201000
PNF,19850910,m
PNF,19850911,m
PNF,19850912,m
PNF,19850913,m
PNF,19850914,m
PNF,19850915,m
PNF,19850916,208200
PNF,19850917,m
PNF,19850918,m
PNF,19850919,m
PNF,19850920,m
PNF,19850921,m
PNF,19850922,m
PNF,19850923,212800
PNF,19850924,m
PNF,19850925,m
PNF,19850926,m
PNF,19850927,m
PNF,19850928,m
PNF,19850929,m
PNF,19850930,220200
PNF,19851001,m
PNF,19851002,m
PNF,19851003,m
PNF,19851004,m
PNF,19851005,m
PNF,19851006,m
PNF,19851007,228700
PNF,19851008,m
PNF,19851009,m
PNF,19851010,m
PNF,19851011,m
PNF,19851012,m
PNF,19851013,m
PNF,19851014,238600
PNF,19851015,m
PNF,19851016,m
PNF,19851017,m
PNF,19851018,m
PNF,19851019,m
PNF,19851020,m
PNF,19851021,247500
PNF,19851022,m
PNF,19851023,m
PNF,19851024,m
PNF,19851025,m
PNF,19851026,m
PNF,19851027,m
PNF,19851028,258600
PNF,19851029,m
PNF,19851030,m
PNF,19851031,m
PNF,19851101,m
PNF,19851102,m
PNF,19851103,m
PNF,19851104,267300
PNF,19851105,m
PNF,19851106,m
PNF,19851107,m
PNF,19851108,m
PNF,19851109,m
PNF,19851110,m
PNF,19851111,274500
PNF,19851112,m
PNF,19851113,m
PNF,19851114,m
PNF,19851115,m
PNF,19851116,m
PNF,19851117,m
PNF,19851118,282000
PNF,19851119,m
PNF,19851120,m
PNF,19851121,m
PNF,19851122,m
PNF,19851123,m
PNF,19851124,m
PNF,19851125,293800
PNF,19851126,m
PNF,19851127,m
PNF,19851128,m
PNF,19851129,m
PNF,19851130,m
PNF,19851201,m
PNF,19851202,314700
PNF,19851203,m
PNF,19851204,m
PNF,19851205,m
PNF,19851206,m
PNF,19851207,m
PNF,19851208,m
PNF,19851209,338000
PNF,19851210,m
PNF,19851211,m
PNF,19851212,m
PNF,19851213,m
PNF,19851214,m
PNF,19851215,m
PNF,19851216,348800
PNF,19851217,m
PNF,19851218,m
PNF,19851219,m
PNF,19851220,m
PNF,19851221,m
PNF,19851222,m
PNF,19851223,356400
PNF,19851224,m
PNF,19851225,m
PNF,19851226,m
PNF,19851227,m
PNF,19851228,m
PNF,19851229,m
PNF,19851230,366100
PNF,19851231,m
PNF,19860101,m
PNF,19860102,m
PNF,19860103,m
PNF,19860104,m
PNF,19860105,m
PNF,19860106,m
PNF,19860107,m
PNF,19860108,m
PNF,19860109,m
PNF,19860110,m
PNF,19860111,m
PNF,19860112,m
PNF,19860113,m
PNF,19860114,m
PNF,19860115,m
PNF,19860116,m
PNF,19860117,m
PNF,19860118,m
PNF,19860119,m
PNF,19860120,m
PNF,19860121,m
PNF,19860122,m
PNF,19860123,m
PNF,19860124,m
PNF,19860125,m
PNF,19860126,m
PNF,19860127,m
PNF,19860128,m
PNF,19860129,m
PNF,19860130,m
PNF,19860131,m
PNF,19860201,m
PNF,19860202,m
PNF,19860203,m
PNF,19860204,m
PNF,19860205,m
PNF,19860206,m
PNF,19860207,m
PNF,19860208,m
PNF,19860209,m
PNF,19860210,m
PNF,19860211,m
PNF,19860212,m
PNF,19860213,m
PNF,19860214,m
PNF,19860215,m
PNF,19860216,m
PNF,19860217,m
PNF,19860218,m
PNF,19860219,m
PNF,19860220,m
PNF,19860221,m
PNF,19860222,m
PNF,19860223,m
PNF,19860224,m
PNF,19860225,m
PNF,19860226,m
PNF,19860227,m
PNF,19860228,m
PNF,19860301,m
PNF,19860302,m
PNF,19860303,m
PNF,19860304,m
PNF,19860305,m
PNF,19860306,m
PNF,19860307,m
PNF,19860308,m
PNF,19860309,m
PNF,19860310,m
PNF,19860311,m
PNF,19860312,m
PNF,19860313,m
PNF,19860314,m
PNF,19860315,m
PNF,19860316,m
PNF,19860317,m
PNF,19860318,m
PNF,19860319,m
PNF,19860320,m
PNF,19860321,m
PNF,19860322,m
PNF,19860323,m
PNF,19860324,m
PNF,19860325,m
PNF,19860326,m
PNF,19860327,m
PNF,19860328,m
PNF,19860329,m
PNF,19860330,m
PNF,19860331,m
PNF,19860401,m
PNF,19860402,m
PNF,19860403,m
PNF,19860404,m
PNF,19860405,m
PNF,19860406,m
PNF,19860407,m
PNF,19860408,m
PNF,19860409,m
PNF,19860410,m
PNF,19860411,m
PNF,19860412,m
PNF,19860413,m
PNF,19860414,m
PNF,19860415,m
PNF,19860416,m
PNF,19860417,m
PNF,19860418,m
PNF,19860419,m
PNF,19860420,m
PNF,19860421,m
PNF,19860422,m
PNF,19860423,m
PNF,19860424,m
PNF,19860425,m
PNF,19860426,m
PNF,19860427,m
PNF,19860428,m
PNF,19860429,m
PNF,19860430,m
PNF,19860501,m
PNF,19860502,m
PNF,19860503,m
PNF,19860504,m
PNF,19860505,m
PNF,19860506,m
PNF,19860507,m
PNF,19860508,m
PNF,19860509,m
PNF,19860510,m
PNF,19860511,m
PNF,19860512,m
PNF,19860513,m
PNF,19860514,m
PNF,19860515,m
PNF,19860516,m
PNF,19860517,m
PNF,19860518,m
PNF,19860519,m
PNF,19860520,m
PNF,19860521,m
PNF,19860522,m
PNF,19860523,m
PNF,19860524,m
PNF,19860525,m
PNF,19860526,m
PNF,19860527,m
PNF,19860528,m
PNF,19860529,m
PNF,19860530,m
PNF,19860531,m
PNF,19860601,m
PNF,19860602,m
PNF,19860603,m
PNF,19860604,m
PNF,19860605,m
PNF,19860606,m
PNF,19860607,m
PNF,19860608,m
PNF,19860609,m
PNF,19860610,m
PNF,19860611,m
PNF,19860612,m
PNF,19860613,m
PNF,19860614,m
PNF,19860615,m
PNF,19860616,m
PNF,19860617,m
PNF,19860618,m
PNF,19860619,m
PNF,19860620,m
PNF,19860621,m
PNF,19860622,m
PNF,19860623,m
PNF,19860624,m
PNF,19860625,m
PNF,19860626,m
PNF,19860627,m
PNF,19860628,m
PNF,19860629,m
PNF,19860630,m
PNF,19860701,m
PNF,19860702,m
PNF,19860703,m
PNF,19860704,m
PNF,19860705,m
PNF,19860706,m
PNF,19860707,m
PNF,19860708,m
PNF,19860709,m
PNF,19860710,m
PNF,19860711,m
PNF,19860712,m
PNF,19860713,m
PNF,19860714,m
PNF,19860715,m
PNF,19860716,m
PNF,19860717,m
PNF,19860718,m
PNF,19860719,m
PNF,19860720,m
PNF,19860721,m
PNF,19860722,m
PNF,19860723,m
PNF,19860724,m
PNF,19860725,m
PNF,19860726,m
PNF,19860727,m
PNF,19860728,m
PNF,19860729,m
PNF,19860730,m
PNF,19860731,m
PNF,19860801,m
PNF,19860802,m
PNF,19860803,m
PNF,19860804,m
PNF,19860805,m
PNF,19860806,m
PNF,19860807,m
PNF,19860808,m
PNF,19860809,m
PNF,19860810,m
PNF,19860811,m
PNF,19860812,m
PNF,19860813,m
PNF,19860814,m
PNF,19860815,m
PNF,19860816,m
PNF,19860817,m
PNF,19860818,m
PNF,19860819,m
PNF,19860820,m
PNF,19860821,m
PNF,19860822,m
PNF,19860823,m
PNF,19860824,m
PNF,19860825,m
PNF,19860826,m
PNF,19860827,m
PNF,19860828,m
PNF,19860829,m
PNF,19860830,m
PNF,19860831,m
PNF,19860901,m
PNF,19860902,m
PNF,19860903,m
PNF,19860904,m
PNF,19860905,m
PNF,19860906,m
PNF,19860907,m
PNF,19860908,m
PNF,19860909,m
PNF,19860910,m
PNF,19860911,m
PNF,19860912,m
