ID,Date,Reservoir_Storage(AF)
PRR,19800101,88371
PRR,19800102,88976
PRR,19800103,89521
PRR,19800104,90129
PRR,19800105,90291
PRR,19800106,89238
PRR,19800107,90494
PRR,19800108,91144
PRR,19800109,91817
PRR,19800110,92573
PRR,19800111,93845
PRR,19800112,94731
PRR,19800113,94401
PRR,19800114,94855
PRR,19800115,95848
PRR,19800116,96927
PRR,19800117,98136
PRR,19800118,98638
PRR,19800119,99644
PRR,19800120,100717
PRR,19800121,101688
PRR,19800122,102747
PRR,19800123,103810
PRR,19800124,104727
PRR,19800125,105710
PRR,19800126,106957
PRR,19800127,107928
PRR,19800128,108901
PRR,19800129,110138
PRR,19800130,111424
PRR,19800131,112715
PRR,19800201,113528
PRR,19800202,114408
PRR,19800203,114320
PRR,19800204,115026
PRR,19800205,115689
PRR,19800206,115844
PRR,19800207,116332
PRR,19800208,116687
PRR,19800209,116909
PRR,19800210,116909
PRR,19800211,117354
PRR,19800212,118156
PRR,19800213,118915
PRR,19800214,119811
PRR,19800215,120125
PRR,19800216,120552
PRR,19800217,121114
PRR,19800218,122152
PRR,19800219,121903
PRR,19800220,122355
PRR,19800221,122559
PRR,19800222,122694
PRR,19800223,122694
PRR,19800224,122740
PRR,19800225,122740
PRR,19800226,122740
PRR,19800227,122740
PRR,19800228,122627
PRR,19800229,122627
PRR,19800301,122513
PRR,19800302,122400
PRR,19800303,122627
PRR,19800304,122627
PRR,19800305,122627
PRR,19800306,122694
PRR,19800307,122740
PRR,19800308,122740
PRR,19800309,122740
PRR,19800310,122740
PRR,19800311,122740
PRR,19800312,122740
PRR,19800313,122740
PRR,19800314,122649
PRR,19800315,122581
PRR,19800316,122559
PRR,19800317,122559
PRR,19800318,122423
PRR,19800319,122378
PRR,19800320,122287
PRR,19800321,122061
PRR,19800322,121836
PRR,19800323,121610
PRR,19800324,121385
PRR,19800325,121272
PRR,19800326,121047
PRR,19800327,120934
PRR,19800328,120934
PRR,19800329,120872
PRR,19800330,120822
PRR,19800331,120934
PRR,19800401,120597
PRR,19800402,120484
PRR,19800403,120934
PRR,19800404,120934
PRR,19800405,120934
PRR,19800406,120597
PRR,19800407,120709
PRR,19800408,120687
PRR,19800409,120867
PRR,19800410,121182
PRR,19800411,121227
PRR,19800412,121272
PRR,19800413,121385
PRR,19800414,121430
PRR,19800415,121362
PRR,19800416,121339
PRR,19800417,121317
PRR,19800418,121204
PRR,19800419,120889
PRR,19800420,120597
PRR,19800421,120260
PRR,19800422,120035
PRR,19800423,120103
PRR,19800424,120350
PRR,19800425,120484
PRR,19800426,120709
PRR,19800427,120867
PRR,19800428,121047
PRR,19800429,121182
PRR,19800430,121497
PRR,19800501,121836
PRR,19800502,122287
PRR,19800503,122287
PRR,19800504,122287
PRR,19800505,123556
PRR,19800506,123420
PRR,19800507,123193
PRR,19800508,122966
PRR,19800509,122853
PRR,19800510,123079
PRR,19800511,123238
PRR,19800512,123306
PRR,19800513,123125
PRR,19800514,122966
PRR,19800515,122740
PRR,19800516,122287
PRR,19800517,122287
PRR,19800518,121836
PRR,19800519,121836
PRR,19800520,121385
PRR,19800521,121159
PRR,19800522,120732
PRR,19800523,120507
PRR,19800524,120103
PRR,19800525,119833
PRR,19800526,119833
PRR,19800527,119699
PRR,19800528,119699
PRR,19800529,119699
PRR,19800530,119587
PRR,19800531,119497
PRR,19800601,119363
PRR,19800602,119363
PRR,19800603,119251
PRR,19800604,118937
PRR,19800605,118647
PRR,19800606,118223
PRR,19800607,117799
PRR,19800608,117354
PRR,19800609,116909
PRR,19800610,116576
PRR,19800611,116021
PRR,19800612,115579
PRR,19800613,115579
PRR,19800614,115579
PRR,19800615,114342
PRR,19800616,114034
PRR,19800617,113594
PRR,19800618,113154
PRR,19800619,112584
PRR,19800620,112146
PRR,19800621,111730
PRR,19800622,111228
PRR,19800623,110857
PRR,19800624,110443
PRR,19800625,110095
PRR,19800626,109769
PRR,19800627,109313
PRR,19800628,108858
PRR,19800629,108447
PRR,19800630,108014
PRR,19800701,107496
PRR,19800702,106850
PRR,19800703,106418
PRR,19800704,106203
PRR,19800705,105989
PRR,19800706,105560
PRR,19800707,105133
PRR,19800708,104705
PRR,19800709,104066
PRR,19800710,103640
PRR,19800711,103215
PRR,19800712,102790
PRR,19800713,102366
PRR,19800714,101942
PRR,19800715,101308
PRR,19800716,100886
PRR,19800717,100254
PRR,19800718,99833
PRR,19800719,99204
PRR,19800720,98575
PRR,19800721,98157
PRR,19800722,97531
PRR,19800723,96906
PRR,19800724,96283
PRR,19800725,96076
PRR,19800726,95247
PRR,19800727,94834
PRR,19800728,94215
PRR,19800729,93393
PRR,19800730,92778
PRR,19800731,92368
PRR,19800801,91755
PRR,19800802,91144
PRR,19800803,90534
PRR,19800804,89926
PRR,19800805,89319
PRR,19800806,88714
PRR,19800807,88110
PRR,19800808,87508
PRR,19800809,86907
PRR,19800810,86108
PRR,19800811,85511
PRR,19800812,84196
PRR,19800813,84322
PRR,19800814,83730
PRR,19800815,83336
PRR,19800816,82746
PRR,19800817,81963
PRR,19800818,81572
PRR,19800819,80987
PRR,19800820,80404
PRR,19800821,79861
PRR,19800822,79359
PRR,19800823,79089
PRR,19800824,78473
PRR,19800825,77955
PRR,19800826,77419
PRR,19800827,76865
PRR,19800828,76237
PRR,19800829,75573
PRR,19800830,74931
PRR,19800831,74329
PRR,19800901,73541
PRR,19800902,73167
PRR,19800903,72794
PRR,19800904,72236
PRR,19800905,71679
PRR,19800906,71309
PRR,19800907,70756
PRR,19800908,70572
PRR,19800909,70572
PRR,19800910,70572
PRR,19800911,70756
PRR,19800912,70940
PRR,19800913,70940
PRR,19800914,70572
PRR,19800915,70756
PRR,19800916,70940
PRR,19800917,71125
PRR,19800918,71494
PRR,19800919,71679
PRR,19800920,71864
PRR,19800921,71864
PRR,19800922,72236
PRR,19800923,72050
PRR,19800924,71864
PRR,19800925,71864
PRR,19800926,71679
PRR,19800927,71679
PRR,19800928,71679
PRR,19800929,71864
PRR,19800930,71864
PRR,19801001,72050
PRR,19801002,72050
PRR,19801003,72050
PRR,19801004,72050
PRR,19801005,73354
PRR,19801006,74103
PRR,19801007,73915
PRR,19801008,73915
PRR,19801009,73915
PRR,19801010,73915
PRR,19801011,73915
PRR,19801012,73915
PRR,19801013,73728
PRR,19801014,73915
PRR,19801015,73915
PRR,19801016,73728
PRR,19801017,73728
PRR,19801018,73541
PRR,19801019,73541
PRR,19801020,73354
PRR,19801021,73354
PRR,19801022,73354
PRR,19801023,73298
PRR,19801024,73260
PRR,19801025,73185
PRR,19801026,73092
PRR,19801027,73017
PRR,19801028,72999
PRR,19801029,72961
PRR,19801030,72961
PRR,19801031,72980
PRR,19801101,72980
PRR,19801102,72906
PRR,19801103,72831
PRR,19801104,72775
PRR,19801105,72701
PRR,19801106,72663
PRR,19801107,72570
PRR,19801108,72552
PRR,19801109,72570
PRR,19801110,72514
PRR,19801111,72440
PRR,19801112,72366
PRR,19801113,72291
PRR,19801114,72198
PRR,19801115,72161
PRR,19801116,72663
PRR,19801117,72831
PRR,19801118,73242
PRR,19801119,73578
PRR,19801120,73728
PRR,19801121,73953
PRR,19801122,74573
PRR,19801123,75573
PRR,19801124,76161
PRR,19801125,77285
PRR,19801126,78165
PRR,19801127,78838
PRR,19801128,79571
PRR,19801129,80249
PRR,19801130,81221
PRR,19801201,82197
PRR,19801202,83139
PRR,19801203,84105
PRR,19801204,84956
PRR,19801205,85631
PRR,19801206,86547
PRR,19801207,87448
PRR,19801208,87428
PRR,19801209,87428
PRR,19801210,87387
PRR,19801211,87387
PRR,19801212,87508
PRR,19801213,87628
PRR,19801214,87768
PRR,19801215,88392
PRR,19801216,88976
PRR,19801217,89906
PRR,19801218,90819
PRR,19801219,91715
PRR,19801220,92798
PRR,19801221,93886
PRR,19801222,94566
PRR,19801223,95061
PRR,19801224,95620
PRR,19801225,96221
PRR,19801226,96823
PRR,19801227,97614
PRR,19801228,98575
PRR,19801229,99162
PRR,19801230,99623
PRR,19801231,100212
PRR,19810101,100760
PRR,19810102,101350
PRR,19810103,101794
PRR,19810104,102535
PRR,19810105,103236
PRR,19810106,103938
PRR,19810107,104279
PRR,19810108,105026
PRR,19810109,105817
PRR,19810110,106632
PRR,19810111,107388
PRR,19810112,107216
PRR,19810113,107000
PRR,19810114,106957
PRR,19810115,107431
PRR,19810116,107841
PRR,19810117,108057
PRR,19810118,108014
PRR,19810119,108575
PRR,19810120,109422
PRR,19810121,110313
PRR,19810122,111228
PRR,19810123,112058
PRR,19810124,112957
PRR,19810125,113835
PRR,19810126,114717
PRR,19810127,115534
PRR,19810128,116554
PRR,19810129,117287
PRR,19810130,118223
PRR,19810131,119184
PRR,19810201,120192
PRR,19810202,120777
PRR,19810203,121227
PRR,19810204,121227
PRR,19810205,121452
PRR,19810206,121723
PRR,19810207,121971
PRR,19810208,122423
PRR,19810209,122989
PRR,19810210,123442
PRR,19810211,123874
PRR,19810212,124374
PRR,19810213,124784
PRR,19810214,125058
PRR,19810215,125286
PRR,19810216,125240
PRR,19810217,125035
PRR,19810218,124852
PRR,19810219,124670
PRR,19810220,124510
PRR,19810221,124192
PRR,19810222,123987
PRR,19810223,123737
PRR,19810224,123465
PRR,19810225,123715
PRR,19810226,123919
PRR,19810227,124124
PRR,19810228,123828
PRR,19810301,123964
PRR,19810302,123783
PRR,19810303,123465
PRR,19810304,123125
PRR,19810305,122853
PRR,19810306,122513
PRR,19810307,122220
PRR,19810308,121948
PRR,19810309,121745
PRR,19810310,121587
PRR,19810311,121430
PRR,19810312,121249
PRR,19810313,121024
PRR,19810314,120867
PRR,19810315,120732
PRR,19810316,120552
PRR,19810317,120439
PRR,19810318,120237
PRR,19810319,120080
PRR,19810320,120709
PRR,19810321,120979
PRR,19810322,120822
PRR,19810323,121385
PRR,19810324,121971
PRR,19810325,122536
PRR,19810326,122989
PRR,19810327,123556
PRR,19810328,123805
PRR,19810329,123624
PRR,19810330,124214
PRR,19810331,124442
PRR,19810401,124647
PRR,19810402,124761
PRR,19810403,124875
PRR,19810404,124807
PRR,19810405,124556
PRR,19810406,124579
PRR,19810407,124784
PRR,19810408,125172
PRR,19810409,125309
PRR,19810410,125469
PRR,19810411,125537
PRR,19810412,125172
PRR,19810413,125446
PRR,19810414,125400
PRR,19810415,124944
PRR,19810416,124487
PRR,19810417,123964
PRR,19810418,123465
PRR,19810419,123011
PRR,19810420,122536
PRR,19810421,122107
PRR,19810422,121610
PRR,19810423,121249
PRR,19810424,120934
PRR,19810425,120597
PRR,19810426,120192
PRR,19810427,119878
PRR,19810428,119519
PRR,19810429,119094
PRR,19810430,118580
PRR,19810501,118089
PRR,19810502,117621
PRR,19810503,117153
PRR,19810504,116665
PRR,19810505,115977
PRR,19810506,115247
PRR,19810507,114562
PRR,19810508,113835
PRR,19810509,113176
PRR,19810510,112474
PRR,19810511,111861
PRR,19810512,111206
PRR,19810513,110530
PRR,19810514,109921
PRR,19810515,109226
PRR,19810516,108533
PRR,19810517,107928
PRR,19810518,107345
PRR,19810519,106850
PRR,19810520,106332
PRR,19810521,105860
PRR,19810522,105346
PRR,19810523,104876
PRR,19810524,104385
PRR,19810525,103895
PRR,19810526,103385
PRR,19810527,102938
PRR,19810528,102429
PRR,19810529,101921
PRR,19810530,101435
PRR,19810531,100928
PRR,19810601,100359
PRR,19810602,99854
PRR,19810603,99351
PRR,19810604,98847
PRR,19810605,98345
PRR,19810606,97802
PRR,19810607,97302
PRR,19810608,96782
PRR,19810609,96262
PRR,19810610,95682
PRR,19810611,95123
PRR,19810612,94422
PRR,19810613,93804
PRR,19810614,93106
PRR,19810615,92471
PRR,19810616,91878
PRR,19810617,91307
PRR,19810618,90647
PRR,19810619,90088
PRR,19810620,89461
PRR,19810621,88875
PRR,19810622,88271
PRR,19810623,87668
PRR,19810624,86967
PRR,19810625,86288
PRR,19810626,85551
PRR,19810627,84837
PRR,19810628,84105
PRR,19810629,83355
PRR,19810630,82570
PRR,19810701,81845
PRR,19810702,81104
PRR,19810703,80404
PRR,19810704,79687
PRR,19810705,78954
PRR,19810706,78242
PRR,19810707,77591
PRR,19810708,76865
PRR,19810709,76142
PRR,19810710,75441
PRR,19810711,74705
PRR,19810712,74009
PRR,19810713,73298
PRR,19810714,72589
PRR,19810715,71864
PRR,19810716,71235
PRR,19810717,71014
PRR,19810718,70756
PRR,19810719,70664
PRR,19810720,70664
PRR,19810721,70664
PRR,19810722,70462
PRR,19810723,70241
PRR,19810724,70021
PRR,19810725,69563
PRR,19810726,68850
PRR,19810727,68506
PRR,19810728,68434
PRR,19810729,67964
PRR,19810730,67802
PRR,19810731,67676
PRR,19810801,67065
PRR,19810802,66350
PRR,19810803,66332
PRR,19810804,66314
PRR,19810805,66743
PRR,19810806,67173
PRR,19810807,67568
PRR,19810808,68000
PRR,19810809,68415
PRR,19810810,68759
PRR,19810811,69071
PRR,19810812,68925
PRR,19810813,68705
PRR,19810814,68705
PRR,19810815,68705
PRR,19810816,68705
PRR,19810817,68868
PRR,19810818,68868
PRR,19810819,68925
PRR,19810820,68741
PRR,19810821,68633
PRR,19810822,68633
PRR,19810823,68633
PRR,19810824,68633
PRR,19810825,68633
PRR,19810826,68778
PRR,19810827,68886
PRR,19810828,68905
PRR,19810829,68868
PRR,19810830,68651
PRR,19810831,68651
PRR,19810901,68633
PRR,19810902,68886
PRR,19810903,69089
PRR,19810904,69490
PRR,19810905,70480
PRR,19810906,71476
PRR,19810907,72477
PRR,19810908,73129
PRR,19810909,73073
PRR,19810910,72924
PRR,19810911,72831
PRR,19810912,72719
PRR,19810913,72645
PRR,19810914,72533
PRR,19810915,72459
PRR,19810916,73017
PRR,19810917,72980
PRR,19810918,72943
PRR,19810919,72850
PRR,19810920,72775
PRR,19810921,72682
PRR,19810922,72589
PRR,19810923,72496
PRR,19810924,72366
PRR,19810925,72291
PRR,19810926,72217
PRR,19810927,72143
PRR,19810928,72050
PRR,19810929,71939
PRR,19810930,71846
PRR,19811001,71772
PRR,19811002,71679
PRR,19811003,71587
PRR,19811004,71513
PRR,19811005,71420
PRR,19811006,71365
PRR,19811007,71272
PRR,19811008,71162
PRR,19811009,71088
PRR,19811010,70977
