ID,Date,Reservoir_Storage(AF)
PRS,20040601,15078
PRS,20040602,15087
PRS,20040603,15158
PRS,20040604,15205
PRS,20040605,15264
PRS,20040606,15328
PRS,20040607,15392
PRS,20040608,m
PRS,20040609,m
PRS,20040610,m
PRS,20040611,m
PRS,20040612,m
PRS,20040613,m
PRS,20040614,m
PRS,20040615,m
PRS,20040616,m
PRS,20040617,m
PRS,20040618,m
PRS,20040619,m
PRS,20040620,m
PRS,20040621,m
PRS,20040622,m
PRS,20040623,m
PRS,20040624,m
PRS,20040625,m
PRS,20040626,m
PRS,20040627,m
PRS,20040628,m
PRS,20040629,m
PRS,20040630,m
PRS,20040701,m
PRS,20040702,m
PRS,20040703,m
PRS,20040704,m
PRS,20040705,m
PRS,20040706,m
PRS,20040707,m
PRS,20040708,m
PRS,20040709,m
PRS,20040710,m
PRS,20040711,m
PRS,20040712,m
PRS,20040713,m
PRS,20040714,m
PRS,20040715,m
PRS,20040716,m
PRS,20040717,m
PRS,20040718,m
PRS,20040719,m
PRS,20040720,m
PRS,20040721,m
PRS,20040722,m
PRS,20040723,m
PRS,20040724,m
PRS,20040725,m
PRS,20040726,m
PRS,20040727,m
PRS,20040728,m
PRS,20040729,m
PRS,20040730,m
PRS,20040731,m
PRS,20040801,m
PRS,20040802,m
PRS,20040803,m
PRS,20040804,m
PRS,20040805,m
PRS,20040806,12181
PRS,20040807,12056
PRS,20040808,11924
PRS,20040809,11790
PRS,20040810,11657
PRS,20040811,11522
PRS,20040812,11391
PRS,20040813,11262
PRS,20040814,11130
PRS,20040815,11003
PRS,20040816,10870
PRS,20040817,10741
PRS,20040818,10611
PRS,20040819,10481
PRS,20040820,10350
PRS,20040821,10217
PRS,20040822,10085
PRS,20040823,9929
PRS,20040824,9736
PRS,20040825,9542
PRS,20040826,9351
PRS,20040827,9157
PRS,20040828,8954
PRS,20040829,8754
PRS,20040830,8552
PRS,20040831,8348
PRS,20040901,8136
PRS,20040902,7926
PRS,20040903,7711
PRS,20040904,7505
PRS,20040905,7298
PRS,20040906,7092
PRS,20040907,6845
PRS,20040908,6638
PRS,20040909,6423
PRS,20040910,6215
PRS,20040911,6013
PRS,20040912,5807
PRS,20040913,5607
PRS,20040914,5411
PRS,20040915,5212
PRS,20040916,5060
PRS,20040917,4955
PRS,20040918,4854
PRS,20040919,4758
PRS,20040920,4697
PRS,20040921,4687
PRS,20040922,4683
PRS,20040923,4681
PRS,20040924,4675
PRS,20040925,4670
PRS,20040926,4664
PRS,20040927,4656
PRS,20040928,4650
PRS,20040929,4649
PRS,20040930,4643
PRS,20041001,4639
PRS,20041002,4633
PRS,20041003,4629
PRS,20041004,4626
PRS,20041005,4622
PRS,20041006,4618
PRS,20041007,4612
PRS,20041008,4606
PRS,20041009,4603
PRS,20041010,4595
PRS,20041011,4589
PRS,20041012,4586
PRS,20041013,4586
PRS,20041014,4586
PRS,20041015,4586
PRS,20041016,4584
PRS,20041017,4608
PRS,20041018,4645
PRS,20041019,4698
PRS,20041020,4724
PRS,20041021,4675
PRS,20041022,4643
PRS,20041023,4645
PRS,20041024,4647
PRS,20041025,4647
PRS,20041026,4658
PRS,20041027,4650
PRS,20041028,4641
PRS,20041029,4633
PRS,20041030,4628
PRS,20041031,4618
PRS,20041101,4608
PRS,20041102,4595
PRS,20041103,4622
PRS,20041104,4645
PRS,20041105,m
PRS,20041106,m
PRS,20041107,m
PRS,20041108,4708
PRS,20041109,4704
PRS,20041110,4704
PRS,20041111,4708
PRS,20041112,4693
PRS,20041113,4666
PRS,20041114,4635
PRS,20041115,4603
PRS,20041116,4582
PRS,20041117,4578
PRS,20041118,4570
PRS,20041119,4565
PRS,20041120,4553
PRS,20041121,4536
PRS,20041122,4534
PRS,20041123,4544
PRS,20041124,4557
PRS,20041125,4574
PRS,20041126,4588
PRS,20041127,4616
PRS,20041128,4628
PRS,20041129,4641
