ID,Date,Reservoir_Storage(AF)
PYM,20070430,166770
PYM,20070528,165118
PYM,20070529,164409
PYM,20070530,162559
PYM,20070531,161345
PYM,20070601,162333
PYM,20070602,162296
PYM,20070603,162546
PYM,20070604,161733
PYM,20070605,161795
PYM,20070606,160897
PYM,20070607,158973
PYM,20070608,155854
PYM,20070609,158011
PYM,20070610,160897
PYM,20070611,159803
PYM,20070612,159072
PYM,20070613,159072
PYM,20070614,157175
PYM,20070615,155964
PYM,20070616,157212
PYM,20070617,161520
PYM,20070618,160822
PYM,20070619,160275
PYM,20070620,159939
PYM,20070621,159184
PYM,20070622,158665
PYM,20070623,160635
PYM,20070624,163778
PYM,20070625,163363
PYM,20070702,162571
PYM,20070703,159815
PYM,20070704,160735
PYM,20070705,160001
PYM,20070706,157802
PYM,20070707,158726
PYM,20070708,163476
PYM,20070709,163338
PYM,20070710,163816
PYM,20070711,161733
PYM,20070712,160275
PYM,20070713,158294
PYM,20070714,159035
PYM,20070715,162283
PYM,20070716,162810
PYM,20070717,163136
PYM,20070718,163136
PYM,20070719,160312
PYM,20070720,159728
PYM,20070721,161470
PYM,20070722,163929
PYM,20070801,160088
PYM,20070802,159456
PYM,20070803,157827
PYM,20070804,158986
PYM,20070805,163048
PYM,20070806,161558
PYM,20070807,163099
PYM,20070808,163665
PYM,20070809,163262
PYM,20070810,162321
PYM,20070811,163514
PYM,20070812,166260
PYM,20070813,165447
PYM,20070814,164068
PYM,20070815,163728
PYM,20070816,163023
PYM,20070817,161009
PYM,20070818,161308
PYM,20070819,163929
PYM,20070820,162446
PYM,20070821,162810
PYM,20070822,161995
PYM,20070823,160237
PYM,20070824,158184
PYM,20070825,161483
PYM,20070826,163073
PYM,20070827,163993
PYM,20070828,162584
PYM,20070829,161358
PYM,20070830,159456
PYM,20070831,159060
PYM,20070901,161021
PYM,20070902,164030
PYM,20070903,165358
PYM,20070904,166082
PYM,20070905,165080
PYM,20070906,161995
PYM,20070907,161158
PYM,20070908,163665
PYM,20070909,166019
PYM,20070910,165930
PYM,20070911,166159
PYM,20070912,166082
PYM,20070913,168061
PYM,20070914,163665
PYM,20070915,163577
PYM,20070916,165904
PYM,20070917,165219
PYM,20070918,165828
PYM,20070919,165016
PYM,20070920,163300
PYM,20070921,162008
PYM,20070922,163073
PYM,20070923,167179
PYM,20070924,166388
