ID,Date,Reservoir_Storage(AF)
RLF,19920531,12600
RLF,19920601,12600
RLF,19920602,12600
RLF,19920603,12600
RLF,19920604,12600
RLF,19920605,12500
RLF,19920606,12500
RLF,19920607,12600
RLF,19920608,12600
RLF,19920609,12600
RLF,19920610,12500
RLF,19920611,12500
RLF,19920612,12500
RLF,19920613,12500
RLF,19920614,12500
RLF,19920615,12500
RLF,19920616,12500
RLF,19920617,12500
RLF,19920618,12500
RLF,19920619,12500
RLF,19920620,12500
RLF,19920621,12500
RLF,19920622,12500
RLF,19920623,12500
RLF,19920624,12500
RLF,19920625,12500
RLF,19920626,12500
RLF,19920627,12500
RLF,19920628,12500
RLF,19920629,12500
RLF,19920630,12600
RLF,19920701,12600
RLF,19920702,12500
RLF,19920703,12500
RLF,19920704,12500
RLF,19920705,12500
RLF,19920706,12500
RLF,19920707,12500
RLF,19920708,12500
RLF,19920709,12500
RLF,19920710,12500
RLF,19920711,12500
RLF,19920712,12800
RLF,19920713,12700
RLF,19920714,12600
RLF,19920715,12600
RLF,19920716,12700
RLF,19920717,12600
RLF,19920718,12500
RLF,19920719,12500
RLF,19920720,12639
RLF,19920721,12470
RLF,19920722,12470
RLF,19920723,12500
RLF,19920724,12500
RLF,19920725,12500
RLF,19920726,12500
RLF,19920727,12500
RLF,19920728,12200
RLF,19920729,12000
RLF,19920730,11800
RLF,19920731,11600
RLF,19920801,11500
RLF,19920802,11300
RLF,19920803,10900
RLF,19920804,10800
RLF,19920805,10600
RLF,19920806,10500
RLF,19920807,10100
RLF,19920808,9900
RLF,19920809,9600
RLF,19920810,9500
RLF,19920811,9200
RLF,19920812,8700
RLF,19920813,8700
RLF,19920814,8600
RLF,19920815,8400
RLF,19920816,8200
RLF,19920817,8100
RLF,19920818,7800
RLF,19920819,7600
RLF,19920820,7400
RLF,19920821,7200
RLF,19920822,7000
RLF,19920823,6800
RLF,19920824,6600
RLF,19920825,6400
RLF,19920826,6200
RLF,19920827,6000
RLF,19920828,5800
RLF,19920829,5600
RLF,19920830,5500
RLF,19920831,5500
RLF,19920901,5200
RLF,19920902,5000
RLF,19920903,4800
RLF,19920904,4700
RLF,19920905,4500
RLF,19920906,4300
RLF,19920907,4100
RLF,19920908,4100
RLF,19920909,3800
RLF,19920910,3600
RLF,19920911,3500
RLF,19920912,3300
RLF,19920913,3100
RLF,19920914,2800
RLF,19920915,2700
RLF,19920916,2600
RLF,19920917,2600
RLF,19920918,2500
RLF,19920919,2400
RLF,19920920,2400
RLF,19920921,2300
RLF,19920922,2300
RLF,19920923,2300
RLF,19920924,2200
RLF,19920925,2200
RLF,19920926,2100
RLF,19920927,2100
RLF,19920928,2100
RLF,19920929,2100
RLF,19920930,2100
RLF,19921001,2100
RLF,19921002,2100
RLF,19921003,2000
RLF,19921004,2000
RLF,19921005,2000
RLF,19921006,2000
RLF,19921007,2000
RLF,19921008,2000
RLF,19921009,2000
RLF,19921010,1900
RLF,19921011,1900
RLF,19921012,1900
RLF,19921013,1900
RLF,19921014,1900
RLF,19921015,1900
RLF,19921016,1900
RLF,19921017,1900
RLF,19921018,1800
RLF,19921019,1800
RLF,19921020,1800
RLF,19921021,1800
RLF,19921022,1790
RLF,19921023,1780
RLF,19921024,1770
RLF,19921025,1750
RLF,19921026,1750
RLF,19921027,1730
RLF,19921028,1730
RLF,19921029,1800
RLF,19921030,1800
RLF,19921031,1820
RLF,19921101,1900
RLF,19921102,1900
RLF,19921103,1900
RLF,19921104,1900
RLF,19921105,1900
RLF,19921106,1900
RLF,19921107,1900
RLF,19921108,1900
RLF,19921109,2200
RLF,19921110,2200
RLF,19921111,2200
RLF,19921112,2200
RLF,19921113,2200
RLF,19921114,2200
RLF,19921115,2200
RLF,19921116,2200
RLF,19921117,2200
RLF,19921118,2200
RLF,19921119,2200
RLF,19921120,2100
RLF,19921121,2100
RLF,19921122,2100
RLF,19921123,2100
RLF,19921124,2100
RLF,19921125,2100
RLF,19921126,2100
RLF,19921127,2100
RLF,19921128,2100
RLF,19921129,2100
RLF,19921130,2100
RLF,19921201,2100
RLF,19921202,2000
RLF,19921203,2000
RLF,19921204,2000
RLF,19921205,2000
RLF,19921206,1900
RLF,19921207,1900
RLF,19921208,1900
RLF,19921209,1900
RLF,19921210,1900
RLF,19921211,1900
RLF,19921212,1900
RLF,19921213,1900
RLF,19921214,1800
RLF,19921215,1800
RLF,19921216,1800
RLF,19921217,1800
RLF,19921218,1700
RLF,19921219,1700
RLF,19921220,1700
RLF,19921221,1700
RLF,19921222,1700
RLF,19921223,1700
RLF,19921224,1700
RLF,19921225,1700
RLF,19921226,1600
RLF,19921227,1600
RLF,19921228,1600
RLF,19921229,m
RLF,19921230,m
RLF,19921231,1600
RLF,19930101,1600
RLF,19930102,1600
RLF,19930103,1600
RLF,19930104,1600
RLF,19930105,1500
RLF,19930106,1500
RLF,19930107,1600
RLF,19930108,1600
RLF,19930109,1600
RLF,19930110,1600
RLF,19930111,1600
RLF,19930112,1600
RLF,19930113,1600
RLF,19930114,1600
RLF,19930115,1600
RLF,19930116,1600
RLF,19930117,1600
RLF,19930118,1600
RLF,19930119,1600
RLF,19930120,1600
RLF,19930121,1600
RLF,19930122,1700
RLF,19930123,1700
RLF,19930124,1700
RLF,19930125,1700
RLF,19930126,1600
RLF,19930127,1600
RLF,19930128,1600
RLF,19930129,1600
RLF,19930130,1600
RLF,19930131,1600
RLF,19930201,1600
RLF,19930202,1600
RLF,19930203,1600
RLF,19930204,1600
RLF,19930205,1600
RLF,19930206,1600
RLF,19930207,1600
RLF,19930208,1600
RLF,19930209,1600
RLF,19930210,1500
RLF,19930211,1500
RLF,19930212,1500
RLF,19930213,1500
RLF,19930214,1500
RLF,19930215,1500
RLF,19930216,1500
RLF,19930217,1500
RLF,19930218,1500
RLF,19930219,1500
RLF,19930220,1500
RLF,19930221,1500
RLF,19930222,1500
RLF,19930223,1500
RLF,19930224,1500
RLF,19930225,1500
RLF,19930226,1400
RLF,19930227,1400
RLF,19930228,1400
RLF,19930301,1400
RLF,19930302,1400
RLF,19930303,1400
RLF,19930304,1400
RLF,19930305,1400
RLF,19930306,1400
RLF,19930307,1400
RLF,19930308,1400
RLF,19930309,1400
RLF,19930310,1400
RLF,19930311,1500
RLF,19930312,1500
RLF,19930313,1500
RLF,19930314,1500
RLF,19930315,1600
RLF,19930316,1600
RLF,19930317,1800
RLF,19930318,1900
RLF,19930319,2000
RLF,19930320,2100
RLF,19930321,2200
RLF,19930322,2200
RLF,19930323,2200
RLF,19930324,2200
RLF,19930325,2100
RLF,19930326,2100
RLF,19930327,2000
RLF,19930328,1900
RLF,19930329,1800
RLF,19930330,1700
RLF,19930331,1700
RLF,19930401,1700
RLF,19930402,1700
RLF,19930403,1600
RLF,19930404,1500
RLF,19930405,1500
RLF,19930406,1400
RLF,19930407,1400
RLF,19930408,1300
RLF,19930409,1300
RLF,19930410,1300
RLF,19930411,1300
RLF,19930412,1300
RLF,19930413,1200
RLF,19930414,1200
RLF,19930415,1200
RLF,19930416,1200
RLF,19930417,1200
RLF,19930418,1100
RLF,19930419,1100
RLF,19930420,1100
RLF,19930421,1200
RLF,19930422,1300
RLF,19930423,1400
RLF,19930424,1500
RLF,19930425,1600
RLF,19930426,1600
RLF,19930427,1700
RLF,19930428,2000
RLF,19930429,2200
RLF,19930430,2700
RLF,19930501,2900
RLF,19930502,3300
RLF,19930503,3700
RLF,19930504,3900
RLF,19930505,3900
RLF,19930506,4200
RLF,19930507,4300
RLF,19930508,4400
RLF,19930509,4700
RLF,19930510,5100
RLF,19930511,5700
RLF,19930512,6100
RLF,19930513,6400
RLF,19930514,6600
RLF,19930515,6900
RLF,19930516,7200
RLF,19930517,7700
RLF,19930518,8700
RLF,19930519,9400
RLF,19930520,10000
RLF,19930521,10600
RLF,19930522,11200
RLF,19930523,11500
RLF,19930524,12200
RLF,19930525,12700
RLF,19930526,12700
RLF,19930527,12700
RLF,19930528,12900
RLF,19930529,13000
RLF,19930530,13300
RLF,19930531,13300
RLF,19930601,14400
RLF,19930602,14500
RLF,19930603,14600
RLF,19930604,14800
RLF,19930605,15000
RLF,19930606,15000
RLF,19930607,15000
RLF,19930608,14900
RLF,19930609,15000
RLF,19930610,15100
RLF,19930611,15200
RLF,19930612,15200
RLF,19930613,15200
RLF,19930614,15250
RLF,19930615,15300
RLF,19930616,15200
RLF,19930617,15300
RLF,19930618,15300
RLF,19930619,15300
RLF,19930620,15300
RLF,19930621,15300
RLF,19930622,15300
RLF,19930623,15200
RLF,19930624,15200
RLF,19930625,15300
RLF,19930626,15300
RLF,19930627,15400
RLF,19930628,15400
RLF,19930629,15400
RLF,19930630,15400
RLF,19930701,15400
RLF,19930702,15400
RLF,19930703,15400
RLF,19930704,15400
RLF,19930705,15400
RLF,19930706,15500
RLF,19930707,15500
RLF,19930708,15500
RLF,19930709,15500
RLF,19930710,15500
RLF,19930711,15500
RLF,19930712,15500
RLF,19930713,15500
RLF,19930714,15500
RLF,19930715,15400
RLF,19930716,15500
RLF,19930717,15100
RLF,19930718,15400
RLF,19930719,15500
RLF,19930720,15600
RLF,19930721,15500
RLF,19930722,15500
RLF,19930723,15500
RLF,19930724,15600
RLF,19930725,15600
RLF,19930726,15550
RLF,19930727,15510
RLF,19930728,15490
RLF,19930729,15490
RLF,19930730,15510
RLF,19930731,15470
RLF,19930801,15490
RLF,19930802,15600
RLF,19930803,15600
RLF,19930804,15600
RLF,19930805,15600
RLF,19930806,15600
RLF,19930807,15500
RLF,19930808,15500
RLF,19930809,15500
RLF,19930810,15500
RLF,19930811,15200
RLF,19930812,15500
RLF,19930813,15300
RLF,19930814,15100
RLF,19930815,15000
RLF,19930816,14800
RLF,19930817,14700
RLF,19930818,14400
RLF,19930819,14300
RLF,19930820,14000
RLF,19930821,14000
RLF,19930822,13700
RLF,19930823,13520
RLF,19930824,13400
RLF,19930825,13150
RLF,19930826,12980
RLF,19930827,12760
RLF,19930828,12570
RLF,19930829,12390
RLF,19930830,12170
RLF,19930831,11900
RLF,19930901,11730
RLF,19930902,11510
RLF,19930903,11330
RLF,19930904,11090
RLF,19930905,10840
RLF,19930906,10630
RLF,19930907,10400
RLF,19930908,10200
RLF,19930909,9900
RLF,19930910,9700
RLF,19930911,9400
RLF,19930912,9200
RLF,19930913,8900
RLF,19930914,8600
RLF,19930915,8500
RLF,19930916,8200
RLF,19930917,7800
RLF,19930918,7800
RLF,19930919,7600
RLF,19930920,7800
RLF,19930921,7200
RLF,19930922,7000
RLF,19930923,6800
RLF,19930924,6600
RLF,19930925,6400
RLF,19930926,6200
RLF,19930927,6000
RLF,19930928,5800
RLF,19930929,5600
RLF,19930930,5400
RLF,19931001,5400
RLF,19931002,5000
RLF,19931003,4800
RLF,19931004,4700
RLF,19931005,4400
RLF,19931006,4200
RLF,19931007,4100
RLF,19931008,4800
RLF,19931009,3800
RLF,19931010,3600
RLF,19931011,3400
RLF,19931012,3300
RLF,19931013,3100
RLF,19931014,3000
RLF,19931015,2900
RLF,19931016,2800
RLF,19931017,2700
RLF,19931018,2600
RLF,19931019,2500
RLF,19931020,2400
RLF,19931021,2300
RLF,19931022,2200
RLF,19931023,2200
RLF,19931024,2100
RLF,19931025,2100
RLF,19931026,2000
RLF,19931027,1900
RLF,19931028,1900
RLF,19931029,1800
RLF,19931030,1700
RLF,19931031,1640
RLF,19931101,1600
RLF,19931102,1500
RLF,19931103,1400
RLF,19931104,1300
RLF,19931105,1300
RLF,19931106,1200
RLF,19931107,1100
RLF,19931108,1100
RLF,19931109,1100
RLF,19931110,1000
RLF,19931111,1000
RLF,19931112,1000
RLF,19931113,1000
RLF,19931114,1000
RLF,19931115,956
RLF,19931116,943
RLF,19931117,930
RLF,19931118,930
RLF,19931119,930
RLF,19931120,930
RLF,19931121,860
RLF,19931122,845
RLF,19931123,847
RLF,19931124,930
RLF,19931125,930
RLF,19931126,930
RLF,19931127,930
RLF,19931128,930
RLF,19931129,930
RLF,19931130,930
RLF,19931201,930
RLF,19931202,924
RLF,19931203,930
RLF,19931204,930
RLF,19931205,930
RLF,19931206,930
RLF,19931207,930
RLF,19931208,930
RLF,19931209,930
RLF,19931210,930
RLF,19931211,930
RLF,19931212,930
RLF,19931213,661
RLF,19931214,924
RLF,19931215,924
RLF,19931216,924
RLF,19931217,930
RLF,19931218,930
RLF,19931219,930
RLF,19931220,930
RLF,19931221,930
RLF,19931222,930
RLF,19931223,930
RLF,19931224,930
RLF,19931225,923
RLF,19931226,923
RLF,19931227,923
RLF,19931228,923
RLF,19931229,923
RLF,19931230,930
RLF,19931231,930
RLF,19940101,930
RLF,19940102,930
RLF,19940103,930
RLF,19940104,924
RLF,19940105,354
RLF,19940106,354
RLF,19940107,354
RLF,19940108,354
RLF,19940109,354
RLF,19940110,354
RLF,19940111,350
RLF,19940112,345
RLF,19940113,345
RLF,19940114,354
RLF,19940115,354
RLF,19940116,354
RLF,19940117,354
RLF,19940118,442
RLF,19940119,442
RLF,19940120,442
RLF,19940121,442
RLF,19940122,442
RLF,19940123,442
RLF,19940124,442
RLF,19940125,442
RLF,19940126,442
RLF,19940127,442
RLF,19940128,442
RLF,19940129,442
RLF,19940130,442
RLF,19940131,442
RLF,19940201,442
RLF,19940202,442
RLF,19940203,442
RLF,19940204,442
RLF,19940205,442
RLF,19940206,442
RLF,19940207,442
RLF,19940208,442
RLF,19940209,442
RLF,19940210,442
RLF,19940211,442
RLF,19940212,442
RLF,19940213,442
RLF,19940214,442
RLF,19940215,442
RLF,19940216,442
RLF,19940217,442
RLF,19940218,442
RLF,19940219,442
RLF,19940220,442
RLF,19940221,442
RLF,19940222,442
RLF,19940223,442
RLF,19940224,442
RLF,19940225,442
RLF,19940226,442
RLF,19940227,442
