ID,Date,Reservoir_Storage(AF)
RTD,19850102,49360
RTD,19850103,m
RTD,19850104,m
RTD,19850105,m
RTD,19850106,m
RTD,19850107,m
RTD,19850108,47650
RTD,19850109,m
RTD,19850110,m
RTD,19850111,m
RTD,19850112,m
RTD,19850113,m
RTD,19850114,m
RTD,19850115,46920
RTD,19850116,m
RTD,19850117,m
RTD,19850118,m
RTD,19850119,m
RTD,19850120,m
RTD,19850121,m
RTD,19850122,46750
RTD,19850123,m
RTD,19850124,m
RTD,19850125,m
RTD,19850126,m
RTD,19850127,m
RTD,19850128,m
RTD,19850129,47100
RTD,19850130,m
RTD,19850131,m
RTD,19850201,m
RTD,19850202,m
RTD,19850203,m
RTD,19850204,m
RTD,19850205,47350
RTD,19850206,m
RTD,19850207,m
RTD,19850208,m
RTD,19850209,m
RTD,19850210,m
RTD,19850211,m
RTD,19850212,m
RTD,19850213,53440
RTD,19850214,m
RTD,19850215,m
RTD,19850216,m
RTD,19850217,m
RTD,19850218,m
RTD,19850219,52270
RTD,19850220,m
RTD,19850221,m
RTD,19850222,m
RTD,19850223,m
RTD,19850224,m
RTD,19850225,m
RTD,19850226,51260
RTD,19850227,m
RTD,19850228,m
RTD,19850301,47830
RTD,19850302,m
RTD,19850303,m
RTD,19850304,m
RTD,19850305,50330
RTD,19850306,m
RTD,19850307,m
RTD,19850308,m
RTD,19850309,m
RTD,19850310,m
RTD,19850311,m
RTD,19850312,50190
RTD,19850313,m
RTD,19850314,m
RTD,19850315,m
RTD,19850316,m
RTD,19850317,m
RTD,19850318,m
RTD,19850319,52440
RTD,19850320,m
RTD,19850321,m
RTD,19850322,m
RTD,19850323,m
RTD,19850324,m
RTD,19850325,m
RTD,19850326,50080
RTD,19850327,m
RTD,19850328,m
RTD,19850329,m
RTD,19850330,m
RTD,19850331,m
RTD,19850401,m
RTD,19850402,53100
RTD,19850403,m
RTD,19850404,m
RTD,19850405,m
RTD,19850406,m
RTD,19850407,m
RTD,19850408,m
RTD,19850409,52380
RTD,19850410,m
RTD,19850411,m
RTD,19850412,m
RTD,19850413,m
RTD,19850414,m
RTD,19850415,m
RTD,19850416,51650
RTD,19850417,m
RTD,19850418,m
RTD,19850419,m
RTD,19850420,m
RTD,19850421,m
RTD,19850422,m
RTD,19850423,51200
RTD,19850424,m
RTD,19850425,m
RTD,19850426,m
RTD,19850427,m
RTD,19850428,m
RTD,19850429,m
RTD,19850430,51040
RTD,19850501,m
RTD,19850502,m
RTD,19850503,m
RTD,19850504,m
RTD,19850505,m
RTD,19850506,m
RTD,19850507,50850
RTD,19850508,m
RTD,19850509,m
RTD,19850510,m
RTD,19850511,m
RTD,19850512,m
RTD,19850513,m
RTD,19850514,50750
RTD,19850515,m
RTD,19850516,m
RTD,19850517,m
RTD,19850518,m
RTD,19850519,m
RTD,19850520,m
RTD,19850521,50590
RTD,19850522,m
RTD,19850523,m
RTD,19850524,m
RTD,19850525,m
RTD,19850526,m
RTD,19850527,m
RTD,19850528,50410
RTD,19850529,m
RTD,19850530,m
RTD,19850531,m
RTD,19850601,m
RTD,19850602,m
RTD,19850603,m
RTD,19850604,m
RTD,19850605,m
RTD,19850606,m
RTD,19850607,m
RTD,19850608,m
RTD,19850609,m
RTD,19850610,m
RTD,19850611,50030
RTD,19850612,m
RTD,19850613,m
RTD,19850614,m
RTD,19850615,m
RTD,19850616,m
RTD,19850617,m
RTD,19850618,49690
RTD,19850619,m
RTD,19850620,m
RTD,19850621,m
RTD,19850622,m
RTD,19850623,m
RTD,19850624,m
RTD,19850625,49030
RTD,19850626,m
RTD,19850627,m
RTD,19850628,m
RTD,19850629,m
RTD,19850630,m
RTD,19850701,m
RTD,19850702,48310
RTD,19850703,m
RTD,19850704,m
RTD,19850705,m
RTD,19850706,m
RTD,19850707,m
RTD,19850708,m
RTD,19850709,47200
RTD,19850710,m
RTD,19850711,m
RTD,19850712,m
RTD,19850713,m
RTD,19850714,m
RTD,19850715,m
RTD,19850716,46050
RTD,19850717,m
RTD,19850718,m
RTD,19850719,-190
RTD,19850720,m
RTD,19850721,m
RTD,19850722,m
RTD,19850723,44830
RTD,19850724,m
RTD,19850725,m
RTD,19850726,m
RTD,19850727,m
RTD,19850728,m
RTD,19850729,m
RTD,19850730,43530
RTD,19850731,m
