ID,Date,Reservoir_Storage(AF)
SAT,20151001,m
SAT,20151002,m
SAT,20151003,m
SAT,20151004,m
SAT,20151005,m
SAT,20151006,m
SAT,20151007,m
SAT,20151008,m
SAT,20151009,m
SAT,20151010,m
SAT,20151011,m
SAT,20151012,m
SAT,20151013,m
SAT,20151014,m
SAT,20151015,m
SAT,20151016,m
SAT,20151017,m
SAT,20151018,m
SAT,20151019,m
SAT,20151020,m
SAT,20151021,m
SAT,20151022,m
SAT,20151023,m
SAT,20151024,m
SAT,20151025,m
SAT,20151026,m
SAT,20151027,m
SAT,20151028,m
SAT,20151029,m
SAT,20151030,m
SAT,20151031,m
SAT,20151101,m
SAT,20151102,m
SAT,20151103,m
SAT,20151104,m
SAT,20151105,m
SAT,20151106,m
SAT,20151107,m
SAT,20151108,m
SAT,20151109,m
SAT,20151110,m
SAT,20151111,m
SAT,20151112,m
SAT,20151113,m
SAT,20151114,m
SAT,20151115,m
SAT,20151116,m
SAT,20151117,m
SAT,20151118,m
SAT,20151119,m
SAT,20151120,m
SAT,20151121,m
SAT,20151122,m
SAT,20151123,m
SAT,20151124,m
SAT,20151125,m
SAT,20151126,m
SAT,20151127,m
SAT,20151128,m
SAT,20151129,m
SAT,20151130,m
SAT,20151201,m
SAT,20151202,m
SAT,20151203,m
SAT,20151204,m
SAT,20151205,m
SAT,20151206,m
SAT,20151207,m
SAT,20151208,m
SAT,20151209,m
SAT,20151210,m
SAT,20151211,m
SAT,20151212,m
SAT,20151213,m
SAT,20151214,m
SAT,20151215,m
SAT,20151216,m
SAT,20151217,m
SAT,20151218,m
SAT,20151219,m
SAT,20151220,m
SAT,20151221,m
