ID,Date,Reservoir_Storage(AF)
SCC,19880104,9581
SCC,19880105,m
SCC,19880106,m
SCC,19880107,m
SCC,19880108,m
SCC,19880109,m
SCC,19880110,m
SCC,19880111,8478
SCC,19880112,m
SCC,19880113,m
SCC,19880114,m
SCC,19880115,m
SCC,19880116,m
SCC,19880117,m
SCC,19880118,9320
SCC,19880119,m
SCC,19880120,m
SCC,19880121,m
SCC,19880122,m
SCC,19880123,m
SCC,19880124,m
SCC,19880125,8325
SCC,19880126,m
SCC,19880127,m
SCC,19880128,m
SCC,19880129,m
SCC,19880130,m
SCC,19880131,m
SCC,19880201,8918
SCC,19880202,m
SCC,19880203,m
SCC,19880204,m
SCC,19880205,m
SCC,19880206,m
SCC,19880207,m
SCC,19880208,10075
SCC,19880209,m
SCC,19880210,m
SCC,19880211,m
SCC,19880212,m
SCC,19880213,m
SCC,19880214,m
SCC,19880215,11101
SCC,19880216,m
SCC,19880217,m
SCC,19880218,m
SCC,19880219,m
SCC,19880220,m
SCC,19880221,m
SCC,19880222,12004
SCC,19880223,m
SCC,19880224,m
SCC,19880225,m
SCC,19880226,m
SCC,19880227,m
SCC,19880228,m
SCC,19880229,13080
SCC,19880301,13080
SCC,19880302,m
SCC,19880303,m
SCC,19880304,m
SCC,19880305,m
SCC,19880306,m
SCC,19880307,14147
SCC,19880308,14147
SCC,19880309,m
SCC,19880310,m
SCC,19880311,m
SCC,19880312,m
SCC,19880313,m
SCC,19880314,14323
SCC,19880315,14323
SCC,19880316,m
SCC,19880317,m
SCC,19880318,m
SCC,19880319,m
SCC,19880320,m
SCC,19880321,15128
SCC,19880322,15128
SCC,19880323,m
SCC,19880324,m
SCC,19880325,m
SCC,19880326,m
SCC,19880327,m
SCC,19880328,16245
SCC,19880329,16245
SCC,19880330,m
SCC,19880331,m
SCC,19880401,m
SCC,19880402,m
SCC,19880403,m
SCC,19880404,17112
SCC,19880405,17112
SCC,19880406,m
SCC,19880407,m
SCC,19880408,m
SCC,19880409,m
SCC,19880410,m
SCC,19880411,16345
SCC,19880412,16345
SCC,19880413,m
SCC,19880414,m
SCC,19880415,m
SCC,19880416,m
SCC,19880417,m
SCC,19880418,16245
SCC,19880419,16245
SCC,19880420,m
SCC,19880421,m
SCC,19880422,m
SCC,19880423,m
SCC,19880424,m
SCC,19880425,18560
SCC,19880426,18560
SCC,19880427,m
SCC,19880428,m
SCC,19880429,m
SCC,19880430,m
SCC,19880501,m
SCC,19880502,20418
SCC,19880503,20418
SCC,19880504,m
SCC,19880505,m
SCC,19880506,m
SCC,19880507,m
SCC,19880508,m
SCC,19880509,21666
SCC,19880510,21666
SCC,19880511,m
SCC,19880512,m
SCC,19880513,m
SCC,19880514,m
SCC,19880515,m
SCC,19880516,22635
SCC,19880517,22635
SCC,19880518,m
SCC,19880519,m
SCC,19880520,m
SCC,19880521,m
SCC,19880522,m
SCC,19880523,22372
SCC,19880524,22372
SCC,19880525,m
SCC,19880526,m
SCC,19880527,m
SCC,19880528,m
SCC,19880529,m
SCC,19880530,22242
SCC,19880531,22242
SCC,19880601,m
SCC,19880602,m
SCC,19880603,m
SCC,19880604,m
SCC,19880605,m
SCC,19880606,22846
SCC,19880607,22846
SCC,19880608,m
SCC,19880609,m
SCC,19880610,m
SCC,19880611,m
SCC,19880612,m
SCC,19880613,22854
SCC,19880614,22854
SCC,19880615,m
SCC,19880616,m
SCC,19880617,m
SCC,19880618,m
SCC,19880619,m
SCC,19880620,22294
SCC,19880621,22294
SCC,19880622,m
SCC,19880623,m
SCC,19880624,m
SCC,19880625,m
SCC,19880626,m
SCC,19880627,21521
SCC,19880628,21521
SCC,19880629,m
SCC,19880630,m
SCC,19880701,m
SCC,19880702,m
SCC,19880703,m
SCC,19880704,20075
SCC,19880705,20075
SCC,19880706,m
SCC,19880707,m
SCC,19880708,m
SCC,19880709,m
SCC,19880710,m
SCC,19880711,18996
SCC,19880712,18996
SCC,19880713,m
SCC,19880714,m
SCC,19880715,m
SCC,19880716,m
SCC,19880717,m
SCC,19880718,17766
SCC,19880719,17766
SCC,19880720,m
SCC,19880721,m
SCC,19880722,m
SCC,19880723,m
SCC,19880724,m
SCC,19880725,15635
SCC,19880726,15635
SCC,19880727,m
SCC,19880728,m
SCC,19880729,m
SCC,19880730,m
SCC,19880731,m
SCC,19880801,13271
SCC,19880802,13271
SCC,19880803,m
SCC,19880804,m
SCC,19880805,m
SCC,19880806,m
SCC,19880807,m
SCC,19880808,12606
SCC,19880809,12445
SCC,19880810,12445
SCC,19880811,12010
SCC,19880812,11762
SCC,19880813,11762
SCC,19880814,m
SCC,19880815,11035
SCC,19880816,10850
SCC,19880817,10699
SCC,19880818,10592
SCC,19880819,10513
SCC,19880820,10513
SCC,19880821,10355
SCC,19880822,10266
SCC,19880823,10173
SCC,19880824,10085
SCC,19880825,9998
SCC,19880826,9907
SCC,19880827,9907
SCC,19880828,m
SCC,19880829,9645
SCC,19880830,9526
SCC,19880831,9408
SCC,19880901,9291
SCC,19880902,9175
SCC,19880903,9065
SCC,19880904,8942
SCC,19880905,8796
SCC,19880906,8689
SCC,19880907,8597
SCC,19880908,8506
SCC,19880909,8410
SCC,19880910,8311
SCC,19880911,8226
SCC,19880912,8138
SCC,19880913,8054
SCC,19880914,8054
SCC,19880915,7910
SCC,19880916,7833
SCC,19880917,7751
SCC,19880918,7671
SCC,19880919,7611
SCC,19880920,7574
SCC,19880921,7574
SCC,19880922,7503
SCC,19880923,7473
SCC,19880924,7444
SCC,19880925,7395
SCC,19880926,7317
SCC,19880927,7317
SCC,19880928,m
SCC,19880929,7066
SCC,19880930,6986
SCC,19881001,6911
SCC,19881002,6911
SCC,19881003,6774
SCC,19881004,6774
SCC,19881005,6643
SCC,19881006,6575
SCC,19881007,6510
SCC,19881008,6450
SCC,19881009,6394
SCC,19881010,6357
SCC,19881011,6331
SCC,19881012,6331
SCC,19881013,m
SCC,19881014,m
SCC,19881015,m
SCC,19881016,m
SCC,19881017,6130
SCC,19881018,6130
SCC,19881019,m
SCC,19881020,m
SCC,19881021,m
SCC,19881022,m
SCC,19881023,m
SCC,19881024,5679
SCC,19881025,5658
SCC,19881026,5644
SCC,19881027,5634
SCC,19881028,5620
SCC,19881029,5610
SCC,19881030,5597
SCC,19881031,5559
SCC,19881101,5536
SCC,19881102,5515
SCC,19881103,5489
SCC,19881104,5468
SCC,19881105,5445
SCC,19881106,5425
SCC,19881107,5422
SCC,19881108,5432
SCC,19881109,5452
SCC,19881110,5472
SCC,19881111,5495
SCC,19881112,5495
SCC,19881113,m
SCC,19881114,5620
SCC,19881115,5716
SCC,19881116,5782
SCC,19881117,5845
SCC,19881118,5905
SCC,19881119,5954
SCC,19881120,6000
SCC,19881121,6043
SCC,19881122,6090
SCC,19881123,6140
SCC,19881124,6335
SCC,19881125,6537
SCC,19881126,6739
SCC,19881127,6864
SCC,19881128,6962
SCC,19881129,7054
SCC,19881130,7138
SCC,19881201,7215
SCC,19881202,7288
SCC,19881203,7362
SCC,19881204,7432
