ID,Date,Reservoir_Storage(AF)
SHA,19850101,1543200
SHA,19850102,m
SHA,19850103,m
SHA,19850104,m
SHA,19850105,m
SHA,19850106,m
SHA,19850107,m
SHA,19850108,m
SHA,19850109,m
SHA,19850110,m
SHA,19850111,m
SHA,19850112,m
SHA,19850113,m
SHA,19850114,m
SHA,19850115,m
SHA,19850116,m
SHA,19850117,m
SHA,19850118,m
SHA,19850119,m
SHA,19850120,m
SHA,19850121,m
SHA,19850122,m
SHA,19850123,m
SHA,19850124,m
SHA,19850125,m
SHA,19850126,m
SHA,19850127,m
SHA,19850128,m
SHA,19850129,m
SHA,19850130,m
SHA,19850131,m
SHA,19850201,m
SHA,19850202,m
SHA,19850203,m
SHA,19850204,m
SHA,19850205,m
SHA,19850206,m
SHA,19850207,m
SHA,19850208,m
SHA,19850209,m
SHA,19850210,m
SHA,19850211,m
SHA,19850212,169000
SHA,19850213,174000
SHA,19850214,179800
SHA,19850215,m
SHA,19850216,m
SHA,19850217,m
SHA,19850218,203500
SHA,19850219,210800
SHA,19850220,216500
SHA,19850221,218900
SHA,19850222,m
SHA,19850223,m
SHA,19850224,228700
SHA,19850225,232000
SHA,19850226,235300
SHA,19850227,237500
SHA,19850228,240400
SHA,19850301,m
SHA,19850302,m
SHA,19850303,253300
SHA,19850304,257100
SHA,19850305,262600
SHA,19850306,269800
SHA,19850307,277300
SHA,19850308,m
SHA,19850309,m
SHA,19850310,287400
SHA,19850311,292000
SHA,19850312,297100
SHA,19850313,303600
SHA,19850314,310800
SHA,19850315,m
SHA,19850316,m
SHA,19850317,m
SHA,19850318,332800
SHA,19850319,339400
SHA,19850320,384300
SHA,19850321,365000
SHA,19850322,m
SHA,19850323,m
SHA,19850324,386000
SHA,19850325,394600
SHA,19850326,409100
SHA,19850327,m
SHA,19850328,420000
SHA,19850329,m
SHA,19850330,m
SHA,19850331,445500
SHA,19850401,455200
SHA,19850402,465200
SHA,19850403,475900
SHA,19850404,487400
SHA,19850405,m
SHA,19850406,m
SHA,19850407,521400
SHA,19850408,533500
SHA,19850409,542100
SHA,19850410,550500
SHA,19850411,559800
SHA,19850412,m
SHA,19850413,m
SHA,19850414,580700
SHA,19850415,583500
SHA,19850416,584800
SHA,19850417,588600
SHA,19850418,592700
SHA,19850419,m
SHA,19850420,m
SHA,19850421,m
SHA,19850422,594800
SHA,19850423,593200
SHA,19850424,592200
SHA,19850425,590900
SHA,19850426,m
SHA,19850427,m
SHA,19850428,571600
SHA,19850429,569500
SHA,19850430,546900
SHA,19850501,539600
SHA,19850502,532200
SHA,19850503,m
SHA,19850504,m
SHA,19850505,512300
SHA,19850506,510000
SHA,19850507,497700
SHA,19850508,487400
SHA,19850509,475700
SHA,19850510,m
SHA,19850511,m
SHA,19850512,447500
SHA,19850513,440300
SHA,19850514,433900
SHA,19850515,404500
SHA,19850516,382300
SHA,19850517,m
SHA,19850518,m
SHA,19850519,362300
SHA,19850520,352800
SHA,19850521,342100
SHA,19850522,332600
SHA,19850523,326000
SHA,19850524,m
SHA,19850525,m
SHA,19850526,m
SHA,19850527,281900
SHA,19850528,275900
SHA,19850529,268900
SHA,19850530,260700
SHA,19850531,m
SHA,19850601,m
SHA,19850602,243700
SHA,19850603,235800
SHA,19850604,229400
SHA,19850605,221500
SHA,19850606,m
SHA,19850607,m
SHA,19850608,m
SHA,19850609,183400
SHA,19850610,169700
SHA,19850611,158900
SHA,19850612,150500
SHA,19850613,139700
SHA,19850614,m
SHA,19850615,m
SHA,19850616,95000
SHA,19850617,81700
SHA,19850618,69000
SHA,19850619,52700
SHA,19850620,38700
SHA,19850621,m
SHA,19850622,m
SHA,19850623,-6600
SHA,19850624,m
SHA,19850625,m
SHA,19850626,m
SHA,19850627,m
SHA,19850628,m
SHA,19850629,m
SHA,19850630,m
SHA,19850701,m
SHA,19850702,m
SHA,19850703,m
SHA,19850704,m
SHA,19850705,m
SHA,19850706,m
SHA,19850707,m
SHA,19850708,m
SHA,19850709,m
SHA,19850710,m
SHA,19850711,m
SHA,19850712,m
SHA,19850713,m
SHA,19850714,m
SHA,19850715,m
SHA,19850716,m
SHA,19850717,m
SHA,19850718,m
SHA,19850719,m
SHA,19850720,m
SHA,19850721,m
SHA,19850722,m
SHA,19850723,m
SHA,19850724,m
SHA,19850725,m
SHA,19850726,m
SHA,19850727,m
SHA,19850728,m
SHA,19850729,m
SHA,19850730,m
SHA,19850731,m
SHA,19850801,m
SHA,19850802,m
SHA,19850803,m
SHA,19850804,m
SHA,19850805,m
SHA,19850806,m
SHA,19850807,m
SHA,19850808,m
SHA,19850809,m
SHA,19850810,m
SHA,19850811,m
SHA,19850812,m
SHA,19850813,m
SHA,19850814,m
SHA,19850815,m
SHA,19850816,m
SHA,19850817,m
SHA,19850818,m
SHA,19850819,m
SHA,19850820,m
SHA,19850821,m
SHA,19850822,m
SHA,19850823,m
SHA,19850824,m
SHA,19850825,m
SHA,19850826,m
SHA,19850827,m
SHA,19850828,m
SHA,19850829,m
SHA,19850830,m
SHA,19850831,m
SHA,19850901,m
SHA,19850902,m
SHA,19850903,m
SHA,19850904,m
SHA,19850905,m
SHA,19850906,m
SHA,19850907,m
SHA,19850908,m
SHA,19850909,m
SHA,19850910,m
SHA,19850911,m
SHA,19850912,m
SHA,19850913,m
SHA,19850914,m
SHA,19850915,m
SHA,19850916,m
SHA,19850917,m
SHA,19850918,m
SHA,19850919,m
SHA,19850920,m
SHA,19850921,m
SHA,19850922,m
SHA,19850923,m
SHA,19850924,m
SHA,19850925,m
SHA,19850926,m
SHA,19850927,m
SHA,19850928,m
SHA,19850929,m
