ID,Date,Reservoir_Storage(AF)
SLB,19880724,14708
SLB,19880725,14886
SLB,19880726,14952
SLB,19880727,14828
SLB,19880728,14862
SLB,19880729,14916
SLB,19880730,14806
SLB,19880731,14692
SLB,19880801,14692
SLB,19880802,m
SLB,19880803,m
SLB,19880804,m
SLB,19880805,m
SLB,19880806,m
SLB,19880807,m
SLB,19880808,m
SLB,19880809,m
SLB,19880810,m
SLB,19880811,m
SLB,19880812,m
SLB,19880813,m
SLB,19880814,m
SLB,19880815,m
SLB,19880816,m
SLB,19880817,m
SLB,19880818,m
SLB,19880819,m
SLB,19880820,m
SLB,19880821,m
SLB,19880822,m
SLB,19880823,m
SLB,19880824,m
SLB,19880825,m
SLB,19880826,m
SLB,19880827,m
SLB,19880828,m
SLB,19880829,m
SLB,19880830,m
SLB,19880831,m
SLB,19880901,m
SLB,19880902,m
SLB,19880903,m
SLB,19880904,m
SLB,19880905,m
SLB,19880906,m
SLB,19880907,m
SLB,19880908,m
SLB,19880909,m
SLB,19880910,m
SLB,19880911,m
SLB,19880912,m
SLB,19880913,m
SLB,19880914,14958
SLB,19880915,14968
SLB,19880916,15030
SLB,19880917,14802
SLB,19880918,14888
SLB,19880919,14980
SLB,19880920,14980
SLB,19880921,15268
SLB,19880922,15404
SLB,19880923,15552
SLB,19880924,15498
SLB,19880925,15392
SLB,19880926,15536
SLB,19880927,15622
SLB,19880928,15674
SLB,19880929,15214
SLB,19880930,14686
SLB,19881001,14754
SLB,19881002,14806
SLB,19881003,14786
SLB,19881004,14808
SLB,19881005,14830
SLB,19881006,14868
SLB,19881007,14952
SLB,19881008,15030
SLB,19881009,15118
SLB,19881010,15196
SLB,19881011,15228
SLB,19881012,15256
SLB,19881013,15274
SLB,19881014,15224
SLB,19881015,15292
SLB,19881016,15332
SLB,19881017,15268
SLB,19881018,15170
SLB,19881019,15174
SLB,19881020,15110
SLB,19881021,15170
SLB,19881022,15188
SLB,19881023,15280
SLB,19881024,15336
SLB,19881025,15242
SLB,19881026,15324
SLB,19881027,15302
SLB,19881028,15334
SLB,19881029,14458
SLB,19881030,15420
SLB,19881031,15566
SLB,19881101,15528
SLB,19881102,15508
SLB,19881103,15566
SLB,19881104,15712
SLB,19881105,15856
SLB,19881106,15970
SLB,19881107,15958
SLB,19881108,15930
SLB,19881109,15786
SLB,19881110,15642
SLB,19881111,15500
SLB,19881112,15358
SLB,19881113,15420
SLB,19881114,15752
SLB,19881115,15680
SLB,19881116,15576
SLB,19881117,15668
SLB,19881118,15570
SLB,19881119,15410
SLB,19881120,15278
SLB,19881121,15214
SLB,19881122,16132
SLB,19881123,15524
SLB,19881124,16132
SLB,19881125,16156
SLB,19881126,16100
SLB,19881127,16132
SLB,19881128,16120
SLB,19881129,15950
