ID,Date,Reservoir_Storage(AF)
SLC,19850421,37500
SLC,19850422,37800
SLC,19850423,38100
SLC,19850424,38500
SLC,19850425,38900
SLC,19850426,39300
SLC,19850427,39900
SLC,19850428,40600
SLC,19850429,41000
SLC,19850430,41400
SLC,19850501,41800
SLC,19850502,42000
SLC,19850503,42100
SLC,19850504,42000
SLC,19850505,42200
SLC,19850506,42400
SLC,19850507,42400
SLC,19850508,42600
SLC,19850509,42700
SLC,19850510,42700
SLC,19850511,42800
SLC,19850512,42900
SLC,19850513,43000
SLC,19850514,42800
SLC,19850515,42600
SLC,19850516,42600
SLC,19850517,43000
SLC,19850518,43600
SLC,19850519,43600
SLC,19850520,43900
SLC,19850521,44000
SLC,19850522,44100
SLC,19850523,43800
SLC,19850524,43700
SLC,19850525,43900
SLC,19850526,43800
SLC,19850527,44000
SLC,19850528,44200
SLC,19850529,44100
SLC,19850530,44300
SLC,19850531,44500
SLC,19850601,44600
SLC,19850602,44800
SLC,19850603,45000
SLC,19850604,45100
SLC,19850605,45300
SLC,19850606,45200
SLC,19850607,45000
SLC,19850608,45100
SLC,19850609,45200
SLC,19850610,45400
SLC,19850611,45500
SLC,19850612,45300
SLC,19850613,44900
SLC,19850614,44100
SLC,19850615,44500
SLC,19850616,44600
SLC,19850617,44400
SLC,19850618,44300
SLC,19850619,44100
SLC,19850620,44100
SLC,19850621,43900
SLC,19850622,43800
SLC,19850623,43500
SLC,19850624,43300
SLC,19850625,43100
SLC,19850626,43100
SLC,19850627,42900
SLC,19850628,42700
SLC,19850629,42400
SLC,19850630,42500
SLC,19850701,42400
SLC,19850702,41900
SLC,19850703,41300
SLC,19850704,40900
SLC,19850705,40700
SLC,19850706,40800
SLC,19850707,40800
SLC,19850708,40500
SLC,19850709,40000
SLC,19850710,39600
SLC,19850711,39100
SLC,19850712,38900
SLC,19850713,39000
SLC,19850714,39000
SLC,19850715,38500
SLC,19850716,38200
SLC,19850717,37900
SLC,19850718,37700
SLC,19850719,37300
SLC,19850720,37300
SLC,19850721,37300
SLC,19850722,37300
SLC,19850723,36700
SLC,19850724,36400
SLC,19850725,36200
SLC,19850726,35800
SLC,19850727,35500
SLC,19850728,35000
SLC,19850729,34400
SLC,19850730,34000
SLC,19850731,33700
SLC,19850801,33200
SLC,19850802,32700
SLC,19850803,32100
SLC,19850804,31600
SLC,19850805,31000
SLC,19850806,30400
SLC,19850807,30000
SLC,19850808,29600
SLC,19850809,29000
SLC,19850810,28500
SLC,19850811,28000
SLC,19850812,27500
SLC,19850813,27200
SLC,19850814,26700
SLC,19850815,26300
SLC,19850816,25800
SLC,19850817,25400
SLC,19850818,25400
SLC,19850819,25000
SLC,19850820,24400
SLC,19850821,23900
SLC,19850822,23500
SLC,19850823,23000
SLC,19850824,22500
SLC,19850825,22000
SLC,19850826,21400
SLC,19850827,21000
SLC,19850828,20600
SLC,19850829,20200
SLC,19850830,19700
SLC,19850831,19300
SLC,19850901,18900
SLC,19850902,18400
SLC,19850903,18000
SLC,19850904,18000
SLC,19850905,17900
SLC,19850906,17800
SLC,19850907,18100
SLC,19850908,18200
SLC,19850909,18700
SLC,19850910,19200
SLC,19850911,19000
SLC,19850912,20000
SLC,19850913,20500
SLC,19850914,20200
SLC,19850915,20200
SLC,19850916,20700
SLC,19850917,21000
SLC,19850918,21400
SLC,19850919,21900
SLC,19850920,22300
SLC,19850921,22700
SLC,19850922,23200
SLC,19850923,23600
SLC,19850924,23400
SLC,19850925,23300
SLC,19850926,23700
SLC,19850927,24000
SLC,19850928,24000
SLC,19850929,23700
SLC,19850930,23200
SLC,19851001,23200
SLC,19851002,22900
SLC,19851003,22300
SLC,19851004,21900
SLC,19851005,21400
SLC,19851006,21100
SLC,19851007,20800
SLC,19851008,20400
SLC,19851009,19800
SLC,19851010,19500
SLC,19851011,19500
SLC,19851012,19500
SLC,19851013,19200
SLC,19851014,19200
SLC,19851015,19300
SLC,19851016,19300
SLC,19851017,19300
SLC,19851018,19300
SLC,19851019,19300
SLC,19851020,19300
SLC,19851021,19400
SLC,19851022,19500
SLC,19851023,19700
SLC,19851024,19700
SLC,19851025,19800
SLC,19851026,19800
SLC,19851027,19900
SLC,19851028,19900
SLC,19851029,19900
SLC,19851030,19900
SLC,19851031,20000
SLC,19851101,20000
SLC,19851102,20000
SLC,19851103,20000
SLC,19851104,19800
SLC,19851105,19400
SLC,19851106,18900
SLC,19851107,18600
SLC,19851108,18400
SLC,19851109,18200
SLC,19851110,18300
SLC,19851111,18100
SLC,19851112,18000
SLC,19851113,18000
SLC,19851114,17700
SLC,19851115,17400
SLC,19851116,17200
SLC,19851117,17300
SLC,19851118,17300
SLC,19851119,17400
SLC,19851120,17400
SLC,19851121,17500
SLC,19851122,17500
SLC,19851123,17500
SLC,19851124,17800
SLC,19851125,18200
SLC,19851126,18400
SLC,19851127,18500
SLC,19851128,18800
SLC,19851129,19400
SLC,19851130,19700
SLC,19851201,19900
SLC,19851202,21500
SLC,19851203,22700
SLC,19851204,23600
SLC,19851205,23800
SLC,19851206,23700
SLC,19851207,23700
SLC,19851208,23000
SLC,19851209,21800
SLC,19851210,21200
SLC,19851211,20400
SLC,19851212,20000
SLC,19851213,18400
SLC,19851214,18600
SLC,19851215,18200
SLC,19851216,17900
SLC,19851217,17800
SLC,19851218,18200
SLC,19851219,18400
SLC,19851220,18800
SLC,19851221,19100
SLC,19851222,19200
SLC,19851223,19200
SLC,19851224,19200
SLC,19851225,19000
SLC,19851226,18800
SLC,19851227,18400
SLC,19851228,18200
SLC,19851229,18100
SLC,19851230,m
SLC,19851231,m
SLC,19860101,18900
SLC,19860102,18800
SLC,19860103,19000
SLC,19860104,19800
SLC,19860105,21300
SLC,19860106,22400
SLC,19860107,22900
SLC,19860108,23500
SLC,19860109,24000
SLC,19860110,23600
SLC,19860111,22800
SLC,19860112,22200
SLC,19860113,21600
SLC,19860114,20800
SLC,19860115,20200
SLC,19860116,21400
SLC,19860117,23900
SLC,19860118,25400
SLC,19860119,26500
SLC,19860120,26800
SLC,19860121,26900
SLC,19860122,27000
SLC,19860123,27000
SLC,19860124,26800
SLC,19860125,26500
SLC,19860126,26100
SLC,19860127,25700
SLC,19860128,25100
SLC,19860129,25300
SLC,19860130,26200
SLC,19860131,27800
SLC,19860201,29700
SLC,19860202,32000
SLC,19860203,33900
SLC,19860204,35200
SLC,19860205,36300
SLC,19860206,36700
SLC,19860207,36700
SLC,19860208,36600
SLC,19860209,36300
SLC,19860210,35900
SLC,19860211,35500
SLC,19860212,36100
SLC,19860213,38800
SLC,19860214,43200
SLC,19860215,47600
SLC,19860216,52300
SLC,19860217,59400
SLC,19860218,58900
SLC,19860219,58400
SLC,19860220,57500
SLC,19860221,57400
SLC,19860222,57400
SLC,19860223,57300
SLC,19860224,57200
SLC,19860225,57100
SLC,19860226,56600
SLC,19860227,55800
SLC,19860228,53300
SLC,19860301,54800
SLC,19860302,54300
SLC,19860303,54300
SLC,19860304,54700
SLC,19860305,55200
SLC,19860306,55500
SLC,19860307,56700
SLC,19860308,57200
SLC,19860309,56700
SLC,19860310,56600
SLC,19860311,56300
SLC,19860312,55900
SLC,19860313,55500
SLC,19860314,55300
SLC,19860315,55600
SLC,19860316,55700
SLC,19860317,55600
SLC,19860318,55300
SLC,19860319,55400
SLC,19860320,55800
SLC,19860321,56100
SLC,19860322,56500
SLC,19860323,56800
SLC,19860324,56700
SLC,19860325,56400
SLC,19860326,56100
SLC,19860327,55900
SLC,19860328,55800
SLC,19860329,55600
SLC,19860330,55300
