ID,Date,Reservoir_Storage(AF)
SLS,19850101,21790
SLS,19850102,m
SLS,19850103,m
SLS,19850104,m
SLS,19850105,m
SLS,19850106,m
SLS,19850107,20400
SLS,19850108,m
SLS,19850109,m
SLS,19850110,m
SLS,19850111,m
SLS,19850112,m
SLS,19850113,m
SLS,19850114,18470
SLS,19850115,m
SLS,19850116,m
SLS,19850117,m
SLS,19850118,m
SLS,19850119,m
SLS,19850120,m
SLS,19850121,17120
SLS,19850122,m
SLS,19850123,m
SLS,19850124,m
SLS,19850125,m
SLS,19850126,m
SLS,19850127,m
SLS,19850128,16020
SLS,19850129,m
SLS,19850130,m
SLS,19850131,m
SLS,19850201,m
SLS,19850202,m
SLS,19850203,m
SLS,19850204,15850
SLS,19850205,m
SLS,19850206,m
SLS,19850207,m
SLS,19850208,m
SLS,19850209,m
SLS,19850210,m
SLS,19850211,m
SLS,19850212,14960
SLS,19850213,m
SLS,19850214,m
SLS,19850215,m
SLS,19850216,m
SLS,19850217,m
SLS,19850218,13320
SLS,19850219,m
SLS,19850220,m
SLS,19850221,m
SLS,19850222,m
SLS,19850223,m
SLS,19850224,m
SLS,19850225,11570
SLS,19850226,m
SLS,19850227,m
SLS,19850228,10700
SLS,19850301,m
SLS,19850302,m
SLS,19850303,m
SLS,19850304,9140
SLS,19850305,m
SLS,19850306,m
SLS,19850307,m
SLS,19850308,m
SLS,19850309,m
SLS,19850310,m
SLS,19850311,6960
SLS,19850312,m
SLS,19850313,m
SLS,19850314,m
SLS,19850315,m
SLS,19850316,m
SLS,19850317,m
SLS,19850318,6130
SLS,19850319,m
SLS,19850320,m
SLS,19850321,m
SLS,19850322,m
SLS,19850323,m
SLS,19850324,m
SLS,19850325,6190
SLS,19850326,m
SLS,19850327,m
SLS,19850328,m
SLS,19850329,m
SLS,19850330,m
SLS,19850331,m
SLS,19850401,6090
SLS,19850402,m
SLS,19850403,m
SLS,19850404,m
SLS,19850405,m
SLS,19850406,m
SLS,19850407,m
SLS,19850408,18690
SLS,19850409,m
SLS,19850410,m
SLS,19850411,m
SLS,19850412,m
SLS,19850413,m
SLS,19850414,m
SLS,19850415,38250
SLS,19850416,m
SLS,19850417,m
SLS,19850418,m
SLS,19850419,m
SLS,19850420,m
SLS,19850421,m
SLS,19850422,50730
SLS,19850423,m
SLS,19850424,m
SLS,19850425,m
SLS,19850426,m
SLS,19850427,m
SLS,19850428,m
SLS,19850429,56750
SLS,19850430,m
SLS,19850501,m
SLS,19850502,m
SLS,19850503,m
SLS,19850504,m
SLS,19850505,m
SLS,19850506,77760
SLS,19850507,m
SLS,19850508,m
SLS,19850509,m
SLS,19850510,m
SLS,19850511,m
SLS,19850512,m
SLS,19850513,93750
SLS,19850514,m
SLS,19850515,m
SLS,19850516,m
SLS,19850517,m
SLS,19850518,m
SLS,19850519,m
SLS,19850520,112240
SLS,19850521,m
SLS,19850522,m
SLS,19850523,m
SLS,19850524,m
SLS,19850525,m
SLS,19850526,m
SLS,19850527,126550
SLS,19850528,m
SLS,19850529,m
SLS,19850530,m
SLS,19850531,m
SLS,19850601,m
SLS,19850602,m
SLS,19850603,131350
SLS,19850604,m
SLS,19850605,m
SLS,19850606,m
SLS,19850607,m
SLS,19850608,m
SLS,19850609,m
SLS,19850610,136230
SLS,19850611,m
SLS,19850612,m
SLS,19850613,m
SLS,19850614,m
SLS,19850615,m
SLS,19850616,m
SLS,19850617,137370
SLS,19850618,m
SLS,19850619,m
SLS,19850620,m
SLS,19850621,m
SLS,19850622,m
SLS,19850623,m
SLS,19850624,135280
SLS,19850625,m
SLS,19850626,m
SLS,19850627,m
SLS,19850628,m
SLS,19850629,m
SLS,19850630,m
SLS,19850701,130420
SLS,19850702,m
SLS,19850703,m
SLS,19850704,m
SLS,19850705,m
SLS,19850706,m
SLS,19850707,m
SLS,19850708,126920
SLS,19850709,m
SLS,19850710,m
SLS,19850711,m
SLS,19850712,m
SLS,19850713,m
SLS,19850714,m
SLS,19850715,123720
SLS,19850716,m
SLS,19850717,m
SLS,19850718,-530
SLS,19850719,m
SLS,19850720,m
SLS,19850721,m
SLS,19850722,121190
SLS,19850723,m
SLS,19850724,m
SLS,19850725,m
SLS,19850726,m
SLS,19850727,m
SLS,19850728,m
SLS,19850729,116730
