ID,Date,Reservoir_Storage(AF)
SNL,19880104,1325318
SNL,19880105,m
SNL,19880106,m
SNL,19880107,m
SNL,19880108,m
SNL,19880109,m
SNL,19880110,m
SNL,19880111,1420115
SNL,19880112,m
SNL,19880113,m
SNL,19880114,m
SNL,19880115,m
SNL,19880116,m
SNL,19880117,m
SNL,19880118,1489135
SNL,19880119,m
SNL,19880120,m
SNL,19880121,m
SNL,19880122,m
SNL,19880123,m
SNL,19880124,m
SNL,19880125,1563554
SNL,19880126,m
SNL,19880127,m
SNL,19880128,m
SNL,19880129,m
SNL,19880130,m
SNL,19880131,m
SNL,19880201,1617531
SNL,19880202,m
SNL,19880203,m
SNL,19880204,1642155
SNL,19880205,1649957
SNL,19880206,1655877
SNL,19880207,1661685
SNL,19880208,1667618
SNL,19880209,1673559
SNL,19880210,1678199
SNL,19880211,1683080
SNL,19880212,1686178
SNL,19880213,1690830
SNL,19880214,m
SNL,19880215,1703134
SNL,19880216,m
SNL,19880217,m
SNL,19880218,1719428
SNL,19880219,m
SNL,19880220,m
SNL,19880221,1729759
SNL,19880222,1730962
SNL,19880223,1730721
SNL,19880224,m
SNL,19880225,m
SNL,19880226,m
SNL,19880227,m
SNL,19880228,m
SNL,19880229,m
SNL,19880301,m
SNL,19880302,m
SNL,19880303,m
SNL,19880304,m
SNL,19880305,m
SNL,19880306,m
SNL,19880307,1770933
SNL,19880308,1770933
SNL,19880309,m
SNL,19880310,m
SNL,19880311,m
SNL,19880312,m
SNL,19880313,m
SNL,19880314,1790367
SNL,19880315,1790367
SNL,19880316,m
SNL,19880317,m
SNL,19880318,m
SNL,19880319,m
SNL,19880320,m
SNL,19880321,1782706
SNL,19880322,1782706
SNL,19880323,m
SNL,19880324,m
SNL,19880325,m
SNL,19880326,m
SNL,19880327,m
SNL,19880328,1787934
SNL,19880329,1787934
SNL,19880330,m
SNL,19880331,m
SNL,19880401,m
SNL,19880402,m
SNL,19880403,m
SNL,19880404,1766086
SNL,19880405,1766086
SNL,19880406,m
SNL,19880407,m
SNL,19880408,m
SNL,19880409,m
SNL,19880410,m
SNL,19880411,1757252
SNL,19880412,1757252
SNL,19880413,m
SNL,19880414,1741558
SNL,19880415,1741558
SNL,19880416,m
SNL,19880417,1744813
SNL,19880418,1746140
SNL,19880419,1751452
SNL,19880420,1755439
SNL,19880421,1762817
SNL,19880422,1762817
SNL,19880423,m
SNL,19880424,m
SNL,19880425,1804258
SNL,19880426,1814273
SNL,19880427,1814273
SNL,19880428,m
SNL,19880429,m
SNL,19880430,m
SNL,19880501,m
SNL,19880502,1853540
SNL,19880503,1853540
SNL,19880504,1847754
SNL,19880505,1847754
SNL,19880506,m
SNL,19880507,m
SNL,19880508,m
SNL,19880509,1833993
SNL,19880510,1833993
SNL,19880511,m
SNL,19880512,m
SNL,19880513,m
SNL,19880514,m
SNL,19880515,m
SNL,19880516,1843819
SNL,19880517,1843819
SNL,19880518,m
SNL,19880519,m
SNL,19880520,m
SNL,19880521,m
SNL,19880522,m
SNL,19880523,1808287
SNL,19880524,1808287
SNL,19880525,m
SNL,19880526,m
SNL,19880527,m
SNL,19880528,m
SNL,19880529,m
SNL,19880530,1700743
SNL,19880531,1685940
SNL,19880601,1685940
SNL,19880602,m
SNL,19880603,m
SNL,19880604,m
SNL,19880605,1644282
SNL,19880606,1630122
SNL,19880607,1630122
SNL,19880608,m
SNL,19880609,m
SNL,19880610,m
SNL,19880611,m
SNL,19880612,m
SNL,19880613,1544660
SNL,19880614,1544660
SNL,19880615,m
SNL,19880616,m
SNL,19880617,m
SNL,19880618,m
SNL,19880619,m
SNL,19880620,1390429
SNL,19880621,1390429
SNL,19880622,m
SNL,19880623,m
SNL,19880624,m
SNL,19880625,m
SNL,19880626,m
SNL,19880627,1274679
SNL,19880628,1274679
SNL,19880629,m
SNL,19880630,m
SNL,19880701,m
SNL,19880702,m
SNL,19880703,m
SNL,19880704,1174989
SNL,19880705,1174989
SNL,19880706,m
SNL,19880707,m
SNL,19880708,m
SNL,19880709,m
SNL,19880710,m
SNL,19880711,1067043
SNL,19880712,1067043
SNL,19880713,m
SNL,19880714,m
SNL,19880715,m
SNL,19880716,m
SNL,19880717,m
SNL,19880718,914070
SNL,19880719,914070
SNL,19880720,m
SNL,19880721,860516
SNL,19880722,860516
SNL,19880723,m
SNL,19880724,m
SNL,19880725,804067
SNL,19880726,786834
SNL,19880727,786834
SNL,19880728,m
SNL,19880729,m
SNL,19880730,m
SNL,19880731,m
SNL,19880801,672293
SNL,19880802,672293
SNL,19880803,m
SNL,19880804,m
SNL,19880805,m
SNL,19880806,m
SNL,19880807,612629
SNL,19880808,604048
SNL,19880809,604048
SNL,19880810,588684
SNL,19880811,584451
SNL,19880812,584451
SNL,19880813,m
SNL,19880814,551492
SNL,19880815,537047
SNL,19880816,530558
SNL,19880817,530558
SNL,19880818,512449
SNL,19880819,500742
SNL,19880820,493331
SNL,19880821,485883
SNL,19880822,476556
SNL,19880823,469127
SNL,19880824,469127
SNL,19880825,m
SNL,19880826,m
SNL,19880827,m
SNL,19880828,m
SNL,19880829,435826
SNL,19880830,435826
SNL,19880831,423039
SNL,19880901,416077
SNL,19880902,408287
SNL,19880903,400406
SNL,19880904,400118
SNL,19880905,399830
SNL,19880906,398822
SNL,19880907,398247
SNL,19880908,397600
SNL,19880909,397600
SNL,19880910,m
SNL,19880911,401343
SNL,19880912,401127
SNL,19880913,404592
SNL,19880914,407054
SNL,19880915,409012
SNL,19880916,409012
SNL,19880917,417247
SNL,19880918,417247
SNL,19880919,425688
SNL,19880920,430931
SNL,19880921,438206
SNL,19880922,442234
SNL,19880923,442234
SNL,19880924,450556
SNL,19880925,458330
SNL,19880926,460679
SNL,19880927,466152
SNL,19880928,466152
SNL,19880929,480325
SNL,19880930,480325
SNL,19881001,492475
SNL,19881002,492475
SNL,19881003,496524
SNL,19881004,498163
SNL,19881005,501681
SNL,19881006,508274
SNL,19881007,509612
SNL,19881008,510793
SNL,19881009,512134
SNL,19881010,513239
SNL,19881011,514582
SNL,19881012,521236
SNL,19881013,528401
SNL,19881014,533598
SNL,19881015,539136
SNL,19881016,547362
SNL,19881017,550357
SNL,19881018,552141
SNL,19881019,552060
SNL,19881020,552060
SNL,19881021,m
SNL,19881022,538895
SNL,19881023,538493
SNL,19881024,535522
SNL,19881025,531277
SNL,19881026,531277
SNL,19881027,522587
SNL,19881028,517905
SNL,19881029,517430
SNL,19881030,516954
SNL,19881031,516875
SNL,19881101,513081
SNL,19881102,509060
SNL,19881103,509060
SNL,19881104,m
SNL,19881105,522905
SNL,19881106,530078
SNL,19881107,532637
SNL,19881108,532317
SNL,19881109,531997
SNL,19881110,534560
SNL,19881111,534560
SNL,19881112,m
SNL,19881113,m
SNL,19881114,543163
SNL,19881115,543001
SNL,19881116,547038
SNL,19881117,547038
SNL,19881118,558076
SNL,19881119,562644
SNL,19881120,575774
SNL,19881121,582050
SNL,19881122,590014
SNL,19881123,595763
SNL,19881124,595763
SNL,19881125,m
SNL,19881126,612882
SNL,19881127,625840
SNL,19881128,630438
SNL,19881129,642931
SNL,19881130,658461
SNL,19881201,674390
SNL,19881202,687025
SNL,19881203,687025
SNL,19881204,694171
SNL,19881205,698684
SNL,19881206,702676
SNL,19881207,703830
SNL,19881208,706586
SNL,19881209,709258
SNL,19881210,709703
SNL,19881211,715952
SNL,19881212,717115
SNL,19881213,720159
SNL,19881214,722850
SNL,19881215,722580
SNL,19881216,733287
SNL,19881217,744325
SNL,19881218,744325
SNL,19881219,751299
SNL,19881220,751299
SNL,19881221,m
SNL,19881222,757213
SNL,19881223,756940
SNL,19881224,757486
SNL,19881225,757486
SNL,19881226,779277
SNL,19881227,793860
SNL,19881228,813571
SNL,19881229,830154
SNL,19881230,842027
SNL,19881231,854053
SNL,19890101,m
SNL,19890102,890379
SNL,19890103,m
SNL,19890104,913682
SNL,19890105,927116
SNL,19890106,935717
SNL,19890107,938655
SNL,19890108,950045
SNL,19890109,955856
SNL,19890110,968306
SNL,19890111,982699
SNL,19890112,994564
SNL,19890113,1001365
SNL,19890114,1011495
SNL,19890115,1031250
SNL,19890116,1037019
SNL,19890117,m
SNL,19890118,m
SNL,19890119,1067964
SNL,19890120,1076669
SNL,19890121,1086941
SNL,19890122,1103338
SNL,19890123,1108614
SNL,19890124,1118568
SNL,19890125,1130218
SNL,19890126,1140966
SNL,19890127,1150594
SNL,19890128,1158357
SNL,19890129,1168980
SNL,19890130,1174883
SNL,19890131,1180796
SNL,19890201,1176361
SNL,19890202,1169612
SNL,19890203,1161299
SNL,19890204,1159618
SNL,19890205,1161614
SNL,19890206,1156153
SNL,19890207,1160669
SNL,19890208,1169928
SNL,19890209,1171509
SNL,19890210,1179211
SNL,19890211,1191272
SNL,19890212,1211887
SNL,19890213,1218285
SNL,19890214,1225550
SNL,19890215,m
SNL,19890216,1224908
SNL,19890217,m
SNL,19890218,m
SNL,19890219,1224267
SNL,19890220,1224160
SNL,19890221,1224908
SNL,19890222,1225015
SNL,19890223,1219032
SNL,19890224,m
SNL,19890225,m
SNL,19890226,m
SNL,19890227,1206989
SNL,19890228,m
SNL,19890301,m
SNL,19890302,m
SNL,19890303,m
SNL,19890304,m
SNL,19890305,m
SNL,19890306,1259206
SNL,19890307,m
SNL,19890308,m
SNL,19890309,m
SNL,19890310,m
SNL,19890311,m
SNL,19890312,m
