ID,Date,Reservoir_Storage(AF)
STP,20040601,132503
STP,20040602,132279
STP,20040603,131981
STP,20040604,131734
STP,20040605,131461
STP,20040606,131116
STP,20040607,130770
STP,20040608,130401
STP,20040609,130178
STP,20040610,129761
STP,20040611,129419
STP,20040612,129002
STP,20040613,128563
STP,20040614,128173
STP,20040615,127978
STP,20040616,127857
STP,20040617,127662
STP,20040618,127468
STP,20040619,127250
STP,20040620,127033
STP,20040621,126863
STP,20040622,126694
STP,20040623,126524
STP,20040624,126332
STP,20040625,126162
STP,20040626,125994
STP,20040627,125826
STP,20040628,125705
STP,20040629,125537
STP,20040630,125345
STP,20040701,125201
STP,20040702,125009
STP,20040703,124817
STP,20040704,124627
STP,20040705,124435
STP,20040706,124220
STP,20040707,123934
STP,20040708,123601
STP,20040709,123220
STP,20040710,122817
STP,20040711,122438
STP,20040712,122014
STP,20040713,121542
STP,20040714,121095
STP,20040715,120579
STP,20040716,120112
STP,20040717,119645
STP,20040718,m
STP,20040719,118669
STP,20040720,118161
STP,20040721,117721
STP,20040722,117261
STP,20040723,116755
STP,20040724,116274
STP,20040725,115795
STP,20040726,115294
STP,20040727,114816
STP,20040728,114340
STP,20040729,113820
STP,20040730,113370
STP,20040731,112943
STP,20040801,112539
STP,20040802,112070
STP,20040803,111735
STP,20040804,111468
STP,20040805,111200
STP,20040806,110956
STP,20040807,110757
STP,20040808,110535
STP,20040809,110336
STP,20040810,110181
STP,20040811,110049
STP,20040812,109939
STP,20040813,109850
STP,20040814,109762
STP,20040815,109652
STP,20040816,m
STP,20040817,109432
STP,20040818,109344
STP,20040819,109300
STP,20040820,109233
STP,20040821,109168
STP,20040822,109059
STP,20040823,108992
STP,20040824,108904
STP,20040825,108817
STP,20040826,108708
STP,20040827,108599
STP,20040828,108555
STP,20040829,108511
STP,20040830,108445
STP,20040831,108380
STP,20040901,108313
STP,20040902,108226
STP,20040903,108117
STP,20040904,108009
STP,20040905,107965
STP,20040906,107921
STP,20040907,107855
STP,20040908,107790
STP,20040909,107703
STP,20040910,107616
STP,20040911,107573
STP,20040912,107486
STP,20040913,107399
STP,20040914,107312
STP,20040915,107247
STP,20040916,107225
STP,20040917,107203
STP,20040918,107138
STP,20040919,107030
STP,20040920,107008
STP,20040921,106986
STP,20040922,107030
STP,20040923,106943
STP,20040924,106856
STP,20040925,106792
STP,20040926,106705
STP,20040927,106640
STP,20040928,106553
STP,20040929,106489
STP,20040930,106445
STP,20041001,106402
STP,20041002,106359
STP,20041003,106316
STP,20041004,106251
STP,20041005,106208
STP,20041006,106143
STP,20041007,106100
STP,20041008,106036
STP,20041009,105970
STP,20041010,105756
STP,20041011,105777
STP,20041012,105734
STP,20041013,105713
STP,20041014,105734
STP,20041015,105756
STP,20041016,105713
STP,20041017,105799
STP,20041018,105820
STP,20041019,104833
STP,20041020,106165
STP,20041021,105885
STP,20041022,105584
STP,20041023,105262
STP,20041024,104962
STP,20041025,104727
STP,20041026,104684
STP,20041027,104470
STP,20041028,104320
STP,20041029,104214
STP,20041030,104129
STP,20041031,104001
STP,20041101,103916
STP,20041102,103874
STP,20041103,103938
STP,20041104,103895
STP,20041105,m
STP,20041106,m
STP,20041107,m
STP,20041108,103747
STP,20041109,103725
STP,20041110,103725
STP,20041111,103704
STP,20041112,103662
STP,20041113,103640
STP,20041114,103577
STP,20041115,103577
STP,20041116,103577
STP,20041117,103598
STP,20041118,103640
STP,20041119,103640
STP,20041120,103619
STP,20041121,m
STP,20041122,103640
STP,20041123,103683
STP,20041124,103768
STP,20041125,103895
STP,20041126,103959
STP,20041127,104194
STP,20041128,104172
STP,20041129,104257
STP,20041130,104300
STP,20041201,104342
STP,20041202,104363
STP,20041203,104449
STP,20041204,104534
STP,20041205,104577
STP,20041206,104662
STP,20041207,104919
STP,20041208,105154
STP,20041209,105111
STP,20041210,105133
STP,20041211,105091
STP,20041212,105091
STP,20041213,105005
STP,20041214,104962
STP,20041215,104833
STP,20041216,104727
STP,20041217,m
STP,20041218,104534
STP,20041219,104449
STP,20041220,104385
STP,20041221,104279
STP,20041222,104151
STP,20041223,104066
STP,20041224,103980
STP,20041225,103938
STP,20041226,103938
STP,20041227,103874
STP,20041228,103853
STP,20041229,103853
STP,20041230,104172
STP,20041231,104194
STP,20050101,104257
STP,20050102,104300
STP,20050103,104342
STP,20050104,104214
STP,20050105,104066
STP,20050106,103959
STP,20050107,104129
STP,20050108,m
STP,20050109,m
STP,20050110,m
STP,20050111,m
STP,20050112,m
STP,20050113,m
STP,20050114,m
STP,20050115,m
STP,20050116,m
STP,20050117,m
STP,20050118,m
STP,20050119,m
STP,20050120,m
STP,20050121,m
STP,20050122,m
STP,20050123,m
STP,20050124,m
STP,20050125,m
STP,20050126,m
STP,20050127,m
STP,20050128,m
STP,20050129,m
STP,20050130,m
STP,20050131,m
STP,20050201,m
STP,20050202,102435
STP,20050203,102435
STP,20050204,102478
STP,20050205,102498
STP,20050206,102540
STP,20050207,102540
STP,20050208,102540
STP,20050209,102562
STP,20050210,102583
STP,20050211,102625
STP,20050212,102625
STP,20050213,102667
STP,20050214,102709
