ID,Date,Reservoir_Storage(AF)
SVO,20050129,28895
SVO,20050130,29212
SVO,20050131,29488
SVO,20050201,29766
SVO,20050202,29980
SVO,20050203,30213
SVO,20050204,30431
SVO,20050205,30623
SVO,20050206,30825
SVO,20050207,31004
SVO,20050208,31174
SVO,20050209,31330
SVO,20050210,31488
SVO,20050211,31822
SVO,20050212,32383
SVO,20050213,32762
SVO,20050214,33083
SVO,20050215,33344
SVO,20050216,33780
SVO,20050217,34031
SVO,20050218,34395
SVO,20050219,35341
SVO,20050220,36117
SVO,20050221,36957
SVO,20050222,37867
SVO,20050223,38726
SVO,20050224,39387
SVO,20050225,39774
SVO,20050226,40239
SVO,20050227,40651
SVO,20050228,41024
SVO,20050301,41361
SVO,20050302,41688
SVO,20050303,41979
SVO,20050304,42288
SVO,20050305,42561
SVO,20050306,42838
SVO,20050307,43214
SVO,20050308,42611
SVO,20050309,42703
SVO,20050310,42831
SVO,20050311,41269
SVO,20050312,41510
SVO,20050313,40711
SVO,20050314,39966
SVO,20050315,38804
SVO,20050316,37661
SVO,20050317,36693
SVO,20050318,35732
SVO,20050319,34768
SVO,20050320,33795
SVO,20050321,32786
SVO,20050322,31706
SVO,20050323,30676
SVO,20050324,29550
SVO,20050325,28518
SVO,20050326,27465
SVO,20050327,26385
SVO,20050328,25351
SVO,20050329,23831
SVO,20050330,24765
SVO,20050331,26316
SVO,20050401,22300
SVO,20050402,24002
SVO,20050403,20987
SVO,20050404,20984
SVO,20050405,20766
SVO,20050406,44979
SVO,20050407,44788
SVO,20050408,45700
SVO,20050409,43751
SVO,20050410,41695
SVO,20050411,33702
SVO,20050412,9809
SVO,20050413,8848
SVO,20050414,8222
SVO,20050415,7751
SVO,20050416,7258
SVO,20050417,6764
SVO,20050418,6263
SVO,20050419,5781
SVO,20050420,5308
SVO,20050421,5194
SVO,20050422,5238
SVO,20050423,5277
SVO,20050424,5320
SVO,20050425,5386
SVO,20050426,5373
SVO,20050427,5411
SVO,20050428,5702
SVO,20050429,5835
SVO,20050430,5765
SVO,20050501,5691
SVO,20050502,5604
SVO,20050503,5553
SVO,20050504,5553
SVO,20050505,5566
SVO,20050506,5566
SVO,20050507,5566
SVO,20050508,5566
SVO,20050509,6068
SVO,20050510,6068
SVO,20050511,5325
SVO,20050512,8210
SVO,20050513,7397
SVO,20050514,7299
SVO,20050515,7203
SVO,20050516,2730
SVO,20050517,2005
SVO,20050518,803
SVO,20050519,801
SVO,20050520,800
SVO,20050521,799
SVO,20050522,798
SVO,20050523,797
SVO,20050524,797
SVO,20050525,798
SVO,20050526,2965
SVO,20050527,m
SVO,20050528,m
SVO,20050529,m
SVO,20050530,m
SVO,20050531,m
SVO,20050601,738
SVO,20050602,800
SVO,20050603,783
SVO,20050604,776
SVO,20050605,773
SVO,20050606,696
SVO,20050607,600
SVO,20050608,604
SVO,20050609,619
SVO,20050610,616
SVO,20050611,628
SVO,20050612,631
SVO,20050613,737
SVO,20050614,750
SVO,20050615,795
SVO,20050616,954
SVO,20050617,1261
SVO,20050618,1439
SVO,20050619,1593
SVO,20050620,1724
SVO,20050621,1826
SVO,20050622,1897
SVO,20050623,2125
SVO,20050624,2148
SVO,20050625,1526
SVO,20050626,909
SVO,20050627,908
SVO,20050628,1059
SVO,20050629,1152
SVO,20050630,1243
SVO,20050701,1294
SVO,20050702,1352
SVO,20050703,1448
SVO,20050704,1479
SVO,20050705,1500
SVO,20050706,1486
SVO,20050707,1515
SVO,20050708,1503
SVO,20050709,1487
SVO,20050710,1490
SVO,20050711,1497
SVO,20050712,1465
SVO,20050713,1472
SVO,20050714,1423
SVO,20050715,m
SVO,20050716,m
SVO,20050717,m
SVO,20050718,1331
SVO,20050719,1270
SVO,20050720,1244
SVO,20050721,m
SVO,20050722,m
SVO,20050723,m
SVO,20050724,m
SVO,20050725,1472
SVO,20050726,1444
SVO,20050727,1478
SVO,20050728,1583
SVO,20050729,1648
SVO,20050730,1743
SVO,20050731,1908
SVO,20050801,2016
SVO,20050802,711
SVO,20050803,744
SVO,20050804,776
SVO,20050805,826
SVO,20050806,853
SVO,20050807,890
