ID,Date,Reservoir_Storage(AF)
TAB,19850101,16910
TAB,19850102,m
TAB,19850103,m
TAB,19850104,m
TAB,19850105,m
TAB,19850106,m
TAB,19850107,16985
TAB,19850108,m
TAB,19850109,m
TAB,19850110,m
TAB,19850111,m
TAB,19850112,m
TAB,19850113,m
TAB,19850114,19590
TAB,19850115,m
TAB,19850116,m
TAB,19850117,m
TAB,19850118,m
TAB,19850119,m
TAB,19850120,m
TAB,19850121,16810
TAB,19850122,m
TAB,19850123,m
TAB,19850124,m
TAB,19850125,m
TAB,19850126,m
TAB,19850127,m
TAB,19850128,17380
TAB,19850129,m
TAB,19850130,m
TAB,19850131,m
TAB,19850201,m
TAB,19850202,m
TAB,19850203,m
TAB,19850204,18910
TAB,19850205,m
TAB,19850206,m
TAB,19850207,m
TAB,19850208,m
TAB,19850209,m
TAB,19850210,m
TAB,19850211,m
TAB,19850212,21495
TAB,19850213,m
TAB,19850214,m
TAB,19850215,m
TAB,19850216,m
TAB,19850217,m
TAB,19850218,19275
TAB,19850219,m
TAB,19850220,m
TAB,19850221,m
TAB,19850222,m
TAB,19850223,m
TAB,19850224,m
TAB,19850225,21580
TAB,19850226,m
TAB,19850227,m
TAB,19850228,24470
TAB,19850301,m
TAB,19850302,m
TAB,19850303,m
TAB,19850304,17745
TAB,19850305,m
TAB,19850306,m
TAB,19850307,m
TAB,19850308,m
TAB,19850309,m
TAB,19850310,m
TAB,19850311,21195
TAB,19850312,m
TAB,19850313,m
TAB,19850314,m
TAB,19850315,m
TAB,19850316,m
TAB,19850317,m
TAB,19850318,20495
TAB,19850319,m
TAB,19850320,m
TAB,19850321,m
TAB,19850322,m
TAB,19850323,m
TAB,19850324,m
TAB,19850325,39266
TAB,19850326,m
TAB,19850327,m
TAB,19850328,m
TAB,19850329,m
TAB,19850330,m
TAB,19850331,m
TAB,19850401,55330
TAB,19850402,m
TAB,19850403,m
TAB,19850404,m
TAB,19850405,m
TAB,19850406,m
TAB,19850407,m
TAB,19850408,37675
TAB,19850409,m
TAB,19850410,m
TAB,19850411,m
TAB,19850412,m
TAB,19850413,m
TAB,19850414,m
TAB,19850415,24675
TAB,19850416,m
TAB,19850417,m
TAB,19850418,m
TAB,19850419,m
TAB,19850420,m
TAB,19850421,m
TAB,19850422,19140
TAB,19850423,m
TAB,19850424,m
TAB,19850425,m
TAB,19850426,m
TAB,19850427,m
TAB,19850428,m
TAB,19850429,18315
TAB,19850430,m
TAB,19850501,m
TAB,19850502,m
TAB,19850503,m
TAB,19850504,m
TAB,19850505,m
TAB,19850506,22805
TAB,19850507,m
TAB,19850508,m
TAB,19850509,m
TAB,19850510,m
TAB,19850511,m
TAB,19850512,m
TAB,19850513,23715
TAB,19850514,m
TAB,19850515,m
TAB,19850516,m
TAB,19850517,m
TAB,19850518,m
TAB,19850519,m
TAB,19850520,21140
TAB,19850521,m
TAB,19850522,m
TAB,19850523,m
TAB,19850524,m
TAB,19850525,m
TAB,19850526,m
TAB,19850527,20200
TAB,19850528,m
TAB,19850529,m
TAB,19850530,m
TAB,19850531,m
TAB,19850601,m
TAB,19850602,m
TAB,19850603,21770
TAB,19850604,m
TAB,19850605,m
TAB,19850606,m
TAB,19850607,m
TAB,19850608,m
TAB,19850609,m
TAB,19850610,21965
TAB,19850611,m
TAB,19850612,m
TAB,19850613,m
TAB,19850614,m
TAB,19850615,m
TAB,19850616,m
TAB,19850617,23060
TAB,19850618,m
TAB,19850619,m
TAB,19850620,m
TAB,19850621,m
TAB,19850622,m
TAB,19850623,m
TAB,19850624,24615
TAB,19850625,m
TAB,19850626,m
TAB,19850627,m
TAB,19850628,m
TAB,19850629,m
TAB,19850630,m
TAB,19850701,26735
TAB,19850702,m
TAB,19850703,m
TAB,19850704,m
TAB,19850705,m
TAB,19850706,m
TAB,19850707,m
TAB,19850708,23260
TAB,19850709,m
TAB,19850710,m
TAB,19850711,m
TAB,19850712,m
TAB,19850713,m
TAB,19850714,m
TAB,19850715,19275
TAB,19850716,m
TAB,19850717,m
TAB,19850718,2095
TAB,19850719,m
TAB,19850720,m
TAB,19850721,m
TAB,19850722,35625
TAB,19850723,m
TAB,19850724,m
TAB,19850725,m
TAB,19850726,m
TAB,19850727,m
TAB,19850728,m
TAB,19850729,m
TAB,19850730,m
TAB,19850731,m
TAB,19850801,m
TAB,19850802,m
TAB,19850803,m
TAB,19850804,m
TAB,19850805,50208
TAB,19850806,m
TAB,19850807,m
TAB,19850808,m
TAB,19850809,m
TAB,19850810,m
TAB,19850811,m
TAB,19850812,26405
TAB,19850813,m
TAB,19850814,m
TAB,19850815,m
TAB,19850816,m
TAB,19850817,m
TAB,19850818,m
TAB,19850819,24005
TAB,19850820,m
TAB,19850821,m
TAB,19850822,m
TAB,19850823,m
TAB,19850824,m
TAB,19850825,m
TAB,19850826,35451
TAB,19850827,m
TAB,19850828,m
TAB,19850829,m
TAB,19850830,m
TAB,19850831,m
TAB,19850901,m
TAB,19850902,23895
TAB,19850903,m
TAB,19850904,m
TAB,19850905,m
TAB,19850906,m
TAB,19850907,m
TAB,19850908,m
TAB,19850909,21495
TAB,19850910,m
TAB,19850911,m
TAB,19850912,m
TAB,19850913,m
TAB,19850914,m
TAB,19850915,m
TAB,19850916,m
TAB,19850917,m
TAB,19850918,m
TAB,19850919,m
TAB,19850920,m
TAB,19850921,m
TAB,19850922,m
TAB,19850923,30770
TAB,19850924,m
TAB,19850925,m
TAB,19850926,m
TAB,19850927,m
TAB,19850928,m
TAB,19850929,m
TAB,19850930,22355
TAB,19851001,m
TAB,19851002,m
TAB,19851003,m
TAB,19851004,m
TAB,19851005,m
TAB,19851006,m
TAB,19851007,35451
TAB,19851008,m
TAB,19851009,m
TAB,19851010,m
TAB,19851011,m
TAB,19851012,m
TAB,19851013,m
TAB,19851014,29800
TAB,19851015,m
TAB,19851016,m
TAB,19851017,m
TAB,19851018,m
TAB,19851019,m
TAB,19851020,m
TAB,19851021,26465
TAB,19851022,m
TAB,19851023,m
TAB,19851024,m
TAB,19851025,m
TAB,19851026,m
TAB,19851027,m
TAB,19851028,26830
TAB,19851029,m
TAB,19851030,m
TAB,19851031,m
TAB,19851101,m
TAB,19851102,m
TAB,19851103,m
TAB,19851104,49923
TAB,19851105,m
TAB,19851106,m
TAB,19851107,m
TAB,19851108,m
TAB,19851109,m
TAB,19851110,m
TAB,19851111,48310
TAB,19851112,m
TAB,19851113,m
TAB,19851114,m
TAB,19851115,m
TAB,19851116,m
TAB,19851117,m
TAB,19851118,49073
TAB,19851119,m
TAB,19851120,m
TAB,19851121,m
TAB,19851122,m
TAB,19851123,m
TAB,19851124,m
TAB,19851125,52098
TAB,19851126,m
TAB,19851127,m
TAB,19851128,m
TAB,19851129,m
TAB,19851130,m
TAB,19851201,m
TAB,19851202,51933
TAB,19851203,m
TAB,19851204,m
TAB,19851205,m
TAB,19851206,m
TAB,19851207,m
TAB,19851208,m
TAB,19851209,47393
TAB,19851210,m
TAB,19851211,m
TAB,19851212,m
TAB,19851213,m
TAB,19851214,m
TAB,19851215,m
TAB,19851216,44840
TAB,19851217,m
TAB,19851218,m
TAB,19851219,47393
TAB,19851220,m
TAB,19851221,m
TAB,19851222,m
TAB,19851223,45384
TAB,19851224,m
TAB,19851225,m
TAB,19851226,m
TAB,19851227,m
TAB,19851228,m
TAB,19851229,m
TAB,19851230,32285
TAB,19851231,m
TAB,19860101,m
TAB,19860102,m
TAB,19860103,m
TAB,19860104,m
TAB,19860105,m
TAB,19860106,28750
TAB,19860107,m
TAB,19860108,m
TAB,19860109,m
TAB,19860110,m
TAB,19860111,m
TAB,19860112,m
TAB,19860113,29800
TAB,19860114,m
TAB,19860115,m
TAB,19860116,m
TAB,19860117,m
TAB,19860118,m
TAB,19860119,m
TAB,19860120,23060
TAB,19860121,m
TAB,19860122,m
TAB,19860123,m
TAB,19860124,m
TAB,19860125,m
TAB,19860126,m
TAB,19860127,m
TAB,19860128,m
TAB,19860129,m
TAB,19860130,m
TAB,19860131,m
TAB,19860201,m
TAB,19860202,m
TAB,19860203,m
TAB,19860204,m
TAB,19860205,m
TAB,19860206,m
TAB,19860207,m
TAB,19860208,m
TAB,19860209,m
TAB,19860210,m
TAB,19860211,m
TAB,19860212,m
TAB,19860213,m
TAB,19860214,m
TAB,19860215,m
TAB,19860216,m
TAB,19860217,m
TAB,19860218,m
TAB,19860219,m
TAB,19860220,m
TAB,19860221,m
TAB,19860222,m
TAB,19860223,m
TAB,19860224,m
TAB,19860225,m
TAB,19860226,m
TAB,19860227,m
TAB,19860228,m
TAB,19860301,m
TAB,19860302,m
TAB,19860303,m
TAB,19860304,m
TAB,19860305,m
TAB,19860306,m
TAB,19860307,m
TAB,19860308,m
TAB,19860309,m
TAB,19860310,m
TAB,19860311,m
TAB,19860312,m
TAB,19860313,m
TAB,19860314,m
TAB,19860315,m
TAB,19860316,m
TAB,19860317,m
TAB,19860318,m
TAB,19860319,m
TAB,19860320,m
TAB,19860321,m
TAB,19860322,m
TAB,19860323,m
TAB,19860324,m
TAB,19860325,18086
TAB,19860326,m
TAB,19860327,m
TAB,19860328,m
TAB,19860329,m
TAB,19860330,m
TAB,19860331,m
TAB,19860401,m
TAB,19860402,m
TAB,19860403,m
TAB,19860404,m
TAB,19860405,m
TAB,19860406,m
TAB,19860407,m
TAB,19860408,m
TAB,19860409,m
TAB,19860410,m
TAB,19860411,m
TAB,19860412,m
TAB,19860413,m
TAB,19860414,m
TAB,19860415,m
TAB,19860416,m
TAB,19860417,m
TAB,19860418,m
TAB,19860419,m
TAB,19860420,m
TAB,19860421,m
TAB,19860422,m
TAB,19860423,m
TAB,19860424,m
TAB,19860425,m
TAB,19860426,m
TAB,19860427,m
TAB,19860428,m
TAB,19860429,m
TAB,19860430,m
TAB,19860501,m
TAB,19860502,m
TAB,19860503,m
TAB,19860504,m
TAB,19860505,m
TAB,19860506,m
TAB,19860507,m
TAB,19860508,m
TAB,19860509,m
TAB,19860510,m
TAB,19860511,m
TAB,19860512,m
TAB,19860513,m
TAB,19860514,m
TAB,19860515,m
TAB,19860516,m
TAB,19860517,m
TAB,19860518,m
TAB,19860519,m
TAB,19860520,m
TAB,19860521,m
TAB,19860522,m
TAB,19860523,m
TAB,19860524,m
TAB,19860525,m
TAB,19860526,m
TAB,19860527,m
TAB,19860528,m
TAB,19860529,m
TAB,19860530,m
TAB,19860531,m
TAB,19860601,m
TAB,19860602,m
TAB,19860603,m
TAB,19860604,m
TAB,19860605,m
TAB,19860606,m
TAB,19860607,m
TAB,19860608,m
TAB,19860609,m
TAB,19860610,m
TAB,19860611,m
TAB,19860612,m
TAB,19860613,m
TAB,19860614,m
TAB,19860615,m
TAB,19860616,m
TAB,19860617,m
TAB,19860618,m
TAB,19860619,m
TAB,19860620,m
TAB,19860621,m
TAB,19860622,m
TAB,19860623,m
TAB,19860624,m
TAB,19860625,m
TAB,19860626,m
TAB,19860627,m
TAB,19860628,m
TAB,19860629,m
TAB,19860630,m
TAB,19860701,m
TAB,19860702,m
TAB,19860703,m
TAB,19860704,m
TAB,19860705,m
TAB,19860706,m
TAB,19860707,m
TAB,19860708,m
TAB,19860709,m
TAB,19860710,m
TAB,19860711,m
TAB,19860712,m
TAB,19860713,m
TAB,19860714,m
TAB,19860715,m
TAB,19860716,m
TAB,19860717,m
TAB,19860718,m
TAB,19860719,m
TAB,19860720,m
TAB,19860721,m
TAB,19860722,m
TAB,19860723,m
TAB,19860724,m
TAB,19860725,m
TAB,19860726,m
TAB,19860727,m
TAB,19860728,m
TAB,19860729,m
TAB,19860730,m
TAB,19860731,m
TAB,19860801,m
TAB,19860802,m
TAB,19860803,m
TAB,19860804,m
TAB,19860805,m
TAB,19860806,m
TAB,19860807,m
TAB,19860808,m
TAB,19860809,m
TAB,19860810,m
TAB,19860811,m
TAB,19860812,m
TAB,19860813,m
TAB,19860814,m
TAB,19860815,m
TAB,19860816,m
TAB,19860817,m
TAB,19860818,m
TAB,19860819,m
TAB,19860820,m
TAB,19860821,m
TAB,19860822,m
TAB,19860823,m
TAB,19860824,m
TAB,19860825,m
TAB,19860826,m
TAB,19860827,m
TAB,19860828,m
TAB,19860829,m
TAB,19860830,m
TAB,19860831,m
TAB,19860901,m
TAB,19860902,m
TAB,19860903,m
TAB,19860904,m
TAB,19860905,m
TAB,19860906,m
TAB,19860907,m
TAB,19860908,m
TAB,19860909,m
TAB,19860910,m
TAB,19860911,m
TAB,19860912,m
TAB,19860913,m
TAB,19860914,m
TAB,19860915,m
TAB,19860916,m
TAB,19860917,m
TAB,19860918,m
TAB,19860919,m
TAB,19860920,m
TAB,19860921,m
TAB,19860922,m
TAB,19860923,m
TAB,19860924,m
TAB,19860925,m
TAB,19860926,m
TAB,19860927,m
TAB,19860928,m
TAB,19860929,m
TAB,19860930,m
TAB,19861001,m
TAB,19861002,m
TAB,19861003,m
TAB,19861004,m
TAB,19861005,m
TAB,19861006,m
TAB,19861007,m
TAB,19861008,m
TAB,19861009,m
TAB,19861010,m
TAB,19861011,m
TAB,19861012,m
TAB,19861013,m
TAB,19861014,m
TAB,19861015,m
TAB,19861016,m
TAB,19861017,m
TAB,19861018,m
TAB,19861019,m
TAB,19861020,m
TAB,19861021,m
TAB,19861022,m
TAB,19861023,m
TAB,19861024,m
TAB,19861025,m
TAB,19861026,m
TAB,19861027,m
TAB,19861028,m
TAB,19861029,m
TAB,19861030,m
TAB,19861031,m
TAB,19861101,m
TAB,19861102,m
TAB,19861103,m
TAB,19861104,m
TAB,19861105,m
TAB,19861106,m
TAB,19861107,m
TAB,19861108,m
TAB,19861109,m
TAB,19861110,m
TAB,19861111,m
TAB,19861112,m
TAB,19861113,m
TAB,19861114,m
TAB,19861115,m
TAB,19861116,m
TAB,19861117,m
TAB,19861118,m
TAB,19861119,m
TAB,19861120,m
TAB,19861121,m
TAB,19861122,m
TAB,19861123,m
TAB,19861124,m
TAB,19861125,m
TAB,19861126,m
TAB,19861127,m
TAB,19861128,m
TAB,19861129,m
TAB,19861130,m
TAB,19861201,m
TAB,19861202,m
TAB,19861203,m
TAB,19861204,m
TAB,19861205,m
TAB,19861206,m
TAB,19861207,m
TAB,19861208,m
TAB,19861209,m
TAB,19861210,m
TAB,19861211,m
TAB,19861212,m
TAB,19861213,m
TAB,19861214,m
TAB,19861215,m
TAB,19861216,m
TAB,19861217,m
TAB,19861218,m
TAB,19861219,m
TAB,19861220,m
TAB,19861221,m
TAB,19861222,m
TAB,19861223,m
TAB,19861224,m
TAB,19861225,m
TAB,19861226,m
TAB,19861227,m
TAB,19861228,m
TAB,19861229,m
TAB,19861230,m
TAB,19861231,m
TAB,19870101,m
TAB,19870102,m
TAB,19870103,m
TAB,19870104,m
TAB,19870105,m
TAB,19870106,m
TAB,19870107,m
TAB,19870108,m
TAB,19870109,m
TAB,19870110,m
TAB,19870111,m
TAB,19870112,m
TAB,19870113,m
TAB,19870114,m
TAB,19870115,m
TAB,19870116,m
TAB,19870117,m
TAB,19870118,m
TAB,19870119,m
TAB,19870120,m
TAB,19870121,m
TAB,19870122,m
TAB,19870123,m
TAB,19870124,m
TAB,19870125,m
TAB,19870126,m
TAB,19870127,m
TAB,19870128,m
TAB,19870129,m
TAB,19870130,m
TAB,19870131,m
TAB,19870201,m
TAB,19870202,m
TAB,19870203,m
TAB,19870204,m
TAB,19870205,m
TAB,19870206,m
TAB,19870207,m
TAB,19870208,m
TAB,19870209,m
TAB,19870210,m
TAB,19870211,m
TAB,19870212,m
TAB,19870213,m
TAB,19870214,m
TAB,19870215,m
TAB,19870216,m
TAB,19870217,m
TAB,19870218,m
TAB,19870219,m
TAB,19870220,m
TAB,19870221,m
TAB,19870222,m
TAB,19870223,m
TAB,19870224,m
TAB,19870225,m
TAB,19870226,m
TAB,19870227,m
TAB,19870228,m
TAB,19870301,m
TAB,19870302,m
TAB,19870303,m
TAB,19870304,m
TAB,19870305,m
TAB,19870306,m
TAB,19870307,m
TAB,19870308,m
TAB,19870309,m
TAB,19870310,m
TAB,19870311,m
TAB,19870312,m
TAB,19870313,m
TAB,19870314,m
TAB,19870315,m
TAB,19870316,m
TAB,19870317,m
TAB,19870318,m
TAB,19870319,m
TAB,19870320,m
