ID,Date,Reservoir_Storage(AF)
TRM,19850101,9050
TRM,19850102,m
TRM,19850103,m
TRM,19850104,m
TRM,19850105,m
TRM,19850106,m
TRM,19850107,10700
TRM,19850108,m
TRM,19850109,m
TRM,19850110,m
TRM,19850111,m
TRM,19850112,m
TRM,19850113,m
TRM,19850114,11240
TRM,19850115,m
TRM,19850116,m
TRM,19850117,m
TRM,19850118,m
TRM,19850119,m
TRM,19850120,m
TRM,19850121,12110
TRM,19850122,m
TRM,19850123,m
TRM,19850124,m
TRM,19850125,m
TRM,19850126,m
TRM,19850127,m
TRM,19850128,12710
TRM,19850129,m
TRM,19850130,m
TRM,19850131,m
TRM,19850201,m
TRM,19850202,m
TRM,19850203,m
TRM,19850204,12420
TRM,19850205,m
TRM,19850206,m
TRM,19850207,m
TRM,19850208,m
TRM,19850209,m
TRM,19850210,m
TRM,19850211,m
TRM,19850212,14820
TRM,19850213,m
TRM,19850214,m
TRM,19850215,m
TRM,19850216,m
TRM,19850217,m
TRM,19850218,14810
TRM,19850219,m
TRM,19850220,m
TRM,19850221,m
TRM,19850222,m
TRM,19850223,m
TRM,19850224,m
TRM,19850225,11180
TRM,19850226,m
TRM,19850227,m
TRM,19850228,10820
TRM,19850301,m
TRM,19850302,m
TRM,19850303,11440
TRM,19850304,m
TRM,19850305,m
TRM,19850306,m
TRM,19850307,m
TRM,19850308,m
TRM,19850309,m
TRM,19850310,12440
TRM,19850311,m
TRM,19850312,m
TRM,19850313,m
TRM,19850314,m
TRM,19850315,m
TRM,19850316,m
TRM,19850317,14700
TRM,19850318,m
TRM,19850319,m
TRM,19850320,m
TRM,19850321,m
TRM,19850322,m
TRM,19850323,m
TRM,19850324,18200
TRM,19850325,m
TRM,19850326,m
TRM,19850327,m
TRM,19850328,m
TRM,19850329,m
TRM,19850330,m
TRM,19850331,29040
TRM,19850401,m
TRM,19850402,m
TRM,19850403,m
TRM,19850404,m
TRM,19850405,m
TRM,19850406,m
TRM,19850407,45340
TRM,19850408,m
TRM,19850409,m
TRM,19850410,m
TRM,19850411,m
TRM,19850412,m
TRM,19850413,m
TRM,19850414,66640
TRM,19850415,m
TRM,19850416,m
TRM,19850417,m
TRM,19850418,m
TRM,19850419,m
TRM,19850420,m
TRM,19850421,81180
TRM,19850422,m
TRM,19850423,m
TRM,19850424,m
TRM,19850425,m
TRM,19850426,m
TRM,19850427,m
TRM,19850428,92670
TRM,19850429,m
TRM,19850430,m
TRM,19850501,m
TRM,19850502,m
TRM,19850503,m
TRM,19850504,m
TRM,19850505,112170
TRM,19850506,m
TRM,19850507,m
TRM,19850508,m
TRM,19850509,m
TRM,19850510,m
TRM,19850511,m
TRM,19850512,125320
TRM,19850513,m
TRM,19850514,m
TRM,19850515,m
TRM,19850516,m
TRM,19850517,m
TRM,19850518,m
TRM,19850519,140830
TRM,19850520,m
TRM,19850521,m
TRM,19850522,m
TRM,19850523,m
TRM,19850524,m
TRM,19850525,m
TRM,19850526,143420
TRM,19850527,m
TRM,19850528,m
TRM,19850529,m
TRM,19850530,m
TRM,19850531,m
TRM,19850601,m
TRM,19850602,140110
TRM,19850603,m
TRM,19850604,m
TRM,19850605,m
TRM,19850606,m
TRM,19850607,m
TRM,19850608,m
TRM,19850609,135330
TRM,19850610,m
TRM,19850611,m
TRM,19850612,m
TRM,19850613,m
TRM,19850614,m
TRM,19850615,m
TRM,19850616,122850
TRM,19850617,m
TRM,19850618,m
TRM,19850619,m
TRM,19850620,m
TRM,19850621,m
TRM,19850622,m
TRM,19850623,105400
TRM,19850624,m
TRM,19850625,m
TRM,19850626,m
TRM,19850627,m
TRM,19850628,m
TRM,19850629,m
TRM,19850630,85580
TRM,19850701,m
TRM,19850702,m
TRM,19850703,m
TRM,19850704,m
TRM,19850705,m
TRM,19850706,m
TRM,19850707,69780
TRM,19850708,m
TRM,19850709,m
TRM,19850710,m
TRM,19850711,m
TRM,19850712,m
TRM,19850713,m
TRM,19850714,52940
TRM,19850715,m
TRM,19850716,m
TRM,19850717,-2490
TRM,19850718,m
TRM,19850719,m
TRM,19850720,m
TRM,19850721,36440
TRM,19850722,m
TRM,19850723,m
TRM,19850724,m
TRM,19850725,m
TRM,19850726,m
TRM,19850727,m
TRM,19850728,25130
TRM,19850729,m
TRM,19850730,m
TRM,19850731,m
TRM,19850801,m
TRM,19850802,m
TRM,19850803,m
TRM,19850804,15860
TRM,19850805,m
TRM,19850806,m
TRM,19850807,m
TRM,19850808,m
TRM,19850809,m
TRM,19850810,m
TRM,19850811,11110
TRM,19850812,m
TRM,19850813,m
TRM,19850814,m
TRM,19850815,m
TRM,19850816,m
TRM,19850817,m
TRM,19850818,9210
TRM,19850819,m
TRM,19850820,m
TRM,19850821,m
TRM,19850822,m
TRM,19850823,m
TRM,19850824,m
TRM,19850825,8480
TRM,19850826,m
TRM,19850827,m
TRM,19850828,m
TRM,19850829,m
TRM,19850830,m
TRM,19850831,m
TRM,19850901,7880
TRM,19850902,m
TRM,19850903,m
TRM,19850904,m
TRM,19850905,m
TRM,19850906,m
TRM,19850907,m
TRM,19850908,8060
TRM,19850909,m
TRM,19850910,m
TRM,19850911,m
TRM,19850912,m
TRM,19850913,m
TRM,19850914,m
TRM,19850915,9060
TRM,19850916,m
TRM,19850917,m
TRM,19850918,m
TRM,19850919,m
TRM,19850920,m
TRM,19850921,m
TRM,19850922,9860
TRM,19850923,m
TRM,19850924,m
TRM,19850925,m
TRM,19850926,m
TRM,19850927,m
TRM,19850928,m
TRM,19850929,10340
TRM,19850930,m
TRM,19851001,m
TRM,19851002,m
TRM,19851003,m
TRM,19851004,m
TRM,19851005,m
TRM,19851006,10760
TRM,19851007,m
TRM,19851008,m
TRM,19851009,m
TRM,19851010,m
TRM,19851011,m
TRM,19851012,m
TRM,19851013,11720
TRM,19851014,m
TRM,19851015,m
TRM,19851016,m
TRM,19851017,m
TRM,19851018,m
TRM,19851019,m
TRM,19851020,12240
TRM,19851021,m
TRM,19851022,m
TRM,19851023,m
TRM,19851024,m
TRM,19851025,m
TRM,19851026,m
TRM,19851027,13590
TRM,19851028,m
TRM,19851029,m
TRM,19851030,m
TRM,19851031,m
TRM,19851101,m
TRM,19851102,m
TRM,19851103,14430
TRM,19851104,m
TRM,19851105,m
TRM,19851106,m
TRM,19851107,m
TRM,19851108,m
TRM,19851109,m
TRM,19851110,15480
TRM,19851111,m
TRM,19851112,m
TRM,19851113,m
TRM,19851114,m
TRM,19851115,m
TRM,19851116,m
TRM,19851117,17270
TRM,19851118,m
TRM,19851119,m
TRM,19851120,m
TRM,19851121,m
TRM,19851122,m
TRM,19851123,m
TRM,19851124,19550
TRM,19851125,m
TRM,19851126,m
TRM,19851127,m
TRM,19851128,m
TRM,19851129,m
TRM,19851130,m
TRM,19851201,21400
TRM,19851202,m
TRM,19851203,m
TRM,19851204,m
TRM,19851205,m
TRM,19851206,m
TRM,19851207,m
TRM,19851208,14770
TRM,19851209,m
TRM,19851210,m
TRM,19851211,m
TRM,19851212,m
TRM,19851213,m
TRM,19851214,m
TRM,19851215,9380
TRM,19851216,m
TRM,19851217,m
TRM,19851218,m
TRM,19851219,m
TRM,19851220,m
TRM,19851221,m
TRM,19851222,9030
TRM,19851223,m
TRM,19851224,m
TRM,19851225,m
TRM,19851226,m
TRM,19851227,m
TRM,19851228,14770
TRM,19851229,9510
TRM,19851230,m
TRM,19851231,m
TRM,19860101,m
TRM,19860102,m
TRM,19860103,m
TRM,19860104,m
TRM,19860105,m
TRM,19860106,17180
TRM,19860107,m
TRM,19860108,m
TRM,19860109,m
TRM,19860110,m
TRM,19860111,m
TRM,19860112,m
TRM,19860113,16450
TRM,19860114,m
TRM,19860115,m
TRM,19860116,m
TRM,19860117,m
TRM,19860118,m
TRM,19860119,m
TRM,19860120,15220
TRM,19860121,m
TRM,19860122,m
TRM,19860123,m
TRM,19860124,m
TRM,19860125,m
TRM,19860126,m
TRM,19860127,m
TRM,19860128,m
TRM,19860129,m
TRM,19860130,m
TRM,19860131,m
TRM,19860201,m
TRM,19860202,m
TRM,19860203,m
TRM,19860204,m
TRM,19860205,m
TRM,19860206,m
TRM,19860207,m
TRM,19860208,m
TRM,19860209,m
TRM,19860210,m
TRM,19860211,m
TRM,19860212,m
TRM,19860213,m
TRM,19860214,m
TRM,19860215,m
TRM,19860216,m
TRM,19860217,m
TRM,19860218,m
TRM,19860219,m
TRM,19860220,m
TRM,19860221,m
TRM,19860222,m
TRM,19860223,m
TRM,19860224,m
TRM,19860225,m
TRM,19860226,m
TRM,19860227,m
TRM,19860228,m
TRM,19860301,m
TRM,19860302,m
TRM,19860303,m
TRM,19860304,m
TRM,19860305,m
TRM,19860306,m
TRM,19860307,m
TRM,19860308,m
TRM,19860309,m
TRM,19860310,m
TRM,19860311,m
TRM,19860312,m
TRM,19860313,m
TRM,19860314,m
TRM,19860315,m
TRM,19860316,m
TRM,19860317,m
TRM,19860318,m
TRM,19860319,m
TRM,19860320,m
TRM,19860321,m
TRM,19860322,m
TRM,19860323,m
TRM,19860324,m
TRM,19860325,m
TRM,19860326,m
TRM,19860327,m
TRM,19860328,m
TRM,19860329,m
TRM,19860330,m
TRM,19860331,m
TRM,19860401,m
TRM,19860402,m
TRM,19860403,m
TRM,19860404,m
TRM,19860405,m
TRM,19860406,m
TRM,19860407,m
TRM,19860408,m
TRM,19860409,m
TRM,19860410,m
TRM,19860411,m
TRM,19860412,m
TRM,19860413,m
TRM,19860414,m
TRM,19860415,m
TRM,19860416,m
TRM,19860417,m
TRM,19860418,m
TRM,19860419,m
TRM,19860420,m
TRM,19860421,m
TRM,19860422,m
TRM,19860423,m
TRM,19860424,m
TRM,19860425,m
TRM,19860426,m
TRM,19860427,m
TRM,19860428,m
TRM,19860429,m
TRM,19860430,m
TRM,19860501,m
TRM,19860502,m
TRM,19860503,m
TRM,19860504,m
TRM,19860505,m
TRM,19860506,m
TRM,19860507,m
TRM,19860508,m
TRM,19860509,m
TRM,19860510,m
TRM,19860511,m
TRM,19860512,m
TRM,19860513,m
TRM,19860514,m
TRM,19860515,m
TRM,19860516,m
TRM,19860517,m
TRM,19860518,m
TRM,19860519,m
TRM,19860520,m
TRM,19860521,m
TRM,19860522,m
TRM,19860523,m
TRM,19860524,m
TRM,19860525,m
TRM,19860526,m
TRM,19860527,m
TRM,19860528,m
TRM,19860529,m
TRM,19860530,m
TRM,19860531,m
TRM,19860601,m
TRM,19860602,m
TRM,19860603,m
TRM,19860604,m
TRM,19860605,m
TRM,19860606,m
TRM,19860607,m
TRM,19860608,m
TRM,19860609,m
TRM,19860610,m
TRM,19860611,m
TRM,19860612,m
TRM,19860613,m
TRM,19860614,m
TRM,19860615,m
TRM,19860616,m
TRM,19860617,m
TRM,19860618,m
TRM,19860619,m
TRM,19860620,m
TRM,19860621,m
TRM,19860622,m
TRM,19860623,m
TRM,19860624,m
TRM,19860625,m
TRM,19860626,m
TRM,19860627,m
TRM,19860628,m
TRM,19860629,m
TRM,19860630,m
TRM,19860701,m
TRM,19860702,m
TRM,19860703,m
TRM,19860704,m
TRM,19860705,m
TRM,19860706,m
TRM,19860707,m
TRM,19860708,m
TRM,19860709,m
TRM,19860710,m
TRM,19860711,m
TRM,19860712,m
TRM,19860713,m
TRM,19860714,m
TRM,19860715,m
TRM,19860716,m
TRM,19860717,m
TRM,19860718,m
TRM,19860719,m
TRM,19860720,m
TRM,19860721,m
TRM,19860722,m
TRM,19860723,m
TRM,19860724,m
TRM,19860725,m
TRM,19860726,m
TRM,19860727,m
TRM,19860728,m
TRM,19860729,m
TRM,19860730,m
TRM,19860731,m
TRM,19860801,m
TRM,19860802,m
TRM,19860803,m
TRM,19860804,m
TRM,19860805,m
TRM,19860806,m
TRM,19860807,m
TRM,19860808,m
TRM,19860809,m
TRM,19860810,m
TRM,19860811,m
TRM,19860812,m
TRM,19860813,m
TRM,19860814,m
TRM,19860815,m
TRM,19860816,m
TRM,19860817,m
TRM,19860818,m
TRM,19860819,m
TRM,19860820,m
TRM,19860821,m
TRM,19860822,m
TRM,19860823,m
TRM,19860824,m
TRM,19860825,m
TRM,19860826,m
TRM,19860827,m
TRM,19860828,m
TRM,19860829,m
TRM,19860830,m
TRM,19860831,m
TRM,19860901,m
TRM,19860902,m
TRM,19860903,m
TRM,19860904,m
TRM,19860905,m
TRM,19860906,m
TRM,19860907,m
TRM,19860908,m
TRM,19860909,m
TRM,19860910,m
TRM,19860911,m
TRM,19860912,m
TRM,19860913,m
TRM,19860914,m
TRM,19860915,m
TRM,19860916,m
TRM,19860917,m
TRM,19860918,m
TRM,19860919,m
TRM,19860920,m
TRM,19860921,m
TRM,19860922,m
TRM,19860923,m
TRM,19860924,m
TRM,19860925,m
TRM,19860926,m
TRM,19860927,m
TRM,19860928,m
TRM,19860929,m
TRM,19860930,m
TRM,19861001,m
TRM,19861002,m
TRM,19861003,m
TRM,19861004,m
TRM,19861005,m
TRM,19861006,m
TRM,19861007,m
TRM,19861008,m
TRM,19861009,m
TRM,19861010,m
TRM,19861011,m
TRM,19861012,m
TRM,19861013,m
TRM,19861014,m
TRM,19861015,m
TRM,19861016,m
TRM,19861017,m
TRM,19861018,m
TRM,19861019,m
TRM,19861020,m
TRM,19861021,m
TRM,19861022,m
TRM,19861023,m
TRM,19861024,m
TRM,19861025,m
TRM,19861026,m
TRM,19861027,m
TRM,19861028,m
TRM,19861029,m
TRM,19861030,m
TRM,19861031,m
TRM,19861101,m
TRM,19861102,m
TRM,19861103,m
TRM,19861104,m
TRM,19861105,m
TRM,19861106,m
TRM,19861107,m
TRM,19861108,m
TRM,19861109,m
TRM,19861110,m
TRM,19861111,m
TRM,19861112,m
TRM,19861113,m
TRM,19861114,m
TRM,19861115,m
TRM,19861116,m
TRM,19861117,m
TRM,19861118,m
TRM,19861119,m
TRM,19861120,m
TRM,19861121,m
TRM,19861122,m
TRM,19861123,m
TRM,19861124,m
TRM,19861125,m
TRM,19861126,m
TRM,19861127,m
TRM,19861128,m
TRM,19861129,m
TRM,19861130,m
TRM,19861201,m
TRM,19861202,m
TRM,19861203,m
TRM,19861204,m
TRM,19861205,m
TRM,19861206,m
TRM,19861207,m
TRM,19861208,m
TRM,19861209,m
TRM,19861210,m
TRM,19861211,m
TRM,19861212,m
TRM,19861213,m
TRM,19861214,m
TRM,19861215,m
TRM,19861216,m
TRM,19861217,m
TRM,19861218,m
TRM,19861219,m
